TFX,Date
1.5834901332855225,1980-11-24
1.5669091939926147,1980-11-25
1.6125062704086304,1980-11-26
1.6332329511642456,1980-11-28
1.6622505187988281,1980-12-01
1.6581056118011475,1980-12-02
1.6788301467895508,1980-12-03
1.6746852397918701,1980-12-04
1.6498135328292847,1980-12-05
1.5876346826553345,1980-12-08
1.4757132530212402,1980-12-09
1.4632773399353027,1980-12-10
1.3679369688034058,1980-12-11
1.4342600107192993,1980-12-12
1.4466956853866577,1980-12-15
1.4757132530212402,1980-12-16
1.5254572629928589,1980-12-17
1.5752003192901611,1980-12-18
1.5752003192901611,1980-12-19
1.5586178302764893,1980-12-22
1.542037010192871,1980-12-23
1.5088751316070557,1980-12-24
1.4591318368911743,1980-12-26
1.442551612854004,1980-12-29
1.417679786682129,1980-12-30
