SYF,Date
30.728599548339844,2018-05-21
31.06410026550293,2018-05-22
31.072704315185547,2018-05-23
30.883447647094727,2018-05-24
30.633970260620117,2018-05-25
29.653270721435547,2018-05-29
30.126419067382812,2018-05-30
29.79092025756836,2018-05-31
30.14362144470215,2018-06-01
30.4963321685791,2018-06-04
30.109207153320312,2018-06-05
30.608158111572266,2018-06-06
30.582353591918945,2018-06-07
30.4963321685791,2018-06-08
30.332881927490234,2018-06-11
30.367279052734375,2018-06-12
30.05759048461914,2018-06-13
30.332881927490234,2018-06-14
30.298465728759766,2018-06-15
30.109207153320312,2018-06-18
29.945756912231445,2018-06-19
29.68767738342285,2018-06-20
29.43820571899414,2018-06-21
29.360788345336914,2018-06-22
29.094100952148438,2018-06-25
28.79300880432129,2018-06-26
28.38868522644043,2018-06-27
28.397281646728516,2018-06-28
28.715587615966797,2018-06-29
29.111305236816406,2018-07-02
28.818817138671875,2018-07-03
28.904836654663086,2018-07-05
28.990867614746094,2018-07-06
29.9887752532959,2018-07-09
29.980167388916016,2018-07-10
29.937158584594727,2018-07-11
28.35427474975586,2018-07-12
27.90693473815918,2018-07-13
28.010168075561523,2018-07-16
28.23383903503418,2018-07-17
28.741390228271484,2018-07-18
28.595144271850586,2018-07-19
28.225234985351562,2018-07-20
28.827415466308594,2018-07-23
29.094100952148438,2018-07-24
28.767200469970703,2018-07-25
25.807893753051758,2018-07-26
25.73907470703125,2018-07-27
25.38636589050293,2018-07-30
24.896011352539062,2018-07-31
25.11968231201172,2018-08-01
25.541215896606445,2018-08-02
25.861778259277344,2018-08-03
25.688501358032227,2018-08-06
26.0697078704834,2018-08-07
26.035049438476562,2018-08-08
25.97440528869629,2018-08-09
25.480560302734375,2018-08-10
25.289960861206055,2018-08-13
26.000398635864258,2018-08-14
25.870447158813477,2018-08-15
26.36428451538086,2018-08-16
26.312301635742188,2018-08-17
26.918773651123047,2018-08-20
27.005413055419922,2018-08-21
27.4646053314209,2018-08-22
27.092056274414062,2018-08-23
27.170028686523438,2018-08-24
27.577232360839844,2018-08-27
27.568571090698242,2018-08-28
27.447275161743164,2018-08-29
27.386629104614258,2018-08-30
27.43861198425293,2018-08-31
27.620546340942383,2018-09-04
27.733182907104492,2018-09-05
27.551239013671875,2018-09-06
27.49059295654297,2018-09-07
27.88047218322754,2018-09-10
28.105730056762695,2018-09-11
27.975770950317383,2018-09-12
27.90645980834961,2018-09-13
28.23569107055664,2018-09-14
28.157718658447266,2018-09-17
28.573583602905273,2018-09-18
28.928802490234375,2018-09-19
29.110740661621094,2018-09-20
28.99811553955078,2018-09-21
28.625566482543945,2018-09-24
28.573583602905273,2018-09-25
27.646543502807617,2018-09-26
27.35196876525879,2018-09-27
26.927440643310547,2018-09-28
27.27399253845215,2018-10-01
27.152698516845703,2018-10-02
27.533912658691406,2018-10-03
27.291322708129883,2018-10-04
27.126708984375,2018-10-05
27.144039154052734,2018-10-08
26.988086700439453,2018-10-09
26.442258834838867,2018-10-10
25.7578067779541,2018-10-11
25.853111267089844,2018-10-12
25.7578067779541,2018-10-15
26.156347274780273,2018-10-16
26.052385330200195,2018-10-17
25.679838180541992,2018-10-18
27.170028686523438,2018-10-19
25.532548904418945,2018-10-22
25.62785530090332,2018-10-23
24.744131088256836,2018-10-24
24.978055953979492,2018-10-25
