DXC,Date
0.7586401700973511,1982-09-10
0.7586401700973511,1982-09-13
0.7777657508850098,1982-09-14
0.7905155420303345,1982-09-15
0.8160160183906555,1982-09-16
0.8096410632133484,1982-09-17
0.8096410632133484,1982-09-20
0.8223917484283447,1982-09-21
0.7968910336494446,1982-09-22
0.8096410632133484,1982-09-23
0.8223917484283447,1982-09-24
0.8032663464546204,1982-09-27
0.8032663464546204,1982-09-28
0.7650152444839478,1982-09-29
0.7713899612426758,1982-09-30
0.7650152444839478,1982-10-01
0.7650152444839478,1982-10-04
0.7650152444839478,1982-10-05
0.7968910336494446,1982-10-06
0.8032663464546204,1982-10-07
0.8160160183906555,1982-10-08
0.8160160183906555,1982-10-11
0.8096410632133484,1982-10-12
0.8351417183876038,1982-10-13
0.8160160183906555,1982-10-14
