Date,IDTI
2018-04-09,29.94
2018-04-06,29.6
2018-04-05,30.46
2018-04-04,30.87
2018-04-03,30.31
2018-04-02,29.42
2018-03-29,30.56
2018-03-28,29.68
2018-03-27,30.86
2018-03-26,32.16
2018-03-23,30.8
2018-03-22,32.14
2018-03-21,33.21
2018-03-20,32.7
2018-03-19,32.17
2018-03-16,32.74
2018-03-15,32.11
2018-03-14,32.15
2018-03-13,32.07
2018-03-12,32.84
2018-03-09,32.8
2018-03-08,32.16
2018-03-07,31.95
2018-03-06,31.54
2018-03-05,30.96
2018-03-02,30.85
2018-03-01,30.08
2018-02-28,30.34
2018-02-27,30.59
2018-02-26,30.68
2018-02-23,29.84
2018-02-22,29.03
2018-02-21,29.03
2018-02-20,29.75
2018-02-16,29.2
2018-02-15,29.06
2018-02-14,27.88
2018-02-13,27.49
2018-02-12,27.8
2018-02-09,28.24
2018-02-08,26.96
2018-02-07,28.51
2018-02-06,28.81
2018-02-05,28.21
2018-02-02,28.77
2018-02-01,29.91
2018-01-31,29.9
2018-01-30,29.98
2018-01-29,33.53
2018-01-26,33.72
2018-01-25,32.6
2018-01-24,32.62
2018-01-23,33.7
2018-01-22,33.89
2018-01-19,33.58
2018-01-18,32.7
2018-01-17,32.62
2018-01-16,31.75
2018-01-12,32.29
2018-01-11,32.6
2018-01-10,31.48
2018-01-09,32.32
2018-01-08,32.67
2018-01-05,31.94
2018-01-04,32.35
2018-01-03,31.35
2018-01-02,30.7
2017-12-29,29.73
2017-12-28,30.15
2017-12-27,30.23
2017-12-26,30.39
2017-12-22,30.15
2017-12-21,30.52
2017-12-20,30.96
2017-12-19,30.45
2017-12-18,31.05
2017-12-15,30.44
2017-12-14,30.01
2017-12-13,29.95
2017-12-12,29.85
2017-12-11,30.01
2017-12-08,29.85
2017-12-07,29.8
2017-12-06,29.56
2017-12-05,29.56
2017-12-04,29.93
2017-12-01,30.75
2017-11-30,30.09
2017-11-29,30.08
2017-11-28,32.01
2017-11-27,32.34
2017-11-24,32.65
2017-11-22,32.51
2017-11-21,32.93
2017-11-20,32.53
2017-11-17,32.38
2017-11-16,31.87
2017-11-15,31.38
2017-11-14,32.12
2017-11-13,32.79
2017-11-10,33.28
2017-11-09,33.17
2017-11-08,33.59
2017-11-07,33.27
2017-11-06,33.01
2017-11-03,31.3
2017-11-02,30.82
2017-11-01,31.01
2017-10-31,31.07
2017-10-30,28.97
2017-10-27,28.57
2017-10-26,28.18
2017-10-25,27.98
2017-10-24,28.54
2017-10-23,28.41
2017-10-20,27.99
2017-10-19,28.16
2017-10-18,28.05
2017-10-17,28.01
2017-10-16,27.89
2017-10-13,27.92
2017-10-12,27.76
2017-10-11,27.45
2017-10-10,27.45
2017-10-09,27.28
2017-10-06,26.98
2017-10-05,27.05
2017-10-04,27.41
2017-10-03,27.38
2017-10-02,27.15
2017-09-29,26.58
2017-09-28,26.42
2017-09-27,26.05
2017-09-26,25.44
2017-09-25,25.39
2017-09-22,26.2
2017-09-21,27.0
2017-09-20,27.16
2017-09-19,27.68
2017-09-18,27.92
2017-09-15,27.59
2017-09-14,27.48
2017-09-13,26.98
2017-09-12,26.31
2017-09-11,25.75
2017-09-08,24.8
2017-09-07,24.93
2017-09-06,24.94
2017-09-05,24.84
2017-09-01,25.02
2017-08-31,24.71
2017-08-30,24.44
2017-08-29,23.85
2017-08-28,23.72
2017-08-25,23.59
2017-08-24,23.85
2017-08-23,23.94
2017-08-22,23.67
2017-08-21,23.39
2017-08-18,23.36
2017-08-17,23.47
2017-08-16,24.14
2017-08-15,24.06
2017-08-14,23.84
2017-08-11,23.53
2017-08-10,23.57
2017-08-09,24.51
2017-08-08,24.45
2017-08-07,24.53
2017-08-04,24.2
2017-08-03,24.19
2017-08-02,24.37
2017-08-01,25.43
2017-07-31,26.14
2017-07-28,26.05
2017-07-27,25.92
2017-07-26,26.77
2017-07-25,26.7
2017-07-24,26.35
2017-07-21,26.33
2017-07-20,26.49
2017-07-19,26.44
2017-07-18,26.23
2017-07-17,26.31
2017-07-14,26.34
2017-07-13,26.33
2017-07-12,26.35
2017-07-11,25.79
2017-07-10,25.58
2017-07-07,25.88
2017-07-06,25.08
2017-07-05,25.44
2017-07-03,25.27
2017-06-30,25.79
2017-06-29,25.96
2017-06-28,26.1
2017-06-27,24.29
2017-06-26,25.0
2017-06-23,25.05
2017-06-22,24.84
2017-06-21,24.65
2017-06-20,24.82
2017-06-19,25.51
2017-06-16,24.5
2017-06-15,24.41
2017-06-14,24.65
2017-06-13,24.88
2017-06-12,24.8
2017-06-09,25.03
2017-06-08,25.87
2017-06-07,25.32
2017-06-06,25.48
2017-06-05,25.52
2017-06-02,25.66
2017-06-01,25.7
2017-05-31,25.58
2017-05-30,25.62
2017-05-26,25.86
2017-05-25,25.86
2017-05-24,24.95
2017-05-23,24.25
2017-05-22,24.07
2017-05-19,23.7
2017-05-18,23.01
2017-05-17,22.85
2017-05-16,24.69
2017-05-15,24.45
2017-05-12,23.82
2017-05-11,23.68
2017-05-10,23.65
2017-05-09,23.38
2017-05-08,22.94
2017-05-05,23.24
2017-05-04,22.99
2017-05-03,23.0
2017-05-02,23.19
2017-05-01,24.36
2017-04-28,23.99
2017-04-27,24.65
2017-04-26,24.3
2017-04-25,24.13
2017-04-24,23.99
2017-04-21,23.54
2017-04-20,23.24
2017-04-19,24.33
2017-04-18,23.89
2017-04-17,23.41
2017-04-13,23.24
2017-04-12,23.17
2017-04-11,23.7
2017-04-10,23.66
2017-04-07,23.37
2017-04-06,23.24
2017-04-05,23.06
2017-04-04,23.3
2017-04-03,23.5
2017-03-31,23.67
2017-03-30,23.66
2017-03-29,23.63
2017-03-28,23.6
2017-03-27,23.66
2017-03-24,23.59
2017-03-23,23.52
2017-03-22,23.65
2017-03-21,23.79
2017-03-20,24.64
2017-03-17,24.46
2017-03-16,24.38
2017-03-15,24.37
2017-03-14,24.13
2017-03-13,24.24
2017-03-10,23.86
2017-03-09,23.7
2017-03-08,23.85
2017-03-07,23.85
2017-03-06,23.83
2017-03-03,23.71
2017-03-02,23.89
2017-03-01,24.3
2017-02-28,23.91
2017-02-27,24.47
2017-02-24,24.24
2017-02-23,24.68
2017-02-22,24.85
2017-02-21,25.09
2017-02-17,24.42
2017-02-16,24.57
2017-02-15,25.11
2017-02-14,24.88
2017-02-13,24.73
2017-02-10,24.9
2017-02-09,24.73
2017-02-08,24.89
2017-02-07,24.71
2017-02-06,24.9
2017-02-03,25.2
2017-02-02,24.94
2017-02-01,25.23
2017-01-31,25.19
2017-01-30,26.34
2017-01-27,26.46
2017-01-26,25.96
2017-01-25,26.12
2017-01-24,25.41
2017-01-23,24.63
2017-01-20,24.75
2017-01-19,24.25
2017-01-18,24.57
2017-01-17,24.41
2017-01-13,25.16
2017-01-12,24.93
2017-01-11,25.26
2017-01-10,24.99
2017-01-09,24.8
2017-01-06,24.4
2017-01-05,24.05
2017-01-04,24.53
2017-01-03,24.52
2016-12-30,23.56
2016-12-29,24.24
2016-12-28,24.25
2016-12-27,24.55
2016-12-23,24.3
2016-12-22,24.33
2016-12-21,24.45
2016-12-20,24.8
2016-12-19,24.9
2016-12-16,24.61
2016-12-15,25.36
2016-12-14,24.96
2016-12-13,24.64
2016-12-12,24.13
2016-12-09,24.46
2016-12-08,24.37
2016-12-07,23.78
2016-12-06,23.42
2016-12-05,22.73
2016-12-02,22.45
2016-12-01,22.28
2016-11-30,23.4
2016-11-29,25.08
2016-11-28,25.28
2016-11-25,25.63
2016-11-23,25.69
2016-11-22,25.25
2016-11-21,25.0
2016-11-18,25.11
2016-11-17,24.88
2016-11-16,24.27
2016-11-15,23.98
2016-11-14,23.6
2016-11-11,23.07
2016-11-10,22.34
2016-11-09,22.87
2016-11-08,22.76
2016-11-07,22.89
2016-11-04,22.43
2016-11-03,22.69
2016-11-02,22.61
2016-11-01,22.87
2016-10-31,20.71
2016-10-28,20.7
2016-10-27,21.04
2016-10-26,21.1
2016-10-25,20.99
2016-10-24,20.91
2016-10-21,20.31
2016-10-20,20.37
2016-10-19,20.21
2016-10-18,20.15
2016-10-17,20.0
2016-10-14,19.79
2016-10-13,19.73
2016-10-12,20.23
2016-10-11,21.05
2016-10-10,22.05
2016-10-07,22.75
2016-10-06,23.02
2016-10-05,23.47
2016-10-04,23.06
2016-10-03,22.9
2016-09-30,23.1
2016-09-29,22.74
2016-09-28,22.35
2016-09-27,22.45
2016-09-26,21.65
2016-09-23,21.75
2016-09-22,22.04
2016-09-21,21.2
2016-09-20,20.9
2016-09-19,21.21
2016-09-16,21.0
2016-09-15,20.87
2016-09-14,20.52
2016-09-13,20.02
2016-09-12,20.15
2016-09-09,19.74
2016-09-08,20.51
2016-09-07,20.62
2016-09-06,20.51
2016-09-02,20.74
2016-09-01,20.51
2016-08-31,20.09
2016-08-30,20.18
2016-08-29,20.1
2016-08-26,20.32
2016-08-25,20.18
2016-08-24,20.07
2016-08-23,20.19
2016-08-22,20.12
2016-08-19,20.4
2016-08-18,20.01
2016-08-17,19.38
2016-08-16,19.39
2016-08-15,19.6
2016-08-12,19.21
2016-08-11,18.89
2016-08-10,19.02
2016-08-09,19.17
2016-08-08,18.96
2016-08-05,18.83
2016-08-04,18.75
2016-08-03,18.71
2016-08-02,19.56
2016-08-01,22.19
2016-07-29,21.99
2016-07-28,22.28
2016-07-27,22.42
2016-07-26,22.39
2016-07-25,21.83
2016-07-22,21.46
2016-07-21,21.51
2016-07-20,21.84
2016-07-19,21.49
2016-07-18,21.77
2016-07-15,21.61
2016-07-14,21.65
2016-07-13,21.12
2016-07-12,21.23
2016-07-11,20.84
2016-07-08,20.29
2016-07-07,19.68
2016-07-06,19.44
2016-07-05,19.2
2016-07-01,19.95
2016-06-30,20.13
2016-06-29,19.6
2016-06-28,19.72
2016-06-27,18.7
2016-06-24,19.94
2016-06-23,21.71
2016-06-22,21.24
2016-06-21,21.59
2016-06-20,21.77
2016-06-17,21.75
2016-06-16,22.21
2016-06-15,22.6
2016-06-14,23.4
2016-06-13,23.29
2016-06-10,23.27
2016-06-09,23.85
2016-06-08,23.48
2016-06-07,23.41
2016-06-06,22.84
2016-06-03,23.17
2016-06-02,23.17
2016-06-01,23.22
2016-05-31,23.35
2016-05-27,23.22
2016-05-26,23.08
2016-05-25,22.75
2016-05-24,22.68
2016-05-23,22.11
2016-05-20,22.02
2016-05-19,21.01
2016-05-18,21.29
2016-05-17,20.67
2016-05-16,21.14
2016-05-13,20.25
2016-05-12,20.28
2016-05-11,21.31
2016-05-10,20.5
2016-05-09,20.36
2016-05-06,20.28
2016-05-05,20.2
2016-05-04,20.33
2016-05-03,20.73
2016-05-02,19.7
2016-04-29,19.28
2016-04-28,19.96
2016-04-27,20.91
2016-04-26,20.72
2016-04-25,20.12
2016-04-22,20.36
2016-04-21,19.88
2016-04-20,20.23
2016-04-19,19.83
2016-04-18,20.1
2016-04-15,20.59
2016-04-14,20.44
2016-04-13,20.74
2016-04-12,20.22
2016-04-11,19.43
2016-04-08,19.26
2016-04-07,19.72
2016-04-06,20.48
2016-04-05,20.06
2016-04-04,20.22
2016-04-01,20.75
2016-03-31,20.44
2016-03-30,20.64
2016-03-29,20.54
2016-03-28,19.84
2016-03-24,19.9
2016-03-23,20.03
2016-03-22,20.58
2016-03-21,20.28
2016-03-18,20.33
2016-03-17,20.0
2016-03-16,19.92
2016-03-15,19.87
2016-03-14,19.95
2016-03-11,20.1
2016-03-10,20.0
2016-03-09,20.31
2016-03-08,19.72
2016-03-07,20.74
2016-03-04,20.61
2016-03-03,20.48
2016-03-02,19.81
2016-03-01,19.85
2016-02-29,19.42
2016-02-27,19.25
2016-02-26,19.25
2016-02-25,19.25
2016-02-24,19.11
2016-02-23,18.5
2016-02-22,18.79
2016-02-19,18.2
2016-02-18,17.91
2016-02-17,18.35
2016-02-16,17.56
2016-02-12,16.96
2016-02-11,16.56
2016-02-10,17.22
2016-02-09,17.33
2016-02-08,17.8
2016-02-05,18.1
2016-02-04,18.68
2016-02-03,18.16
2016-02-02,18.67
2016-02-01,25.5
2016-01-29,25.48
2016-01-28,24.29
2016-01-27,24.12
2016-01-26,24.57
2016-01-25,24.25
2016-01-22,24.5
2016-01-21,24.2
2016-01-20,24.31
2016-01-19,23.26
2016-01-15,23.3
2016-01-14,24.68
2016-01-13,23.81
2016-01-12,24.83
2016-01-11,24.61
2016-01-08,24.65
2016-01-07,24.95
2016-01-06,25.47
2016-01-05,25.64
2016-01-04,26.01
2015-12-31,26.35
2015-12-30,26.94
2015-12-29,27.45
2015-12-28,27.1
2015-12-24,27.04
2015-12-23,26.58
2015-12-22,26.87
2015-12-21,26.92
2015-12-18,26.83
2015-12-17,26.98
2015-12-16,27.13
2015-12-15,27.62
2015-12-14,27.36
2015-12-11,27.36
2015-12-10,28.04
2015-12-09,27.85
2015-12-08,28.33
2015-12-07,28.38
2015-12-04,28.79
2015-12-03,27.97
2015-12-02,28.32
2015-12-01,28.83
2015-11-30,28.04
2015-11-27,27.89
2015-11-25,27.71
2015-11-24,27.38
2015-11-23,26.96
2015-11-20,27.35
2015-11-19,26.96
2015-11-18,27.46
2015-11-17,26.48
2015-11-16,25.94
2015-11-13,25.53
2015-11-12,25.59
2015-11-11,25.89
2015-11-10,25.76
2015-11-09,26.04
2015-11-06,26.39
2015-11-05,25.83
2015-11-04,25.69
2015-11-03,25.7
2015-11-02,25.66
2015-10-30,25.5
2015-10-29,24.33
2015-10-28,26.02
2015-10-27,25.31
2015-10-26,23.58
2015-10-23,24.25
2015-10-22,24.42
2015-10-21,23.51
2015-10-20,23.52
2015-10-19,23.39
2015-10-16,23.19
2015-10-15,23.07
2015-10-14,22.49
2015-10-13,21.84
2015-10-12,21.72
2015-10-09,21.65
2015-10-08,21.74
2015-10-07,21.71
2015-10-06,21.27
2015-10-05,21.21
2015-10-02,21.18
2015-10-01,20.15
2015-09-30,20.3
2015-09-29,19.34
2015-09-28,19.15
2015-09-25,19.85
2015-09-24,19.56
2015-09-23,19.63
2015-09-22,19.82
2015-09-21,20.32
2015-09-18,20.01
2015-09-17,19.69
2015-09-16,19.83
2015-09-15,19.63
2015-09-14,19.49
2015-09-11,19.81
2015-09-10,19.38
2015-09-09,19.69
2015-09-08,19.82
2015-09-04,18.83
2015-09-03,19.19
2015-09-02,18.97
2015-09-01,18.47
2015-08-31,18.99
2015-08-28,19.09
2015-08-27,19.4
2015-08-26,17.89
2015-08-25,17.05
2015-08-24,17.22
2015-08-21,17.29
2015-08-20,17.65
2015-08-19,18.35
2015-08-18,18.04
2015-08-17,19.61
2015-08-14,19.19
2015-08-13,19.42
2015-08-12,19.87
2015-08-11,19.54
2015-08-10,20.67
2015-08-07,19.97
2015-08-06,19.78
2015-08-05,20.11
2015-08-04,20.15
2015-08-03,19.07
2015-07-31,19.11
2015-07-30,19.37
2015-07-29,19.66
2015-07-28,19.55
2015-07-27,19.17
2015-07-24,19.26
2015-07-23,19.91
2015-07-22,19.39
2015-07-21,20.76
2015-07-20,20.61
2015-07-17,20.65
2015-07-16,20.8
2015-07-15,20.24
2015-07-14,20.58
2015-07-13,20.13
2015-07-10,19.82
2015-07-09,19.22
2015-07-08,20.45
2015-07-07,20.86
2015-07-06,21.07
2015-07-02,21.56
2015-07-01,21.52
2015-06-30,21.7
2015-06-29,21.42
2015-06-26,21.91
2015-06-25,22.68
2015-06-24,22.77
2015-06-23,23.38
2015-06-22,23.46
2015-06-19,23.59
2015-06-18,24.3
2015-06-17,23.96
2015-06-16,23.84
2015-06-15,24.0
2015-06-12,23.76
2015-06-11,23.8
2015-06-10,23.91
2015-06-09,23.67
2015-06-08,23.62
2015-06-05,24.18
2015-06-04,23.88
2015-06-03,23.99
2015-06-02,23.99
2015-06-01,24.09
2015-05-29,23.66
2015-05-28,23.61
2015-05-27,23.16
2015-05-26,22.34
2015-05-22,22.62
2015-05-21,22.31
2015-05-20,22.26
2015-05-19,22.13
2015-05-18,22.4
2015-05-15,21.98
2015-05-14,21.95
2015-05-13,21.52
2015-05-12,21.41
2015-05-11,20.76
2015-05-08,20.48
2015-05-07,20.13
2015-05-06,19.51
2015-05-05,19.32
2015-05-04,18.37
2015-05-01,18.76
2015-04-30,18.19
2015-04-29,18.3
2015-04-28,18.55
2015-04-27,18.53
2015-04-24,18.41
2015-04-23,19.69
2015-04-22,20.64
2015-04-21,20.52
2015-04-20,20.54
2015-04-17,20.05
2015-04-16,20.32
2015-04-15,20.38
2015-04-14,19.85
2015-04-13,20.46
2015-04-10,20.26
2015-04-09,20.55
2015-04-08,19.96
2015-04-07,19.52
2015-04-06,20.05
2015-04-02,19.75
2015-04-01,19.85
2015-03-31,20.02
2015-03-30,20.41
2015-03-27,19.79
2015-03-26,19.4
2015-03-25,19.54
2015-03-24,21.5
2015-03-23,21.07
2015-03-20,21.53
2015-03-19,20.85
2015-03-18,20.46
2015-03-17,20.43
2015-03-16,20.53
2015-03-13,20.45
2015-03-12,20.55
2015-03-11,20.16
2015-03-10,19.61
2015-03-09,20.0
2015-03-06,19.84
2015-03-05,20.24
2015-03-04,20.4
2015-03-03,20.31
2015-03-02,21.21
2015-02-27,20.64
2015-02-26,20.74
2015-02-25,20.8
2015-02-24,21.07
2015-02-23,20.6
2015-02-20,20.84
2015-02-19,20.89
2015-02-18,20.68
2015-02-17,20.92
2015-02-13,20.55
2015-02-12,20.94
2015-02-11,20.74
2015-02-10,20.27
2015-02-09,19.85
2015-02-06,20.27
2015-02-05,20.24
2015-02-04,19.66
2015-02-03,19.25
2015-02-02,18.64
2015-01-30,18.29
2015-01-29,18.77
2015-01-28,18.38
2015-01-27,18.43
2015-01-26,18.86
2015-01-23,18.93
2015-01-22,18.69
2015-01-21,18.41
2015-01-20,17.59
2015-01-16,17.44
2015-01-15,17.0
2015-01-14,17.08
2015-01-13,17.43
2015-01-12,17.8
2015-01-09,18.32
2015-01-08,18.53
2015-01-07,18.26
2015-01-06,17.25
2015-01-05,18.9
2015-01-02,19.6
2014-12-31,19.6
2014-12-30,19.8
2014-12-29,19.89
2014-12-26,19.9
2014-12-24,19.87
2014-12-23,19.71
2014-12-22,20.18
2014-12-19,19.52
2014-12-18,19.87
2014-12-17,19.71
2014-12-16,19.45
2014-12-15,19.43
2014-12-12,19.55
2014-12-11,19.18
2014-12-10,18.98
2014-12-09,19.36
2014-12-08,18.88
2014-12-05,19.9
2014-12-04,19.48
2014-12-03,19.01
2014-12-02,18.78
2014-12-01,18.4
2014-11-28,18.66
2014-11-26,18.86
2014-11-25,18.65
2014-11-24,18.75
2014-11-21,18.22
2014-11-20,18.2
2014-11-19,17.96
2014-11-18,18.05
2014-11-17,17.23
2014-11-14,17.69
2014-11-13,17.79
2014-11-12,17.75
2014-11-11,17.95
2014-11-10,18.11
2014-11-07,17.73
2014-11-06,17.8
2014-11-05,17.62
2014-11-04,16.51
2014-11-03,16.49
2014-10-31,16.41
2014-10-30,15.98
2014-10-29,16.47
2014-10-28,16.62
2014-10-27,14.04
2014-10-24,14.0
2014-10-23,14.15
2014-10-22,13.72
2014-10-21,14.04
2014-10-20,13.49
2014-10-17,13.51
2014-10-16,13.3
2014-10-15,13.03
2014-10-14,12.51
2014-10-13,12.22
2014-10-10,12.69
2014-10-09,14.04
2014-10-08,14.86
2014-10-07,14.93
2014-10-06,15.52
2014-10-03,16.0
2014-10-02,15.76
2014-10-01,15.34
2014-09-30,15.95
2014-09-29,16.09
2014-09-26,15.98
2014-09-25,15.47
2014-09-24,15.79
2014-09-23,15.92
2014-09-22,16.04
2014-09-19,16.22
2014-09-18,16.64
2014-09-17,16.45
2014-09-16,16.15
2014-09-15,15.59
2014-09-12,16.07
2014-09-11,16.12
2014-09-10,16.13
2014-09-09,16.12
2014-09-08,16.7
2014-09-05,16.94
2014-09-04,16.38
2014-09-03,16.14
2014-09-02,16.28
2014-08-29,16.45
2014-08-28,16.38
2014-08-27,16.11
2014-08-26,16.03
2014-08-25,16.08
2014-08-22,16.34
2014-08-21,16.62
2014-08-20,16.25
2014-08-19,16.21
2014-08-18,15.68
2014-08-15,15.22
2014-08-14,15.09
2014-08-13,15.38
2014-08-12,14.9
2014-08-11,14.94
2014-08-08,14.44
2014-08-07,14.4
2014-08-06,15.05
2014-08-05,14.97
2014-08-04,14.73
2014-08-01,14.54
2014-07-31,14.36
2014-07-30,14.91
2014-07-29,15.01
2014-07-28,13.53
2014-07-25,13.33
2014-07-24,14.14
2014-07-23,13.85
2014-07-22,15.25
2014-07-21,15.08
2014-07-18,14.99
2014-07-17,14.69
2014-07-16,15.25
2014-07-15,15.4
2014-07-14,15.85
2014-07-11,15.58
2014-07-10,15.49
2014-07-09,15.45
2014-07-08,15.15
2014-07-07,15.18
2014-07-03,15.56
2014-07-02,15.47
2014-07-01,15.63
2014-06-30,15.46
2014-06-27,15.25
2014-06-26,15.14
2014-06-25,15.05
2014-06-24,14.98
2014-06-23,15.04
2014-06-20,15.27
2014-06-19,14.67
2014-06-18,14.57
2014-06-17,14.76
2014-06-16,14.6
2014-06-13,14.65
2014-06-12,14.35
2014-06-11,14.32
2014-06-10,13.98
2014-06-09,13.84
2014-06-06,13.3
2014-06-05,13.39
2014-06-04,13.32
2014-06-03,13.3
2014-06-02,13.34
2014-05-30,13.3
2014-05-29,13.53
2014-05-28,13.15
2014-05-27,13.03
2014-05-23,12.73
2014-05-22,12.57
2014-05-21,12.58
2014-05-20,12.38
2014-05-19,12.59
2014-05-16,12.16
2014-05-15,12.02
2014-05-14,12.16
2014-05-13,12.35
2014-05-12,12.5
2014-05-09,12.26
2014-05-08,12.36
2014-05-07,12.17
2014-05-06,12.34
2014-05-05,11.86
2014-05-02,12.1
2014-05-01,11.85
2014-04-30,11.67
2014-04-29,11.51
2014-04-28,11.38
2014-04-25,11.73
2014-04-24,12.03
2014-04-23,11.86
2014-04-22,11.85
2014-04-21,11.37
2014-04-17,11.46
2014-04-16,11.32
2014-04-15,11.19
2014-04-14,11.13
2014-04-11,11.11
2014-04-10,11.26
2014-04-09,11.99
2014-04-08,11.95
2014-04-07,11.65
2014-04-04,11.85
2014-04-03,12.26
2014-04-02,12.29
2014-04-01,12.39
2014-03-31,12.23
2014-03-28,11.94
2014-03-27,11.85
2014-03-26,12.03
2014-03-25,12.27
2014-03-24,12.5
2014-03-21,12.3
2014-03-20,12.91
2014-03-19,12.84
2014-03-18,13.18
2014-03-17,12.72
2014-03-14,12.46
