ETR,Date
11.449453353881836,1999-11-05
11.4198579788208,1999-11-08
11.4198579788208,1999-11-09
11.17320728302002,1999-11-10
11.000551223754883,1999-11-11
11.000551223754883,1999-11-12
10.951224327087402,1999-11-15
10.926560401916504,1999-11-16
10.877225875854492,1999-11-17
10.803237915039062,1999-11-18
10.778568267822266,1999-11-19
10.655241966247559,1999-11-22
10.58125114440918,1999-11-23
10.729244232177734,1999-11-24
10.63057804107666,1999-11-26
10.63057804107666,1999-11-29
10.877225875854492,1999-11-30
10.772401809692383,1999-12-01
10.63057804107666,1999-12-02
10.679908752441406,1999-12-03
10.482595443725586,1999-12-06
10.285268783569336,1999-12-07
10.112618446350098,1999-12-08
9.890629768371582,1999-12-09
9.791973114013672,1999-12-10
9.4219970703125,1999-12-13
9.76730728149414,1999-12-14
9.865967750549316,1999-12-15
10.013952255249023,1999-12-16
10.038622856140137,1999-12-17
10.063288688659668,1999-12-20
10.161944389343262,1999-12-21
10.087953567504883,1999-12-22
10.186612129211426,1999-12-23
10.137283325195312,1999-12-27
10.137283325195312,1999-12-28
10.013952255249023,1999-12-29
10.137283325195312,1999-12-30
10.161944389343262,1999-12-31
9.964628219604492,2000-01-03
9.989293098449707,2000-01-04
10.40859317779541,2000-01-05
10.211275100708008,2000-01-06
10.211275100708008,2000-01-07
10.161944389343262,2000-01-10
10.235943794250488,2000-01-11
10.186612129211426,2000-01-12
9.989293098449707,2000-01-13
9.964628219604492,2000-01-14
9.69331169128418,2000-01-18
9.569986343383789,2000-01-19
9.446664810180664,2000-01-20
9.545324325561523,2000-01-21
9.076691627502441,2000-01-24
8.780713081359863,2000-01-25
8.7560453414917,2000-01-26
9.076691627502441,2000-01-27
9.32334041595459,2000-01-28
9.841301918029785,2000-01-31
10.063288688659668,2000-02-01
9.841301918029785,2000-02-02
10.038622856140137,2000-02-03
9.841301918029785,2000-02-04
9.717979431152344,2000-02-07
9.717979431152344,2000-02-08
9.4219970703125,2000-02-09
9.22468090057373,2000-02-10
9.244670867919922,2000-02-11
9.394583702087402,2000-02-14
9.11974048614502,2000-02-15
8.944845199584961,2000-02-16
8.769939422607422,2000-02-17
8.570055961608887,2000-02-18
8.645018577575684,2000-02-22
8.520088195800781,2000-02-23
8.145302772521973,2000-02-24
8.095333099365234,2000-02-25
8.345185279846191,2000-02-28
8.095333099365234,2000-02-29
8.145302772521973,2000-03-01
8.170289039611816,2000-03-02
8.145302772521973,2000-03-03
6.671150207519531,2000-03-06
6.921008110046387,2000-03-07
6.921008110046387,2000-03-08
7.120891094207764,2000-03-09
7.170866012573242,2000-03-10
7.295790672302246,2000-03-13
7.020949840545654,2000-03-14
7.345766067504883,2000-03-15
7.745532035827637,2000-03-16
7.79550313949585,2000-03-17
7.970404148101807,2000-03-20
7.945415496826172,2000-03-21
7.695559024810791,2000-03-22
7.870462894439697,2000-03-23
7.945415496826172,2000-03-24
7.995389461517334,2000-03-27
7.995389461517334,2000-03-28
8.145302772521973,2000-03-29
7.870462894439697,2000-03-30
8.070343971252441,2000-03-31
8.045360565185547,2000-04-03
8.270231246948242,2000-04-04
8.645018577575684,2000-04-05
8.270231246948242,2000-04-06
8.195273399353027,2000-04-07
8.445128440856934,2000-04-10
8.769939422607422,2000-04-11
8.91985034942627,2000-04-12
9.419565200805664,2000-04-13
9.169711112976074,2000-04-14
9.269654273986816,2000-04-17
9.194700241088867,2000-04-18
9.094754219055176,2000-04-19
9.319624900817871,2000-04-20
9.919276237487793,2000-04-24
10.144145011901855,2000-04-25
10.843749046325684,2000-04-26
10.319048881530762,2000-04-27
10.169137954711914,2000-04-28
10.319048881530762,2000-05-01
10.144145011901855,2000-05-02
10.144145011901855,2000-05-03
10.3690185546875,2000-05-04
10.319048881530762,2000-05-05
10.69383430480957,2000-05-08
10.718819618225098,2000-05-09
11.01864242553711,2000-05-10
10.993659019470215,2000-05-11
10.811779022216797,2000-05-12
10.710735321044922,2000-05-15
10.73599624633789,2000-05-16
10.382343292236328,2000-05-17
10.634946823120117,2000-05-18
10.887560844421387,2000-05-19
11.039131164550781,2000-05-22
11.089651107788086,2000-05-23
11.342260360717773,2000-05-24
11.317005157470703,2000-05-25
11.443312644958496,2000-05-26
11.544350624084473,2000-05-30
11.822220802307129,2000-05-31
11.51909351348877,2000-06-01
11.847484588623047,2000-06-02
11.493833541870117,2000-06-05
11.721183776855469,2000-06-06
12.125358581542969,2000-06-07
11.948528289794922,2000-06-08
12.150626182556152,2000-06-09
12.32745361328125,2000-06-12
12.428491592407227,2000-06-13
12.074841499328613,2000-06-14
12.32745361328125,2000-06-15
12.125358581542969,2000-06-16
11.872748374938965,2000-06-19
11.923262596130371,2000-06-20
12.100098609924316,2000-06-21
11.847484588623047,2000-06-22
11.67066478729248,2000-06-23
11.898008346557617,2000-06-26
11.317005157470703,2000-06-27
11.531722068786621,2000-06-28
11.215953826904297,2000-06-29
10.98861026763916,2000-06-30
11.291744232177734,2000-07-03
11.215953826904297,2000-07-05
11.291744232177734,2000-07-06
11.266477584838867,2000-07-07
11.695924758911133,2000-07-10
11.67066478729248,2000-07-11
11.796965599060059,2000-07-12
11.898008346557617,2000-07-13
11.771697044372559,2000-07-14
12.125358581542969,2000-07-17
12.25166130065918,2000-07-18
12.352713584899902,2000-07-19
12.40323543548584,2000-07-20
12.302186965942383,2000-07-21
12.201140403747559,2000-07-24
12.25166130065918,2000-07-25
12.100098609924316,2000-07-26
12.25166130065918,2000-07-27
12.25166130065918,2000-07-28
10.963349342346191,2000-07-31
12.125358581542969,2000-08-01
12.32745361328125,2000-08-02
12.38428020477295,2000-08-03
12.40323543548584,2000-08-04
12.63690185546875,2000-08-07
12.605319023132324,2000-08-08
12.321138381958008,2000-08-09
12.583910942077637,2000-08-10
12.711464881896973,2000-08-11
12.654067039489746,2000-08-14
12.756119728088379,2000-08-15
13.043128967285156,2000-08-16
12.96021556854248,2000-08-17
12.985726356506348,2000-08-18
13.062262535095215,2000-08-21
12.985726356506348,2000-08-22
13.138803482055664,2000-08-23
12.858168601989746,2000-08-24
12.654067039489746,2000-08-25
12.654067039489746,2000-08-28
12.475479125976562,2000-08-29
12.526510238647461,2000-08-30
12.430834770202637,2000-08-31
12.762502670288086,2000-09-01
13.011235237121582,2000-09-05
13.54699420928955,2000-09-06
13.725579261779785,2000-09-07
13.993463516235352,2000-09-08
