TSCO,Date
4.61755895614624,2002-12-05
4.613352298736572,2002-12-06
4.4629034996032715,2002-12-09
4.486049175262451,2002-12-10
4.442914962768555,2002-12-11
4.370323181152344,2002-12-12
4.331394672393799,2002-12-13
4.531290054321289,2002-12-16
4.385049343109131,2002-12-17
4.311404705047607,2002-12-18
4.20304012298584,2002-12-19
4.115722179412842,2002-12-20
3.8558571338653564,2002-12-23
3.6833159923553467,2002-12-24
3.888469934463501,2002-12-26
3.9568562507629395,2002-12-27
4.050489902496338,2002-12-30
3.9558045864105225,2002-12-31
4.1746368408203125,2003-01-02
4.192519664764404,2003-01-03
4.293521881103516,2003-01-06
4.387156009674072,2003-01-07
4.439757347106934,2003-01-08
4.519715309143066,2003-01-09
4.48184061050415,2003-01-10
4.443968772888184,2003-01-13
4.485000133514404,2003-01-14
4.507089614868164,2003-01-15
4.452383518218994,2003-01-16
4.347174167633057,2003-01-17
4.095729351043701,2003-01-21
4.090469837188721,2003-01-22
4.06101131439209,2003-01-23
4.253540515899658,2003-01-24
4.180947303771973,2003-01-27
4.06101131439209,2003-01-28
4.093626976013184,2003-01-29
3.9000439643859863,2003-01-30
3.883212089538574,2003-01-31
3.8253462314605713,2003-02-03
3.760117530822754,2003-02-04
3.7885234355926514,2003-02-05
3.7117223739624023,2003-02-06
3.5160365104675293,2003-02-07
3.3645379543304443,2003-02-10
3.3477039337158203,2003-02-11
3.2961533069610596,2003-02-12
3.418194055557251,2003-02-13
3.598097324371338,2003-02-14
3.779055118560791,2003-02-18
3.645442008972168,2003-02-19
3.598097324371338,2003-02-20
3.591784954071045,2003-02-21
3.6338682174682617,2003-02-24
3.598097324371338,2003-02-25
3.5370781421661377,2003-02-26
3.5202455520629883,2003-02-27
3.4792141914367676,2003-02-28
3.3803184032440186,2003-03-03
3.463433265686035,2003-03-04
3.3014137744903564,2003-03-05
3.3066725730895996,2003-03-06
3.2982571125030518,2003-03-07
3.1288721561431885,2003-03-10
3.3561208248138428,2003-03-11
3.3087780475616455,2003-03-12
3.588627815246582,2003-03-13
3.4718496799468994,2003-03-14
3.6622743606567383,2003-03-17
3.647545576095581,2003-03-18
3.614931106567383,2003-03-19
3.661221981048584,2003-03-20
3.72224497795105,2003-03-21
3.561275005340576,2003-03-24
3.5454940795898438,2003-03-25
3.5823168754577637,2003-03-26
3.588627815246582,2003-03-27
3.561275005340576,2003-03-28
3.4739527702331543,2003-03-31
3.4886820316314697,2003-04-01
3.67700457572937,2003-04-02
3.842179298400879,2003-04-03
3.9137206077575684,2003-04-04
3.925293445587158,2003-04-07
3.9063563346862793,2003-04-08
3.92950177192688,2003-04-09
3.9473886489868164,2003-04-10
3.958960771560669,2003-04-11
4.059959411621094,2003-04-14
4.092573165893555,2003-04-15
4.471320629119873,2003-04-16
4.514456748962402,2003-04-17
4.460799694061279,2003-04-21
4.408195495605469,2003-04-22
4.354541301727295,2003-04-23
4.331394672393799,2003-04-24
4.400831699371338,2003-04-25
4.466060638427734,2003-04-28
4.471320629119873,2003-04-29
4.452383518218994,2003-04-30
4.419771194458008,2003-05-01
4.716455459594727,2003-05-02
4.686997890472412,2003-05-05
4.653330326080322,2003-05-06
4.61755895614624,2003-05-07
4.588101863861084,2003-05-08
4.588101863861084,2003-05-09
4.719610691070557,2003-05-12
4.748018264770508,2003-05-13
4.751173973083496,2003-05-14
4.667006015777588,2003-05-15
4.5712690353393555,2003-05-16
4.440812110900879,2003-05-19
4.437654495239258,2003-05-20
4.523924827575684,2003-05-21
4.523924827575684,2003-05-22
4.5249762535095215,2003-05-23
4.568110942840576,2003-05-27
4.650173664093018,2003-05-28
4.686997890472412,2003-05-29
4.7659010887146,2003-05-30
4.8395466804504395,2003-06-02
4.972107887268066,2003-06-03
5.142545700073242,2003-06-04
5.191993236541748,2003-06-05
5.116242408752441,2003-06-06
5.019453048706055,2003-06-09
5.2056684494018555,2003-06-10
5.260377407073975,2003-06-11
5.233025074005127,2003-06-12
5.264588356018066,2003-06-13
5.503407955169678,2003-06-16
5.4697418212890625,2003-06-17
5.355064868927002,2003-06-18
5.1351799964904785,2003-06-19
5.11834716796875,2003-06-20
4.9510674476623535,2003-06-23
4.9394941329956055,2003-06-24
4.981576442718506,2003-06-25
4.981576442718506,2003-06-26
4.996307849884033,2003-06-27
4.982629776000977,2003-06-30
4.987889766693115,2003-07-01
4.976316928863525,2003-07-02
4.959484100341797,2003-07-03
5.154118061065674,2003-07-07
5.370845794677734,2003-07-08
5.261428356170654,2003-07-09
5.16042947769165,2003-07-10
5.34769868850708,2003-07-11
5.547595500946045,2003-07-14
5.455011367797852,2003-07-15
5.2772111892700195,2003-07-16
5.225658893585205,2003-07-17
5.209877014160156,2003-07-18
5.366635799407959,2003-07-21
5.537072658538818,2003-07-22
5.854802131652832,2003-07-23
5.891623020172119,2003-07-24
5.825341701507568,2003-07-25
5.857956886291504,2003-07-28
5.8400702476501465,2003-07-29
5.886362075805664,2003-07-30
5.828496932983398,2003-07-31
5.86111307144165,2003-08-01
5.765373229980469,2003-08-04
5.6622700691223145,2003-08-05
5.653854846954346,2003-08-06
5.7032999992370605,2003-08-07
5.6233439445495605,2003-08-08
5.764322280883789,2003-08-11
5.865320682525635,2003-08-12
6.061006546020508,2003-08-13
6.103089809417725,2003-08-14
6.128340244293213,2003-08-15
6.51760721206665,2003-08-18
6.796406269073486,2003-08-19
6.795355796813965,2003-08-20
6.81218957901001,2003-08-21
6.819553375244141,2003-08-22
6.752220630645752,2003-08-25
6.857429027557373,2003-08-26
7.038384437561035,2003-08-27
7.303508281707764,2003-08-28
7.259321212768555,2003-08-29
7.4970903396606445,2003-09-02
7.4928789138793945,2003-09-03
7.406611442565918,2003-09-04
7.31613302230835,2003-09-05
7.375050067901611,2003-09-08
7.0909881591796875,2003-09-09
7.130967617034912,2003-09-10
7.408710479736328,2003-09-11
7.446589946746826,2003-09-12
7.543378829956055,2003-09-15
7.595983028411865,2003-09-16
7.4718403816223145,2003-09-17
7.728546619415283,2003-09-18
7.734860420227051,2003-09-19
7.640174865722656,2003-09-22
7.89687967300415,2003-09-23
7.85900354385376,2003-09-24
7.646485805511475,2003-09-25
7.362427234649658,2003-09-26
7.396093368530273,2003-09-29
6.903721332550049,2003-09-30
7.223550319671631,2003-10-01
7.236177444458008,2003-10-02
7.286674976348877,2003-10-03
7.450797080993652,2003-10-06
7.469734191894531,2003-10-07
7.366631984710693,2003-10-08
7.701191425323486,2003-10-09
7.785359859466553,2003-10-10
7.764317989349365,2003-10-13
8.210402488708496,2003-10-14
8.225126266479492,2003-10-15
8.143064498901367,2003-10-16
8.088359832763672,2003-10-17
8.349273681640625,2003-10-20
8.700662612915039,2003-10-21
8.557584762573242,2003-10-22
8.479727745056152,2003-10-23
8.532328605651855,2003-10-24
8.690143585205078,2003-10-27
8.9636812210083,2003-10-28
9.10045051574707,2003-10-29
8.723809242248535,2003-10-30
8.845853805541992,2003-10-31
9.153059005737305,2003-11-03
9.134119033813477,2003-11-04
9.228805541992188,2003-11-05
8.944747924804688,2003-11-06
8.894246101379395,2003-11-07
8.612292289733887,2003-11-10
8.71749496459961,2003-11-11
8.755372047424316,2003-11-12
8.677517890930176,2003-11-13
8.587043762207031,2003-11-14
8.492356300354004,2003-11-17
8.46500015258789,2003-11-18
8.504979133605957,2003-11-19
8.477624893188477,2003-11-20
8.673310279846191,2003-11-21
8.940537452697754,2003-11-24
9.10045051574707,2003-11-25
9.079410552978516,2003-11-26
9.161476135253906,2003-11-28
9.298242568969727,2003-12-01
9.17409610748291,2003-12-02
8.837430953979492,2003-12-03
8.837430953979492,2003-12-04
8.477624893188477,2003-12-05
8.10939884185791,2003-12-08
7.9095048904418945,2003-12-09
7.8821492195129395,2003-12-10
8.092567443847656,2003-12-11
8.380836486816406,2003-12-12
8.248272895812988,2003-12-15
8.218815803527832,2003-12-16
8.302979469299316,2003-12-17
8.460790634155273,2003-12-18
8.309290885925293,2003-12-19
8.231444358825684,2003-12-22
8.27562141418457,2003-12-23
8.174626350402832,2003-12-24
8.195672035217285,2003-12-26
8.355584144592285,2003-12-29
8.321915626525879,2003-12-30
8.204085350036621,2003-12-31
8.284040451049805,2004-01-02
8.372413635253906,2004-01-05
8.332437515258789,2004-01-06
