CFG,Date
16.717676162719727,2016-03-15
16.28071403503418,2016-03-16
16.371116638183594,2016-03-17
16.63479995727539,2016-03-18
16.574527740478516,2016-03-21
16.521793365478516,2016-03-22
16.340978622436523,2016-03-23
16.265644073486328,2016-03-24
16.114961624145508,2016-03-28
15.971822738647461,2016-03-29
16.00948715209961,2016-03-30
15.783478736877441,2016-03-31
16.0848331451416,2016-04-01
16.205373764038086,2016-04-04
15.640332221984863,2016-04-05
16.07729148864746,2016-04-06
15.662932395935059,2016-04-07
15.72320556640625,2016-04-08
15.851277351379395,2016-04-11
16.205373764038086,2016-04-12
17.026565551757812,2016-04-13
17.19230842590332,2016-04-14
16.988893508911133,2016-04-15
17.116966247558594,2016-04-18
17.403261184692383,2016-04-19
17.599136352539062,2016-04-20
17.727216720581055,2016-04-21
17.795021057128906,2016-04-22
17.61420440673828,2016-04-25
17.742279052734375,2016-04-26
17.795021057128906,2016-04-27
17.508729934692383,2016-04-28
17.214908599853516,2016-04-29
17.464839935302734,2016-05-02
17.048288345336914,2016-05-03
16.654457092285156,2016-05-04
16.745344161987305,2016-05-05
16.730195999145508,2016-05-06
16.548423767089844,2016-05-09
16.9346866607666,2016-05-10
16.813507080078125,2016-05-11
16.480260848999023,2016-05-12
16.20761489868164,2016-05-13
16.442392349243164,2016-05-16
16.525705337524414,2016-05-17
17.517852783203125,2016-05-18
17.343664169311523,2016-05-19
17.40424919128418,2016-05-20
17.396678924560547,2016-05-23
17.60873794555664,2016-05-24
17.94198226928711,2016-05-25
17.68447494506836,2016-05-26
17.86624526977539,2016-05-27
17.835948944091797,2016-05-31
17.87381935119629,2016-06-01
18.04800796508789,2016-06-02
17.52543067932129,2016-06-03
17.775360107421875,2016-06-06
17.782930374145508,2016-06-07
17.76778221130371,2016-06-08
17.328514099121094,2016-06-09
17.010421752929688,2016-06-10
16.72262191772461,2016-06-13
16.13945198059082,2016-06-14
16.177322387695312,2016-06-15
15.85922908782959,2016-06-16
15.980402946472168,2016-06-17
16.13945198059082,2016-06-20
16.321218490600586,2016-06-21
16.184898376464844,2016-06-22
16.75292205810547,2016-06-23
15.109435081481934,2016-06-24
13.965813636779785,2016-06-27
14.367216110229492,2016-06-28
14.783764839172363,2016-06-29
15.132152557373047,2016-06-30
14.882226943969727,2016-07-01
14.314199447631836,2016-07-05
14.382363319396973,2016-07-06
14.708027839660645,2016-07-07
15.033699035644531,2016-07-08
15.238186836242676,2016-07-11
15.480545043945312,2016-07-12
15.571425437927246,2016-07-13
15.897099494934082,2016-07-14
15.88952350616455,2016-07-15
15.88952350616455,2016-07-18
15.92739200592041,2016-07-19
16.147024154663086,2016-07-20
16.419675827026367,2016-07-21
16.510555267333984,2016-07-22
16.684757232666016,2016-07-25
17.033138275146484,2016-07-26
17.101301193237305,2016-07-27
17.002843856811523,2016-07-28
16.911962509155273,2016-07-29
16.90435028076172,2016-08-01
16.79013442993164,2016-08-02
17.102327346801758,2016-08-03
17.216548919677734,2016-08-04
17.81048011779785,2016-08-05
17.856172561645508,2016-08-08
17.886629104614258,2016-08-09
17.70387840270996,2016-08-10
17.818098068237305,2016-08-11
17.71910858154297,2016-08-12
17.92470359802246,2016-08-15
17.81048011779785,2016-08-16
17.848552703857422,2016-08-17
17.81048011779785,2016-08-18
17.95516014099121,2016-08-19
17.894241333007812,2016-08-22
17.917089462280273,2016-08-23
17.886629104614258,2016-08-24
18.0008544921875,2016-08-25
18.366348266601562,2016-08-26
18.625244140625,2016-08-29
18.830835342407227,2016-08-30
18.861295700073242,2016-08-31
18.670930862426758,2016-09-01
18.79275894165039,2016-09-02
18.503408432006836,2016-09-06
18.709003448486328,2016-09-07
18.975515365600586,2016-09-08
18.891754150390625,2016-09-09
19.08972930908203,2016-09-12
18.747074127197266,2016-09-13
18.579557418823242,2016-09-14
18.640466690063477,2016-09-15
18.351116180419922,2016-09-16
18.419654846191406,2016-09-19
18.404420852661133,2016-09-20
18.511018753051758,2016-09-21
18.457721710205078,2016-09-22
18.587169647216797,2016-09-23
18.2445125579834,2016-09-26
18.511018753051758,2016-09-27
18.587169647216797,2016-09-28
18.313039779663086,2016-09-29
18.81560516357422,2016-09-30
18.731842041015625,2016-10-03
19.02880859375,2016-10-04
19.470457077026367,2016-10-05
19.561838150024414,2016-10-06
19.417156219482422,2016-10-07
19.447620391845703,2016-10-10
19.00597381591797,2016-10-11
19.226797103881836,2016-10-12
18.670930862426758,2016-10-13
18.876522064208984,2016-10-14
18.71661949157715,2016-10-17
18.922210693359375,2016-10-18
19.264863967895508,2016-10-19
19.455232620239258,2016-10-20
19.775039672851562,2016-10-21
20.06439781188965,2016-10-24
20.148155212402344,2016-10-25
20.460359573364258,2016-10-26
20.460359573364258,2016-10-27
20.06439781188965,2016-10-28
20.14853858947754,2016-10-31
20.5310115814209,2016-11-01
19.964954376220703,2016-11-02
20.09499740600586,2016-11-03
20.202085494995117,2016-11-04
20.92112922668457,2016-11-07
20.615156173706055,2016-11-08
21.571331024169922,2016-11-09
22.64225196838379,2016-11-10
22.833480834960938,2016-11-11
23.621370315551758,2016-11-14
23.667272567749023,2016-11-15
23.50663185119629,2016-11-16
24.271575927734375,2016-11-17
24.45516014099121,2016-11-18
24.424558639526367,2016-11-21
24.416908264160156,2016-11-22
24.78408432006836,2016-11-23
24.829980850219727,2016-11-25
24.3098201751709,2016-11-28
24.77643585205078,2016-11-29
25.63316535949707,2016-11-30
26.298667907714844,2016-12-01
26.122726440429688,2016-12-02
26.122726440429688,2016-12-05
26.54344940185547,2016-12-06
26.81883430480957,2016-12-07
27.18599510192871,2016-12-08
27.163043975830078,2016-12-09
26.78057098388672,2016-12-12
26.619935989379883,2016-12-13
26.489900588989258,2016-12-14
27.07891082763672,2016-12-15
27.017711639404297,2016-12-16
27.055953979492188,2016-12-19
27.59906578063965,2016-12-20
27.553165435791016,2016-12-21
27.537870407104492,2016-12-22
27.790300369262695,2016-12-23
27.889738082885742,2016-12-27
27.537870407104492,2016-12-28
26.987117767333984,2016-12-29
27.25484848022461,2016-12-30
27.430776596069336,2017-01-03
27.66790771484375,2017-01-04
27.32368278503418,2017-01-05
27.469026565551758,2017-01-06
27.2930850982666,2017-01-09
27.752056121826172,2017-01-10
27.74439811706543,2017-01-11
27.476675033569336,2017-01-12
27.75969886779785,2017-01-13
26.099782943725586,2017-01-17
26.76527214050293,2017-01-18
26.566390991210938,2017-01-19
27.400175094604492,2017-01-20
27.453733444213867,2017-01-23
27.767351150512695,2017-01-24
28.700578689575195,2017-01-25
28.71587562561035,2017-01-26
28.295154571533203,2017-01-27
27.943281173706055,2017-01-30
27.77435874938965,2017-01-31
28.02006721496582,2017-02-01
27.674528121948242,2017-02-02
28.250438690185547,2017-02-03
28.004722595214844,2017-02-06
28.09685516357422,2017-02-07
27.144685745239258,2017-02-08
27.828107833862305,2017-02-09
27.966318130493164,2017-02-10
28.35026741027832,2017-02-13
29.164215087890625,2017-02-14
29.463699340820312,2017-02-15
29.371557235717773,2017-02-16
29.056720733642578,2017-02-17
29.21797752380371,2017-02-21
28.926179885864258,2017-02-22
28.603666305541992,2017-02-23
28.142940521240234,2017-02-24
28.557594299316406,2017-02-27
28.69580841064453,2017-02-28
30.400514602661133,2017-03-01
29.21797752380371,2017-03-02
29.41762351989746,2017-03-03
29.386905670166016,2017-03-06
29.156551361083984,2017-03-07
29.064388275146484,2017-03-08
28.972253799438477,2017-03-09
28.90313720703125,2017-03-10
28.69580841064453,2017-03-13
28.557594299316406,2017-03-14
28.242761611938477,2017-03-15
28.48847770690918,2017-03-16
28.119897842407227,2017-03-17
27.820430755615234,2017-03-20
26.384483337402344,2017-03-21
26.438232421875,2017-03-22
26.54573631286621,2017-03-23
26.499670028686523,2017-03-24
26.29233741760254,2017-03-27
26.89896011352539,2017-03-28
26.484310150146484,2017-03-29
26.78377914428711,2017-03-30
26.53038215637207,2017-03-31
26.73770523071289,2017-04-03
26.799142837524414,2017-04-04
26.399843215942383,2017-04-05
26.814495086669922,2017-04-06
26.591812133789062,2017-04-07
26.399843215942383,2017-04-10
26.399843215942383,2017-04-11
25.90071678161621,2017-04-12
25.524456024169922,2017-04-13
26.046611785888672,2017-04-17
25.877683639526367,2017-04-18
26.276981353759766,2017-04-19
27.083261489868164,2017-04-20
26.799142837524414,2017-04-21
27.52863121032715,2017-04-24
27.989360809326172,2017-04-25
28.258121490478516,2017-04-26
28.23508071899414,2017-04-27
28.189016342163086,2017-04-28
28.620676040649414,2017-05-01
28.397136688232422,2017-05-02
28.682336807250977,2017-05-03
28.782546997070312,2017-05-04
28.497339248657227,2017-05-05
28.79796028137207,2017-05-08
28.659212112426758,2017-05-09
28.682336807250977,2017-05-10
28.52046775817871,2017-05-11
28.250680923461914,2017-05-12
28.535884857177734,2017-05-15
28.58213233947754,2017-05-16
26.647367477416992,2017-05-17
26.562578201293945,2017-05-18
26.647367477416992,2017-05-19
26.647367477416992,2017-05-22
27.04819107055664,2017-05-23
26.693613052368164,2017-05-24
26.647367477416992,2017-05-25
26.70132064819336,2017-05-26
26.40070343017578,2017-05-30
26.28507423400879,2017-05-31
26.593408584594727,2017-06-01
26.308204650878906,2017-06-02
26.19257354736328,2017-06-05
26.10007667541504,2017-06-06
26.608821868896484,2017-06-07
27.45673179626465,2017-06-08
28.01172637939453,2017-06-09
28.219844818115234,2017-06-12
28.427967071533203,2017-06-13
28.196720123291016,2017-06-14
28.296926498413086,2017-06-15
28.034847259521484,2017-06-16
28.173595428466797,2017-06-19
27.703397750854492,2017-06-20
27.132984161376953,2017-06-21
26.96340560913086,2017-06-22
26.585695266723633,2017-06-23
26.716739654541016,2017-06-26
26.855485916137695,2017-06-27
27.24090003967285,2017-06-28
27.4798583984375,2017-06-29
27.502975463867188,2017-06-30
28.165882110595703,2017-07-03
28.427967071533203,2017-07-05
28.212139129638672,2017-07-06
28.57442283630371,2017-07-07
28.55900764465332,2017-07-10
28.312345504760742,2017-07-11
28.150468826293945,2017-07-12
28.404842376708984,2017-07-13
27.934642791748047,2017-07-14
27.819021224975586,2017-07-17
27.43360137939453,2017-07-18
27.18694305419922,2017-07-19
27.171524047851562,2017-07-20
26.577993392944336,2017-07-21
27.325687408447266,2017-07-24
27.63401985168457,2017-07-25
27.109861373901367,2017-07-26
27.00965118408203,2017-07-27
26.93256950378418,2017-07-28
27.180517196655273,2017-07-31
27.288982391357422,2017-08-01
27.598907470703125,2017-08-02
27.288982391357422,2017-08-03
27.598907470703125,2017-08-04
27.38970947265625,2017-08-07
27.381961822509766,2017-08-08
27.14176368713379,2017-08-09
26.119009017944336,2017-08-10
25.87107276916504,2017-08-11
26.51416778564453,2017-08-14
26.33596420288086,2017-08-15
26.304967880249023,2017-08-16
25.421682357788086,2017-08-17
25.61539077758789,2017-08-18
25.336450576782227,2017-08-21
25.894315719604492,2017-08-22
25.956298828125,2017-08-23
26.343708038330078,2017-08-24
26.227489471435547,2017-08-25
25.933059692382812,2017-08-28
25.8090877532959,2017-08-29
25.87107276916504,2017-08-30
25.66962242126465,2017-08-31
26.041528701782227,2017-09-01
25.297710418701172,2017-09-05
25.39069366455078,2017-09-06
24.856063842773438,2017-09-07
25.421682357788086,2017-09-08
25.92530632019043,2017-09-11
26.715621948242188,2017-09-12
26.878324508666992,2017-09-13
26.948062896728516,2017-09-14
27.242496490478516,2017-09-15
27.57566261291504,2017-09-18
27.753864288330078,2017-09-19
27.73063087463379,2017-09-20
28.102535247802734,2017-09-21
28.16452407836914,2017-09-22
28.249752044677734,2017-09-25
28.5286808013916,2017-09-26
28.838613510131836,2017-09-27
28.722389221191406,2017-09-28
29.34223747253418,2017-09-29
28.838613510131836,2017-10-02
28.544185638427734,2017-10-03
28.33498764038086,2017-10-04
28.768882751464844,2017-10-05
29.047813415527344,2017-10-06
28.90835189819336,2017-10-09
29.29575538635254,2017-10-10
29.016813278198242,2017-10-11
28.79212760925293,2017-10-12
28.652650833129883,2017-10-13
28.70689582824707,2017-10-16
28.420215606689453,2017-10-17
28.807619094848633,2017-10-18
29.001323699951172,2017-10-19
29.698665618896484,2017-10-20
29.830371856689453,2017-10-23
29.729652404785156,2017-10-24
29.466217041015625,2017-10-25
29.83812141418457,2017-10-26
29.791635513305664,2017-10-27
29.504955291748047,2017-10-30
29.5905818939209,2017-10-31
29.870847702026367,2017-11-01
30.158899307250977,2017-11-02
30.221168518066406,2017-11-03
30.143320083618164,2017-11-06
29.325895309448242,2017-11-07
29.04564666748047,2017-11-08
28.65639305114746,2017-11-09
28.555192947387695,2017-11-10
28.960010528564453,2017-11-13
29.63730239868164,2017-11-14
29.691787719726562,2017-11-15
29.520524978637695,2017-11-16
29.71514892578125,2017-11-17
