ASML,Date
16.521318435668945,2002-04-05
16.04728889465332,2002-04-08
15.635991096496582,2002-04-09
16.1588191986084,2002-04-10
15.426864624023438,2002-04-11
15.649942398071289,2002-04-12
15.921808242797852,2002-04-15
16.925634384155273,2002-04-16
17.078996658325195,2002-04-17
16.737417221069336,2002-04-18
16.70952796936035,2002-04-19
16.144882202148438,2002-04-22
16.11699676513672,2002-04-23
16.11699676513672,2002-04-24
15.754505157470703,2002-04-25
15.266529083251953,2002-04-26
15.259559631347656,2002-04-29
15.566283226013184,2002-04-30
15.789359092712402,2002-05-01
14.66005802154541,2002-05-02
13.349503517150879,2002-05-03
13.321616172790527,2002-05-06
13.698051452636719,2002-05-07
15.412924766540527,2002-05-08
14.604287147521973,2002-05-09
13.774735450744629,2002-05-10
14.360299110412598,2002-05-13
14.938895225524902,2002-05-14
15.092259407043457,2002-05-15
15.238651275634766,2002-05-16
15.447778701782227,2002-05-17
15.12711238861084,2002-05-20
14.541545867919922,2002-05-21
14.395153999328613,2002-05-22
14.15117073059082,2002-05-23
13.600454330444336,2002-05-24
13.809591293334961,2002-05-28
13.119457244873047,2002-05-29
12.889415740966797,2002-05-30
12.924271583557129,2002-05-31
12.47812271118164,2002-06-03
12.67331314086914,2002-06-04
12.73604965209961,2002-06-05
12.338703155517578,2002-06-06
12.101690292358398,2002-06-07
11.885588645935059,2002-06-10
11.1187744140625,2002-06-11
10.937529563903809,2002-06-12
10.637775421142578,2002-06-13
10.651719093322754,2002-06-14
11.132718086242676,2002-06-17
10.812049865722656,2002-06-18
10.107977867126465,2002-06-19
9.738516807556152,2002-06-20
9.626976013183594,2002-06-21
9.829134941101074,2002-06-24
9.766397476196289,2002-06-25
9.92673110961914,2002-06-26
10.547151565551758,2002-06-27
10.540180206298828,2002-06-28
9.947644233703613,2002-07-01
9.410876274108887,2002-07-02
9.18780517578125,2002-07-03
10.7562837600708,2002-07-05
10.37984848022461,2002-07-08
9.738516807556152,2002-07-09
9.118096351623535,2002-07-10
9.654864311218262,2002-07-11
9.73154067993164,2002-07-12
10.066153526306152,2002-07-15
9.696683883666992,2002-07-16
10.519268035888672,2002-07-17
10.609891891479492,2002-07-18
10.212542533874512,2002-07-19
10.135863304138184,2002-07-22
9.139004707336426,2002-07-23
9.682745933532715,2002-07-24
7.66811990737915,2002-07-25
7.9051361083984375,2002-07-26
8.630121231079102,2002-07-29
8.895017623901367,2002-07-30
8.260659217834473,2002-07-31
7.702974319458008,2002-08-01
7.263801097869873,2002-08-02
6.936165809631348,2002-08-05
7.277743816375732,2002-08-06
7.117408752441406,2002-08-07
7.702974319458008,2002-08-08
7.493844985961914,2002-08-09
7.591441631317139,2002-08-12
7.012843608856201,2002-08-13
