RTX,Date
0.10450462251901627,1962-12-10
0.10450462251901627,1962-12-11
0.10450462251901627,1962-12-12
0.10349974781274796,1962-12-13
0.10349974781274796,1962-12-14
0.10048525035381317,1962-12-17
0.10174121707677841,1962-12-18
0.10174121707677841,1962-12-19
0.10349974781274796,1962-12-20
0.10349974781274796,1962-12-21
0.10425344854593277,1962-12-24
0.10349974781274796,1962-12-26
0.1032484918832779,1962-12-27
0.10299721360206604,1962-12-28
0.10425344854593277,1962-12-31
0.10299721360206604,1963-01-02
0.10425344854593277,1963-01-03
0.10475566983222961,1963-01-04
0.10450462251901627,1963-01-07
0.10651418566703796,1963-01-08
0.10400209575891495,1963-01-09
0.10375098139047623,1963-01-10
0.10726789385080338,1963-01-11
0.10626308619976044,1963-01-14
0.1067652702331543,1963-01-15
