IVZ,Date
3.7409701347351074,1996-03-05
3.7523081302642822,1996-03-06
3.7296335697174072,1996-03-07
3.695626735687256,1996-03-08
3.627607822418213,1996-03-11
3.559591054916382,1996-03-12
3.536918878555298,1996-03-13
3.536918878555298,1996-03-14
3.536918878555298,1996-03-15
3.559591054916382,1996-03-18
3.627607822418213,1996-03-19
3.695626735687256,1996-03-20
3.695626735687256,1996-03-21
3.6502792835235596,1996-03-22
3.627607822418213,1996-03-25
3.6502792835235596,1996-03-26
3.638944625854492,1996-03-27
3.627607822418213,1996-03-28
3.638944625854492,1996-03-29
3.582261800765991,1996-04-01
3.582261800765991,1996-04-02
3.627607822418213,1996-04-03
3.604935646057129,1996-04-04
3.593599319458008,1996-04-08
3.559591054916382,1996-04-09
3.536918878555298,1996-04-10
3.44622802734375,1996-04-11
3.400883197784424,1996-04-12
3.3895456790924072,1996-04-15
3.378211259841919,1996-04-16
3.400883197784424,1996-04-17
3.378211259841919,1996-04-18
3.332864284515381,1996-04-19
3.344200611114502,1996-04-22
3.378211259841919,1996-04-23
3.4235551357269287,1996-04-24
3.400883197784424,1996-04-25
3.434892177581787,1996-04-26
3.434892177581787,1996-04-29
3.355536937713623,1996-04-30
3.332864284515381,1996-05-01
3.355536937713623,1996-05-02
3.332864284515381,1996-05-03
3.332864284515381,1996-05-06
3.366872549057007,1996-05-07
3.310194253921509,1996-05-08
3.355536937713623,1996-05-09
3.378211259841919,1996-05-10
3.310194253921509,1996-05-13
3.310194253921509,1996-05-14
3.355536937713623,1996-05-15
3.355536937713623,1996-05-16
3.434892177581787,1996-05-17
3.5489163398742676,1996-05-20
3.5604405403137207,1996-05-21
3.5950071811676025,1996-05-22
3.571962833404541,1996-05-23
3.5373947620391846,1996-05-24
3.5143511295318604,1996-05-28
3.5258727073669434,1996-05-29
3.5258727073669434,1996-05-30
3.5258727073669434,1996-05-31
3.5258727073669434,1996-06-03
3.5258727073669434,1996-06-04
3.5950071811676025,1996-06-05
3.571962833404541,1996-06-06
3.5028276443481445,1996-06-07
3.479783535003662,1996-06-10
3.456739664077759,1996-06-11
3.479783535003662,1996-06-12
3.479783535003662,1996-06-13
3.479783535003662,1996-06-14
3.5258727073669434,1996-06-17
3.479783535003662,1996-06-18
3.479783535003662,1996-06-19
