CCEP,Date
29.026988983154297,2017-02-15
29.01881217956543,2017-02-16
28.977876663208008,2017-02-17
28.96969223022461,2017-02-21
29.133411407470703,2017-02-22
29.1415958404541,2017-02-23
28.609519958496094,2017-02-24
28.65044593811035,2017-02-27
28.396682739257812,2017-02-28
28.232969284057617,2017-03-01
28.323013305664062,2017-03-02
28.75686264038086,2017-03-03
28.601329803466797,2017-03-06
28.96969223022461,2017-03-07
29.04336929321289,2017-03-08
28.945138931274414,2017-03-09
29.207082748413086,2017-03-10
29.264373779296875,2017-03-13
29.01881217956543,2017-03-14
29.411724090576172,2017-03-15
29.632749557495117,2017-03-16
29.526325225830078,2017-03-17
29.477218627929688,2017-03-20
29.78009033203125,2017-03-21
30.213937759399414,2017-03-22
30.615053176879883,2017-03-23
30.852436065673828,2017-03-24
30.926101684570312,2017-03-27
31.040712356567383,2017-03-28
30.8196964263916,2017-03-29
30.860624313354492,2017-03-30
30.852436065673828,2017-03-31
30.713275909423828,2017-04-03
30.852436065673828,2017-04-04
30.6887264251709,2017-04-05
30.552021026611328,2017-04-06
30.461429595947266,2017-04-07
30.54378890991211,2017-04-10
30.642608642578125,2017-04-11
30.60143280029297,2017-04-12
30.757898330688477,2017-04-13
31.021411895751953,2017-04-17
31.38375473022461,2017-04-18
31.260236740112305,2017-04-19
31.029653549194336,2017-04-20
30.757898330688477,2017-04-21
31.37552261352539,2017-04-24
31.803739547729492,2017-04-25
31.49081802368164,2017-04-26
31.28493881225586,2017-04-27
31.803739547729492,2017-04-28
31.52375602722168,2017-05-01
31.367284774780273,2017-05-02
31.037885665893555,2017-05-03
32.240203857421875,2017-05-04
32.72606658935547,2017-05-05
33.0142936706543,2017-05-08
32.98135757446289,2017-05-09
32.98135757446289,2017-05-10
32.940185546875,2017-05-11
32.98135757446289,2017-05-12
33.23664855957031,2017-05-15
33.17076110839844,2017-05-16
33.12958526611328,2017-05-17
32.839698791503906,2017-05-18
33.419471740722656,2017-05-19
33.68450164794922,2017-05-22
33.9826774597168,2017-05-23
34.206302642822266,2017-05-24
34.07378387451172,2017-05-25
34.24770736694336,2017-05-26
33.94953918457031,2017-05-30
33.99095916748047,2017-05-31
34.040645599365234,2017-06-01
33.725921630859375,2017-06-02
34.148319244384766,2017-06-05
33.916412353515625,2017-06-06
33.90812683105469,2017-06-07
33.83359146118164,2017-06-08
33.593406677246094,2017-06-09
33.37805938720703,2017-06-12
33.26210021972656,2017-06-13
34.0903434753418,2017-06-14
33.90812683105469,2017-06-15
33.502296447753906,2017-06-16
33.73420333862305,2017-06-19
33.75076675415039,2017-06-20
33.57683563232422,2017-06-21
33.56855773925781,2017-06-22
33.643089294433594,2017-06-23
33.89984893798828,2017-06-26
33.81702423095703,2017-06-27
34.0903434753418,2017-06-28
33.593406677246094,2017-06-29
33.68450164794922,2017-06-30
33.54370880126953,2017-07-03
33.957820892333984,2017-07-05
33.36977767944336,2017-07-06
33.52714157104492,2017-07-07
34.040645599365234,2017-07-10
33.6016845703125,2017-07-11
34.70323944091797,2017-07-12
34.67839813232422,2017-07-13
35.18362045288086,2017-07-14
34.95171356201172,2017-07-17
34.86888885498047,2017-07-18
34.86060333251953,2017-07-19
34.79433822631836,2017-07-20
34.84403991699219,2017-07-21
35.200191497802734,2017-07-24
35.33270263671875,2017-07-25
35.68885040283203,2017-07-26
35.74681854248047,2017-07-27
35.84620666503906,2017-07-28
35.8047981262207,2017-07-31
36.02842330932617,2017-08-01
35.84620666503906,2017-08-02
36.003578186035156,2017-08-03
36.1940803527832,2017-08-04
36.0698356628418,2017-08-07
36.16094970703125,2017-08-08
35.6391487121582,2017-08-09
35.796512603759766,2017-08-10
36.23548889160156,2017-08-11
36.1278076171875,2017-08-14
36.22719955444336,2017-08-15
36.72414779663086,2017-08-16
36.003578186035156,2017-08-17
36.26033020019531,2017-08-18
36.003578186035156,2017-08-21
36.359718322753906,2017-08-22
36.07811737060547,2017-08-23
35.98649215698242,2017-08-24
35.68659973144531,2017-08-25
35.761566162109375,2017-08-28
35.761566162109375,2017-08-29
35.68659973144531,2017-08-30
35.81988525390625,2017-08-31
36.45298385620117,2017-09-01
36.37800598144531,2017-09-05
36.29470443725586,2017-09-06
35.86153030395508,2017-09-07
35.186790466308594,2017-09-08
35.47002029418945,2017-09-11
35.170127868652344,2017-09-12
34.470394134521484,2017-09-13
34.0455436706543,2017-09-14
34.55369186401367,2017-09-15
34.6619873046875,2017-09-18
34.3870964050293,2017-09-19
33.87061309814453,2017-09-20
33.945587158203125,2017-09-21
33.85395812988281,2017-09-22
33.66236877441406,2017-09-25
33.89561080932617,2017-09-26
34.120521545410156,2017-09-27
34.620338439941406,2017-09-28
34.67032241821289,2017-09-29
34.83692169189453,2017-10-02
34.487056732177734,2017-10-03
34.437068939208984,2017-10-04
34.30378341674805,2017-10-05
34.00389862060547,2017-10-06
34.237144470214844,2017-10-09
34.620338439941406,2017-10-10
34.87857437133789,2017-10-11
34.845252990722656,2017-10-12
34.89523696899414,2017-10-13
34.98686218261719,2017-10-16
34.903560638427734,2017-10-17
34.94520950317383,2017-10-18
34.9368782043457,2017-10-19
34.92854690551758,2017-10-20
34.77861022949219,2017-10-23
34.72862243652344,2017-10-24
34.29545211791992,2017-10-25
34.3870964050293,2017-10-26
34.02888488769531,2017-10-27
33.61237716674805,2017-10-30
34.03721618652344,2017-10-31
33.654029846191406,2017-11-01
32.99594497680664,2017-11-02
33.262508392333984,2017-11-03
33.20420455932617,2017-11-06
31.563146591186523,2017-11-07
32.929298400878906,2017-11-08
32.962623596191406,2017-11-09
32.9043083190918,2017-11-10
32.83766555786133,2017-11-13
32.77102279663086,2017-11-14
32.354522705078125,2017-11-15
32.12127685546875,2017-11-16
32.00392150878906,2017-11-17
32.20509338378906,2017-11-20
31.928478240966797,2017-11-21
32.347591400146484,2017-11-22
32.38951110839844,2017-11-24
32.5906867980957,2017-11-27
32.473331451416016,2017-11-28
32.12965393066406,2017-11-29
32.68288803100586,2017-11-30
33.319950103759766,2017-12-01
33.303184509277344,2017-12-04
32.95951461791992,2017-12-05
33.143924713134766,2017-12-06
32.95951461791992,2017-12-07
32.49848175048828,2017-12-08
32.93436813354492,2017-12-11
32.85053634643555,2017-12-12
32.632598876953125,2017-12-13
32.77509307861328,2017-12-14
32.85053634643555,2017-12-15
32.984657287597656,2017-12-18
33.00141906738281,2017-12-19
33.08525085449219,2017-12-20
33.00141906738281,2017-12-21
33.026573181152344,2017-12-22
32.93436813354492,2017-12-26
33.060096740722656,2017-12-27
32.92597961425781,2017-12-28
33.403778076171875,2017-12-29
33.286415100097656,2018-01-02
33.018184661865234,2018-01-03
33.27803039550781,2018-01-04
32.69965362548828,2018-01-05
32.8170051574707,2018-01-08
33.23612976074219,2018-01-09
32.52363204956055,2018-01-10
32.38112258911133,2018-01-11
32.5152473449707,2018-01-12
32.52363204956055,2018-01-16
33.143924713134766,2018-01-17
32.56553649902344,2018-01-18
33.22773742675781,2018-01-19
33.319950103759766,2018-01-22
33.00141906738281,2018-01-23
33.38700866699219,2018-01-24
34.174949645996094,2018-01-25
34.27553939819336,2018-01-26
34.00730514526367,2018-01-29
33.74745559692383,2018-01-30
33.663631439208984,2018-01-31
32.984657287597656,2018-02-01
32.10450744628906,2018-02-02
31.467445373535156,2018-02-05
31.425537109375,2018-02-06
31.97877311706543,2018-02-07
31.517738342285156,2018-02-08
31.190834045410156,2018-02-09
31.33332633972168,2018-02-12
31.350093841552734,2018-02-13
31.1992130279541,2018-02-14
32.632598876953125,2018-02-15
32.6661262512207,2018-02-16
32.28053665161133,2018-02-20
31.651859283447266,2018-02-21
31.76921272277832,2018-02-22
32.49009704589844,2018-02-23
32.45628356933594,2018-02-26
32.2449836730957,2018-02-27
