OKTA,Date
110.93000030517578,2019-05-17
108.87000274658203,2019-05-20
109.6500015258789,2019-05-21
109.69000244140625,2019-05-22
107.9800033569336,2019-05-23
109.62999725341797,2019-05-24
108.61000061035156,2019-05-28
105.48999786376953,2019-05-29
106.5999984741211,2019-05-30
113.22000122070312,2019-05-31
109.02999877929688,2019-06-03
113.98999786376953,2019-06-04
119.48999786376953,2019-06-05
123.56999969482422,2019-06-06
127.30999755859375,2019-06-07
129.9199981689453,2019-06-10
127.3499984741211,2019-06-11
129.61000061035156,2019-06-12
130.35000610351562,2019-06-13
128.9499969482422,2019-06-14
127.80000305175781,2019-06-17
128.72999572753906,2019-06-18
132.39999389648438,2019-06-19
133.3800048828125,2019-06-20
131.14999389648438,2019-06-21
125.0,2019-06-24
121.0,2019-06-25
119.72000122070312,2019-06-26
122.73999786376953,2019-06-27
123.51000213623047,2019-06-28
122.41999816894531,2019-07-01
125.9800033569336,2019-07-02
127.5,2019-07-03
127.70999908447266,2019-07-05
130.0800018310547,2019-07-08
133.89999389648438,2019-07-09
135.47999572753906,2019-07-10
136.61000061035156,2019-07-11
135.2899932861328,2019-07-12
138.07000732421875,2019-07-15
134.85000610351562,2019-07-16
138.02000427246094,2019-07-17
138.66000366210938,2019-07-18
136.19000244140625,2019-07-19
137.1199951171875,2019-07-22
135.63999938964844,2019-07-23
137.02000427246094,2019-07-24
136.6199951171875,2019-07-25
140.52999877929688,2019-07-26
132.6300048828125,2019-07-29
131.99000549316406,2019-07-30
130.8300018310547,2019-07-31
133.0800018310547,2019-08-01
132.57000732421875,2019-08-02
126.2699966430664,2019-08-05
129.92999267578125,2019-08-06
132.38999938964844,2019-08-07
136.1699981689453,2019-08-08
134.1999969482422,2019-08-09
130.5,2019-08-12
133.13999938964844,2019-08-13
126.87000274658203,2019-08-14
127.36000061035156,2019-08-15
128.17999267578125,2019-08-16
125.83999633789062,2019-08-19
131.74000549316406,2019-08-20
137.07000732421875,2019-08-21
