ADCT,Date
26.770000457763672,2021-09-10
27.030000686645508,2021-09-13
26.399999618530273,2021-09-14
26.559999465942383,2021-09-15
27.760000228881836,2021-09-16
28.860000610351562,2021-09-17
28.25,2021-09-20
28.139999389648438,2021-09-21
29.329999923706055,2021-09-22
29.0,2021-09-23
28.290000915527344,2021-09-24
29.690000534057617,2021-09-27
28.010000228881836,2021-09-28
26.84000015258789,2021-09-29
27.15999984741211,2021-09-30
26.399999618530273,2021-10-01
24.979999542236328,2021-10-04
24.459999084472656,2021-10-05
23.809999465942383,2021-10-06
23.31999969482422,2021-10-07
23.56999969482422,2021-10-08
24.440000534057617,2021-10-11
25.229999542236328,2021-10-12
25.030000686645508,2021-10-13
25.68000030517578,2021-10-14
25.469999313354492,2021-10-15
25.399999618530273,2021-10-18
25.59000015258789,2021-10-19
25.459999084472656,2021-10-20
26.420000076293945,2021-10-21
26.1200008392334,2021-10-22
26.959999084472656,2021-10-25
27.190000534057617,2021-10-26
28.0,2021-10-27
28.729999542236328,2021-10-28
28.989999771118164,2021-10-29
31.510000228881836,2021-11-01
29.18000030517578,2021-11-02
30.149999618530273,2021-11-03
29.520000457763672,2021-11-04
29.43000030517578,2021-11-05
29.0,2021-11-08
29.040000915527344,2021-11-09
28.56999969482422,2021-11-10
27.8799991607666,2021-11-11
26.459999084472656,2021-11-12
26.280000686645508,2021-11-15
25.899999618530273,2021-11-16
25.0,2021-11-17
24.549999237060547,2021-11-18
22.84000015258789,2021-11-19
21.959999084472656,2021-11-22
22.139999389648438,2021-11-23
22.639999389648438,2021-11-24
22.200000762939453,2021-11-26
21.770000457763672,2021-11-29
22.260000228881836,2021-11-30
21.850000381469727,2021-12-01
22.420000076293945,2021-12-02
21.459999084472656,2021-12-03
20.059999465942383,2021-12-06
21.329999923706055,2021-12-07
21.25,2021-12-08
20.399999618530273,2021-12-09
20.360000610351562,2021-12-10
20.260000228881836,2021-12-13
19.3799991607666,2021-12-14
19.940000534057617,2021-12-15
19.290000915527344,2021-12-16
19.899999618530273,2021-12-17
21.020000457763672,2021-12-20
20.350000381469727,2021-12-21
20.760000228881836,2021-12-22
21.260000228881836,2021-12-23
20.670000076293945,2021-12-27
20.309999465942383,2021-12-28
20.450000762939453,2021-12-29
20.81999969482422,2021-12-30
20.200000762939453,2021-12-31
19.690000534057617,2022-01-03
20.030000686645508,2022-01-04
19.59000015258789,2022-01-05
19.989999771118164,2022-01-06
19.799999237060547,2022-01-07
19.8799991607666,2022-01-10
19.989999771118164,2022-01-11
18.8799991607666,2022-01-12
18.989999771118164,2022-01-13
17.219999313354492,2022-01-14
16.940000534057617,2022-01-18
16.780000686645508,2022-01-19
15.6899995803833,2022-01-20
15.670000076293945,2022-01-21
15.449999809265137,2022-01-24
16.110000610351562,2022-01-25
15.739999771118164,2022-01-26
14.670000076293945,2022-01-27
14.949999809265137,2022-01-28
15.890000343322754,2022-01-31
16.649999618530273,2022-02-01
15.869999885559082,2022-02-02
15.75,2022-02-03
16.1299991607666,2022-02-04
16.3799991607666,2022-02-07
16.360000610351562,2022-02-08
17.389999389648438,2022-02-09
16.260000228881836,2022-02-10
15.289999961853027,2022-02-11
14.970000267028809,2022-02-14
15.569999694824219,2022-02-15
15.350000381469727,2022-02-16
15.359999656677246,2022-02-17
15.199999809265137,2022-02-18
15.5,2022-02-22
15.569999694824219,2022-02-23
16.420000076293945,2022-02-24
16.93000030517578,2022-02-25
16.700000762939453,2022-02-28
16.559999465942383,2022-03-01
16.219999313354492,2022-03-02
14.770000457763672,2022-03-03
14.079999923706055,2022-03-04
14.0,2022-03-07
13.920000076293945,2022-03-08
14.699999809265137,2022-03-09
14.289999961853027,2022-03-10
14.020000457763672,2022-03-11
13.539999961853027,2022-03-14
13.619999885559082,2022-03-15
13.899999618530273,2022-03-16
14.630000114440918,2022-03-17
14.25,2022-03-18
13.279999732971191,2022-03-21
13.979999542236328,2022-03-22
13.579999923706055,2022-03-23
13.529999732971191,2022-03-24
13.3100004196167,2022-03-25
14.270000457763672,2022-03-28
14.489999771118164,2022-03-29
14.779999732971191,2022-03-30
14.6899995803833,2022-03-31
14.829999923706055,2022-04-01
14.989999771118164,2022-04-04
14.729999542236328,2022-04-05
14.470000267028809,2022-04-06
14.260000228881836,2022-04-07
13.84000015258789,2022-04-08
13.149999618530273,2022-04-11
14.010000228881836,2022-04-12
14.520000457763672,2022-04-13
14.1899995803833,2022-04-14
13.470000267028809,2022-04-18
13.220000267028809,2022-04-19
13.029999732971191,2022-04-20
12.699999809265137,2022-04-21
12.640000343322754,2022-04-22
12.630000114440918,2022-04-25
11.630000114440918,2022-04-26
11.720000267028809,2022-04-27
11.680000305175781,2022-04-28
11.770000457763672,2022-04-29
11.920000076293945,2022-05-02
12.0,2022-05-03
12.260000228881836,2022-05-04
11.319999694824219,2022-05-05
10.949999809265137,2022-05-06
7.809999942779541,2022-05-09
7.889999866485596,2022-05-10
6.929999828338623,2022-05-11
6.96999979019165,2022-05-12
7.389999866485596,2022-05-13
7.139999866485596,2022-05-16
6.760000228881836,2022-05-17
6.449999809265137,2022-05-18
7.010000228881836,2022-05-19
7.050000190734863,2022-05-20
7.510000228881836,2022-05-23
7.050000190734863,2022-05-24
7.159999847412109,2022-05-25
7.260000228881836,2022-05-26
7.389999866485596,2022-05-27
6.840000152587891,2022-05-31
6.550000190734863,2022-06-01
6.820000171661377,2022-06-02
7.199999809265137,2022-06-03
7.019999980926514,2022-06-06
7.230000019073486,2022-06-07
7.21999979019165,2022-06-08
7.0,2022-06-09
6.670000076293945,2022-06-10
6.300000190734863,2022-06-13
6.070000171661377,2022-06-14
6.050000190734863,2022-06-15
5.960000038146973,2022-06-16
6.349999904632568,2022-06-17
6.78000020980835,2022-06-21
6.559999942779541,2022-06-22
6.880000114440918,2022-06-23
7.889999866485596,2022-06-24
8.020000457763672,2022-06-27
7.739999771118164,2022-06-28
7.789999961853027,2022-06-29
7.949999809265137,2022-06-30
8.539999961853027,2022-07-01
8.850000381469727,2022-07-05
8.9399995803833,2022-07-06
9.15999984741211,2022-07-07
10.3100004196167,2022-07-08
9.40999984741211,2022-07-11
9.109999656677246,2022-07-12
8.9399995803833,2022-07-13
8.40999984741211,2022-07-14
8.100000381469727,2022-07-15
7.769999980926514,2022-07-18
7.590000152587891,2022-07-19
7.610000133514404,2022-07-20
7.559999942779541,2022-07-21
7.360000133514404,2022-07-22
