CIEN,Date
52.5,1999-01-08
53.375,1999-01-11
51.1875,1999-01-12
60.8125,1999-01-13
65.40625,1999-01-14
66.28125,1999-01-15
66.5,1999-01-19
66.9375,1999-01-20
64.3125,1999-01-21
78.96875,1999-01-22
70.65625,1999-01-25
70.21875,1999-01-26
67.15625,1999-01-27
74.59375,1999-01-28
70.65625,1999-01-29
71.96875,1999-02-01
74.59375,1999-02-02
80.9375,1999-02-03
88.59375,1999-02-04
84.4375,1999-02-05
81.375,1999-02-08
75.25,1999-02-09
74.375,1999-02-10
77.875,1999-02-11
77.4375,1999-02-12
75.25,1999-02-16
78.09375,1999-02-17
73.0625,1999-02-18
78.53125,1999-02-19
78.96875,1999-02-22
86.1875,1999-02-23
95.375,1999-02-24
99.09375,1999-02-25
97.5625,1999-02-26
93.84375,1999-03-01
87.5,1999-03-02
84.875,1999-03-03
88.15625,1999-03-04
88.375,1999-03-05
88.375,1999-03-08
87.5,1999-03-09
87.71875,1999-03-10
98.0,1999-03-11
93.84375,1999-03-12
86.625,1999-03-15
82.90625,1999-03-16
78.96875,1999-03-17
82.90625,1999-03-18
83.125,1999-03-19
82.46875,1999-03-22
77.875,1999-03-23
83.5625,1999-03-24
80.9375,1999-03-25
80.9375,1999-03-26
82.6875,1999-03-29
83.125,1999-03-30
78.75,1999-03-31
80.71875,1999-04-01
74.59375,1999-04-05
66.28125,1999-04-06
68.90625,1999-04-07
66.5,1999-04-08
60.375,1999-04-09
61.46875,1999-04-12
69.5625,1999-04-13
72.84375,1999-04-14
73.71875,1999-04-15
70.875,1999-04-16
63.21875,1999-04-19
66.0625,1999-04-20
66.0625,1999-04-21
73.5,1999-04-22
73.0625,1999-04-23
82.6875,1999-04-26
80.71875,1999-04-27
78.96875,1999-04-28
75.6875,1999-04-29
82.25,1999-04-30
81.15625,1999-05-03
81.8125,1999-05-04
92.09375,1999-05-05
89.25,1999-05-06
87.5,1999-05-07
84.65625,1999-05-10
86.625,1999-05-11
87.0625,1999-05-12
87.9375,1999-05-13
84.875,1999-05-14
92.96875,1999-05-17
96.46875,1999-05-18
100.1875,1999-05-19
92.3125,1999-05-20
105.21875,1999-05-21
96.90625,1999-05-24
98.4375,1999-05-25
99.96875,1999-05-26
100.84375,1999-05-27
100.625,1999-05-28
95.375,1999-06-01
96.90625,1999-06-02
96.6875,1999-06-03
103.03125,1999-06-04
117.6875,1999-06-07
112.65625,1999-06-08
109.8125,1999-06-09
112.0,1999-06-10
106.3125,1999-06-11
98.0,1999-06-14
96.6875,1999-06-15
103.6875,1999-06-16
106.3125,1999-06-17
108.0625,1999-06-18
110.6875,1999-06-21
106.75,1999-06-22
116.59375,1999-06-23
115.28125,1999-06-24
105.21875,1999-06-25
104.5625,1999-06-28
108.0625,1999-06-29
105.65625,1999-06-30
103.6875,1999-07-01
108.5,1999-07-02
107.625,1999-07-06
116.375,1999-07-07
122.28125,1999-07-08
119.21875,1999-07-09
118.78125,1999-07-12
118.78125,1999-07-13
118.125,1999-07-14
123.703125,1999-07-15
129.9375,1999-07-16
126.65625,1999-07-19
123.59375,1999-07-20
121.625,1999-07-21
117.46875,1999-07-22
118.125,1999-07-23
111.5625,1999-07-26
115.9375,1999-07-27
116.8125,1999-07-28
120.09375,1999-07-29
118.125,1999-07-30
113.3125,1999-08-02
110.6875,1999-08-03
111.78125,1999-08-04
113.3125,1999-08-05
110.46875,1999-08-06
112.0,1999-08-09
106.53125,1999-08-10
115.5,1999-08-11
112.4375,1999-08-12
119.0,1999-08-13
116.15625,1999-08-16
123.59375,1999-08-17
120.75,1999-08-18
118.78125,1999-08-19
112.875,1999-08-20
113.09375,1999-08-23
112.4375,1999-08-24
120.09375,1999-08-25
128.625,1999-08-26
127.3125,1999-08-27
124.46875,1999-08-30
122.9375,1999-08-31
124.03125,1999-09-01
122.0625,1999-09-02
128.84375,1999-09-03
126.65625,1999-09-07
134.09375,1999-09-08
141.75,1999-09-09
139.125,1999-09-10
137.59375,1999-09-13
139.34375,1999-09-14
131.25,1999-09-15
137.59375,1999-09-16
149.1875,1999-09-17
147.0,1999-09-20
139.5625,1999-09-21
144.15625,1999-09-22
136.5,1999-09-23
134.203125,1999-09-24
128.40625,1999-09-27
121.1875,1999-09-28
117.90625,1999-09-29
127.75,1999-09-30
123.8125,1999-10-01
118.125,1999-10-04
121.84375,1999-10-05
125.34375,1999-10-06
124.25,1999-10-07
128.734375,1999-10-08
132.5625,1999-10-11
127.75,1999-10-12
124.46875,1999-10-13
111.34375,1999-10-14
115.71875,1999-10-15
107.1875,1999-10-18
104.34375,1999-10-19
116.59375,1999-10-20
118.34375,1999-10-21
120.3125,1999-10-22
117.90625,1999-10-25
114.84375,1999-10-26
117.46875,1999-10-27
116.15625,1999-10-28
123.375,1999-10-29
120.96875,1999-11-01
119.875,1999-11-02
140.0,1999-11-03
159.6875,1999-11-04
153.125,1999-11-05
156.40625,1999-11-08
153.34375,1999-11-09
152.25,1999-11-10
173.03125,1999-11-11
170.84375,1999-11-12
178.5,1999-11-15
185.71875,1999-11-16
182.0,1999-11-17
173.46875,1999-11-18
186.8125,1999-11-19
175.875,1999-11-22
158.15625,1999-11-23
168.21875,1999-11-24
167.78125,1999-11-26
159.90625,1999-11-29
153.78125,1999-11-30
152.90625,1999-12-01
158.375,1999-12-02
166.46875,1999-12-03
169.96875,1999-12-06
210.21875,1999-12-07
209.5625,1999-12-08
215.46875,1999-12-09
251.5625,1999-12-10
251.5625,1999-12-13
242.375,1999-12-14
238.65625,1999-12-15
224.21875,1999-12-16
222.25,1999-12-17
213.0625,1999-12-20
216.5625,1999-12-21
210.0,1999-12-22
203.0,1999-12-23
192.28125,1999-12-27
193.375,1999-12-28
206.5,1999-12-29
197.75,1999-12-30
201.25,1999-12-31
194.6875,2000-01-03
186.15625,2000-01-04
174.125,2000-01-05
160.5625,2000-01-06
202.125,2000-01-07
225.3125,2000-01-10
211.3125,2000-01-11
207.375,2000-01-12
218.75,2000-01-13
233.84375,2000-01-14
243.90625,2000-01-18
238.875,2000-01-19
257.03125,2000-01-20
258.34375,2000-01-21
269.0625,2000-01-24
259.0,2000-01-25
238.4375,2000-01-26
247.40625,2000-01-27
231.4375,2000-01-28
229.6875,2000-01-31
242.375,2000-02-01
259.4375,2000-02-02
264.03125,2000-02-03
264.46875,2000-02-04
282.84375,2000-02-07
301.875,2000-02-08
292.90625,2000-02-09
346.5,2000-02-10
339.5,2000-02-11
349.34375,2000-02-14
348.90625,2000-02-15
411.90625,2000-02-16
397.46875,2000-02-17
403.59375,2000-02-18
416.71875,2000-02-22
408.84375,2000-02-23
436.40625,2000-02-24
474.6875,2000-02-25
522.59375,2000-02-28
559.34375,2000-02-29
619.5,2000-03-01
551.25,2000-03-02
592.59375,2000-03-03
616.65625,2000-03-06
591.5,2000-03-07
537.6875,2000-03-08
587.78125,2000-03-09
570.0625,2000-03-10
514.9375,2000-03-13
469.0,2000-03-14
438.59375,2000-03-15
467.1953125,2000-03-16
499.1875,2000-03-17
459.59375,2000-03-20
492.40625,2000-03-21
526.96875,2000-03-22
541.40625,2000-03-23
568.3125,2000-03-24
551.03125,2000-03-27
515.15625,2000-03-28
454.34375,2000-03-29
452.375,2000-03-30
441.4375,2000-03-31
398.5625,2000-04-03
357.4375,2000-04-04
346.9375,2000-04-05
411.03125,2000-04-06
463.75,2000-04-07
395.5,2000-04-10
371.65625,2000-04-11
338.1875,2000-04-12
350.0,2000-04-13
308.0,2000-04-14
325.9375,2000-04-17
364.875,2000-04-18
350.21875,2000-04-19
339.5,2000-04-20
316.75,2000-04-24
370.5625,2000-04-25
404.46875,2000-04-26
435.53125,2000-04-27
432.6875,2000-04-28
490.21875,2000-05-01
449.09375,2000-05-02
444.3359375,2000-05-03
464.1875,2000-05-04
481.46875,2000-05-05
437.9375,2000-05-08
421.53125,2000-05-09
453.03125,2000-05-10
453.03125,2000-05-11
480.375,2000-05-12
495.03125,2000-05-15
534.40625,2000-05-16
504.4375,2000-05-17
480.59375,2000-05-18
407.75,2000-05-19
377.5625,2000-05-22
349.125,2000-05-23
341.90625,2000-05-24
365.75,2000-05-25
348.90625,2000-05-26
425.25,2000-05-30
418.90625,2000-05-31
455.65625,2000-06-01
484.09375,2000-06-02
467.6875,2000-06-05
482.5625,2000-06-06
460.03125,2000-06-07
472.9375,2000-06-08
489.5625,2000-06-09
487.8125,2000-06-12
507.28125,2000-06-13
505.53125,2000-06-14
509.25,2000-06-15
508.375,2000-06-16
546.0,2000-06-19
538.5625,2000-06-20
553.0,2000-06-21
550.15625,2000-06-22
509.03125,2000-06-23
550.15625,2000-06-26
549.71875,2000-06-27
570.28125,2000-06-28
570.5,2000-06-29
583.40625,2000-06-30
598.5,2000-07-03
576.84375,2000-07-05
574.21875,2000-07-06
601.5625,2000-07-07
608.125,2000-07-10
585.8125,2000-07-11
564.8125,2000-07-12
581.0,2000-07-13
569.1875,2000-07-14
563.5,2000-07-17
549.28125,2000-07-18
533.09375,2000-07-19
573.78125,2000-07-20
545.5625,2000-07-21
567.21875,2000-07-24
567.21875,2000-07-25
584.71875,2000-07-26
527.1875,2000-07-27
470.53125,2000-07-28
497.4375,2000-07-31
502.25,2000-08-01
482.78125,2000-08-02
496.78125,2000-08-03
520.40625,2000-08-04
518.4375,2000-08-07
520.40625,2000-08-08
546.4375,2000-08-09
526.09375,2000-08-10
546.4375,2000-08-11
572.90625,2000-08-14
595.0,2000-08-15
571.375,2000-08-16
627.15625,2000-08-17
618.40625,2000-08-18
637.21875,2000-08-21
669.8125,2000-08-22
679.875,2000-08-23
703.71875,2000-08-24
692.78125,2000-08-25
733.03125,2000-08-28
741.78125,2000-08-29
735.4375,2000-08-30
775.90625,2000-08-31
805.4375,2000-09-01
757.1484375,2000-09-05
729.53125,2000-09-06
752.5,2000-09-07
698.6875,2000-09-08
644.0,2000-09-11
626.5,2000-09-12
678.5625,2000-09-13
728.875,2000-09-14
750.53125,2000-09-15
724.5,2000-09-18
775.25,2000-09-19
817.25,2000-09-20
799.75,2000-09-21
845.25,2000-09-22
892.9375,2000-09-25
889.875,2000-09-26
861.875,2000-09-27
910.0,2000-09-28
859.6875,2000-09-29
849.625,2000-10-02
770.875,2000-10-03
801.0625,2000-10-04
820.3125,2000-10-05
773.9375,2000-10-06
772.1875,2000-10-09
802.703125,2000-10-10
784.0,2000-10-11
794.171875,2000-10-12
895.125,2000-10-13
946.203125,2000-10-16
910.0,2000-10-17
868.4375,2000-10-18
979.234375,2000-10-19
1046.5,2000-10-20
994.875,2000-10-23
947.625,2000-10-24
758.625,2000-10-25
721.0,2000-10-26
730.625,2000-10-27
634.8125,2000-10-30
735.875,2000-10-31
745.0625,2000-11-01
764.3125,2000-11-02
793.1875,2000-11-03
728.0,2000-11-06
723.1875,2000-11-07
629.5625,2000-11-08
629.125,2000-11-09
633.9375,2000-11-10
635.6875,2000-11-13
728.0,2000-11-14
703.0625,2000-11-15
683.8125,2000-11-16
731.0625,2000-11-17
629.5625,2000-11-20
673.75,2000-11-21
652.75,2000-11-22
715.75,2000-11-24
682.0625,2000-11-27
588.0,2000-11-28
511.0,2000-11-29
531.5625,2000-11-30
538.5625,2000-12-01
561.3125,2000-12-04
698.6875,2000-12-05
667.625,2000-12-06
669.375,2000-12-07
770.0,2000-12-08
822.5,2000-12-11
812.546875,2000-12-12
732.375,2000-12-13
678.5625,2000-12-14
705.140625,2000-12-15
674.625,2000-12-18
512.3125,2000-12-19
446.6875,2000-12-20
419.125,2000-12-21
539.0,2000-12-22
519.3125,2000-12-26
559.125,2000-12-27
595.4375,2000-12-28
568.75,2000-12-29
461.125,2001-01-02
594.5625,2001-01-03
577.0625,2001-01-04
518.0,2001-01-05
524.125,2001-01-08
501.375,2001-01-09
552.5625,2001-01-10
584.5,2001-01-11
622.125,2001-01-12
630.4375,2001-01-16
679.4375,2001-01-17
717.0625,2001-01-18
733.6875,2001-01-19
706.125,2001-01-22
718.703125,2001-01-23
714.0,2001-01-24
630.4375,2001-01-25
633.9375,2001-01-26
658.875,2001-01-29
686.0,2001-01-30
630.4375,2001-01-31
617.3125,2001-02-01
586.25,2001-02-02
591.5,2001-02-05
578.8125,2001-02-06
573.125,2001-02-07
580.5625,2001-02-08
559.125,2001-02-09
515.375,2001-02-12
484.3125,2001-02-13
537.6875,2001-02-14
623.0,2001-02-15
578.375,2001-02-16
541.1875,2001-02-20
501.375,2001-02-21
483.875,2001-02-22
521.5,2001-02-23
540.75,2001-02-26
488.25,2001-02-27
470.3125,2001-02-28
518.0,2001-03-01
463.3125,2001-03-02
489.125,2001-03-05
523.25,2001-03-06
527.1875,2001-03-07
501.375,2001-03-08
455.875,2001-03-09
373.1875,2001-03-12
403.375,2001-03-13
373.625,2001-03-14
383.25,2001-03-15
369.6875,2001-03-16
367.0625,2001-03-19
335.125,2001-03-20
354.8125,2001-03-21
410.375,2001-03-22
395.5,2001-03-23
396.375,2001-03-26
376.6875,2001-03-27
327.359375,2001-03-28
288.3125,2001-03-29
292.25,2001-03-30
297.0625,2001-04-02
249.8125,2001-04-03
245.0,2001-04-04
270.8125,2001-04-05
239.75,2001-04-06
257.17999267578125,2001-04-09
313.95001220703125,2001-04-10
342.510009765625,2001-04-11
391.8599853515625,2001-04-12
360.57000732421875,2001-04-16
371.6300048828125,2001-04-17
406.4200134277344,2001-04-18
471.1000061035156,2001-04-19
469.6300048828125,2001-04-20
417.760009765625,2001-04-23
396.69000244140625,2001-04-24
402.7799987792969,2001-04-25
365.04998779296875,2001-04-26
352.0299987792969,2001-04-27
385.4200134277344,2001-04-30
410.20001220703125,2001-05-01
421.19000244140625,2001-05-02
382.6199951171875,2001-05-03
379.75,2001-05-04
386.9599914550781,2001-05-07
431.20001220703125,2001-05-08
423.8500061035156,2001-05-09
402.57000732421875,2001-05-10
411.1099853515625,2001-05-11
419.6499938964844,2001-05-14
388.0799865722656,2001-05-15
412.29998779296875,2001-05-16
397.25,2001-05-17
401.45001220703125,2001-05-18
425.5299987792969,2001-05-21
450.1000061035156,2001-05-22
436.79998779296875,2001-05-23
441.7699890136719,2001-05-24
422.3800048828125,2001-05-25
399.07000732421875,2001-05-29
365.3299865722656,2001-05-30
379.04998779296875,2001-05-31
383.6700134277344,2001-06-01
383.1099853515625,2001-06-04
416.989990234375,2001-06-05
416.3599853515625,2001-06-06
432.8800048828125,2001-06-07
392.9800109863281,2001-06-08
370.92999267578125,2001-06-11
371.1400146484375,2001-06-12
340.8999938964844,2001-06-13
312.69000244140625,2001-06-14
280.9800109863281,2001-06-15
272.0199890136719,2001-06-18
257.17999267578125,2001-06-19
262.2200012207031,2001-06-20
274.67999267578125,2001-06-21
290.5,2001-06-22
282.6600036621094,2001-06-25
279.29998779296875,2001-06-26
273.6300048828125,2001-06-27
252.35000610351562,2001-06-28
266.0,2001-06-29
256.4100036621094,2001-07-02
259.2099914550781,2001-07-03
241.77999877929688,2001-07-05
216.92999267578125,2001-07-06
225.67999267578125,2001-07-09
205.24000549316406,2001-07-10
217.4199981689453,2001-07-11
249.33999633789062,2001-07-12
239.47000122070312,2001-07-13
227.00999450683594,2001-07-16
237.3699951171875,2001-07-17
221.97000122070312,2001-07-18
226.10000610351562,2001-07-19
212.4499969482422,2001-07-20
211.75,2001-07-23
216.92999267578125,2001-07-24
206.14999389648438,2001-07-25
220.14999389648438,2001-07-26
222.9499969482422,2001-07-27
218.9600067138672,2001-07-30
231.97999572753906,2001-07-31
249.5500030517578,2001-08-01
240.30999755859375,2001-08-02
244.16000366210938,2001-08-03
237.44000244140625,2001-08-06
240.8000030517578,2001-08-07
216.16000366210938,2001-08-08
216.16000366210938,2001-08-09
210.13999938964844,2001-08-10
216.92999267578125,2001-08-13
205.8000030517578,2001-08-14
196.83999633789062,2001-08-15
137.33999633789062,2001-08-16
131.4600067138672,2001-08-17
126.62999725341797,2001-08-20
119.3499984741211,2001-08-21
122.08000183105469,2001-08-22
124.5999984741211,2001-08-23
128.8000030517578,2001-08-24
129.14999389648438,2001-08-27
127.88999938964844,2001-08-28
129.77999877929688,2001-08-29
122.77999877929688,2001-08-30
119.83999633789062,2001-08-31
105.3499984741211,2001-09-04
98.06999969482422,2001-09-05
101.1500015258789,2001-09-06
99.05000305175781,2001-09-07
93.87000274658203,2001-09-10
90.86000061035156,2001-09-17
80.43000030517578,2001-09-18
81.76000213623047,2001-09-19
84.3499984741211,2001-09-20
73.77999877929688,2001-09-21
79.66000366210938,2001-09-24
76.72000122070312,2001-09-25
72.0999984741211,2001-09-26
69.37000274658203,2001-09-27
72.02999877929688,2001-09-28
68.73999786376953,2001-10-01
