AGNC,Date
4.332549571990967,2009-11-25
4.297666072845459,2009-11-27
4.397339820861816,2009-11-30
4.4023237228393555,2009-12-01
4.413952827453613,2009-12-02
4.382386684417725,2009-12-03
4.36743688583374,2009-12-04
4.407306671142578,2009-12-07
4.43056583404541,2009-12-08
4.4222588539123535,2009-12-09
4.43056583404541,2009-12-10
4.45548152923584,2009-12-11
4.506982326507568,2009-12-14
4.433886528015137,2009-12-15
4.407306671142578,2009-12-16
4.448837757110596,2009-12-17
4.510304927825928,2009-12-18
4.636560440063477,2009-12-21
4.674770355224609,2009-12-22
4.703011512756348,2009-12-23
4.706332683563232,2009-12-24
4.732912063598633,2009-12-28
4.732912063598633,2009-12-29
4.682246685028076,2009-12-30
4.636820316314697,2009-12-31
4.66652250289917,2010-01-04
4.650795936584473,2010-01-05
4.5948896408081055,2010-01-06
4.5721755027771,2010-01-07
4.629832744598389,2010-01-08
4.7136945724487305,2010-01-11
4.696223258972168,2010-01-12
4.690979957580566,2010-01-13
4.656041622161865,2010-01-14
4.603626251220703,2010-01-15
4.605371952056885,2010-01-19
4.591396331787109,2010-01-20
4.537236213684082,2010-01-21
4.563442230224609,2010-01-22
4.593143939971924,2010-01-25
4.573925495147705,2010-01-26
4.619351863861084,2010-01-27
4.657785892486572,2010-01-28
4.663027763366699,2010-01-29
4.598387241363525,2010-02-01
4.657785892486572,2010-02-02
4.718935966491699,2010-02-03
4.64031457901001,2010-02-04
4.66127872467041,2010-02-05
4.755626201629639,2010-02-08
4.706703186035156,2010-02-09
4.6176018714904785,2010-02-10
4.479582786560059,2010-02-11
4.430662155151367,2010-02-12
4.467352390289307,2010-02-16
4.3572821617126465,2010-02-17
4.37300968170166,2010-02-18
4.332825660705566,2010-02-19
4.346800804138184,2010-02-22
4.360778331756592,2010-02-23
4.367766857147217,2010-02-24
4.325835704803467,2010-02-25
4.423674583435059,2010-02-26
4.558198928833008,2010-03-01
4.628086090087891,2010-03-02
4.643810272216797,2010-03-03
4.699716567993164,2010-03-04
4.788818836212158,2010-03-05
4.708450794219971,2010-03-08
4.656041622161865,2010-03-09
4.659532070159912,2010-03-10
4.614109992980957,2010-03-11
4.603626251220703,2010-03-12
4.677004814147949,2010-03-15
4.77134895324707,2010-03-16
4.928588390350342,2010-03-17
4.893645286560059,2010-03-18
4.8569560050964355,2010-03-19
4.960038661956787,2010-03-22
4.909369945526123,2010-03-23
4.9128618240356445,2010-03-24
4.914610862731934,2010-03-25
4.8394880294799805,2010-03-26
4.787964820861816,2010-03-29
4.7346014976501465,2010-03-30
4.710679531097412,2010-03-31
4.806364059448242,2010-04-01
4.806364059448242,2010-04-05
4.832126617431641,2010-04-06
4.845005035400391,2010-04-07
4.833966255187988,2010-04-08
4.832126617431641,2010-04-09
4.804523944854736,2010-04-12
4.854206562042236,2010-04-13
4.837646007537842,2010-04-14
4.799002647399902,2010-04-15
4.808204650878906,2010-04-16
4.8026838302612305,2010-04-19
4.8560471534729,2010-04-20
4.892848491668701,2010-04-21
4.909411907196045,2010-04-22
4.968293190002441,2010-04-23
5.005097389221191,2010-04-26
5.032699108123779,2010-04-27
5.084219455718994,2010-04-28
5.14678430557251,2010-04-29
5.062139511108398,2010-04-30
5.113659858703613,2010-05-03
5.047417163848877,2010-05-04
4.971975803375244,2010-05-05
4.771399974822998,2010-05-06
4.881809234619141,2010-05-07
5.060299873352051,2010-05-10
5.086061954498291,2010-05-11
5.137584686279297,2010-05-12
5.067660331726074,2010-05-13
4.701479434967041,2010-05-14
4.756680488586426,2010-05-17
4.725399971008301,2010-05-18
4.668356895446777,2010-05-19
4.583712577819824,2010-05-20
4.684919357299805,2010-05-21
4.701479434967041,2010-05-24
4.677556991577148,2010-05-25
4.662835597991943,2010-05-26
4.723557472229004,2010-05-27
4.832126617431641,2010-05-28
4.892848491668701,2010-06-01
4.999574184417725,2010-06-02
4.929651260375977,2010-06-03
4.876288890838623,2010-06-04
4.8652496337890625,2010-06-07
4.891007900238037,2010-06-08
4.90756893157959,2010-06-09
5.005097389221191,2010-06-10
5.091579914093018,2010-06-11
5.14862060546875,2010-06-14
5.14862060546875,2010-06-15
5.172544956207275,2010-06-16
5.213028907775879,2010-06-17
5.207508087158203,2010-06-18
5.238788604736328,2010-06-21
5.213028907775879,2010-06-22
5.229588985443115,2010-06-23
5.233269691467285,2010-06-24
5.330796241760254,2010-06-25
5.214781284332275,2010-06-28
5.141305923461914,2010-06-29
5.108438968658447,2010-06-30
4.982754707336426,2010-07-01
4.969220161437988,2010-07-02
5.021427631378174,2010-07-06
5.187713146209717,2010-07-07
5.286324501037598,2010-07-08
5.30565881729126,2010-07-09
5.3404622077941895,2010-07-12
5.398470878601074,2010-07-13
5.259255409240723,2010-07-14
5.228316783905029,2010-07-15
5.214781284332275,2010-07-16
5.207046985626221,2010-07-19
5.323062896728516,2010-07-20
5.268920421600342,2010-07-21
5.301791667938232,2010-07-22
5.379134654998779,2010-07-23
5.442941665649414,2010-07-26
5.4332709312438965,2010-07-27
5.421669960021973,2010-07-28
5.274723529815674,2010-07-29
5.321128845214844,2010-07-30
5.359799861907959,2010-08-02
5.3849334716796875,2010-08-03
5.40813684463501,2010-08-04
5.379134654998779,2010-08-05
5.42940616607666,2010-08-06
5.49514627456665,2010-08-09
5.462273597717285,2010-08-10
5.4390740394592285,2010-08-11
5.386867523193359,2010-08-12
5.290189266204834,2010-08-13
5.30565881729126,2010-08-16
5.259255409240723,2010-08-17
5.259255409240723,2010-08-18
5.220582485198975,2010-08-19
5.216716289520264,2010-08-20
5.274723529815674,2010-08-23
5.307590484619141,2010-08-24
5.292123317718506,2010-08-25
5.236051559448242,2010-08-26
5.288259029388428,2010-08-27
5.245719909667969,2010-08-30
5.2669901847839355,2010-08-31
5.379134654998779,2010-09-01
5.468076705932617,2010-09-02
5.485478401184082,2010-09-03
5.500948905944824,2010-09-07
5.489345073699951,2010-09-08
5.423603534698486,2010-09-09
5.446808815002441,2010-09-10
5.458410263061523,2010-09-13
5.481613636016846,2010-09-14
5.568620204925537,2010-09-15
5.636294841766357,2010-09-16
5.727176189422607,2010-09-17
5.800645351409912,2010-09-20
5.715569972991943,2010-09-21
5.680769443511963,2010-09-22
5.659499168395996,2010-09-23
5.7244791984558105,2010-09-24
5.683866024017334,2010-09-27
5.460491180419922,2010-09-28
5.452367782592773,2010-09-29
5.395508289337158,2010-09-30
5.4787678718566895,2010-10-01
5.47267484664917,2010-10-04
5.484860897064209,2010-10-05
5.545781135559082,2010-10-06
5.533596038818359,2010-10-07
5.5762410163879395,2010-10-08
5.627009391784668,2010-10-11
5.679807186126709,2010-10-12
5.641220569610596,2010-10-13
5.6148247718811035,2010-10-14
5.606698989868164,2010-10-15
5.6554388999938965,2010-10-18
5.661529064178467,2010-10-19
5.675741672515869,2010-10-20
5.677774906158447,2010-10-21
5.665588855743408,2010-10-22
5.651376724243164,2010-10-25
5.651376724243164,2010-10-26
5.750878810882568,2010-10-27
5.830075740814209,2010-10-28
5.815860748291016,2010-10-29
5.767124652862549,2010-11-01
5.840231418609619,2010-11-02
5.86865758895874,2010-11-03
5.951915740966797,2010-11-04
5.976282119750977,2010-11-05
5.964101791381836,2010-11-08
5.92551851272583,2010-11-09
5.939731121063232,2010-11-10
5.962067604064941,2010-11-11
5.761031150817871,2010-11-12
5.834137439727783,2010-11-15
5.775247097015381,2010-11-16
5.781338691711426,2010-11-17
5.779308795928955,2010-11-18
5.809768199920654,2010-11-19
5.8625640869140625,2010-11-22
5.874749660491943,2010-11-23
5.947852611541748,2010-11-24
5.94988489151001,2010-11-26
5.9742512702941895,2010-11-29
5.951915740966797,2010-11-30
5.976282119750977,2010-12-01
5.976282119750977,2010-12-02
5.984405040740967,2010-12-03
5.990495681762695,2010-12-06
6.033143520355225,2010-12-07
5.992529392242432,2010-12-08
5.815860748291016,2010-12-09
5.951915740966797,2010-12-10
6.029078006744385,2010-12-13
5.988467693328857,2010-12-14
5.937699794769287,2010-12-15
5.911298751831055,2010-12-16
5.953946590423584,2010-12-17
6.059539318084717,2010-12-20
6.08188009262085,2010-12-21
6.049386978149414,2010-12-22
6.06360387802124,2010-12-23
6.065633296966553,2010-12-27
6.004714012145996,2010-12-28
6.128346920013428,2010-12-29
6.156060695648193,2010-12-30
6.126213550567627,2010-12-31
6.115556240081787,2011-01-03
6.053737640380859,2011-01-04
6.115556240081787,2011-01-05
6.230666160583496,2011-01-06
6.2818169593811035,2011-01-07
6.307401657104492,2011-01-10
6.298872947692871,2011-01-11
6.326587200164795,2011-01-12
6.104898452758789,2011-01-13
6.181638717651367,2011-01-14
6.166712760925293,2011-01-18
6.121952056884766,2011-01-19
6.102766036987305,2011-01-20
6.064398765563965,2011-01-21
6.0857133865356445,2011-01-24
6.083584785461426,2011-01-25
6.1091628074646,2011-01-26
6.136873245239258,2011-01-27
6.115556240081787,2011-01-28
6.115556240081787,2011-01-31
6.156060695648193,2011-02-01
6.177371501922607,2011-02-02
6.160319805145264,2011-02-03
6.153924465179443,2011-02-04
6.196558952331543,2011-02-07
6.237059593200684,2011-02-08
6.2562408447265625,2011-02-09
6.224266052246094,2011-02-10
6.298872947692871,2011-02-11
6.3095316886901855,2011-02-14
6.170976161956787,2011-02-15
6.215742111206055,2011-02-16
6.258370399475098,2011-02-17
6.239190578460693,2011-02-18
6.202951431274414,2011-02-22
6.1986870765686035,2011-02-23
6.239190578460693,2011-02-24
6.266900539398193,2011-02-25
6.277556419372559,2011-02-28
6.275423049926758,2011-03-01
6.30313777923584,2011-03-02
6.313799858093262,2011-03-03
6.318055629730225,2011-03-04
6.313799858093262,2011-03-07
6.35003137588501,2011-03-08
6.405453681945801,2011-03-09
6.40758752822876,2011-03-10
6.399058818817139,2011-03-11
6.4374284744262695,2011-03-14
6.413978576660156,2011-03-15
6.450221538543701,2011-03-16
6.46940279006958,2011-03-17
6.537611484527588,2011-03-18
6.4996418952941895,2011-03-21
6.3187255859375,2011-03-22
6.41253137588501,2011-03-23
6.417000770568848,2011-03-24
6.48177433013916,2011-03-25
6.4907097816467285,2011-03-28
6.432631492614746,2011-03-29
6.410297870635986,2011-03-30
6.508575439453125,2011-03-31
6.48177433013916,2011-04-01
6.417000770568848,2011-04-04
6.430403232574463,2011-04-05
6.3946638107299805,2011-04-06
6.365629196166992,2011-04-07
6.323190689086914,2011-04-08
6.294154644012451,2011-04-11
6.215983867645264,2011-04-12
6.265114784240723,2011-04-13
6.410297870635986,2011-04-14
6.3723320960998535,2011-04-15
6.3589301109313965,2011-04-18
6.33212947845459,2011-04-19
6.387964248657227,2011-04-20
6.428168296813965,2011-04-21
6.439337730407715,2011-04-25
6.439337730407715,2011-04-26
6.428168296813965,2011-04-27
6.463907241821289,2011-04-28
6.501873970031738,2011-04-29
6.521975994110107,2011-05-02
6.519742488861084,2011-05-03
6.530913829803467,2011-05-04
6.580052375793457,2011-05-05
6.580052375793457,2011-05-06
6.606855869293213,2011-05-09
6.662693977355957,2011-05-10
6.629190921783447,2011-05-11
6.653757572174072,2011-05-12
6.6157917976379395,2011-05-13
6.588986396789551,2011-05-16
6.5934529304504395,2011-05-17
6.644826412200928,2011-05-18
6.685025215148926,2011-05-19
6.693960666656494,2011-05-20
6.700660705566406,2011-05-23
6.72746467590332,2011-05-24
6.720762729644775,2011-05-25
6.745334148406982,2011-05-26
6.763203144073486,2011-05-27
6.783304691314697,2011-05-31
6.752033710479736,2011-06-01
6.781070232391357,2011-06-02
6.776602268218994,2011-06-03
6.769901752471924,2011-06-06
6.823507308959961,2011-06-07
6.8570122718811035,2011-06-08
6.792240142822266,2011-06-09
6.722999572753906,2011-06-10
6.75426721572876,2011-06-13
