EVRG,Date
43.4438591003418,2018-05-10
43.77754592895508,2018-05-11
44.10308837890625,2018-05-14
43.867061614990234,2018-05-15
43.67173385620117,2018-05-16
43.05321502685547,2018-05-17
42.996238708496094,2018-05-18
43.3706169128418,2018-05-21
43.51711654663086,2018-05-22
44.12749481201172,2018-05-23
44.42049026489258,2018-05-24
45.69824981689453,2018-05-25
46.06711196899414,2018-05-29
46.75567626953125,2018-05-30
46.47697067260742,2018-05-31
45.1490592956543,2018-06-01
44.26377487182617,2018-06-04
44.46870040893555,2018-06-05
42.86209487915039,2018-06-06
42.56699752807617,2018-06-07
42.06698226928711,2018-06-08
42.27190017700195,2018-06-11
42.82929992675781,2018-06-12
42.77193069458008,2018-06-13
42.583396911621094,2018-06-14
43.263736724853516,2018-06-15
43.386695861816406,2018-06-18
44.23918533325195,2018-06-19
44.42771911621094,2018-06-20
44.40312576293945,2018-06-21
44.624454498291016,2018-06-22
45.00971221923828,2018-06-25
45.255619049072266,2018-06-26
45.460540771484375,2018-06-27
45.66545867919922,2018-06-28
46.02613067626953,2018-06-29
46.567142486572266,2018-07-02
46.35401153564453,2018-07-03
46.36220932006836,2018-07-05
46.52614974975586,2018-07-06
44.89494323730469,2018-07-09
45.08348083496094,2018-07-10
45.87859344482422,2018-07-11
45.698246002197266,2018-07-12
45.829402923583984,2018-07-13
45.90317916870117,2018-07-16
45.927764892578125,2018-07-17
45.53430938720703,2018-07-18
46.02613067626953,2018-07-19
45.66545867919922,2018-07-20
45.12445831298828,2018-07-23
45.07529067993164,2018-07-24
45.116268157958984,2018-07-25
45.476932525634766,2018-07-26
45.35397720336914,2018-07-27
45.4195556640625,2018-07-30
45.97694778442383,2018-07-31
45.57529830932617,2018-08-01
45.75563049316406,2018-08-02
46.05072784423828,2018-08-03
46.02613067626953,2018-08-06
46.411376953125,2018-08-07
46.20646667480469,2018-08-08
46.73927688598633,2018-08-09
47.280277252197266,2018-08-10
47.222900390625,2018-08-13
47.083534240722656,2018-08-14
47.28846740722656,2018-08-15
47.280277252197266,2018-08-16
47.43601608276367,2018-08-17
47.419612884521484,2018-08-20
47.0589485168457,2018-08-21
46.71467971801758,2018-08-22
46.67368698120117,2018-08-23
47.09174346923828,2018-08-24
46.690093994140625,2018-08-27
47.0206413269043,2018-08-28
47.19417953491211,2018-08-29
47.39249801635742,2018-08-30
47.144596099853516,2018-08-31
47.52472686767578,2018-09-04
48.35935974121094,2018-09-05
