VICI,Date
16.6434268951416,2019-08-20
16.828088760375977,2019-08-21
17.07697296142578,2019-08-22
16.860200881958008,2019-08-23
17.406150817871094,2019-08-26
17.48643684387207,2019-08-27
17.50249481201172,2019-08-28
17.727294921875,2019-08-29
17.791526794433594,2019-08-30
17.791526794433594,2019-09-03
17.807584762573242,2019-09-04
17.81561279296875,2019-09-05
17.91196060180664,2019-09-06
17.622926712036133,2019-09-09
17.49446678161621,2019-09-10
17.63095474243164,2019-09-11
17.663068771362305,2019-09-12
17.470382690429688,2019-09-13
17.743356704711914,2019-09-16
17.9360408782959,2019-09-17
18.032381057739258,2019-09-18
18.241130828857422,2019-09-19
18.41776466369629,2019-09-20
18.401702880859375,2019-09-23
18.449874877929688,2019-09-24
18.49805450439453,2019-09-25
18.30120849609375,2019-09-26
18.309345245361328,2019-09-27
18.423215866088867,2019-09-30
18.37441635131836,2019-10-01
18.39068031311035,2019-10-02
18.585893630981445,2019-10-03
18.667234420776367,2019-10-04
18.74044418334961,2019-10-07
18.75670623779297,2019-10-08
18.691633224487305,2019-10-09
18.75670623779297,2019-10-10
18.667234420776367,2019-10-11
18.69976806640625,2019-10-14
18.805509567260742,2019-10-15
18.75670623779297,2019-10-16
18.821781158447266,2019-10-17
18.821781158447266,2019-10-18
19.106462478637695,2019-10-21
19.195934295654297,2019-10-22
19.23660659790039,2019-10-23
19.28540802001953,2019-10-24
19.24473762512207,2019-10-25
19.334211349487305,2019-10-28
19.30980682373047,2019-10-29
19.51315689086914,2019-10-30
19.15526580810547,2019-10-31
19.95238494873047,2019-11-01
19.993053436279297,2019-11-04
19.570091247558594,2019-11-05
19.667699813842773,2019-11-06
19.51315689086914,2019-11-07
19.74903678894043,2019-11-08
19.993053436279297,2019-11-11
19.83037567138672,2019-11-12
19.80597496032715,2019-11-13
20.00118637084961,2019-11-14
20.04186248779297,2019-11-15
19.976787567138672,2019-11-18
19.911710739135742,2019-11-19
20.090667724609375,2019-11-20
19.80597496032715,2019-11-21
19.781572341918945,2019-11-22
19.911710739135742,2019-11-25
20.009323120117188,2019-11-26
20.24520492553711,2019-11-27
20.115060806274414,2019-11-29
19.903583526611328,2019-12-02
20.05812644958496,2019-12-03
19.911710739135742,2019-12-04
20.090667724609375,2019-12-05
20.285877227783203,2019-12-06
20.269607543945312,2019-12-09
20.253334045410156,2019-12-10
20.082529067993164,2019-12-11
20.049991607666016,2019-12-12
19.78970718383789,2019-12-13
20.0174560546875,2019-12-16
20.212671279907227,2019-12-17
20.359079360961914,2019-12-18
20.59496307373047,2019-12-19
20.627500534057617,2019-12-20
20.611228942871094,2019-12-23
20.497350692749023,2019-12-24
20.60271644592285,2019-12-26
20.77556800842285,2019-12-27
20.808496475219727,2019-12-30
21.030738830566406,2019-12-31
20.808496475219727,2020-01-02
20.8249568939209,2020-01-03
20.610950469970703,2020-01-06
20.52863311767578,2020-01-07
20.660335540771484,2020-01-08
20.86611557006836,2020-01-09
20.88257598876953,2020-01-10
20.86611557006836,2020-01-13
20.96488380432129,2020-01-14
21.384675979614258,2020-01-15
21.55753517150879,2020-01-16
21.623384475708008,2020-01-17
21.705698013305664,2020-01-21
21.853853225708008,2020-01-22
21.903244018554688,2020-01-23
21.936172485351562,2020-01-24
21.705698013305664,2020-01-27
21.656312942504883,2020-01-28
22.002017974853516,2020-01-29
22.084327697753906,2020-01-30
22.05963706970215,2020-01-31
22.10079574584961,2020-02-03
22.248958587646484,2020-02-04
22.191333770751953,2020-02-05
22.34773063659668,2020-02-06
22.323041915893555,2020-02-07
22.619361877441406,2020-02-10
22.79221534729004,2020-02-11
22.81690788269043,2020-02-12
22.95684051513672,2020-02-13
23.13792610168457,2020-02-14
22.9486083984375,2020-02-18
22.61112403869629,2020-02-19
23.154388427734375,2020-02-20
23.170852661132812,2020-02-21
22.635820388793945,2020-02-24
21.96908950805664,2020-02-25
21.104814529418945,2020-02-26
20.41339683532715,2020-02-27
20.62740707397461,2020-02-28
20.298158645629883,2020-03-02
20.347545623779297,2020-03-03
21.113048553466797,2020-03-04
20.495708465576172,2020-03-05
19.935985565185547,2020-03-06
17.837026596069336,2020-03-09
18.948238372802734,2020-03-10
16.972753524780273,2020-03-11
13.35925006866455,2020-03-12
14.48692798614502,2020-03-13
10.338397979736328,2020-03-16
10.717032432556152,2020-03-17
9.218953132629395,2020-03-18
9.457659721374512,2020-03-19
10.132616996765137,2020-03-20
9.66343879699707,2020-03-23
10.791111946105957,2020-03-24
12.70075511932373,2020-03-25
13.293401718139648,2020-03-26
13.260476112365723,2020-03-27
13.45168685913086,2020-03-30
13.954865455627441,2020-03-31
12.613051414489746,2020-04-01
12.436939239501953,2020-04-02
11.55637264251709,2020-04-03
11.958916664123535,2020-04-06
12.176961898803711,2020-04-07
13.351051330566406,2020-04-08
14.390954971313477,2020-04-09
13.904548645019531,2020-04-13
14.240002632141113,2020-04-14
13.493616104125977,2020-04-15
13.208481788635254,2020-04-16
13.493616104125977,2020-04-17
13.149776458740234,2020-04-20
12.873027801513672,2020-04-21
12.998824119567871,2020-04-22
12.814323425292969,2020-04-23
13.065913200378418,2020-04-24
13.678114891052246,2020-04-27
14.072274208068848,2020-04-28
15.011542320251465,2020-04-29
14.609000205993652,2020-04-30
13.887773513793945,2020-05-01
13.73681926727295,2020-05-04
13.7787504196167,2020-05-05
13.627799034118652,2020-05-06
13.896160125732422,2020-05-07
14.332250595092773,2020-05-08
14.0051851272583,2020-05-11
13.22525405883789,2020-05-12
12.470483779907227,2020-05-13
12.73884391784668,2020-05-14
12.831096649169922,2020-05-15
13.854228973388672,2020-05-18
14.458046913146973,2020-05-19
15.028319358825684,2020-05-20
15.37215518951416,2020-05-21
15.791470527648926,2020-05-22
16.63010597229004,2020-05-26
16.82299041748047,2020-05-27
16.252721786499023,2020-05-28
16.453994750976562,2020-05-29
17.27585792541504,2020-06-01
17.158445358276367,2020-06-02
18.374462127685547,2020-06-03
18.6428279876709,2020-06-04
19.280187606811523,2020-06-05
19.146007537841797,2020-06-08
18.44994354248047,2020-06-09
17.73710060119629,2020-06-10
17.20037841796875,2020-06-11
18.693145751953125,2020-06-12
19.146007537841797,2020-06-15
18.760238647460938,2020-06-16
19.204710006713867,2020-06-17
18.953125,2020-06-18
18.852481842041016,2020-06-19
18.27383041381836,2020-06-22
18.50025749206543,2020-06-23
17.67839813232422,2020-06-24
17.6616268157959,2020-06-25
16.79783821105957,2020-06-26
17.025981903076172,2020-06-29
17.187728881835938,2020-06-30
17.62189292907715,2020-07-01
17.758098602294922,2020-07-02
17.21327018737793,2020-07-06
17.017465591430664,2020-07-07
17.196243286132812,2020-07-08
16.847209930419922,2020-07-09
16.991926193237305,2020-07-10
16.813156127929688,2020-07-13
16.75356674194336,2020-07-14
18.03902816772461,2020-07-15
17.928359985351562,2020-07-16
18.34549331665039,2020-07-17
17.987951278686523,2020-07-20
18.277387619018555,2020-07-21
18.949918746948242,2020-07-22
18.388059616088867,2020-07-23
17.90281867980957,2020-07-24
17.681482315063477,2020-07-27
17.630401611328125,2020-07-28
18.234825134277344,2020-07-29
18.43914031982422,2020-07-30
18.481704711914062,2020-07-31
18.72858238220215,2020-08-03
19.32448959350586,2020-08-04
19.035045623779297,2020-08-05
19.32448959350586,2020-08-06
19.47771644592285,2020-08-07
19.6905460357666,2020-08-10
19.809730529785156,2020-08-11
19.869321823120117,2020-08-12
19.59690284729004,2020-08-13
19.52029037475586,2020-08-14
19.741626739501953,2020-08-17
19.562850952148438,2020-08-18
19.67352294921875,2020-08-19
19.67352294921875,2020-08-20
19.17125129699707,2020-08-21
19.571365356445312,2020-08-24
19.4947509765625,2020-08-25
19.392593383789062,2020-08-26
19.699060440063477,2020-08-27
19.562850952148438,2020-08-28
19.018024444580078,2020-08-31
19.894859313964844,2020-09-01
20.08214569091797,2020-09-02
19.51177406311035,2020-09-03
19.47771644592285,2020-09-04
19.8182430267334,2020-09-08
20.235382080078125,2020-09-09
20.218353271484375,2020-09-10
20.482255935668945,2020-09-11
21.1207275390625,2020-09-14
21.640026092529297,2020-09-15
21.36760711669922,2020-09-16
20.831287384033203,2020-09-17
20.269432067871094,2020-09-18
19.588394165039062,2020-09-21
19.801219940185547,2020-09-22
19.418134689331055,2020-09-23
19.60541534423828,2020-09-24
20.05660629272461,2020-09-25
20.592926025390625,2020-09-28
20.187278747558594,2020-09-29
20.170021057128906,2020-09-30
20.47209358215332,2020-10-01
20.765541076660156,2020-10-02
20.929523468017578,2020-10-05
20.584293365478516,2020-10-06
20.47209358215332,2020-10-07
20.731014251708984,2020-10-08
20.40304946899414,2020-10-09
20.6015567779541,2020-10-12
20.463462829589844,2020-10-13
20.43756866455078,2020-10-14
20.66197395324707,2020-10-15
20.43756866455078,2020-10-16
19.980140686035156,2020-10-19
20.083711624145508,2020-10-20
20.2218017578125,2020-10-21
20.627445220947266,2020-10-22
20.80869483947754,2020-10-23
20.187278747558594,2020-10-26
19.531343460083008,2020-10-27
19.45366859436035,2020-10-28
20.066448211669922,2020-10-29
19.807527542114258,2020-10-30
20.40304946899414,2020-11-02
20.644710540771484,2020-11-03
21.128028869628906,2020-11-04
20.82595443725586,2020-11-05
20.696495056152344,2020-11-06
20.55840492248535,2020-11-09
21.81848907470703,2020-11-10
21.922060012817383,2020-11-11
21.490522384643555,2020-11-12
22.275915145874023,2020-11-13
22.612516403198242,2020-11-16
22.811023712158203,2020-11-17
22.275915145874023,2020-11-18
22.327699661254883,2020-11-19
22.327699661254883,2020-11-20
22.517578125,2020-11-23
22.534841537475586,2020-11-24
22.008365631103516,2020-11-25
22.163719177246094,2020-11-27
21.82712173461914,2020-11-30
22.02562713623047,2020-12-01
21.84438133239746,2020-12-02
22.491683959960938,2020-12-03
22.362224578857422,2020-12-04
22.18097686767578,2020-12-07
22.077411651611328,2020-12-08
21.95658302307129,2020-12-09
21.947952270507812,2020-12-10
22.137826919555664,2020-12-11
21.904796600341797,2020-12-14
22.534841537475586,2020-12-15
22.483055114746094,2020-12-16
22.957746505737305,2020-12-17
22.25865936279297,2020-12-18
22.18097686767578,2020-12-21
22.67058563232422,2020-12-22
22.65310287475586,2020-12-23
22.626867294311523,2020-12-24
22.548185348510742,2020-12-28
22.084806442260742,2020-12-29
22.443267822265625,2020-12-30
22.294639587402344,2020-12-31
21.551481246948242,2021-01-04
21.83125877380371,2021-01-05
21.88372039794922,2021-01-06
21.77005958557129,2021-01-07
22.443267822265625,2021-01-08
22.15475082397461,2021-01-11
22.058578491210938,2021-01-12
22.093549728393555,2021-01-13
22.13726234436035,2021-01-14
21.997377395629883,2021-01-15
22.180980682373047,2021-01-19
23.055278778076172,2021-01-20
22.950363159179688,2021-01-21
23.072765350341797,2021-01-22
22.950363159179688,2021-01-25
22.792987823486328,2021-01-26
21.638914108276367,2021-01-27
22.600645065307617,2021-01-28
22.102293014526367,2021-01-29
22.994075775146484,2021-02-01
23.404998779296875,2021-02-02
23.291339874267578,2021-02-03
23.4224853515625,2021-02-04
23.562374114990234,2021-02-05
23.370027542114258,2021-02-08
23.291339874267578,2021-02-09
23.59734535217285,2021-02-10
23.64105987548828,2021-02-11
23.833406448364258,2021-02-12
23.763460159301758,2021-02-16
23.877119064331055,2021-02-17
23.711008071899414,2021-02-18
24.445417404174805,2021-02-19
24.838850021362305,2021-02-22
24.742677688598633,2021-02-23
24.900049209594727,2021-02-24
24.655248641967773,2021-02-25
24.917539596557617,2021-02-26
25.241029739379883,2021-03-01
24.900049209594727,2021-03-02
25.520803451538086,2021-03-03
25.048681259155273,2021-03-04
25.547029495239258,2021-03-05
24.9525089263916,2021-03-08
25.12736701965332,2021-03-09
25.15359878540039,2021-03-10
24.96999740600586,2021-03-11
24.935022354125977,2021-03-12
25.23228645324707,2021-03-15
24.57655906677246,2021-03-16
25.345943450927734,2021-03-17
24.471641540527344,2021-03-18
24.506616592407227,2021-03-19
24.655248641967773,2021-03-22
24.3492431640625,2021-03-23
23.827220916748047,2021-03-24
24.14574432373047,2021-03-25
24.455413818359375,2021-03-26
24.570436477661133,2021-03-29
24.959741592407227,2021-03-30
24.986286163330078,2021-03-31
25.51715850830078,2021-04-01
25.641021728515625,2021-04-05
25.729501724243164,2021-04-06
25.791439056396484,2021-04-07
25.764896392822266,2021-04-08
25.384437561035156,2021-04-09
25.340200424194336,2021-04-12
26.03032875061035,2021-04-13
25.5083065032959,2021-04-14
26.056875228881836,2021-04-15
26.49041748046875,2021-04-16
26.428482055664062,2021-04-19
26.67622184753418,2021-04-20
27.01244354248047,2021-04-21
27.06552505493164,2021-04-22
27.251331329345703,2021-04-23
27.348657608032227,2021-04-26
27.552154541015625,2021-04-27
27.84413719177246,2021-04-28
28.100723266601562,2021-04-29
28.047637939453125,2021-04-30
28.357309341430664,2021-05-03
28.038787841796875,2021-05-04
27.614093780517578,2021-05-05
27.313268661499023,2021-05-06
27.782201766967773,2021-05-07
27.676029205322266,2021-05-10
27.12746238708496,2021-05-11
26.233829498291016,2021-05-12
26.614282608032227,2021-05-13
27.313268661499023,2021-05-14
27.596397399902344,2021-05-17
27.251331329345703,2021-05-18
27.145156860351562,2021-05-19
27.605243682861328,2021-05-20
27.41944122314453,2021-05-21
27.773351669311523,2021-05-24
27.737964630126953,2021-05-25
27.782201766967773,2021-05-26
27.322111129760742,2021-05-27
27.543310165405273,2021-05-28
28.021093368530273,2021-06-01
28.127267837524414,2021-06-02
28.08302879333496,2021-06-03
28.127267837524414,2021-06-04
28.569660186767578,2021-06-07
29.321725845336914,2021-06-08
28.888185501098633,2021-06-09
29.047441482543945,2021-06-10
29.020898818969727,2021-06-11
29.038599014282227,2021-06-14
28.870487213134766,2021-06-15
28.87933349609375,2021-06-16
28.605051040649414,2021-06-17
27.614093780517578,2021-06-18
28.33961296081543,2021-06-21
28.22459602355957,2021-06-22
28.018964767456055,2021-06-23
27.813337326049805,2021-06-24
28.501745223999023,2021-06-25
28.001083374023438,2021-06-28
27.750757217407227,2021-06-29
27.732873916625977,2021-06-30
27.777578353881836,2021-07-01
27.795454025268555,2021-07-02
27.634531021118164,2021-07-06
27.53618621826172,2021-07-07
27.44678497314453,2021-07-08
28.108369827270508,2021-07-09
28.48386001586914,2021-07-12
27.974266052246094,2021-07-13
27.95638656616211,2021-07-14
28.045785903930664,2021-07-15
27.840158462524414,2021-07-16
27.16069221496582,2021-07-19
28.313995361328125,2021-07-20
28.626909255981445,2021-07-21
28.242473602294922,2021-07-22
28.573265075683594,2021-07-23
28.20671272277832,2021-07-26
28.376577377319336,2021-07-27
28.135189056396484,2021-07-28
27.706052780151367,2021-07-29
27.88486099243164,2021-07-30
27.437843322753906,2021-08-02
27.05341148376465,2021-08-03
26.981887817382812,2021-08-04
27.384201049804688,2021-08-05
27.169633865356445,2021-08-06
27.008708953857422,2021-08-09
26.633216857910156,2021-08-10
27.124935150146484,2021-08-11
27.017648696899414,2021-08-12
26.847782135009766,2021-08-13
26.865663528442383,2021-08-16
26.722620010375977,2021-08-17
26.561691284179688,2021-08-18
26.168319702148438,2021-08-19
26.195140838623047,2021-08-20
26.29348373413086,2021-08-23
26.347122192382812,2021-08-24
26.552751541137695,2021-08-25
26.847782135009766,2021-08-26
27.285858154296875,2021-08-27
27.491487503051758,2021-08-30
27.634531021118164,2021-08-31
28.036846160888672,2021-09-01
28.322935104370117,2021-09-02
28.635848999023438,2021-09-03
28.233531951904297,2021-09-07
28.385517120361328,2021-09-08
26.71367645263672,2021-09-09
26.579572677612305,2021-09-10
26.776262283325195,2021-09-13
26.749439239501953,2021-09-14
26.937185287475586,2021-09-15
26.820960998535156,2021-09-16
26.436527252197266,2021-09-17
26.311365127563477,2021-09-20
26.21302032470703,2021-09-21
26.71367645263672,2021-09-22
27.16614532470703,2021-09-23
26.90371322631836,2021-09-24
26.577939987182617,2021-09-27
25.90828514099121,2021-09-28
26.125473022460938,2021-09-29
25.709199905395508,2021-09-30
26.360754013061523,2021-10-01
26.30645751953125,2021-10-04
26.116422653198242,2021-10-05
26.71367835998535,2021-10-06
26.795124053955078,2021-10-07
26.45124626159668,2021-10-08
26.505544662475586,2021-10-11
26.867515563964844,2021-10-12
27.057552337646484,2021-10-13
27.19329071044922,2021-10-14
27.21139144897461,2021-10-15
27.292837142944336,2021-10-18
27.256641387939453,2021-10-19
27.37428092956543,2021-10-20
27.256641387939453,2021-10-21
27.310935974121094,2021-10-22
27.319984436035156,2021-10-25
27.310935974121094,2021-10-26
26.912763595581055,2021-10-27
27.148042678833008,2021-10-28
26.55984115600586,2021-10-29
26.731781005859375,2021-11-01
26.722728729248047,2021-11-02
26.885616302490234,2021-11-03
26.387901306152344,2021-11-04
26.912763595581055,2021-11-05
26.777023315429688,2021-11-08
26.460294723510742,2021-11-09
26.170717239379883,2021-11-10
26.369802474975586,2021-11-11
26.007827758789062,2021-11-12
