LYB,Date
60.675106048583984,2017-04-27
58.82890319824219,2017-04-28
57.92661666870117,2017-05-01
57.982139587402344,2017-05-02
56.82999038696289,2017-05-03
56.510719299316406,2017-05-04
58.4124641418457,2017-05-05
56.0665283203125,2017-05-08
56.85082244873047,2017-05-09
57.232540130615234,2017-05-10
56.89248275756836,2017-05-11
56.24697494506836,2017-05-12
57.281124114990234,2017-05-15
57.64897918701172,2017-05-16
55.511268615722656,2017-05-17
55.809722900390625,2017-05-18
56.28861999511719,2017-05-19
55.73336410522461,2017-05-22
55.920772552490234,2017-05-23
56.65645980834961,2017-05-24
55.99018096923828,2017-05-25
56.03181838989258,2017-05-26
55.91383361816406,2017-05-30
55.88606643676758,2017-05-31
56.53885269165039,2017-06-01
56.18087387084961,2017-06-02
55.3877067565918,2017-06-05
55.54914474487305,2017-06-06
55.61933135986328,2017-06-07
55.78780746459961,2017-06-08
57.47236633300781,2017-06-09
57.402191162109375,2017-06-12
58.223426818847656,2017-06-13
56.805564880371094,2017-06-14
56.25105285644531,2017-06-15
56.77048873901367,2017-06-16
57.065277099609375,2017-06-19
56.22298049926758,2017-06-20
55.85097122192383,2017-06-21
56.15980911254883,2017-06-22
56.27210998535156,2017-06-23
56.77748489379883,2017-06-26
57.605743408203125,2017-06-27
58.82005310058594,2017-06-28
58.798980712890625,2017-06-29
59.23417282104492,2017-06-30
59.915035247802734,2017-07-03
58.511199951171875,2017-07-05
58.29362106323242,2017-07-06
58.911319732666016,2017-07-07
59.1008186340332,2017-07-10
59.28330612182617,2017-07-11
60.16771697998047,2017-07-12
59.99925231933594,2017-07-13
60.27299499511719,2017-07-14
60.118568420410156,2017-07-17
59.83782958984375,2017-07-18
61.17845916748047,2017-07-19
61.08019256591797,2017-07-20
60.974910736083984,2017-07-21
61.241634368896484,2017-07-24
61.73297119140625,2017-07-25
61.30479049682617,2017-07-26
60.73625946044922,2017-07-27
63.09468078613281,2017-07-28
63.23505401611328,2017-07-31
62.65249252319336,2017-08-01
62.02777862548828,2017-08-02
62.29450225830078,2017-08-03
62.31553649902344,2017-08-04
62.55419921875,2017-08-07
62.28046417236328,2017-08-08
62.610355377197266,2017-08-09
61.487308502197266,2017-08-10
61.19952392578125,2017-08-11
61.789127349853516,2017-08-14
61.73297119140625,2017-08-15
61.5294303894043,2017-08-16
60.525691986083984,2017-08-17
61.30479049682617,2017-08-18
61.83826446533203,2017-08-21
62.308536529541016,2017-08-22
62.72264862060547,2017-08-23
62.82794952392578,2017-08-24
63.3543815612793,2017-08-25
63.39651107788086,2017-08-28
62.891117095947266,2017-08-29
63.40351486206055,2017-08-30
63.58601760864258,2017-08-31
63.98301696777344,2017-09-01
63.37332534790039,2017-09-05
65.02517700195312,2017-09-06
65.02517700195312,2017-09-07
64.94010925292969,2017-09-08
66.40057373046875,2017-09-11
67.05277252197266,2017-09-12
66.76213073730469,2017-09-13
66.94644927978516,2017-09-14
67.47105407714844,2017-09-15
67.76174926757812,2017-09-18
68.45651245117188,2017-09-19
68.0949478149414,2017-09-20
67.91062927246094,2017-09-21
68.67630767822266,2017-09-22
69.4206771850586,2017-09-25
70.72518157958984,2017-09-26
70.73934936523438,2017-09-27
70.73934936523438,2017-09-28
70.2218017578125,2017-09-29
71.28523254394531,2017-10-02
70.72518157958984,2017-10-03
70.1012954711914,2017-10-04
70.52668762207031,2017-10-05
70.115478515625,2017-10-06
70.21472930908203,2017-10-09
69.51995849609375,2017-10-10
68.95279693603516,2017-10-11
69.14421081542969,2017-10-12
69.25056457519531,2017-10-13
69.26472473144531,2017-10-16
69.62628936767578,2017-10-17
69.66173553466797,2017-10-18
70.4628677368164,2017-10-19
70.14384460449219,2017-10-20
69.87442016601562,2017-10-23
71.56172943115234,2017-10-24
70.71807098388672,2017-10-25
71.76732635498047,2017-10-26
70.19345092773438,2017-10-27
75.1490478515625,2017-10-30
73.39791870117188,2017-10-31
73.3270263671875,2017-11-01
73.4050064086914,2017-11-02
74.85127258300781,2017-11-03
75.49640655517578,2017-11-06
75.0923080444336,2017-11-07
75.04978942871094,2017-11-08
73.8658447265625,2017-11-09
73.91545104980469,2017-11-10
73.8658447265625,2017-11-13
73.54679870605469,2017-11-14
72.66770935058594,2017-11-15
73.16395568847656,2017-11-16
73.66023254394531,2017-11-17
73.92253112792969,2017-11-20
73.60350799560547,2017-11-21
73.31993865966797,2017-11-22
73.97217559814453,2017-11-24
74.00052642822266,2017-11-27
74.3975601196289,2017-11-28
74.44717407226562,2017-11-29
74.2273941040039,2017-11-30
73.80204010009766,2017-12-01
74.23826599121094,2017-12-04
74.7889175415039,2017-12-05
74.86758422851562,2017-12-06
76.16911315917969,2017-12-07
76.61965942382812,2017-12-08
76.88429260253906,2017-12-11
76.51239776611328,2017-12-12
76.87712097167969,2017-12-13
75.39678955078125,2017-12-14
75.82585144042969,2017-12-15
78.35028076171875,2017-12-18
77.9140853881836,2017-12-19
78.60773468017578,2017-12-20
78.86517333984375,2017-12-21
78.6506576538086,2017-12-22
78.61489868164062,2017-12-26
78.6864013671875,2017-12-27
79.49452209472656,2017-12-28
78.893798828125,2017-12-29
80.25970458984375,2018-01-02
80.28116607666016,2018-01-03
80.66734313964844,2018-01-04
81.79009246826172,2018-01-05
81.60414123535156,2018-01-08
82.347900390625,2018-01-09
82.2620849609375,2018-01-10
84.17150115966797,2018-01-11
84.1572036743164,2018-01-12
82.87709045410156,2018-01-16
83.58509063720703,2018-01-17
83.59223937988281,2018-01-18
85.75909423828125,2018-01-19
85.05828857421875,2018-01-22
84.69353485107422,2018-01-23
85.05828857421875,2018-01-24
86.34552764892578,2018-01-25
86.8818588256836,2018-01-26
86.46708679199219,2018-01-29
84.99388885498047,2018-01-30
85.7018814086914,2018-01-31
84.07137298583984,2018-02-01
80.216796875,2018-02-02
77.78532409667969,2018-02-05
81.39675903320312,2018-02-06
78.85804748535156,2018-02-07
