SRCL,Date
4.5625,1998-10-01
4.40625,1998-10-02
4.53125,1998-10-05
4.5,1998-10-06
4.21875,1998-10-07
3.875,1998-10-08
3.75,1998-10-09
4.09375,1998-10-12
3.9375,1998-10-13
3.40625,1998-10-14
3.65625,1998-10-15
3.6875,1998-10-16
3.90625,1998-10-19
3.9375,1998-10-20
3.96875,1998-10-21
4.1875,1998-10-22
4.5625,1998-10-23
4.5625,1998-10-26
4.59375,1998-10-27
4.265625,1998-10-28
4.5,1998-10-29
4.84375,1998-10-30
5.25,1998-11-02
5.03125,1998-11-03
5.0,1998-11-04
4.9375,1998-11-05
4.9375,1998-11-06
4.875,1998-11-09
4.8125,1998-11-10
4.84375,1998-11-11
4.625,1998-11-12
4.71875,1998-11-13
4.734375,1998-11-16
4.71875,1998-11-17
4.671875,1998-11-18
4.71875,1998-11-19
4.4375,1998-11-20
4.40625,1998-11-23
4.0,1998-11-24
4.34375,1998-11-25
4.375,1998-11-27
4.46875,1998-11-30
4.25,1998-12-01
4.0,1998-12-02
4.0625,1998-12-03
4.125,1998-12-04
4.25,1998-12-07
4.1875,1998-12-08
4.25,1998-12-09
4.3125,1998-12-10
4.125,1998-12-11
4.0625,1998-12-14
4.0,1998-12-15
3.921875,1998-12-16
3.875,1998-12-17
3.6875,1998-12-18
3.625,1998-12-21
3.8125,1998-12-22
3.875,1998-12-23
3.8125,1998-12-24
4.15625,1998-12-28
4.125,1998-12-29
4.25,1998-12-30
4.03125,1998-12-31
4.125,1999-01-04
4.25,1999-01-05
4.34375,1999-01-06
4.46875,1999-01-07
4.484375,1999-01-08
4.484375,1999-01-11
4.375,1999-01-12
4.40625,1999-01-13
4.375,1999-01-14
4.125,1999-01-15
3.875,1999-01-19
4.0,1999-01-20
4.015625,1999-01-21
4.15625,1999-01-22
4.15625,1999-01-25
4.1875,1999-01-26
4.171875,1999-01-27
4.1875,1999-01-28
4.15625,1999-01-29
3.90625,1999-02-01
3.75,1999-02-02
3.734375,1999-02-03
3.6875,1999-02-04
3.4375,1999-02-05
3.40625,1999-02-08
3.484375,1999-02-09
3.59375,1999-02-10
3.4375,1999-02-11
3.59375,1999-02-12
3.578125,1999-02-16
3.46875,1999-02-17
3.40625,1999-02-18
3.21875,1999-02-19
3.1875,1999-02-22
3.0625,1999-02-23
2.9375,1999-02-24
3.0,1999-02-25
3.171875,1999-02-26
3.65625,1999-03-01
3.46875,1999-03-02
3.296875,1999-03-03
3.109375,1999-03-04
3.03125,1999-03-05
3.3125,1999-03-08
3.765625,1999-03-09
4.125,1999-03-10
3.953125,1999-03-11
3.875,1999-03-12
3.71875,1999-03-15
3.6875,1999-03-16
3.75,1999-03-17
3.9375,1999-03-18
3.8125,1999-03-19
3.84375,1999-03-22
3.421875,1999-03-23
3.4375,1999-03-24
3.53125,1999-03-25
3.453125,1999-03-26
3.5,1999-03-29
3.3125,1999-03-30
3.359375,1999-03-31
3.34375,1999-04-01
3.25,1999-04-05
3.21875,1999-04-06
2.9375,1999-04-07
2.640625,1999-04-08
2.640625,1999-04-09
2.5625,1999-04-12
2.5625,1999-04-13
2.53125,1999-04-14
2.46875,1999-04-15
2.484375,1999-04-16
2.578125,1999-04-19
2.8125,1999-04-20
2.703125,1999-04-21
2.71875,1999-04-22
2.625,1999-04-23
2.625,1999-04-26
2.6875,1999-04-27
2.8125,1999-04-28
2.8125,1999-04-29
2.9375,1999-04-30
3.125,1999-05-03
3.4375,1999-05-04
3.5,1999-05-05
3.5625,1999-05-06
3.46875,1999-05-07
3.46875,1999-05-10
3.6875,1999-05-11
3.765625,1999-05-12
3.625,1999-05-13
3.375,1999-05-14
3.515625,1999-05-17
3.578125,1999-05-18
3.4375,1999-05-19
3.328125,1999-05-20
3.34375,1999-05-21
3.28125,1999-05-24
3.0625,1999-05-25
3.0625,1999-05-26
3.125,1999-05-27
3.28125,1999-05-28
3.34375,1999-06-01
3.25,1999-06-02
3.34375,1999-06-03
3.40625,1999-06-04
3.53125,1999-06-07
3.484375,1999-06-08
3.359375,1999-06-09
3.265625,1999-06-10
3.1875,1999-06-11
3.0625,1999-06-14
3.125,1999-06-15
3.125,1999-06-16
3.0,1999-06-17
3.0,1999-06-18
2.953125,1999-06-21
2.984375,1999-06-22
3.21875,1999-06-23
3.125,1999-06-24
3.125,1999-06-25
3.390625,1999-06-28
3.453125,1999-06-29
3.390625,1999-06-30
3.171875,1999-07-01
3.34375,1999-07-02
3.3125,1999-07-06
3.109375,1999-07-07
3.09375,1999-07-08
3.15625,1999-07-09
3.15625,1999-07-12
3.140625,1999-07-13
3.40625,1999-07-14
3.703125,1999-07-15
3.75,1999-07-16
3.8125,1999-07-19
3.5625,1999-07-20
3.71875,1999-07-21
3.6875,1999-07-22
3.6875,1999-07-23
3.671875,1999-07-26
3.703125,1999-07-27
3.53125,1999-07-28
3.53125,1999-07-29
3.609375,1999-07-30
3.59375,1999-08-02
3.4375,1999-08-03
3.25,1999-08-04
3.1875,1999-08-05
3.234375,1999-08-06
3.21875,1999-08-09
3.125,1999-08-10
3.15625,1999-08-11
3.28125,1999-08-12
3.1875,1999-08-13
3.390625,1999-08-16
3.390625,1999-08-17
3.5,1999-08-18
3.796875,1999-08-19
3.90625,1999-08-20
4.0,1999-08-23
3.984375,1999-08-24
3.953125,1999-08-25
4.0,1999-08-26
4.015625,1999-08-27
3.9375,1999-08-30
3.984375,1999-08-31
3.9375,1999-09-01
3.828125,1999-09-02
3.78125,1999-09-03
3.796875,1999-09-07
3.53125,1999-09-08
3.6875,1999-09-09
3.578125,1999-09-10
3.28125,1999-09-13
3.40625,1999-09-14
3.59375,1999-09-15
3.53125,1999-09-16
3.625,1999-09-17
3.75,1999-09-20
3.546875,1999-09-21
3.5625,1999-09-22
