FANG,Date
42.091670989990234,2013-11-22
41.560707092285156,2013-11-25
42.157012939453125,2013-11-26
40.89091491699219,2013-11-27
40.62952423095703,2013-11-29
41.144142150878906,2013-12-02
41.0297737121582,2013-12-03
41.2094841003418,2013-12-04
40.18842315673828,2013-12-05
37.721580505371094,2013-12-06
36.81489944458008,2013-12-09
37.57455062866211,2013-12-10
36.847572326660156,2013-12-11
36.72504425048828,2013-12-12
36.53717041015625,2013-12-13
37.1579704284668,2013-12-16
37.672576904296875,2013-12-17
37.8522834777832,2013-12-18
40.67853927612305,2013-12-19
41.48721694946289,2013-12-20
42.55727005004883,2013-12-23
42.49192428588867,2013-12-24
43.07187271118164,2013-12-26
43.57013702392578,2013-12-27
42.41840362548828,2013-12-30
43.194400787353516,2013-12-31
41.789432525634766,2014-01-02
40.17209243774414,2014-01-03
39.67382049560547,2014-01-06
39.52678680419922,2014-01-07
38.88966369628906,2014-01-08
37.18247604370117,2014-01-09
38.366886138916016,2014-01-10
36.2921142578125,2014-01-13
38.399566650390625,2014-01-14
39.22456741333008,2014-01-15
39.70649719238281,2014-01-16
39.62480545043945,2014-01-17
40.090415954589844,2014-01-21
41.838436126708984,2014-01-22
41.20130157470703,2014-01-23
39.91888427734375,2014-01-24
38.832489013671875,2014-01-27
40.67853927612305,2014-01-28
39.69015884399414,2014-01-29
41.96097183227539,2014-01-30
42.459251403808594,2014-01-31
40.907249450683594,2014-02-03
42.181522369384766,2014-02-04
43.259742736816406,2014-02-05
43.92139434814453,2014-02-06
46.33106231689453,2014-02-07
46.984519958496094,2014-02-10
48.11992263793945,2014-02-11
47.35209655761719,2014-02-12
48.10359191894531,2014-02-13
48.72439193725586,2014-02-14
49.84346008300781,2014-02-18
49.859798431396484,2014-02-19
51.19123840332031,2014-02-20
52.26947021484375,2014-02-21
52.931114196777344,2014-02-24
52.06526184082031,2014-02-25
52.71873474121094,2014-02-26
52.18777847290039,2014-02-27
52.54718017578125,2014-02-28
52.6125373840332,2014-03-03
53.48655700683594,2014-03-04
52.31031036376953,2014-03-05
51.26475524902344,2014-03-06
52.179622650146484,2014-03-07
51.48530197143555,2014-03-10
50.652122497558594,2014-03-11
51.59150314331055,2014-03-12
51.75486755371094,2014-03-13
51.934574127197266,2014-03-14
52.220455169677734,2014-03-17
53.649932861328125,2014-03-18
52.604373931884766,2014-03-19
53.24968719482422,2014-03-20
52.45733642578125,2014-03-21
52.39198684692383,2014-03-24
52.514522552490234,2014-03-25
53.00461959838867,2014-03-26
55.57766342163086,2014-03-27
56.9336051940918,2014-03-28
54.981361389160156,2014-03-31
54.2462158203125,2014-04-01
56.33732604980469,2014-04-02
55.47148132324219,2014-04-03
54.9323616027832,2014-04-04
53.233341217041016,2014-04-07
54.40141296386719,2014-04-08
55.59400177001953,2014-04-09
53.60908126831055,2014-04-10
55.218257904052734,2014-04-11
57.276695251464844,2014-04-14
56.42715835571289,2014-04-15
57.578922271728516,2014-04-16
59.90690994262695,2014-04-17
60.87077331542969,2014-04-21
60.658409118652344,2014-04-22
60.35615921020508,2014-04-23
61.60591506958008,2014-04-24
58.354915618896484,2014-04-25
57.96284103393555,2014-04-28
58.9920654296875,2014-04-29
58.763336181640625,2014-04-30
58.2160530090332,2014-05-01
60.25813293457031,2014-05-02
60.14379119873047,2014-05-05
59.833396911621094,2014-05-06
61.85097885131836,2014-05-07
58.61630630493164,2014-05-08
58.19155502319336,2014-05-09
59.40046310424805,2014-05-12
60.225467681884766,2014-05-13
58.82866668701172,2014-05-14
56.713069915771484,2014-05-15
57.72594451904297,2014-05-16
58.11803436279297,2014-05-19
57.30937576293945,2014-05-20
59.39229202270508,2014-05-21
59.65366744995117,2014-05-22
59.4494743347168,2014-05-23
58.37942123413086,2014-05-27
58.314083099365234,2014-05-28
61.27920150756836,2014-05-29
61.65494155883789,2014-05-30
62.1695442199707,2014-06-02
63.95842742919922,2014-06-03
64.15444946289062,2014-06-04
64.72624206542969,2014-06-05
66.2374038696289,2014-06-06
66.9807357788086,2014-06-09
67.25027465820312,2014-06-10
68.48369598388672,2014-06-11
69.17802429199219,2014-06-12
71.84089660644531,2014-06-13
73.43374633789062,2014-06-16
73.727783203125,2014-06-17
73.79314422607422,2014-06-18
72.73942565917969,2014-06-19
73.34388732910156,2014-06-20
74.66715240478516,2014-06-23
71.6285400390625,2014-06-24
73.97284698486328,2014-06-25
72.93548583984375,2014-06-26
72.44535827636719,2014-06-27
72.53522491455078,2014-06-30
73.32756042480469,2014-07-01
72.11862182617188,2014-07-02
72.54337310791016,2014-07-03
71.31812286376953,2014-07-07
70.22357940673828,2014-07-08
71.30180358886719,2014-07-09
70.01936340332031,2014-07-10
68.78593444824219,2014-07-11
70.72998809814453,2014-07-14
68.09162902832031,2014-07-15
69.83147430419922,2014-07-16
69.19434356689453,2014-07-17
70.78718566894531,2014-07-18
71.87357330322266,2014-07-21
70.70549011230469,2014-07-22
71.75923156738281,2014-07-23
71.8899154663086,2014-07-24
70.00300598144531,2014-07-25
69.26785278320312,2014-07-28
69.91316223144531,2014-07-29
69.22702026367188,2014-07-30
67.16858673095703,2014-07-31
65.3633804321289,2014-08-01
66.66216278076172,2014-08-04
64.4730224609375,2014-08-05
64.13812255859375,2014-08-06
62.55347442626953,2014-08-07
63.26411056518555,2014-08-08
63.29677963256836,2014-08-11
62.11235427856445,2014-08-12
63.04356384277344,2014-08-13
61.96532440185547,2014-08-14
64.08092498779297,2014-08-15
65.16734313964844,2014-08-18
65.3470458984375,2014-08-19
65.54309844970703,2014-08-20
65.9515151977539,2014-08-21
65.3307113647461,2014-08-22
66.49060821533203,2014-08-25
68.51637268066406,2014-08-26
67.4708251953125,2014-08-27
67.96092224121094,2014-08-28
70.53396606445312,2014-08-29
67.98542785644531,2014-09-02
68.48369598388672,2014-09-03
64.9386215209961,2014-09-04
64.73442840576172,2014-09-05
63.239601135253906,2014-09-08
62.455440521240234,2014-09-09
62.7331657409668,2014-09-10
63.6071662902832,2014-09-11
62.53711700439453,2014-09-12
62.27573776245117,2014-09-15
63.89309310913086,2014-09-16
63.46832275390625,2014-09-17
62.22673797607422,2014-09-18
61.712120056152344,2014-09-19
60.004940032958984,2014-09-22
59.49848937988281,2014-09-23
60.69107437133789,2014-09-24
59.30244827270508,2014-09-25
60.15194320678711,2014-09-26
62.70048522949219,2014-09-29
61.08315658569336,2014-09-30
60.78091812133789,2014-10-01
61.491573333740234,2014-10-02
59.62916946411133,2014-10-03
60.42150115966797,2014-10-06
58.36307907104492,2014-10-07
59.72721862792969,2014-10-08
56.58237075805664,2014-10-09
52.8902702331543,2014-10-10
48.36498260498047,2014-10-13
47.73601150512695,2014-10-14
48.99394607543945,2014-10-15
51.55882263183594,2014-10-16
51.74668502807617,2014-10-17
52.50635528564453,2014-10-20
55.1284065246582,2014-10-21
52.441001892089844,2014-10-22
54.907859802246094,2014-10-23
54.9241943359375,2014-10-24
52.38383102416992,2014-10-27
55.365272521972656,2014-10-28
56.42715835571289,2014-10-29
55.283599853515625,2014-10-30
55.90439987182617,2014-10-31
55.046722412109375,2014-11-03
51.983577728271484,2014-11-04
53.1026496887207,2014-11-05
53.764286041259766,2014-11-06
56.76207733154297,2014-11-07
54.40141296386719,2014-11-10
55.136566162109375,2014-11-11
52.939273834228516,2014-11-12
52.898441314697266,2014-11-13
55.373443603515625,2014-11-14
52.048919677734375,2014-11-17
52.579864501953125,2014-11-18
53.2006721496582,2014-11-19
54.899688720703125,2014-11-20
56.966285705566406,2014-11-21
55.618492126464844,2014-11-24
54.752655029296875,2014-11-25
52.99645233154297,2014-11-26
46.06967544555664,2014-11-28
45.58773422241211,2014-12-01
47.245914459228516,2014-12-02
48.89592742919922,2014-12-03
47.76869201660156,2014-12-04
48.02190399169922,2014-12-05
44.76272201538086,2014-12-08
46.29838562011719,2014-12-09
43.823360443115234,2014-12-10
43.38227081298828,2014-12-11
42.859493255615234,2014-12-12
43.6273307800293,2014-12-15
45.61223220825195,2014-12-16
48.16893768310547,2014-12-17
48.66721725463867,2014-12-18
51.10139846801758,2014-12-19
49.88430404663086,2014-12-22
50.39890670776367,2014-12-23
49.157318115234375,2014-12-24
49.34518051147461,2014-12-26
49.320682525634766,2014-12-29
48.904090881347656,2014-12-30
48.83058166503906,2014-12-31
48.9531135559082,2015-01-02
46.788482666015625,2015-01-05
46.862003326416016,2015-01-06
47.58081817626953,2015-01-07
49.900630950927734,2015-01-08
50.51327133178711,2015-01-09
48.57736587524414,2015-01-12
50.02316665649414,2015-01-13
53.33953857421875,2015-01-14
51.82837677001953,2015-01-15
53.60908126831055,2015-01-16
51.30560302734375,2015-01-20
55.98609161376953,2015-01-21
55.52866744995117,2015-01-22
54.728153228759766,2015-01-23
55.96157455444336,2015-01-26
56.33732604980469,2015-01-27
53.976661682128906,2015-01-28
56.06777572631836,2015-01-29
56.35365676879883,2015-01-30
56.966285705566406,2015-02-02
56.917274475097656,2015-02-03
54.834346771240234,2015-02-04
56.41082000732422,2015-02-05
57.856632232666016,2015-02-06
57.28485870361328,2015-02-09
56.68854904174805,2015-02-10
56.1821174621582,2015-02-11
59.60465621948242,2015-02-12
60.004940032958984,2015-02-13
60.094783782958984,2015-02-17
60.28266525268555,2015-02-18
61.96532440185547,2015-02-19
61.33637619018555,2015-02-20
60.74007797241211,2015-02-23
60.51137161254883,2015-02-24
61.23017883300781,2015-02-25
59.76803970336914,2015-02-26
58.16704559326172,2015-02-27
57.97916793823242,2015-03-02
58.55912399291992,2015-03-03
58.65713119506836,2015-03-04
58.142539978027344,2015-03-05
57.06430435180664,2015-03-06
56.860103607177734,2015-03-09
55.618492126464844,2015-03-10
57.219512939453125,2015-03-11
57.1296501159668,2015-03-12
56.917274475097656,2015-03-13
57.17866516113281,2015-03-16
57.56257247924805,2015-03-17
59.343299865722656,2015-03-18
58.395748138427734,2015-03-19
59.09005355834961,2015-03-20
58.469261169433594,2015-03-23
60.25813293457031,2015-03-24
61.19750213623047,2015-03-25
62.77400207519531,2015-03-26
61.4017219543457,2015-03-27
63.41112518310547,2015-03-30
62.76583480834961,2015-03-31
63.2232780456543,2015-04-01
64.43218231201172,2015-04-02
64.91412353515625,2015-04-06
65.31436157226562,2015-04-07
63.76238250732422,2015-04-08
65.9351577758789,2015-04-09
65.95966339111328,2015-04-10
65.2326889038086,2015-04-13
65.66561889648438,2015-04-14
67.31563568115234,2015-04-15
68.0589370727539,2015-04-16
67.44632720947266,2015-04-17
68.67157745361328,2015-04-20
67.64234161376953,2015-04-21
66.9643783569336,2015-04-22
66.94805145263672,2015-04-23
65.20819854736328,2015-04-24
65.12651062011719,2015-04-27
65.53492736816406,2015-04-28
67.76488494873047,2015-04-29
67.44632720947266,2015-04-30
66.8827133178711,2015-05-01
67.7485580444336,2015-05-04
65.15101623535156,2015-05-05
64.2606430053711,2015-05-06
61.54057693481445,2015-05-07
62.90469741821289,2015-05-08
63.982933044433594,2015-05-11
65.01215362548828,2015-05-12
64.87330627441406,2015-05-13
63.05988693237305,2015-05-14
64.4730224609375,2015-05-15
64.71807861328125,2015-05-18
63.280433654785156,2015-05-19
64.14629364013672,2015-05-20
65.85347747802734,2015-05-21
66.4742660522461,2015-05-22
64.71807861328125,2015-05-26
64.67724609375,2015-05-27
63.32945251464844,2015-05-28
63.558162689208984,2015-05-29
64.49754333496094,2015-06-01
64.5547103881836,2015-06-02
63.43564987182617,2015-06-03
62.455440521240234,2015-06-04
63.92575454711914,2015-06-05
64.39136505126953,2015-06-08
65.33889770507812,2015-06-09
66.51512145996094,2015-06-10
66.1965560913086,2015-06-11
65.87799835205078,2015-06-12
65.25719451904297,2015-06-15
65.95966339111328,2015-06-16
64.84878540039062,2015-06-17
64.178955078125,2015-06-18
62.58612823486328,2015-06-19
64.375,2015-06-22
65.25719451904297,2015-06-23
63.68070602416992,2015-06-24
62.39827346801758,2015-06-25
61.46706008911133,2015-06-26
61.393558502197266,2015-06-29
61.5732536315918,2015-06-30
59.482147216796875,2015-07-01
59.735374450683594,2015-07-02
57.35020446777344,2015-07-06
58.04450988769531,2015-07-07
56.59871292114258,2015-07-08
57.88113021850586,2015-07-09
57.90564727783203,2015-07-10
58.248714447021484,2015-07-13
59.90690994262695,2015-07-14
57.74229049682617,2015-07-15
56.517024993896484,2015-07-16
54.131858825683594,2015-07-17
52.95561218261719,2015-07-20
53.88681411743164,2015-07-21
54.10735321044922,2015-07-22
54.148193359375,2015-07-23
52.195953369140625,2015-07-24
51.70585632324219,2015-07-27
53.086307525634766,2015-07-28
55.259098052978516,2015-07-29
55.283599853515625,2015-07-30
54.97320556640625,2015-07-31
54.58113098144531,2015-08-03
55.53681564331055,2015-08-04
55.847225189208984,2015-08-05
57.570762634277344,2015-08-06
56.231136322021484,2015-08-07
57.3338737487793,2015-08-10
57.88931655883789,2015-08-11
59.20443344116211,2015-08-12
58.54277801513672,2015-08-13
60.364322662353516,2015-08-14
58.9838752746582,2015-08-17
59.93959426879883,2015-08-18
58.681644439697266,2015-08-19
57.36655044555664,2015-08-20
54.3605842590332,2015-08-21
50.43974685668945,2015-08-24
49.68009567260742,2015-08-25
50.71748352050781,2015-08-26
53.66625213623047,2015-08-27
54.36874008178711,2015-08-28
55.78187561035156,2015-08-31
52.702392578125,2015-09-01
55.09573745727539,2015-09-02
54.71181869506836,2015-09-03
53.91132354736328,2015-09-04
54.981361389160156,2015-09-08
53.135318756103516,2015-09-09
54.6301155090332,2015-09-10
54.164527893066406,2015-09-11
53.68259811401367,2015-09-14
54.48309326171875,2015-09-15
57.08881759643555,2015-09-16
57.023460388183594,2015-09-17
56.36182403564453,2015-09-18
56.70490264892578,2015-09-21
56.50885009765625,2015-09-22
54.31156539916992,2015-09-23
54.45859909057617,2015-09-24
53.91947937011719,2015-09-25
51.158573150634766,2015-09-28
51.4608039855957,2015-09-29
52.76774215698242,2015-09-30
53.55190658569336,2015-10-01
56.65589141845703,2015-10-02
58.9838752746582,2015-10-05
59.286109924316406,2015-10-06
60.16012191772461,2015-10-07
62.25940704345703,2015-10-08
62.85567855834961,2015-10-09
62.823001861572266,2015-10-12
62.21855163574219,2015-10-13
62.430931091308594,2015-10-14
61.81830596923828,2015-10-15
63.04356384277344,2015-10-16
59.88240051269531,2015-10-19
59.92325210571289,2015-10-20
58.2160530090332,2015-10-21
59.09824752807617,2015-10-22
58.74698257446289,2015-10-23
59.53115463256836,2015-10-26
59.269775390625,2015-10-27
61.67127990722656,2015-10-28
61.58958435058594,2015-10-29
60.315311431884766,2015-10-30
59.964088439941406,2015-11-02
63.108909606933594,2015-11-03
