LIFE,Date
49.279998779296875,2016-08-16
47.31999969482422,2016-08-17
47.18000030517578,2016-08-18
46.7599983215332,2016-08-19
45.5,2016-08-22
45.5,2016-08-23
42.13999938964844,2016-08-24
41.15999984741211,2016-08-25
41.720001220703125,2016-08-26
40.599998474121094,2016-08-29
41.58000183105469,2016-08-30
40.880001068115234,2016-08-31
41.29999923706055,2016-09-01
40.599998474121094,2016-09-02
44.099998474121094,2016-09-06
42.70000076293945,2016-09-07
43.540000915527344,2016-09-08
43.119998931884766,2016-09-09
43.81999969482422,2016-09-12
42.84000015258789,2016-09-13
45.36000061035156,2016-09-14
45.63999938964844,2016-09-15
44.939998626708984,2016-09-16
45.779998779296875,2016-09-19
45.08000183105469,2016-09-20
46.060001373291016,2016-09-21
46.619998931884766,2016-09-22
46.20000076293945,2016-09-23
45.779998779296875,2016-09-26
46.20000076293945,2016-09-27
45.220001220703125,2016-09-28
44.52000045776367,2016-09-29
44.52000045776367,2016-09-30
44.65999984741211,2016-10-03
45.08000183105469,2016-10-04
45.5,2016-10-05
41.58000183105469,2016-10-06
40.599998474121094,2016-10-07
42.560001373291016,2016-10-10
40.459999084472656,2016-10-11
40.040000915527344,2016-10-12
40.31999969482422,2016-10-13
38.91999816894531,2016-10-14
37.79999923706055,2016-10-17
38.5,2016-10-18
38.5,2016-10-19
41.29999923706055,2016-10-20
40.599998474121094,2016-10-21
42.70000076293945,2016-10-24
39.900001525878906,2016-10-25
41.29999923706055,2016-10-26
40.599998474121094,2016-10-27
39.20000076293945,2016-10-28
38.5,2016-10-31
37.099998474121094,2016-11-01
36.400001525878906,2016-11-02
35.70000076293945,2016-11-03
37.79999923706055,2016-11-04
39.20000076293945,2016-11-07
37.79999923706055,2016-11-08
41.29999923706055,2016-11-09
44.099998474121094,2016-11-10
44.099998474121094,2016-11-11
49.0,2016-11-14
47.599998474121094,2016-11-15
47.599998474121094,2016-11-16
50.400001525878906,2016-11-17
52.5,2016-11-18
49.70000076293945,2016-11-21
46.20000076293945,2016-11-22
46.20000076293945,2016-11-23
44.099998474121094,2016-11-25
42.70000076293945,2016-11-28
44.099998474121094,2016-11-29
43.400001525878906,2016-11-30
43.400001525878906,2016-12-01
42.70000076293945,2016-12-02
45.5,2016-12-05
47.599998474121094,2016-12-06
47.599998474121094,2016-12-07
49.70000076293945,2016-12-08
50.400001525878906,2016-12-09
51.099998474121094,2016-12-12
39.20000076293945,2016-12-13
35.0,2016-12-14
32.900001525878906,2016-12-15
33.599998474121094,2016-12-16
30.100000381469727,2016-12-19
30.100000381469727,2016-12-20
32.20000076293945,2016-12-21
33.599998474121094,2016-12-22
34.29999923706055,2016-12-23
35.70000076293945,2016-12-27
32.20000076293945,2016-12-28
31.5,2016-12-29
30.100000381469727,2016-12-30
32.900001525878906,2017-01-03
34.29999923706055,2017-01-04
33.599998474121094,2017-01-05
34.29999923706055,2017-01-06
35.0,2017-01-09
35.0,2017-01-10
32.900001525878906,2017-01-11
35.0,2017-01-12
35.0,2017-01-13
34.29999923706055,2017-01-17
45.5,2017-01-18
42.0,2017-01-19
42.0,2017-01-20
41.29999923706055,2017-01-23
42.70000076293945,2017-01-24
42.70000076293945,2017-01-25
42.70000076293945,2017-01-26
42.0,2017-01-27
46.20000076293945,2017-01-30
46.20000076293945,2017-01-31
45.5,2017-02-01
45.5,2017-02-02
45.5,2017-02-03
47.599998474121094,2017-02-06
46.20000076293945,2017-02-07
46.20000076293945,2017-02-08
46.900001525878906,2017-02-09
47.599998474121094,2017-02-10
46.900001525878906,2017-02-13
46.900001525878906,2017-02-14
47.599998474121094,2017-02-15
48.29999923706055,2017-02-16
49.70000076293945,2017-02-17
51.099998474121094,2017-02-21
52.150001525878906,2017-02-22
47.95000076293945,2017-02-23
47.25,2017-02-24
48.29999923706055,2017-02-27
56.0,2017-02-28
52.5,2017-03-01
