RSG,Date
5.778599739074707,2000-01-12
5.805478096008301,2000-01-13
5.778599739074707,2000-01-14
5.697970390319824,2000-01-18
5.590458393096924,2000-01-19
5.590458393096924,2000-01-20
5.590458393096924,2000-01-21
5.456069469451904,2000-01-24
5.37544059753418,2000-01-25
5.106668949127197,2000-01-26
5.16042423248291,2000-01-27
5.052915573120117,2000-01-28
5.052915573120117,2000-01-31
4.784142971038818,2000-02-01
4.811018466949463,2000-02-02
4.6497578620910645,2000-02-03
4.945406436920166,2000-02-04
4.891651630401611,2000-02-07
4.864775657653809,2000-02-08
4.730387210845947,2000-02-09
4.461616039276123,2000-02-10
4.3272294998168945,2000-02-11
4.4884934425354,2000-02-14
4.703510761260986,2000-02-15
4.703510761260986,2000-02-16
4.945406436920166,2000-02-17
4.676633358001709,2000-02-18
4.864775657653809,2000-02-22
4.97228479385376,2000-02-23
4.864775657653809,2000-02-24
4.864775657653809,2000-02-25
4.59600305557251,2000-02-28
4.6228790283203125,2000-02-29
4.569125175476074,2000-03-01
4.4884934425354,2000-03-02
4.6228790283203125,2000-03-03
4.569125175476074,2000-03-06
4.434737682342529,2000-03-07
4.461616039276123,2000-03-08
4.784142971038818,2000-03-09
4.703510761260986,2000-03-10
4.784142971038818,2000-03-13
4.461616039276123,2000-03-14
4.407860279083252,2000-03-15
4.515372276306152,2000-03-16
4.4884934425354,2000-03-17
4.6228790283203125,2000-03-20
4.461616039276123,2000-03-21
4.542247772216797,2000-03-22
4.6497578620910645,2000-03-23
4.434737682342529,2000-03-24
4.703510761260986,2000-03-27
4.676633358001709,2000-03-28
4.569125175476074,2000-03-29
4.569125175476074,2000-03-30
4.703510761260986,2000-03-31
5.133546352386475,2000-04-03
4.999162197113037,2000-04-04
5.026037216186523,2000-04-05
5.348565101623535,2000-04-06
5.563581466674805,2000-04-07
5.563581466674805,2000-04-10
5.4829511642456055,2000-04-11
5.2948102951049805,2000-04-12
5.37544059753418,2000-04-13
5.241055488586426,2000-04-14
5.348565101623535,2000-04-17
5.402317047119141,2000-04-18
5.267931938171387,2000-04-19
5.348565101623535,2000-04-20
5.429197311401367,2000-04-24
5.456069469451904,2000-04-25
5.617336273193359,2000-04-26
5.697970390319824,2000-04-27
5.886108875274658,2000-04-28
6.020495891571045,2000-05-01
6.020495891571045,2000-05-02
5.832353591918945,2000-05-03
5.886108875274658,2000-05-04
6.020495891571045,2000-05-05
5.966740608215332,2000-05-08
5.966740608215332,2000-05-09
6.020495891571045,2000-05-10
6.988073348999023,2000-05-11
7.014953136444092,2000-05-12
6.988073348999023,2000-05-15
6.826813697814941,2000-05-16
6.961196422576904,2000-05-17
6.746179580688477,2000-05-18
6.55803918838501,2000-05-19
6.423652172088623,2000-05-22
6.262390613555908,2000-05-23
6.3161444664001465,2000-05-24
6.746179580688477,2000-05-25
7.09558629989624,2000-05-26
7.176212787628174,2000-05-30
7.09558629989624,2000-05-31
6.907439708709717,2000-06-01
6.907439708709717,2000-06-02
6.55803918838501,2000-06-05
6.262390613555908,2000-06-06
6.128005027770996,2000-06-07
6.2355122566223145,2000-06-08
6.36989688873291,2000-06-09
6.343021392822266,2000-06-12
5.993617534637451,2000-06-13
6.101125240325928,2000-06-14
6.181759357452393,2000-06-15
6.047370433807373,2000-06-16
6.181759357452393,2000-06-19
6.154879093170166,2000-06-20
6.181759357452393,2000-06-21
6.047370433807373,2000-06-22
6.020495891571045,2000-06-23
6.128005027770996,2000-06-26
6.101125240325928,2000-06-27
6.181759357452393,2000-06-28
6.799931526184082,2000-06-29
6.840250492095947,2000-06-30
6.934319019317627,2000-07-03
6.880565166473389,2000-07-05
6.907439708709717,2000-07-06
7.068707466125488,2000-07-07
6.7730560302734375,2000-07-10
6.665547847747803,2000-07-11
7.068707466125488,2000-07-12
6.988073348999023,2000-07-13
7.122459411621094,2000-07-14
7.203090667724609,2000-07-17
7.337478160858154,2000-07-18
6.880565166473389,2000-07-19
6.853686809539795,2000-07-20
7.014953136444092,2000-07-21
6.826813697814941,2000-07-24
7.203090667724609,2000-07-25
7.364356517791748,2000-07-26
7.09558629989624,2000-07-27
7.203090667724609,2000-07-28
7.203090667724609,2000-07-31
7.203090667724609,2000-08-01
7.176212787628174,2000-08-02
6.719301223754883,2000-08-03
6.665547847747803,2000-08-04
7.256846904754639,2000-08-07
7.09558629989624,2000-08-08
7.04182767868042,2000-08-09
7.09558629989624,2000-08-10
7.310600280761719,2000-08-11
7.418108940124512,2000-08-14
7.229968070983887,2000-08-15
7.229968070983887,2000-08-16
7.149338722229004,2000-08-17
6.665547847747803,2000-08-18
7.09558629989624,2000-08-21
6.961196422576904,2000-08-22
6.826813697814941,2000-08-23
6.826813697814941,2000-08-24
6.7730560302734375,2000-08-25
6.665547847747803,2000-08-28
6.638670444488525,2000-08-29
6.504284381866455,2000-08-30
6.2892656326293945,2000-08-31
6.611794471740723,2000-09-01
6.638670444488525,2000-09-05
6.719301223754883,2000-09-06
6.934319019317627,2000-09-07
7.014953136444092,2000-09-08
7.068707466125488,2000-09-11
7.09558629989624,2000-09-12
6.853686809539795,2000-09-13
6.611794471740723,2000-09-14
6.450529098510742,2000-09-15
6.36989688873291,2000-09-18
6.343021392822266,2000-09-19
6.3967719078063965,2000-09-20
6.3967719078063965,2000-09-21
6.020495891571045,2000-09-22
5.993617534637451,2000-09-25
5.832353591918945,2000-09-26
5.509829044342041,2000-09-27
5.563581466674805,2000-09-28
5.644214153289795,2000-09-29
5.7248430252075195,2000-10-02
5.832353591918945,2000-10-03
5.832353591918945,2000-10-04
5.832353591918945,2000-10-05
5.85922908782959,2000-10-06
5.590458393096924,2000-10-09
5.617336273193359,2000-10-10
5.644214153289795,2000-10-11
5.37544059753418,2000-10-12
5.348565101623535,2000-10-13
5.241055488586426,2000-10-16
5.241055488586426,2000-10-17
5.026037216186523,2000-10-18
4.864775657653809,2000-10-19
5.133546352386475,2000-10-20
5.16042423248291,2000-10-23
5.214176654815674,2000-10-24
5.214176654815674,2000-10-25
4.891651630401611,2000-10-26
4.945406436920166,2000-10-27
5.106668949127197,2000-10-30
5.778599739074707,2000-10-31
5.805478096008301,2000-11-01
