SEE,Date
0.29607781767845154,1980-11-21
0.29607781767845154,1980-11-24
0.30156123638153076,1980-11-25
0.304302453994751,1980-11-26
0.304302453994751,1980-11-28
0.3029317557811737,1980-12-01
0.304302453994751,1980-12-02
0.3029317557811737,1980-12-03
0.3029317557811737,1980-12-04
0.30156123638153076,1980-12-05
0.30156123638153076,1980-12-08
0.2988191246986389,1980-12-09
0.2988191246986389,1980-12-10
0.2919659912586212,1980-12-11
0.2919659912586212,1980-12-12
0.2919659912586212,1980-12-15
0.2919659912586212,1980-12-16
0.29059523344039917,1980-12-17
0.29607781767845154,1980-12-18
0.2988191246986389,1980-12-19
0.2988191246986389,1980-12-22
0.3029317557811737,1980-12-23
0.3084142506122589,1980-12-24
0.31526830792427063,1980-12-26
0.31938010454177856,1980-12-29
