GF,Date
1.5227340459823608,1990-07-10
1.496924877166748,1990-07-11
1.4711155891418457,1990-07-12
1.496924877166748,1990-07-13
1.5098291635513306,1990-07-16
1.5227340459823608,1990-07-17
1.5227340459823608,1990-07-18
1.4840197563171387,1990-07-19
1.4453072547912598,1990-07-20
1.3936885595321655,1990-07-23
1.4065932035446167,1990-07-24
1.3936885595321655,1990-07-25
1.3678791522979736,1990-07-26
1.3678791522979736,1990-07-27
1.3678791522979736,1990-07-30
1.4840197563171387,1990-07-31
1.4194973707199097,1990-08-01
1.3807843923568726,1990-08-02
1.342070460319519,1990-08-03
1.2646434307098389,1990-08-06
1.277547836303711,1990-08-07
1.3033568859100342,1990-08-08
1.277547836303711,1990-08-09
1.2517386674880981,1990-08-10
1.2517386674880981,1990-08-13
1.2388341426849365,1990-08-14
1.277547836303711,1990-08-15
1.2646434307098389,1990-08-16
1.1743115186691284,1990-08-17
1.161407232284546,1990-08-20
1.1226937770843506,1990-08-21
1.1226937770843506,1990-08-22
1.0323622226715088,1990-08-23
1.1355981826782227,1990-08-24
1.2517386674880981,1990-08-27
1.2130253314971924,1990-08-28
1.2259299755096436,1990-08-29
1.1872164011001587,1990-08-30
1.161407232284546,1990-08-31
1.1226937770843506,1990-09-04
1.161407232284546,1990-09-05
1.1226937770843506,1990-09-06
1.109789252281189,1990-09-07
1.1743115186691284,1990-09-10
1.1485025882720947,1990-09-11
1.1485025882720947,1990-09-12
1.1485025882720947,1990-09-13
1.1355981826782227,1990-09-14
1.1485025882720947,1990-09-17
1.1226937770843506,1990-09-18
1.109789252281189,1990-09-19
1.045266032218933,1990-09-20
1.0194575786590576,1990-09-21
1.0065526962280273,1990-09-24
1.0065526962280273,1990-09-25
0.9936486482620239,1990-09-26
0.9936486482620239,1990-09-27
1.0065526962280273,1990-09-28
1.161407232284546,1990-10-01
1.1355981826782227,1990-10-02
1.109789252281189,1990-10-03
1.0839799642562866,1990-10-04
1.071075439453125,1990-10-05
1.1226937770843506,1990-10-08
1.071075439453125,1990-10-09
1.0839799642562866,1990-10-10
1.1226937770843506,1990-10-11
1.1872164011001587,1990-10-12
1.1872164011001587,1990-10-15
1.161407232284546,1990-10-16
1.1226937770843506,1990-10-17
1.2001208066940308,1990-10-18
1.2001208066940308,1990-10-19
1.1872164011001587,1990-10-22
1.1872164011001587,1990-10-23
1.1743115186691284,1990-10-24
1.2130253314971924,1990-10-25
1.1485025882720947,1990-10-26
1.161407232284546,1990-10-29
1.1226937770843506,1990-10-30
1.1743115186691284,1990-10-31
1.1485025882720947,1990-11-01
1.161407232284546,1990-11-02
1.161407232284546,1990-11-05
1.161407232284546,1990-11-06
1.1743115186691284,1990-11-07
1.1485025882720947,1990-11-08
1.1743115186691284,1990-11-09
1.2259299755096436,1990-11-12
1.1872164011001587,1990-11-13
1.2517386674880981,1990-11-14
1.2130253314971924,1990-11-15
1.2130253314971924,1990-11-16
1.2259299755096436,1990-11-19
1.2130253314971924,1990-11-20
1.2388341426849365,1990-11-21
1.2259299755096436,1990-11-23
1.161407232284546,1990-11-26
1.1743115186691284,1990-11-27
1.2281938791275024,1990-11-28
1.2281938791275024,1990-11-29
1.3074320554733276,1990-11-30
1.2810192108154297,1990-12-03
1.2546063661575317,1990-12-04
1.2546063661575317,1990-12-05
1.2810192108154297,1990-12-06
1.2546063661575317,1990-12-07
1.2678128480911255,1990-12-10
1.2017812728881836,1990-12-11
1.294225811958313,1990-12-12
1.3206385374069214,1990-12-13
1.3074320554733276,1990-12-14
1.294225811958313,1990-12-17
1.2281938791275024,1990-12-18
1.2017812728881836,1990-12-19
1.1753684282302856,1990-12-20
1.2017812728881836,1990-12-21
1.1753684282302856,1990-12-24
1.2281938791275024,1990-12-26
1.2281938791275024,1990-12-27
1.2017812728881836,1990-12-28
1.1885746717453003,1990-12-31
1.1753684282302856,1991-01-02
1.1885746717453003,1991-01-03
1.1885746717453003,1991-01-04
1.1357489824295044,1991-01-07
1.1093366146087646,1991-01-08
1.0961296558380127,1991-01-09
1.1093366146087646,1991-01-10
1.0829235315322876,1991-01-11
1.0300980806350708,1991-01-14
1.0433039665222168,1991-01-15
1.0300980806350708,1991-01-16
1.1753684282302856,1991-01-17
1.148955225944519,1991-01-18
1.1357489824295044,1991-01-21
1.0961296558380127,1991-01-22
1.0961296558380127,1991-01-23
1.1225422620773315,1991-01-24
1.1093366146087646,1991-01-25
1.0697170495986938,1991-01-28
1.1093366146087646,1991-01-29
1.1753684282302856,1991-01-30
1.148955225944519,1991-01-31
1.1357489824295044,1991-02-01
1.1621618270874023,1991-02-04
1.1753684282302856,1991-02-05
1.2017812728881836,1991-02-06
1.2017812728881836,1991-02-07
1.2017812728881836,1991-02-08
1.3470507860183716,1991-02-11
1.3470507860183716,1991-02-12
1.3998764753341675,1991-02-13
1.37346351146698,1991-02-14
1.3866702318191528,1991-02-15
1.3998764753341675,1991-02-19
1.3206385374069214,1991-02-20
1.333844780921936,1991-02-21
1.3470507860183716,1991-02-22
1.3470507860183716,1991-02-25
1.2414002418518066,1991-02-26
1.2810192108154297,1991-02-27
1.2810192108154297,1991-02-28
1.2678128480911255,1991-03-01
1.2546063661575317,1991-03-04
1.3206385374069214,1991-03-05
1.333844780921936,1991-03-06
1.3470507860183716,1991-03-07
1.333844780921936,1991-03-08
1.294225811958313,1991-03-11
1.2281938791275024,1991-03-12
1.2017812728881836,1991-03-13
1.2017812728881836,1991-03-14
1.1753684282302856,1991-03-15
1.148955225944519,1991-03-18
1.1093366146087646,1991-03-19
1.0961296558380127,1991-03-20
1.1093366146087646,1991-03-21
1.0961296558380127,1991-03-22
1.0829235315322876,1991-03-25
1.0961296558380127,1991-03-26
1.0697170495986938,1991-03-27
1.0697170495986938,1991-03-28
1.0697170495986938,1991-04-01
1.0961296558380127,1991-04-02
1.1225422620773315,1991-04-03
1.1357489824295044,1991-04-04
1.1093366146087646,1991-04-05
1.1225422620773315,1991-04-08
1.1225422620773315,1991-04-09
1.1093366146087646,1991-04-10
1.1225422620773315,1991-04-11
1.1225422620773315,1991-04-12
1.1093366146087646,1991-04-15
1.1225422620773315,1991-04-16
1.1357489824295044,1991-04-17
1.1357489824295044,1991-04-18
1.1093366146087646,1991-04-19
1.0697170495986938,1991-04-22
1.0961296558380127,1991-04-23
1.0697170495986938,1991-04-24
1.0829235315322876,1991-04-25
1.0697170495986938,1991-04-26
1.0697170495986938,1991-04-29
1.0961296558380127,1991-04-30
1.1357489824295044,1991-05-01
1.1357489824295044,1991-05-02
1.1093366146087646,1991-05-03
1.1093366146087646,1991-05-06
1.1225422620773315,1991-05-07
1.0829235315322876,1991-05-08
1.0697170495986938,1991-05-09
1.0697170495986938,1991-05-10
1.1093366146087646,1991-05-13
1.0697170495986938,1991-05-14
1.0697170495986938,1991-05-15
1.0829235315322876,1991-05-16
1.1093366146087646,1991-05-17
1.0961296558380127,1991-05-20
1.0961296558380127,1991-05-21
1.1093366146087646,1991-05-22
1.1225422620773315,1991-05-23
1.1225422620773315,1991-05-24
1.148955225944519,1991-05-28
1.148955225944519,1991-05-29
1.1753684282302856,1991-05-30
1.1753684282302856,1991-05-31
1.1753684282302856,1991-06-03
1.148955225944519,1991-06-04
1.1621618270874023,1991-06-05
1.1753684282302856,1991-06-06
1.148955225944519,1991-06-07
1.1357489824295044,1991-06-10
1.0961296558380127,1991-06-11
1.0829235315322876,1991-06-12
1.0961296558380127,1991-06-13
1.0961296558380127,1991-06-14
1.0961296558380127,1991-06-17
1.0961296558380127,1991-06-18
1.0829235315322876,1991-06-19
1.0697170495986938,1991-06-20
1.0697170495986938,1991-06-21
1.0433039665222168,1991-06-24
1.0565104484558105,1991-06-25
1.0300980806350708,1991-06-26
1.0433039665222168,1991-06-27
1.0300980806350708,1991-06-28
1.0300980806350708,1991-07-01
1.0300980806350708,1991-07-02
1.0168917179107666,1991-07-03
1.0036851167678833,1991-07-05
1.0036851167678833,1991-07-08
0.990479052066803,1991-07-09
1.0036851167678833,1991-07-10
1.0036851167678833,1991-07-11
1.0433039665222168,1991-07-12
1.0433039665222168,1991-07-15
1.0565104484558105,1991-07-16
1.0036851167678833,1991-07-17
1.0168917179107666,1991-07-18
1.0433039665222168,1991-07-19
1.0829235315322876,1991-07-22
1.0697170495986938,1991-07-23
1.0565104484558105,1991-07-24
1.0961296558380127,1991-07-25
1.0829235315322876,1991-07-26
1.0565104484558105,1991-07-29
1.0565104484558105,1991-07-30
1.0433039665222168,1991-07-31
1.0565104484558105,1991-08-01
1.0433039665222168,1991-08-02
1.0697170495986938,1991-08-05
1.0697170495986938,1991-08-06
1.0961296558380127,1991-08-07
1.0829235315322876,1991-08-08
1.0697170495986938,1991-08-09
1.0697170495986938,1991-08-12
1.0961296558380127,1991-08-13
1.0829235315322876,1991-08-14
1.0829235315322876,1991-08-15
1.0697170495986938,1991-08-16
0.9508596658706665,1991-08-19
0.990479052066803,1991-08-20
1.0961296558380127,1991-08-21
1.0829235315322876,1991-08-22
1.0829235315322876,1991-08-23
1.1093366146087646,1991-08-26
1.0829235315322876,1991-08-27
1.0829235315322876,1991-08-28
1.0637751817703247,1991-08-29
1.0770726203918457,1991-08-30
1.0903701782226562,1991-09-03
1.0770726203918457,1991-09-04
1.0637751817703247,1991-09-05
1.0770726203918457,1991-09-06
1.0770726203918457,1991-09-09
1.0770726203918457,1991-09-10
1.0770726203918457,1991-09-11
1.0903701782226562,1991-09-12
1.1036670207977295,1991-09-13
1.1302614212036133,1991-09-16
1.1169644594192505,1991-09-17
1.1169644594192505,1991-09-18
1.1302614212036133,1991-09-19
1.1302614212036133,1991-09-20
1.1701531410217285,1991-09-23
1.1568559408187866,1991-09-24
1.1568559408187866,1991-09-25
1.1435585021972656,1991-09-26
1.1169644594192505,1991-09-27
1.1435585021972656,1991-09-30
1.1435585021972656,1991-10-01
1.1568559408187866,1991-10-02
1.1435585021972656,1991-10-03
1.1967473030090332,1991-10-04
1.1701531410217285,1991-10-07
1.18345046043396,1991-10-08
1.1967473030090332,1991-10-09
1.18345046043396,1991-10-10
1.18345046043396,1991-10-11
1.1701531410217285,1991-10-14
1.18345046043396,1991-10-15
1.1701531410217285,1991-10-16
1.1701531410217285,1991-10-17
1.1701531410217285,1991-10-18
1.1568559408187866,1991-10-21
1.1701531410217285,1991-10-22
1.1701531410217285,1991-10-23
1.1568559408187866,1991-10-24
1.1302614212036133,1991-10-25
1.1302614212036133,1991-10-28
1.1435585021972656,1991-10-29
1.1302614212036133,1991-10-30
1.1435585021972656,1991-10-31
1.1435585021972656,1991-11-01
1.1302614212036133,1991-11-04
1.1435585021972656,1991-11-05
1.1302614212036133,1991-11-06
1.1302614212036133,1991-11-07
1.1435585021972656,1991-11-08
1.1435585021972656,1991-11-11
1.1435585021972656,1991-11-12
1.1302614212036133,1991-11-13
1.1435585021972656,1991-11-14
1.1169644594192505,1991-11-15
1.1302614212036133,1991-11-18
1.1036670207977295,1991-11-19
1.0770726203918457,1991-11-20
1.0770726203918457,1991-11-21
1.1036670207977295,1991-11-22
1.1169644594192505,1991-11-25
1.1302614212036133,1991-11-26
1.1036670207977295,1991-11-27
1.0770726203918457,1991-11-29
1.0504778623580933,1991-12-02
1.0371813774108887,1991-12-03
1.0238841772079468,1991-12-04
1.0238841772079468,1991-12-05
1.0371813774108887,1991-12-06
1.0371813774108887,1991-12-09
1.0238841772079468,1991-12-10
1.0105867385864258,1991-12-11
1.0371813774108887,1991-12-12
1.0504778623580933,1991-12-13
1.0238841772079468,1991-12-16
1.0238841772079468,1991-12-17
1.0238841772079468,1991-12-18
1.0105867385864258,1991-12-19
1.0238841772079468,1991-12-20
1.0504778623580933,1991-12-23
1.0504778623580933,1991-12-24
1.0504778623580933,1991-12-26
1.0637751817703247,1991-12-27
1.1036670207977295,1991-12-30
1.1435585021972656,1991-12-31
1.1435585021972656,1992-01-02
1.1435585021972656,1992-01-03
1.1701531410217285,1992-01-06
1.1967473030090332,1992-01-07
1.18345046043396,1992-01-08
1.1967473030090332,1992-01-09
1.1967473030090332,1992-01-10
1.1967473030090332,1992-01-13
1.1967473030090332,1992-01-14
1.2100449800491333,1992-01-15
1.2100449800491333,1992-01-16
1.223341703414917,1992-01-17
1.2366390228271484,1992-01-20
1.2765306234359741,1992-01-21
1.2765306234359741,1992-01-22
1.2499361038208008,1992-01-23
1.2632330656051636,1992-01-24
1.2632330656051636,1992-01-27
1.2632330656051636,1992-01-28
1.2366390228271484,1992-01-29
1.2499361038208008,1992-01-30
1.2765306234359741,1992-01-31
1.2765306234359741,1992-02-03
1.2898279428482056,1992-02-04
1.2765306234359741,1992-02-05
1.2499361038208008,1992-02-06
1.1967473030090332,1992-02-07
1.2100449800491333,1992-02-10
1.2100449800491333,1992-02-11
1.223341703414917,1992-02-12
1.2100449800491333,1992-02-13
1.1967473030090332,1992-02-14
1.1701531410217285,1992-02-18
1.1701531410217285,1992-02-19
1.18345046043396,1992-02-20
1.1701531410217285,1992-02-21
1.1701531410217285,1992-02-24
1.2100449800491333,1992-02-25
1.18345046043396,1992-02-26
1.18345046043396,1992-02-27
1.1967473030090332,1992-02-28
1.1967473030090332,1992-03-02
1.2499361038208008,1992-03-03
1.2632330656051636,1992-03-04
1.2366390228271484,1992-03-05
1.2499361038208008,1992-03-06
1.2366390228271484,1992-03-09
1.2366390228271484,1992-03-10
1.223341703414917,1992-03-11
1.223341703414917,1992-03-12
1.2366390228271484,1992-03-13
1.223341703414917,1992-03-16
1.2100449800491333,1992-03-17
1.223341703414917,1992-03-18
1.1967473030090332,1992-03-19
1.223341703414917,1992-03-20
1.223341703414917,1992-03-23
1.1967473030090332,1992-03-24
1.18345046043396,1992-03-25
1.18345046043396,1992-03-26
1.18345046043396,1992-03-27
1.18345046043396,1992-03-30
1.18345046043396,1992-03-31
1.18345046043396,1992-04-01
1.1701531410217285,1992-04-02
1.1701531410217285,1992-04-03
1.1701531410217285,1992-04-06
1.18345046043396,1992-04-07
1.1568559408187866,1992-04-08
1.1568559408187866,1992-04-09
1.1568559408187866,1992-04-10
1.1701531410217285,1992-04-13
1.18345046043396,1992-04-14
1.18345046043396,1992-04-15
1.1701531410217285,1992-04-16
1.1568559408187866,1992-04-20
1.1568559408187866,1992-04-21
1.1568559408187866,1992-04-22
1.1568559408187866,1992-04-23
1.1701531410217285,1992-04-24
1.1568559408187866,1992-04-27
1.1435585021972656,1992-04-28
1.1435585021972656,1992-04-29
1.1568559408187866,1992-04-30
1.1435585021972656,1992-05-01
1.1568559408187866,1992-05-04
1.1568559408187866,1992-05-05
1.1701531410217285,1992-05-06
1.1701531410217285,1992-05-07
1.18345046043396,1992-05-08
1.1568559408187866,1992-05-11
1.1568559408187866,1992-05-12
1.1568559408187866,1992-05-13
1.1435585021972656,1992-05-14
1.1568559408187866,1992-05-15
1.1967473030090332,1992-05-18
1.1967473030090332,1992-05-19
1.2366390228271484,1992-05-20
1.2366390228271484,1992-05-21
1.2366390228271484,1992-05-22
1.2100449800491333,1992-05-26
1.18345046043396,1992-05-27
1.1967473030090332,1992-05-28
1.223341703414917,1992-05-29
1.2366390228271484,1992-06-01
1.223341703414917,1992-06-02
1.223341703414917,1992-06-03
1.2366390228271484,1992-06-04
1.2366390228271484,1992-06-05
1.2499361038208008,1992-06-08
1.2499361038208008,1992-06-09
1.2366390228271484,1992-06-10
1.2366390228271484,1992-06-11
1.2366390228271484,1992-06-12
1.2366390228271484,1992-06-15
1.223341703414917,1992-06-16
1.2100449800491333,1992-06-17
1.1701531410217285,1992-06-18
1.1967473030090332,1992-06-19
1.18345046043396,1992-06-22
1.2100449800491333,1992-06-23
1.223341703414917,1992-06-24
1.2100449800491333,1992-06-25
1.223341703414917,1992-06-26
1.2366390228271484,1992-06-29
1.223341703414917,1992-06-30
1.2366390228271484,1992-07-01
1.223341703414917,1992-07-02
1.2366390228271484,1992-07-06
1.2632330656051636,1992-07-07
1.2765306234359741,1992-07-08
1.2898279428482056,1992-07-09
1.2898279428482056,1992-07-10
1.2765306234359741,1992-07-13
1.2765306234359741,1992-07-14
1.2632330656051636,1992-07-15
1.2366390228271484,1992-07-16
1.223341703414917,1992-07-17
1.223341703414917,1992-07-20
1.223341703414917,1992-07-21
1.18345046043396,1992-07-22
1.1967473030090332,1992-07-23
1.1701531410217285,1992-07-24
1.1967473030090332,1992-07-27
1.18345046043396,1992-07-28
1.18345046043396,1992-07-29
1.18345046043396,1992-07-30
1.1967473030090332,1992-07-31
1.18345046043396,1992-08-03
1.1967473030090332,1992-08-04
1.1967473030090332,1992-08-05
1.1967473030090332,1992-08-06
1.18345046043396,1992-08-07
1.18345046043396,1992-08-10
1.2100449800491333,1992-08-11
1.1967473030090332,1992-08-12
1.1701531410217285,1992-08-13
1.1967473030090332,1992-08-14
1.18345046043396,1992-08-17
1.1701531410217285,1992-08-18
1.1435585021972656,1992-08-19
1.1568559408187866,1992-08-20
1.1568559408187866,1992-08-21
1.1302614212036133,1992-08-24
1.1568559408187866,1992-08-25
1.1169644594192505,1992-08-26
1.1302614212036133,1992-08-27
1.1568559408187866,1992-08-28
1.1701531410217285,1992-08-31
1.1967473030090332,1992-09-01
1.2366390228271484,1992-09-02
1.2632330656051636,1992-09-03
1.2632330656051636,1992-09-04
1.2632330656051636,1992-09-08
1.2499361038208008,1992-09-09
1.2499361038208008,1992-09-10
1.2499361038208008,1992-09-11
1.3297193050384521,1992-09-14
1.3297193050384521,1992-09-15
1.3297193050384521,1992-09-16
1.303125262260437,1992-09-17
1.3297193050384521,1992-09-18
1.2898279428482056,1992-09-21
1.2100449800491333,1992-09-22
1.2100449800491333,1992-09-23
1.2632330656051636,1992-09-24
1.223341703414917,1992-09-25
1.2100449800491333,1992-09-28
1.18345046043396,1992-09-29
1.1568559408187866,1992-09-30
1.1701531410217285,1992-10-01
1.1701531410217285,1992-10-02
1.1302614212036133,1992-10-05
1.1568559408187866,1992-10-06
1.1568559408187866,1992-10-07
1.1568559408187866,1992-10-08
1.1967473030090332,1992-10-09
1.1701531410217285,1992-10-12
1.1967473030090332,1992-10-13
1.1701531410217285,1992-10-14
1.1568559408187866,1992-10-15
1.1701531410217285,1992-10-16
1.1568559408187866,1992-10-19
1.1435585021972656,1992-10-20
1.1568559408187866,1992-10-21
1.1701531410217285,1992-10-22
1.1967473030090332,1992-10-23
1.18345046043396,1992-10-26
1.1701531410217285,1992-10-27
1.1435585021972656,1992-10-28
1.1169644594192505,1992-10-29
1.1169644594192505,1992-10-30
1.1302614212036133,1992-11-02
1.1302614212036133,1992-11-03
1.0903701782226562,1992-11-04
1.0637751817703247,1992-11-05
1.0637751817703247,1992-11-06
1.0637751817703247,1992-11-09
1.0504778623580933,1992-11-10
1.0504778623580933,1992-11-11
1.0770726203918457,1992-11-12
1.0770726203918457,1992-11-13
1.0504778623580933,1992-11-16
1.0504778623580933,1992-11-17
1.0504778623580933,1992-11-18
1.0371813774108887,1992-11-19
1.0504778623580933,1992-11-20
1.0504778623580933,1992-11-23
1.0238841772079468,1992-11-24
1.0371813774108887,1992-11-25
1.0238841772079468,1992-11-27
1.0371813774108887,1992-11-30
1.0238841772079468,1992-12-01
1.0238841772079468,1992-12-02
1.0105867385864258,1992-12-03
0.997289776802063,1992-12-04
1.0105867385864258,1992-12-07
1.0371813774108887,1992-12-08
1.0371813774108887,1992-12-09
1.0371813774108887,1992-12-10
1.0238841772079468,1992-12-11
1.0371813774108887,1992-12-14
1.0238841772079468,1992-12-15
1.0105867385864258,1992-12-16
1.0105867385864258,1992-12-17
0.997289776802063,1992-12-18
1.0168122053146362,1992-12-21
1.0168122053146362,1992-12-22
1.04392671585083,1992-12-23
1.057484745979309,1992-12-24
1.0303698778152466,1992-12-28
1.0168122053146362,1992-12-29
1.0303698778152466,1992-12-30
1.0303698778152466,1992-12-31
1.04392671585083,1993-01-04
1.0845998525619507,1993-01-05
1.125272512435913,1993-01-06
1.0981574058532715,1993-01-07
1.0981574058532715,1993-01-08
1.0845998525619507,1993-01-11
1.0710421800613403,1993-01-12
1.0710421800613403,1993-01-13
1.0845998525619507,1993-01-14
1.1388298273086548,1993-01-15
1.1388298273086548,1993-01-18
1.152387022972107,1993-01-19
1.1388298273086548,1993-01-20
1.1388298273086548,1993-01-21
1.152387022972107,1993-01-22
1.152387022972107,1993-01-25
1.152387022972107,1993-01-26
1.0981574058532715,1993-01-27
1.1117146015167236,1993-01-28
1.0981574058532715,1993-01-29
1.1117146015167236,1993-02-01
1.0981574058532715,1993-02-02
1.0981574058532715,1993-02-03
1.2201744318008423,1993-02-04
1.2066173553466797,1993-02-05
1.193060040473938,1993-02-08
1.179502248764038,1993-02-09
1.152387022972107,1993-02-10
1.179502248764038,1993-02-11
1.193060040473938,1993-02-12
1.152387022972107,1993-02-16
1.1388298273086548,1993-02-17
1.1388298273086548,1993-02-18
1.165945053100586,1993-02-19
1.179502248764038,1993-02-22
1.1388298273086548,1993-02-23
1.125272512435913,1993-02-24
1.165945053100586,1993-02-25
1.165945053100586,1993-02-26
1.193060040473938,1993-03-01
1.2066173553466797,1993-03-02
1.2337325811386108,1993-03-03
1.2201744318008423,1993-03-04
1.2337325811386108,1993-03-05
1.2201744318008423,1993-03-08
1.2201744318008423,1993-03-09
1.2201744318008423,1993-03-10
1.2066173553466797,1993-03-11
1.193060040473938,1993-03-12
1.2066173553466797,1993-03-15
1.2201744318008423,1993-03-16
1.2066173553466797,1993-03-17
1.193060040473938,1993-03-18
1.2201744318008423,1993-03-19
1.165945053100586,1993-03-22
1.165945053100586,1993-03-23
1.152387022972107,1993-03-24
1.165945053100586,1993-03-25
1.165945053100586,1993-03-26
1.165945053100586,1993-03-29
1.179502248764038,1993-03-30
1.179502248764038,1993-03-31
1.165945053100586,1993-04-01
1.1388298273086548,1993-04-02
1.152387022972107,1993-04-05
1.152387022972107,1993-04-06
1.165945053100586,1993-04-07
1.152387022972107,1993-04-08
1.179502248764038,1993-04-12
1.152387022972107,1993-04-13
1.179502248764038,1993-04-14
1.179502248764038,1993-04-15
1.165945053100586,1993-04-16
1.179502248764038,1993-04-19
1.179502248764038,1993-04-20
1.179502248764038,1993-04-21
1.193060040473938,1993-04-22
1.179502248764038,1993-04-23
1.2066173553466797,1993-04-26
1.2337325811386108,1993-04-27
1.2337325811386108,1993-04-28
1.2337325811386108,1993-04-29
1.2201744318008423,1993-04-30
1.2201744318008423,1993-05-03
1.2066173553466797,1993-05-04
1.2066173553466797,1993-05-05
1.193060040473938,1993-05-06
1.2066173553466797,1993-05-07
1.179502248764038,1993-05-10
1.165945053100586,1993-05-11
1.179502248764038,1993-05-12
1.152387022972107,1993-05-13
1.179502248764038,1993-05-14
1.1388298273086548,1993-05-17
1.165945053100586,1993-05-18
1.165945053100586,1993-05-19
1.152387022972107,1993-05-20
1.165945053100586,1993-05-21
1.152387022972107,1993-05-24
1.152387022972107,1993-05-25
1.152387022972107,1993-05-26
1.1388298273086548,1993-05-27
1.125272512435913,1993-05-28
1.1388298273086548,1993-06-01
1.1388298273086548,1993-06-02
1.1388298273086548,1993-06-03
1.152387022972107,1993-06-04
1.165945053100586,1993-06-07
1.165945053100586,1993-06-08
1.152387022972107,1993-06-09
1.152387022972107,1993-06-10
1.165945053100586,1993-06-11
1.152387022972107,1993-06-14
1.152387022972107,1993-06-15
1.1388298273086548,1993-06-16
1.1388298273086548,1993-06-17
1.1388298273086548,1993-06-18
1.125272512435913,1993-06-21
1.1117146015167236,1993-06-22
1.0845998525619507,1993-06-23
1.0710421800613403,1993-06-24
1.0845998525619507,1993-06-25
1.0981574058532715,1993-06-28
1.0981574058532715,1993-06-29
1.0845998525619507,1993-06-30
1.0981574058532715,1993-07-01
1.0845998525619507,1993-07-02
1.125272512435913,1993-07-06
1.1388298273086548,1993-07-07
1.2472898960113525,1993-07-08
1.2608469724655151,1993-07-09
1.2608469724655151,1993-07-12
1.2337325811386108,1993-07-13
1.2608469724655151,1993-07-14
1.2608469724655151,1993-07-15
1.2201744318008423,1993-07-16
1.2744044065475464,1993-07-19
1.2608469724655151,1993-07-20
1.2472898960113525,1993-07-21
1.2472898960113525,1993-07-22
1.2472898960113525,1993-07-23
1.2608469724655151,1993-07-26
