V,Date
15.00261402130127,2008-09-23
14.729025840759277,2008-09-24
14.486831665039062,2008-09-25
13.912736892700195,2008-09-26
12.961902618408203,2008-09-29
13.766972541809082,2008-09-30
13.749035835266113,2008-10-01
12.914810180664062,2008-10-02
12.746618270874023,2008-10-03
12.419203758239746,2008-10-06
11.470608711242676,2008-10-07
11.802502632141113,2008-10-08
11.179078102111816,2008-10-09
11.661223411560059,2008-10-10
13.201852798461914,2008-10-13
12.919292449951172,2008-10-14
11.156655311584473,2008-10-15
11.901179313659668,2008-10-16
11.71056079864502,2008-10-17
11.66346549987793,2008-10-20
11.369691848754883,2008-10-21
10.878578186035156,2008-10-22
10.83597183227539,2008-10-23
10.759721755981445,2008-10-24
10.448012351989746,2008-10-27
11.205988883972168,2008-10-28
11.367449760437012,2008-10-29
12.165797233581543,2008-10-30
12.412476539611816,2008-10-31
11.771110534667969,2008-11-03
13.412651062011719,2008-11-04
12.663643836975098,2008-11-05
11.555827140808105,2008-11-06
11.99760627746582,2008-11-07
11.658985137939453,2008-11-10
12.062643051147461,2008-11-11
11.62785530090332,2008-11-12
12.232282638549805,2008-11-13
12.187346458435059,2008-11-14
11.85479736328125,2008-11-17
12.277220726013184,2008-11-18
11.5896635055542,2008-11-19
10.81672191619873,2008-11-20
10.421255111694336,2008-11-21
11.171733856201172,2008-11-24
11.129042625427246,2008-11-25
11.684032440185547,2008-11-26
11.809857368469238,2008-11-28
10.796497344970703,2008-12-01
11.162745475769043,2008-12-02
11.78289794921875,2008-12-03
11.41664981842041,2008-12-04
11.949173927307129,2008-12-05
12.618759155273438,2008-12-08
12.027813911437988,2008-12-09
11.944679260253906,2008-12-10
11.704257011413574,2008-12-11
11.897491455078125,2008-12-12
11.852547645568848,2008-12-15
12.306428909301758,2008-12-16
12.439005851745605,2008-12-17
12.290702819824219,2008-12-18
12.351371765136719,2008-12-19
12.07724666595459,2008-12-22
12.054778099060059,2008-12-23
11.88400936126709,2008-12-24
11.964900970458984,2008-12-26
11.722230911254883,2008-12-29
11.457094192504883,2008-12-30
11.785140991210938,2008-12-31
12.007589340209961,2009-01-02
12.092976570129395,2009-01-05
12.944561004638672,2009-01-06
12.663698196411133,2009-01-07
12.52888011932373,2009-01-08
12.497417449951172,2009-01-09
11.899739265441895,2009-01-12
11.940185546875,2009-01-13
11.452598571777344,2009-01-14
11.0953369140625,2009-01-15
10.652694702148438,2009-01-16
9.531474113464355,2009-01-20
9.926934242248535,2009-01-21
