Date,SIAL
2015-04-23,138.97
2015-04-22,138.92
2015-04-21,138.75
2015-04-20,138.61
2015-04-17,138.39
2015-04-16,138.3
2015-04-15,138.38
2015-04-14,138.41
2015-04-13,138.4
2015-04-10,138.45
2015-04-09,138.54
2015-04-08,138.57
2015-04-07,138.45
2015-04-06,138.59
2015-04-02,138.51
2015-04-01,138.46
2015-03-31,138.25
2015-03-30,138.41
2015-03-27,138.21
2015-03-26,138.23
2015-03-25,138.19
2015-03-24,138.6
2015-03-23,138.34
2015-03-20,138.2
2015-03-19,138.09
2015-03-18,138.33
2015-03-17,138.18
2015-03-16,138.31
2015-03-13,137.9
2015-03-12,138.16
2015-03-11,137.97
2015-03-10,138.06
2015-03-09,138.07
2015-03-06,138.08
2015-03-05,138.06
2015-03-04,138.13
2015-03-03,138.2
2015-03-02,138.07
2015-02-27,138.06
2015-02-26,138.06
2015-02-25,138.07
2015-02-24,138.31
2015-02-23,138.6
2015-02-20,138.75
2015-02-19,138.42
2015-02-18,138.28
2015-02-17,138.3
2015-02-13,138.2
2015-02-12,138.13
2015-02-11,138.19
2015-02-10,138.09
2015-02-09,137.78
2015-02-06,137.71
2015-02-05,137.8
2015-02-04,137.57
2015-02-03,137.67
2015-02-02,137.53
2015-01-30,137.52
2015-01-29,137.65
2015-01-28,137.4
2015-01-27,137.42
2015-01-26,137.49
2015-01-23,137.69
2015-01-22,137.69
2015-01-21,137.44
2015-01-20,137.36
2015-01-16,137.48
2015-01-15,137.0
2015-01-14,137.0
2015-01-13,137.02
2015-01-12,137.22
2015-01-09,137.25
2015-01-08,137.19
2015-01-07,137.37
2015-01-06,137.1
2015-01-05,137.45
2015-01-02,137.31
2014-12-31,137.27
2014-12-30,137.25
2014-12-29,137.23
2014-12-26,137.21
2014-12-24,137.16
2014-12-23,137.17
2014-12-22,136.33
2014-12-19,136.51
2014-12-18,136.5
2014-12-17,135.98
2014-12-16,136.1
2014-12-15,135.91
2014-12-12,136.0
2014-12-11,136.09
2014-12-10,135.79
2014-12-09,136.26
2014-12-08,136.44
2014-12-05,136.79
2014-12-04,136.54
2014-12-03,136.22
2014-12-02,135.92
2014-12-01,136.11
2014-11-28,136.6
2014-11-26,136.53
2014-11-25,136.55
2014-11-24,136.73
2014-11-21,135.8
2014-11-20,135.98
2014-11-19,135.98
2014-11-18,135.65
2014-11-17,135.69
2014-11-14,135.58
2014-11-13,135.53
2014-11-12,135.64
2014-11-11,135.89
2014-11-10,135.81
2014-11-07,135.34
2014-11-06,135.34
2014-11-05,135.29
2014-11-04,135.14
2014-11-03,135.41
2014-10-31,135.91
2014-10-30,135.58
2014-10-29,134.91
2014-10-28,135.36
2014-10-27,134.9
2014-10-24,135.07
2014-10-23,135.38
2014-10-22,135.85
2014-10-21,135.6
2014-10-20,134.99
2014-10-17,134.03
2014-10-16,134.4
2014-10-15,135.15
2014-10-14,135.76
2014-10-13,135.26
2014-10-10,135.49
2014-10-09,135.6
2014-10-08,135.8
2014-10-07,135.75
2014-10-06,135.72
2014-10-03,136.08
2014-10-02,135.45
2014-10-01,135.87
2014-09-30,136.01
2014-09-29,136.28
2014-09-26,136.77
2014-09-25,135.46
2014-09-24,135.77
2014-09-23,135.77
2014-09-22,136.4
2014-09-19,102.37
2014-09-18,103.3
2014-09-17,103.24
2014-09-16,102.8
2014-09-15,102.35
2014-09-12,102.04
2014-09-11,102.6
2014-09-10,103.1
2014-09-09,102.79
2014-09-08,103.74
2014-09-05,103.87
2014-09-04,103.24
2014-09-03,103.71
2014-09-02,103.99
2014-08-29,104.0
2014-08-28,103.74
2014-08-27,103.28
2014-08-26,103.87
2014-08-25,103.97
2014-08-22,103.54
2014-08-21,103.87
2014-08-20,103.87
2014-08-19,104.14
2014-08-18,103.46
2014-08-15,102.68
2014-08-14,102.56
2014-08-13,102.59
2014-08-12,101.66
2014-08-11,102.13
2014-08-08,101.93
2014-08-07,100.61
2014-08-06,101.09
2014-08-05,100.54
2014-08-04,101.27
2014-08-01,100.65
2014-07-31,100.42
2014-07-30,102.3
2014-07-29,103.25
2014-07-28,103.43
2014-07-25,102.98
2014-07-24,102.59
2014-07-23,103.4
2014-07-22,102.89
2014-07-21,102.57
2014-07-18,102.86
2014-07-17,102.26
2014-07-16,102.93
2014-07-15,101.95
2014-07-14,101.9
2014-07-11,101.71
2014-07-10,101.74
2014-07-09,102.31
2014-07-08,102.02
2014-07-07,101.84
2014-07-03,102.15
2014-07-02,102.15
2014-07-01,102.23
2014-06-30,101.48
2014-06-27,101.48
2014-06-26,101.29
2014-06-25,101.69
2014-06-24,100.93
2014-06-23,101.71
2014-06-20,101.16
2014-06-19,100.3
2014-06-18,100.46
2014-06-17,99.99
2014-06-16,99.88
2014-06-13,100.03
2014-06-12,99.64
2014-06-11,99.8
2014-06-10,99.89
2014-06-09,100.19
2014-06-06,99.93
2014-06-05,99.55
2014-06-04,98.62
2014-06-03,98.81
2014-06-02,99.06
2014-05-30,98.53
2014-05-29,98.55
2014-05-28,98.12
2014-05-27,98.01
2014-05-23,97.69
2014-05-22,97.07
2014-05-21,96.41
2014-05-20,95.76
2014-05-19,96.46
2014-05-16,96.33
2014-05-15,95.8
2014-05-14,96.96
2014-05-13,97.34
2014-05-12,97.8
2014-05-09,96.84
2014-05-08,96.85
2014-05-07,96.94
2014-05-06,96.26
2014-05-05,96.32
2014-05-02,95.45
2014-05-01,95.68
2014-04-30,96.21
2014-04-29,95.73
2014-04-28,95.05
2014-04-25,94.99
2014-04-24,94.76
2014-04-23,93.82
2014-04-22,94.74
2014-04-21,94.53
2014-04-17,94.07
2014-04-16,94.02
2014-04-15,92.89
2014-04-14,92.64
2014-04-11,92.1
2014-04-10,92.89
2014-04-09,94.54
2014-04-08,93.66
2014-04-07,92.61
2014-04-04,93.32
2014-04-03,94.71
2014-04-02,95.12
2014-04-01,94.59
2014-03-31,93.38
2014-03-28,92.37
2014-03-27,92.1
2014-03-26,92.15
2014-03-25,92.79
2014-03-24,93.15
2014-03-21,94.38
2014-03-20,94.32
2014-03-19,94.54
2014-03-18,95.13
2014-03-17,95.14
2014-03-14,95.08
2014-03-13,94.69
2014-03-12,94.4
2014-03-11,94.22
2014-03-10,94.53
2014-03-07,94.38
2014-03-06,94.25
2014-03-05,94.15
2014-03-04,94.67
2014-03-03,93.48
2014-02-28,94.41
2014-02-27,93.91
2014-02-26,93.99
2014-02-25,93.93
2014-02-24,93.26
2014-02-21,93.02
2014-02-20,94.03
2014-02-19,93.77
2014-02-18,95.62
2014-02-14,96.61
2014-02-13,95.7
2014-02-12,95.21
2014-02-11,94.6
2014-02-10,93.07
2014-02-07,92.78
2014-02-06,90.89
2014-02-05,91.07
2014-02-04,90.79
2014-02-03,91.06
2014-01-31,92.97
2014-01-30,93.88
2014-01-29,92.2
2014-01-28,92.18
2014-01-27,91.19
2014-01-24,91.43
2014-01-23,93.29
2014-01-22,93.55
2014-01-21,93.62
2014-01-17,92.51
2014-01-16,92.75
2014-01-15,92.98
2014-01-14,93.01
2014-01-13,91.47
2014-01-10,93.42
2014-01-09,93.36
2014-01-08,93.38
2014-01-07,92.78
2014-01-06,91.7
2014-01-03,92.57
2014-01-02,92.78
2013-12-31,94.01
2013-12-30,94.0
2013-12-27,94.19
2013-12-26,92.17
2013-12-24,92.19
2013-12-23,91.29
2013-12-20,90.56
2013-12-19,89.88
2013-12-18,90.95
2013-12-17,89.49
2013-12-16,89.75
2013-12-13,89.44
2013-12-12,89.17
2013-12-11,89.66
2013-12-10,89.35
2013-12-09,89.56
2013-12-06,89.18
2013-12-05,87.7
2013-12-04,87.33
2013-12-03,87.1
2013-12-02,86.57
2013-11-29,86.24
2013-11-27,87.03
2013-11-26,87.02
2013-11-25,87.18
2013-11-22,87.46
2013-11-21,86.73
2013-11-20,85.67
2013-11-19,85.52
2013-11-18,85.74
2013-11-15,86.66
2013-11-14,86.0
2013-11-13,84.77
2013-11-12,84.31
2013-11-11,84.35
2013-11-08,84.78
2013-11-07,84.68
2013-11-06,85.62
2013-11-05,85.15
2013-11-04,85.5
2013-11-01,85.52
2013-10-31,86.43
2013-10-30,86.37
2013-10-29,87.35
2013-10-28,87.05
2013-10-25,87.06
2013-10-24,86.7
2013-10-23,86.22
2013-10-22,85.0
2013-10-21,83.32
2013-10-18,83.77
2013-10-17,83.83
2013-10-16,83.76
2013-10-15,83.2
2013-10-14,83.47
2013-10-11,83.64
2013-10-10,83.56
2013-10-09,82.91
2013-10-08,83.65
2013-10-07,84.53
2013-10-04,85.28
2013-10-03,84.35
2013-10-02,85.25
2013-10-01,85.05
2013-09-30,85.3
2013-09-27,85.53
2013-09-26,85.9
2013-09-25,85.55
2013-09-24,86.0
2013-09-23,85.57
2013-09-20,85.93
2013-09-19,88.0
2013-09-18,87.85
2013-09-17,86.1
2013-09-16,86.16
2013-09-13,85.48
2013-09-12,84.91
2013-09-11,85.53
2013-09-10,84.62
2013-09-09,82.96
2013-09-06,83.11
2013-09-05,83.52
2013-09-04,83.45
2013-09-03,82.54
2013-08-30,82.47
2013-08-29,82.09
2013-08-28,82.26
2013-08-27,82.88
2013-08-26,83.64
2013-08-23,83.93
2013-08-22,83.97
2013-08-21,83.77
2013-08-20,84.18
2013-08-19,83.59
2013-08-16,84.13
2013-08-15,84.4
2013-08-14,85.28
2013-08-13,85.94
2013-08-12,85.86
2013-08-09,85.68
2013-08-08,85.41
2013-08-07,84.74
2013-08-06,85.02
2013-08-05,84.47
2013-08-02,84.96
2013-08-01,85.27
2013-07-31,83.56
2013-07-30,83.26
2013-07-29,83.13
2013-07-26,82.71
2013-07-25,83.31
2013-07-24,83.02
2013-07-23,82.99
2013-07-22,83.98
2013-07-19,84.46
2013-07-18,83.76
2013-07-17,83.9
2013-07-16,83.68
2013-07-15,84.23
2013-07-12,84.35
2013-07-11,84.08
2013-07-10,82.91
2013-07-09,82.35
2013-07-08,82.12
2013-07-05,81.29
2013-07-03,80.9
2013-07-02,81.09
2013-07-01,81.14
2013-06-28,80.42
2013-06-27,80.99
2013-06-26,80.98
2013-06-25,80.49
2013-06-24,80.21
2013-06-21,80.73
2013-06-20,80.4
2013-06-19,81.19
2013-06-18,82.18
2013-06-17,81.73
2013-06-14,81.48
2013-06-13,82.21
2013-06-12,81.36
2013-06-11,81.91
2013-06-10,82.75
2013-06-07,82.87
2013-06-06,82.78
2013-06-05,82.87
2013-06-04,83.92
2013-06-03,83.76
2013-05-31,83.7
2013-05-30,84.02
2013-05-29,84.08
2013-05-28,85.14
2013-05-24,84.59
2013-05-23,84.42
2013-05-22,84.34
2013-05-21,84.27
2013-05-20,84.11
2013-05-17,84.19
2013-05-16,82.85
2013-05-15,82.94
2013-05-14,81.48
2013-05-13,80.49
2013-05-10,80.56
2013-05-09,79.9
2013-05-08,79.78
2013-05-07,79.26
2013-05-06,78.88
2013-05-03,78.89
2013-05-02,78.06
2013-05-01,77.95
2013-04-30,78.69
2013-04-29,78.29
2013-04-26,77.45
2013-04-25,78.13
2013-04-24,77.2
2013-04-23,77.44
2013-04-22,76.44
2013-04-19,76.91
2013-04-18,76.01
2013-04-17,75.35
2013-04-16,75.77
2013-04-15,74.1
2013-04-12,76.42
2013-04-11,76.41
2013-04-10,76.89
2013-04-09,75.65
2013-04-08,75.89
2013-04-05,75.94
2013-04-04,76.84
2013-04-03,76.37
2013-04-02,76.77
2013-04-01,76.82
2013-03-28,77.65
2013-03-27,77.16
2013-03-26,76.57
2013-03-25,76.48
2013-03-22,77.45
2013-03-21,77.48
2013-03-20,78.67
2013-03-19,78.48
2013-03-18,78.38
2013-03-15,78.95
2013-03-14,78.92
2013-03-13,78.63
2013-03-12,78.75
2013-03-11,78.88
2013-03-08,78.83
2013-03-07,78.29
2013-03-06,78.21
2013-03-05,78.33
2013-03-04,77.88
2013-03-01,77.38
2013-02-28,77.06
2013-02-27,76.33
2013-02-26,75.77
2013-02-25,75.18
2013-02-22,76.34
2013-02-21,75.88
2013-02-20,76.38
2013-02-19,77.49
2013-02-15,77.15
2013-02-14,77.08
2013-02-13,76.85
2013-02-12,76.31
2013-02-11,76.34
2013-02-08,77.66
2013-02-07,76.98
2013-02-06,78.08
2013-02-05,77.91
2013-02-04,77.55
2013-02-01,78.04
2013-01-31,77.33
2013-01-30,77.14
2013-01-29,77.26
2013-01-28,76.97
2013-01-25,77.4
2013-01-24,76.74
2013-01-23,77.0
2013-01-22,77.15
2013-01-18,76.93
2013-01-17,76.71
2013-01-16,76.38
2013-01-15,76.39
2013-01-14,76.47
2013-01-11,76.4
2013-01-10,76.73
2013-01-09,76.58
2013-01-08,75.79
2013-01-07,75.52
2013-01-04,75.27
2013-01-03,75.31
2013-01-02,74.77
2012-12-31,73.58
2012-12-28,72.86
2012-12-27,73.68
2012-12-26,74.01
2012-12-24,73.71
2012-12-21,73.7
2012-12-20,73.67
2012-12-19,73.19
2012-12-18,73.65
2012-12-17,73.0
2012-12-14,72.6
2012-12-13,72.41
2012-12-12,72.68
2012-12-11,73.41
2012-12-10,73.36
2012-12-07,73.06
2012-12-06,72.97
2012-12-05,72.54
2012-12-04,72.69
2012-12-03,72.15
2012-11-30,72.52
2012-11-29,72.33
2012-11-28,72.23
2012-11-27,72.01
2012-11-26,72.22
2012-11-23,72.2
2012-11-21,71.34
2012-11-20,71.48
2012-11-19,70.94
2012-11-16,69.3
2012-11-15,69.34
2012-11-14,68.79
2012-11-13,69.42
2012-11-12,69.69
2012-11-09,69.56
2012-11-08,69.56
2012-11-07,70.51
2012-11-06,71.8
2012-11-05,70.56
2012-11-02,70.15
2012-11-01,70.64
2012-10-31,70.18
2012-10-26,70.56
2012-10-25,70.55
2012-10-24,70.42
2012-10-23,71.59
2012-10-22,72.96
2012-10-19,72.67
2012-10-18,73.53
2012-10-17,74.36
2012-10-16,73.66
2012-10-15,72.48
2012-10-12,71.9
2012-10-11,71.9
2012-10-10,71.18
2012-10-09,71.84
2012-10-08,73.2
2012-10-05,73.38
2012-10-04,73.09
2012-10-03,72.51
2012-10-02,72.46
2012-10-01,72.65
2012-09-28,71.97
2012-09-27,72.69
2012-09-26,72.23
2012-09-25,73.09
2012-09-24,73.56
2012-09-21,73.37
2012-09-20,73.99
2012-09-19,73.8
2012-09-18,73.7
2012-09-17,74.0
2012-09-14,73.72
2012-09-13,73.15
2012-09-12,72.33
2012-09-11,72.61
2012-09-10,73.13
2012-09-07,73.43
2012-09-06,71.4
2012-09-05,70.85
2012-09-04,70.49
2012-08-31,71.03
2012-08-30,70.47
2012-08-29,71.03
2012-08-28,70.42
2012-08-27,70.16
2012-08-24,70.67
2012-08-23,70.4
2012-08-22,71.51
2012-08-21,71.11
2012-08-20,71.39
2012-08-17,71.74
2012-08-16,72.3
2012-08-15,71.83
2012-08-14,71.4
2012-08-13,71.68
2012-08-10,72.07
2012-08-09,72.4
2012-08-08,72.25
2012-08-07,71.59
2012-08-06,70.78
2012-08-03,70.22
2012-08-02,68.23
2012-08-01,69.04
2012-07-31,69.2
2012-07-30,69.59
2012-07-27,70.83
2012-07-26,68.3
2012-07-25,67.27
2012-07-24,68.1
2012-07-23,70.71
2012-07-20,71.42
2012-07-19,72.22
2012-07-18,72.51
2012-07-17,71.07
2012-07-16,70.69
2012-07-13,71.61
2012-07-12,70.72
2012-07-11,70.42
2012-07-10,71.86
2012-07-09,73.3
2012-07-06,73.25
2012-07-05,73.87
2012-07-03,74.34
2012-07-02,73.53
2012-06-29,73.93
2012-06-28,72.17
2012-06-27,72.18
2012-06-26,71.58
2012-06-25,71.4
2012-06-22,71.77
2012-06-21,71.08
2012-06-20,73.12
2012-06-19,73.59
2012-06-18,71.96
2012-06-15,71.7
2012-06-14,71.19
2012-06-13,70.66
2012-06-12,71.42
2012-06-11,69.59
2012-06-08,70.7
2012-06-07,70.25
2012-06-06,69.93
2012-06-05,68.4
2012-06-04,67.8
2012-06-01,67.53
2012-05-31,69.37
2012-05-30,70.47
2012-05-29,72.25
2012-05-25,71.1
2012-05-24,71.6
2012-05-23,70.84
2012-05-22,71.09
2012-05-21,70.21
2012-05-18,68.17
2012-05-17,68.69
2012-05-16,69.79
2012-05-15,69.87
2012-05-14,69.96
2012-05-11,70.63
2012-05-10,70.56
2012-05-09,69.64
2012-05-08,69.81
2012-05-07,68.56
2012-05-04,68.53
2012-05-03,70.39
2012-05-02,71.1
2012-05-01,71.21
2012-04-30,70.9
2012-04-27,71.38
2012-04-26,71.59
2012-04-25,70.79
2012-04-24,70.4
2012-04-23,70.49
2012-04-20,71.88
2012-04-19,71.59
2012-04-18,71.87
2012-04-17,71.89
2012-04-16,70.89
2012-04-13,70.96
2012-04-12,72.33
2012-04-11,71.09
2012-04-10,70.33
2012-04-09,71.47
2012-04-05,72.48
2012-04-04,73.07
2012-04-03,74.0
2012-04-02,74.43
2012-03-30,73.06
2012-03-29,73.0
2012-03-28,73.51
2012-03-27,74.08
2012-03-26,74.07
2012-03-23,72.54
2012-03-22,71.89
2012-03-21,72.75
2012-03-20,73.01
2012-03-19,73.53
2012-03-16,73.41
2012-03-15,72.9
2012-03-14,71.88
2012-03-13,72.09
2012-03-12,71.14
2012-03-09,71.61
2012-03-08,71.5
2012-03-07,70.57
2012-03-06,70.48
2012-03-05,71.62
2012-03-02,71.91
2012-03-01,71.66
2012-02-29,71.79
2012-02-28,72.79
2012-02-27,72.74
2012-02-24,72.6
2012-02-23,72.4
2012-02-22,71.93
2012-02-21,71.56
2012-02-17,71.96
2012-02-16,71.91
2012-02-15,70.91
2012-02-14,70.32
2012-02-13,70.81
2012-02-10,69.52
2012-02-09,70.5
2012-02-08,71.51
2012-02-07,71.32
2012-02-06,70.97
2012-02-03,70.77
2012-02-02,69.49
2012-02-01,69.54
2012-01-31,68.04
2012-01-30,68.29
2012-01-27,68.26
2012-01-26,68.22
2012-01-25,70.21
2012-01-24,68.52
2012-01-23,67.51
2012-01-20,66.93
2012-01-19,66.62
2012-01-18,66.09
2012-01-17,64.94
2012-01-13,64.17
2012-01-12,65.23
2012-01-11,64.0
2012-01-10,63.42
2012-01-09,61.85
2012-01-06,62.34
2012-01-05,63.12
2012-01-04,62.82
2012-01-03,63.47
2011-12-30,62.46
2011-12-29,62.55
2011-12-28,61.78
2011-12-27,63.02
2011-12-23,62.86
2011-12-22,62.79
2011-12-21,63.45
2011-12-20,65.02
2011-12-19,62.91
2011-12-16,63.15
2011-12-15,62.35
2011-12-14,61.7
2011-12-13,62.96
2011-12-12,63.95
2011-12-09,65.95
2011-12-08,64.82
2011-12-07,66.01
2011-12-06,65.52
2011-12-05,65.47
2011-12-02,64.42
2011-12-01,64.71
2011-11-30,64.81
2011-11-29,61.06
2011-11-28,60.94
2011-11-25,58.89
2011-11-23,59.01
2011-11-22,59.89
2011-11-21,59.81
2011-11-18,60.0
2011-11-17,60.53
2011-11-16,62.59
2011-11-15,63.58
2011-11-14,62.9
2011-11-11,63.56
2011-11-10,61.99
2011-11-09,61.87
2011-11-08,64.64
2011-11-07,63.48
2011-11-04,63.58
2011-11-03,64.28
2011-11-02,63.6
2011-11-01,63.46
2011-10-31,65.48
2011-10-28,67.78
2011-10-27,68.89
2011-10-26,65.7
2011-10-25,66.41
2011-10-24,69.79
2011-10-21,68.29
2011-10-20,65.49
2011-10-19,65.36
2011-10-18,66.56
2011-10-17,64.5
2011-10-14,65.42
2011-10-13,64.65
2011-10-12,64.81
2011-10-11,65.0
2011-10-10,64.99
2011-10-07,62.51
2011-10-06,64.32
2011-10-05,63.39
2011-10-04,62.31
2011-10-03,60.74
2011-09-30,61.79
2011-09-29,63.51
2011-09-28,62.75
2011-09-27,64.87
2011-09-26,62.86
2011-09-23,60.41
2011-09-22,59.99
2011-09-21,62.14
2011-09-20,64.4
2011-09-19,63.57
2011-09-16,64.74
2011-09-15,63.73
2011-09-14,62.46
2011-09-13,59.85
2011-09-12,58.77
2011-09-09,59.18
2011-09-08,60.83
2011-09-07,62.72
2011-09-06,61.61
2011-09-02,61.99
2011-09-01,63.33
2011-08-31,64.39
2011-08-30,64.36
2011-08-29,63.98
2011-08-26,61.73
2011-08-25,59.99
2011-08-24,61.59
2011-08-23,60.3
2011-08-22,58.89
2011-08-19,58.97
2011-08-18,59.58
2011-08-17,63.17
2011-08-16,63.94
2011-08-15,64.43
2011-08-12,63.17
2011-08-11,62.09
2011-08-10,57.99
2011-08-09,60.33
2011-08-08,56.99
2011-08-05,61.14
2011-08-04,61.04
2011-08-03,64.34
2011-08-02,63.9
2011-08-01,66.48
2011-07-29,67.1
2011-07-28,67.39
2011-07-27,68.16
2011-07-26,70.15
2011-07-25,73.7
2011-07-22,73.53
2011-07-21,74.52
2011-07-20,72.79
2011-07-19,73.79
2011-07-18,72.02
2011-07-15,73.22
2011-07-14,73.01
2011-07-13,73.8
2011-07-12,73.71
2011-07-11,73.74
2011-07-08,75.69
2011-07-07,75.81
2011-07-06,74.84
2011-07-05,74.17
2011-07-01,74.24
2011-06-30,73.43
2011-06-29,71.67
2011-06-28,70.99
2011-06-27,69.33
2011-06-24,68.76
2011-06-23,68.82
2011-06-22,68.81
2011-06-21,69.2
2011-06-20,67.65
2011-06-17,66.57
2011-06-16,66.23
2011-06-15,66.77
2011-06-14,68.2
2011-06-13,67.05
2011-06-10,67.13
2011-06-09,68.51
2011-06-08,66.93
2011-06-07,67.39
2011-06-06,66.84
2011-06-03,67.41
2011-06-02,68.91
2011-06-01,68.69
2011-05-31,70.29
2011-05-27,69.76
2011-05-26,69.47
2011-05-25,68.87
2011-05-24,68.2
2011-05-23,68.26
2011-05-20,69.7
2011-05-19,69.9
2011-05-18,69.92
2011-05-17,68.47
2011-05-16,68.85
2011-05-13,68.88
2011-05-12,70.13
2011-05-11,69.63
2011-05-10,70.57
2011-05-09,69.15
2011-05-06,68.72
2011-05-05,68.14
2011-05-04,69.14
2011-05-03,69.52
2011-05-02,70.53
2011-04-29,70.58
2011-04-28,70.31
2011-04-27,70.52
2011-04-26,70.39
2011-04-25,67.27
2011-04-21,66.96
2011-04-20,66.74
2011-04-19,65.37
2011-04-18,64.73
2011-04-15,65.24
2011-04-14,63.62
2011-04-13,63.62
2011-04-12,63.85
2011-04-11,64.36
2011-04-08,64.82
2011-04-07,64.84
2011-04-06,65.37
2011-04-05,65.76
2011-04-04,64.88
2011-04-01,63.94
2011-03-31,63.64
2011-03-30,63.89
2011-03-29,63.95
2011-03-28,63.09
2011-03-25,63.42
2011-03-24,63.32
2011-03-23,63.31
2011-03-22,63.41
2011-03-21,63.46
2011-03-18,62.0
2011-03-17,61.3
2011-03-16,60.69
2011-03-15,61.51
2011-03-14,62.24
2011-03-11,62.37
2011-03-10,61.85
2011-03-09,63.07
2011-03-08,63.42
2011-03-07,62.65
2011-03-04,64.34
2011-03-03,64.58
2011-03-02,63.01
2011-03-01,62.3
2011-02-28,63.89
2011-02-25,62.89
2011-02-24,62.25
2011-02-23,62.28
2011-02-22,62.57
2011-02-18,63.83
2011-02-17,63.7
2011-02-16,62.95
2011-02-15,62.85
2011-02-14,62.49
2011-02-11,62.4
2011-02-10,62.42
2011-02-09,61.57
2011-02-08,65.44
2011-02-07,64.31
2011-02-04,63.53
2011-02-03,64.13
2011-02-02,64.37
2011-02-01,65.34
2011-01-31,63.65
2011-01-28,62.4
2011-01-27,63.82
2011-01-26,64.34
2011-01-25,63.82
2011-01-24,63.55
2011-01-21,63.3
2011-01-20,63.58
2011-01-19,63.97
2011-01-18,64.95
2011-01-14,64.41
2011-01-13,64.15
2011-01-12,64.8
2011-01-11,64.62
2011-01-10,64.58
2011-01-07,64.83
2011-01-06,65.5
2011-01-05,65.97
2011-01-04,66.57
2011-01-03,67.3
2010-12-31,66.56
2010-12-30,66.77
2010-12-29,67.23
2010-12-28,67.0
2010-12-27,66.79
2010-12-23,66.93
2010-12-22,67.4
2010-12-21,67.16
2010-12-20,67.08
2010-12-17,66.75
2010-12-16,67.04
2010-12-15,66.38
2010-12-14,66.58
2010-12-13,66.44
2010-12-10,66.24
2010-12-09,65.7
2010-12-08,65.14
2010-12-07,65.25
2010-12-06,65.12
2010-12-03,65.52
2010-12-02,65.38
2010-12-01,64.87
2010-11-30,63.22
2010-11-29,63.78
2010-11-26,64.3
2010-11-24,64.49
2010-11-23,63.18
2010-11-22,64.58
2010-11-19,64.52
2010-11-18,63.6
2010-11-17,62.59
2010-11-16,62.37
2010-11-15,63.56
2010-11-12,64.19
2010-11-11,65.6
2010-11-10,65.01
2010-11-09,64.55
2010-11-08,65.62
2010-11-05,65.34
2010-11-04,66.0
2010-11-03,64.33
2010-11-02,64.43
