GEHC,Date
73.57103729248047,2023-11-22
73.68099975585938,2023-11-24
71.11200714111328,2023-11-27
68.10319519042969,2023-11-28
67.68335723876953,2023-11-29
68.43305969238281,2023-11-30
69.38269805908203,2023-12-01
69.34271240234375,2023-12-04
67.90327453613281,2023-12-05
68.02323150634766,2023-12-06
67.36348724365234,2023-12-07
68.49303436279297,2023-12-08
71.10201263427734,2023-12-11
72.02165222167969,2023-12-12
74.15081787109375,2023-12-13
75.89012908935547,2023-12-14
74.9804916381836,2023-12-15
75.03046417236328,2023-12-18
75.66022491455078,2023-12-19
75.41032409667969,2023-12-20
77.15962982177734,2023-12-21
77.54947662353516,2023-12-22
78.1092529296875,2023-12-26
77.63944244384766,2023-12-27
77.50949096679688,2023-12-28
77.28958129882812,2023-12-29
76.33995819091797,2024-01-02
76.0800552368164,2024-01-03
76.53987121582031,2024-01-04
76.58985900878906,2024-01-05
77.3295669555664,2024-01-08
76.62984466552734,2024-01-09
76.14002990722656,2024-01-10
76.22000122070312,2024-01-11
76.16999816894531,2024-01-12
74.97000122070312,2024-01-16
72.75,2024-01-17
73.5199966430664,2024-01-18
74.11000061035156,2024-01-19
74.63999938964844,2024-01-22
73.66999816894531,2024-01-23
71.55000305175781,2024-01-24
72.87000274658203,2024-01-25
73.1500015258789,2024-01-26
74.37999725341797,2024-01-29
74.0,2024-01-30
73.36000061035156,2024-01-31
74.3499984741211,2024-02-01
73.91000366210938,2024-02-02
73.41000366210938,2024-02-05
81.95999908447266,2024-02-06
81.83000183105469,2024-02-07
82.05999755859375,2024-02-08
81.33999633789062,2024-02-09
83.16999816894531,2024-02-12
82.30999755859375,2024-02-13
83.16999816894531,2024-02-14
85.62999725341797,2024-02-15
86.0199966430664,2024-02-16
86.38999938964844,2024-02-20
84.9800033569336,2024-02-21
87.63999938964844,2024-02-22
89.06999969482422,2024-02-23
90.62000274658203,2024-02-26
92.5199966430664,2024-02-27
93.0199966430664,2024-02-28
91.27999877929688,2024-02-29
92.72000122070312,2024-03-01
92.7300033569336,2024-03-04
91.80999755859375,2024-03-05
93.0999984741211,2024-03-06
92.66000366210938,2024-03-07
93.87000274658203,2024-03-08
93.0,2024-03-11
91.81999969482422,2024-03-12
88.4800033569336,2024-03-13
88.33000183105469,2024-03-14
89.41000366210938,2024-03-15
90.61000061035156,2024-03-18
90.77999877929688,2024-03-19
90.88999938964844,2024-03-20
91.19999694824219,2024-03-21
89.7300033569336,2024-03-22
88.27999877929688,2024-03-25
89.06999969482422,2024-03-26
90.30999755859375,2024-03-27
90.91000366210938,2024-03-28
89.52999877929688,2024-04-01
88.11000061035156,2024-04-02
89.02999877929688,2024-04-03
87.95999908447266,2024-04-04
88.47000122070312,2024-04-05
87.70999908447266,2024-04-08
86.94000244140625,2024-04-09
