BKR,Date
40.714698791503906,2008-08-04
40.786502838134766,2008-08-05
41.581729888916016,2008-08-06
41.29442596435547,2008-08-07
39.60653305053711,2008-08-08
39.36539840698242,2008-08-11
38.80618667602539,2008-08-12
40.30940628051758,2008-08-13
40.40174102783203,2008-08-14
39.893836975097656,2008-08-15
39.31410598754883,2008-08-18
40.345314025878906,2008-08-19
41.314937591552734,2008-08-20
41.622772216796875,2008-08-21
41.2841796875,2008-08-22
40.91476821899414,2008-08-25
41.78691864013672,2008-08-26
42.0229377746582,2008-08-27
41.62788772583008,2008-08-28
41.04816818237305,2008-08-29
39.19096374511719,2008-09-02
38.05201721191406,2008-09-03
37.45689392089844,2008-09-04
37.19011306762695,2008-09-05
35.799781799316406,2008-09-08
32.798519134521484,2008-09-09
33.19868469238281,2008-09-10
33.29616928100586,2008-09-11
33.496246337890625,2008-09-12
31.25939178466797,2008-09-15
32.485557556152344,2008-09-16
33.21406936645508,2008-09-17
33.285892486572266,2008-09-18
34.512062072753906,2008-09-19
34.31199264526367,2008-09-22
33.11146926879883,2008-09-23
32.38296127319336,2008-09-24
33.06016540527344,2008-09-25
32.526615142822266,2008-09-26
29.78697967529297,2008-09-29
31.059316635131836,2008-09-30
28.940473556518555,2008-10-01
26.23163604736328,2008-10-02
25.308168411254883,2008-10-03
23.122610092163086,2008-10-06
20.983245849609375,2008-10-07
21.250024795532227,2008-10-08
19.1876220703125,2008-10-09
16.827646255493164,2008-10-10
21.36803436279297,2008-10-13
20.675432205200195,2008-10-14
17.77676773071289,2008-10-15
19.115795135498047,2008-10-16
17.97685432434082,2008-10-17
19.90587043762207,2008-10-20
19.982830047607422,2008-10-21
15.570703506469727,2008-10-22
16.19148063659668,2008-10-23
16.124788284301758,2008-10-24
15.268012046813965,2008-10-27
15.960614204406738,2008-10-28
16.91486167907715,2008-10-29
17.378705978393555,2008-10-30
18.012624740600586,2008-10-31
17.12101173400879,2008-11-03
19.141311645507812,2008-11-04
17.7910099029541,2008-11-05
17.213781356811523,2008-11-06
17.641542434692383,2008-11-07
17.208629608154297,2008-11-10
16.167556762695312,2008-11-11
15.255324363708496,2008-11-12
16.86847496032715,2008-11-13
15.945939064025879,2008-11-14
15.90471363067627,2008-11-17
16.518014907836914,2008-11-18
15.920174598693848,2008-11-19
13.905025482177734,2008-11-20
15.111018180847168,2008-11-21
16.466476440429688,2008-11-24
16.250019073486328,2008-11-25
17.99201011657715,2008-11-26
17.950780868530273,2008-11-28
14.791486740112305,2008-12-01
15.162558555603027,2008-12-02
14.647173881530762,2008-12-03
13.410260200500488,2008-12-04
14.002949714660645,2008-12-05
15.126482963562012,2008-12-08
15.044020652770996,2008-12-09
15.920174598693848,2008-12-10
15.50270938873291,2008-12-11
15.703713417053223,2008-12-12
16.01809310913086,2008-12-15
16.244861602783203,2008-12-16
15.992325782775879,2008-12-17
14.559560775756836,2008-12-18
15.456327438354492,2008-12-19
15.36356258392334,2008-12-22
15.08009147644043,2008-12-23
15.100709915161133,2008-12-24
15.265636444091797,2008-12-26
16.06962776184082,2008-12-29
16.466476440429688,2008-12-30
16.528324127197266,2008-12-31
17.693096160888672,2009-01-02
18.435243606567383,2009-01-05
19.625776290893555,2009-01-06
18.512540817260742,2009-01-07
19.131000518798828,2009-01-08
17.72400665283203,2009-01-09
16.775705337524414,2009-01-12
17.466325759887695,2009-01-13
16.33763313293457,2009-01-14
16.72932243347168,2009-01-15
16.430402755737305,2009-01-16
15.038864135742188,2009-01-20
16.358247756958008,2009-01-21
15.770710945129395,2009-01-22
16.59016990661621,2009-01-23
16.755094528198242,2009-01-26
16.889089584350586,2009-01-27
18.301240921020508,2009-01-28
17.845779418945312,2009-01-29
17.245399475097656,2009-01-30
16.95038414001465,2009-02-02
17.224695205688477,2009-02-03
17.794025421142578,2009-02-04
18.430627822875977,2009-02-05
18.860214233398438,2009-02-06
18.596256256103516,2009-02-09
17.871658325195312,2009-02-10
17.737092971801758,2009-02-11
17.19881820678711,2009-02-12
17.214345932006836,2009-02-13
15.858309745788574,2009-02-17
16.148157119750977,2009-02-18
16.324129104614258,2009-02-19
15.60470199584961,2009-02-20
14.65238094329834,2009-02-23
15.713394165039062,2009-02-24
15.0767822265625,2009-02-25
15.304512977600098,2009-02-26
15.16994857788086,2009-02-27
13.870848655700684,2009-03-02
14.00541877746582,2009-03-03
14.79212474822998,2009-03-04
13.989886283874512,2009-03-05
13.756983757019043,2009-03-06
14.062352180480957,2009-03-09
15.14406681060791,2009-03-10
14.859403610229492,2009-03-11
15.433907508850098,2009-03-12
15.1802978515625,2009-03-13
15.584006309509277,2009-03-16
15.935954093933105,2009-03-17
16.448347091674805,2009-03-18
17.214345932006836,2009-03-19
16.060163497924805,2009-03-20
17.75261116027832,2009-03-23
17.32303810119629,2009-03-24
16.940032958984375,2009-03-25
16.96591567993164,2009-03-26
16.2050838470459,2009-03-27
15.314864158630371,2009-03-30
14.776602745056152,2009-03-31
14.86975383758545,2009-04-01
15.490838050842285,2009-04-02
16.303422927856445,2009-04-03
15.7185697555542,2009-04-06
15.123366355895996,2009-04-07
15.397680282592773,2009-04-08
16.029111862182617,2009-04-09
15.91524600982666,2009-04-13
15.93077278137207,2009-04-14
16.2050838470459,2009-04-15
17.064252853393555,2009-04-16
17.203994750976562,2009-04-17
16.09122085571289,2009-04-20
16.934858322143555,2009-04-21
17.34891128540039,2009-04-22
17.379962921142578,2009-04-23
18.352994918823242,2009-04-24
17.850955963134766,2009-04-27
17.566293716430664,2009-04-28
19.124177932739258,2009-04-29
18.49015998840332,2009-04-30
19.18134117126465,2009-05-01
19.945261001586914,2009-05-04
19.877708435058594,2009-05-05
20.454557418823242,2009-05-06
19.810150146484375,2009-05-07
20.371402740478516,2009-05-08
19.54511260986328,2009-05-11
19.59187889099121,2009-05-12
18.926694869995117,2009-05-13
18.68244743347168,2009-05-14
18.35504722595215,2009-05-15
19.332046508789062,2009-05-18
19.17095184326172,2009-05-19
19.337244033813477,2009-05-20
18.427806854248047,2009-05-21
18.635671615600586,2009-05-22
19.165746688842773,2009-05-26
18.874732971191406,2009-05-27
19.508739471435547,2009-05-28
20.29865264892578,2009-05-29
21.270444869995117,2009-06-01
21.130125045776367,2009-06-02
20.236286163330078,2009-06-03
20.82352638244629,2009-06-04
20.335031509399414,2009-06-05
20.095970153808594,2009-06-08
20.60005760192871,2009-06-09
21.124940872192383,2009-06-10
21.998001098632812,2009-06-11
21.680994033813477,2009-06-12
20.963836669921875,2009-06-15
20.574077606201172,2009-06-16
19.825742721557617,2009-06-17
19.70621109008789,2009-06-18
19.586687088012695,2009-06-19
18.57331657409668,2009-06-22
18.916305541992188,2009-06-23
18.68764305114746,2009-06-24
18.999446868896484,2009-06-25
19.165746688842773,2009-06-26
19.11379051208496,2009-06-29
18.937088012695312,2009-06-30
18.942293167114258,2009-07-01
18.043245315551758,2009-07-02
17.965290069580078,2009-07-06
17.362468719482422,2009-07-07
