SLB,Date
18.706478118896484,2002-05-02
18.70975685119629,2002-05-03
17.803178787231445,2002-05-06
17.747337341308594,2002-05-07
18.5093936920166,2002-05-08
17.993694305419922,2002-05-09
18.230192184448242,2002-05-10
18.571802139282227,2002-05-13
18.19406509399414,2002-05-14
18.111940383911133,2002-05-15
18.246612548828125,2002-05-16
18.065959930419922,2002-05-17
18.039684295654297,2002-05-20
17.280900955200195,2002-05-21
17.409015655517578,2002-05-22
17.353178024291992,2002-05-23
17.03126335144043,2002-05-24
17.162660598754883,2002-05-28
17.228355407714844,2002-05-29
17.057546615600586,2002-05-30
16.9622859954834,2002-05-31
16.549541473388672,2002-06-03
16.50008773803711,2002-06-04
16.153934478759766,2002-06-05
16.11107063293457,2002-06-06
16.26932144165039,2002-06-07
15.906675338745117,2002-06-10
15.451733589172363,2002-06-11
15.89019775390625,2002-06-12
15.923168182373047,2002-06-13
15.992393493652344,2002-06-14
16.434162139892578,2002-06-17
16.10448455810547,2002-06-18
15.979207038879395,2002-06-19
16.371517181396484,2002-06-20
16.180309295654297,2002-06-21
16.28580093383789,2002-06-24
16.041847229003906,2002-06-25
16.051738739013672,2002-06-26
15.771512985229492,2002-06-27
15.329752922058105,2002-06-28
15.349538803100586,2002-07-01
15.033050537109375,2002-07-02
15.164913177490234,2002-07-03
15.402278900146484,2002-07-05
14.855016708374023,2002-07-08
14.759417533874512,2002-07-09
14.4033784866333,2002-07-10
14.248430252075195,2002-07-11
14.255021095275879,2002-07-12
13.994584083557129,2002-07-15
13.994584083557129,2002-07-16
14.011063575744629,2002-07-17
14.413267135620117,2002-07-18
13.9451265335083,2002-07-19
12.890181541442871,2002-07-22
12.395673751831055,2002-07-23
13.384686470031738,2002-07-24
13.43414306640625,2002-07-25
13.351723670959473,2002-07-26
14.113263130187988,2002-07-29
14.386890411376953,2002-07-30
14.149529457092285,2002-07-31
13.074790954589844,2002-08-01
12.527543067932129,2002-08-02
11.947315216064453,2002-08-05
12.415449142456055,2002-08-06
12.306661605834961,2002-08-07
13.00886058807373,2002-08-08
13.476997375488281,2002-08-09
13.615455627441406,2002-08-12
13.068202018737793,2002-08-13
13.763809204101562,2002-08-14
14.439632415771484,2002-08-15
14.17590045928955,2002-08-16
14.024251937866211,2002-08-19
13.68468189239502,2002-08-20
13.556119918823242,2002-08-21
14.505570411682129,2002-08-22
14.353925704956055,2002-08-23
14.897893905639648,2002-08-26
14.548431396484375,2002-08-27
14.274800300598145,2002-08-28
14.142935752868652,2002-08-29
14.307828903198242,2002-08-30
13.354195594787598,2002-09-03
13.645590782165527,2002-09-04
13.453536987304688,2002-09-05
13.986649513244629,2002-09-06
14.105847358703613,2002-09-09
14.450216293334961,2002-09-10
14.393929481506348,2002-09-11
13.874065399169922,2002-09-12
14.112470626831055,2002-09-13
14.105847358703613,2002-09-16
