VTRS,Date
1.0510488748550415,1980-11-26
0.9942352771759033,1980-11-28
0.9942352771759033,1980-12-01
0.9942352771759033,1980-12-02
0.9658284783363342,1980-12-03
0.9658284783363342,1980-12-04
0.9658284783363342,1980-12-05
0.9374222755432129,1980-12-08
0.8806087970733643,1980-12-09
0.8806087970733643,1980-12-10
0.8237954378128052,1980-12-11
0.8237954378128052,1980-12-12
0.8237954378128052,1980-12-15
0.8237954378128052,1980-12-16
0.795388400554657,1980-12-17
0.8379988670349121,1980-12-18
0.8379988670349121,1980-12-19
0.8806087970733643,1980-12-22
0.8806087970733643,1980-12-23
0.8806087970733643,1980-12-24
0.909014880657196,1980-12-26
0.909014880657196,1980-12-29
0.909014880657196,1980-12-30
0.9232187867164612,1980-12-31
0.9374222755432129,1981-01-02
0.9658284783363342,1981-01-05
