CMA,Date
27.70515251159668,2002-01-30
28.124860763549805,2002-01-31
27.845067977905273,2002-02-01
27.105581283569336,2002-02-04
26.925722122192383,2002-02-05
26.58095932006836,2002-02-06
27.1805419921875,2002-02-07
27.510295867919922,2002-02-08
27.954973220825195,2002-02-11
27.895023345947266,2002-02-12
28.20979881286621,2002-02-13
28.404661178588867,2002-02-14
28.309730529785156,2002-02-15
27.755117416381836,2002-02-19
28.174827575683594,2002-02-20
27.910017013549805,2002-02-21
28.214792251586914,2002-02-22
28.939279556274414,2002-02-25
29.39394760131836,2002-02-26
29.5538272857666,2002-02-27
29.903587341308594,2002-02-28
30.183387756347656,2002-03-01
31.107715606689453,2002-03-04
30.867881774902344,2002-03-05
31.59736442565918,2002-03-06
31.302579879760742,2002-03-07
31.432498931884766,2002-03-08
31.492456436157227,2002-03-11
31.512435913085938,2002-03-12
31.27579689025879,2002-03-13
31.336212158203125,2002-03-14
32.287776947021484,2002-03-15
32.09143829345703,2002-03-18
32.43882369995117,2002-03-19
31.92024803161621,2002-03-20
31.869895935058594,2002-03-21
31.794374465942383,2002-03-22
31.361391067504883,2002-03-25
31.482219696044922,2002-03-26
31.890039443969727,2002-03-27
31.502349853515625,2002-03-28
31.280832290649414,2002-04-01
31.542640686035156,2002-04-02
30.91330337524414,2002-04-03
31.124752044677734,2002-04-04
31.295928955078125,2002-04-05
31.683612823486328,2002-04-08
31.683612823486328,2002-04-09
31.74403190612793,2002-04-10
31.225444793701172,2002-04-11
31.467124938964844,2002-04-12
31.225444793701172,2002-04-15
31.72892951965332,2002-04-16
31.81955337524414,2002-04-17
31.839696884155273,2002-04-18
32.10652542114258,2002-04-19
31.769201278686523,2002-04-22
31.839696884155273,2002-04-23
31.738998413085938,2002-04-24
31.885011672973633,2002-04-25
31.60304832458496,2002-04-26
31.592985153198242,2002-04-29
31.64333724975586,2002-04-30
32.005821228027344,2002-05-01
32.297855377197266,2002-05-02
32.046119689941406,2002-05-03
31.38152503967285,2002-05-06
31.517454147338867,2002-05-07
32.02095031738281,2002-05-08
31.869895935058594,2002-05-09
31.834665298461914,2002-05-10
32.096466064453125,2002-05-13
32.47407531738281,2002-05-14
32.5647087097168,2002-05-15
32.67546844482422,2002-05-16
