FWONK,Date
27.225046157836914,2015-10-22
27.671358108520508,2015-10-23
27.944904327392578,2015-10-26
27.570579528808594,2015-10-27
28.276039123535156,2015-10-28
28.549585342407227,2015-10-29
28.182458877563477,2015-10-30
28.254444122314453,2015-11-02
28.420011520385742,2015-11-03
28.470401763916016,2015-11-04
28.232847213745117,2015-11-05
28.146465301513672,2015-11-06
28.139266967773438,2015-11-09
28.290437698364258,2015-11-10
28.513593673706055,2015-11-11
29.03908920288086,2015-11-12
28.758344650268555,2015-11-13
28.787139892578125,2015-11-16
28.64316749572754,2015-11-17
28.89151954650879,2015-11-18
28.355224609375,2015-11-19
28.304834365844727,2015-11-20
28.1176700592041,2015-11-23
27.88731575012207,2015-11-24
28.1176700592041,2015-11-25
28.200454711914062,2015-11-27
28.146465301513672,2015-11-30
28.38401985168457,2015-12-01
28.153663635253906,2015-12-02
27.72174835205078,2015-12-03
27.880117416381836,2015-12-04
27.61376953125,2015-12-07
27.253841400146484,2015-12-08
27.05228042602539,2015-12-09
27.433805465698242,2015-12-10
26.829124450683594,2015-12-11
26.541181564331055,2015-12-14
27.351022720336914,2015-12-15
27.570579528808594,2015-12-16
26.850719451904297,2015-12-17
26.42600440979004,2015-12-18
26.64196014404297,2015-12-21
26.857919692993164,2015-12-22
27.34022331237793,2015-12-23
27.376216888427734,2015-12-24
27.059478759765625,2015-12-28
27.426607131958008,2015-12-29
27.239444732666016,2015-12-30
27.41221046447754,2015-12-31
26.447599411010742,2016-01-04
26.138059616088867,2016-01-05
26.102067947387695,2016-01-06
25.71334457397461,2016-01-07
25.497386932373047,2016-01-08
25.511783599853516,2016-01-11
25.454195022583008,2016-01-12
24.6695499420166,2016-01-13
24.82071876525879,2016-01-14
24.057668685913086,2016-01-15
24.13685417175293,2016-01-19
23.892101287841797,2016-01-20
24.53277587890625,2016-01-21
25.022279739379883,2016-01-22
24.475187301635742,2016-01-25
25.274229049682617,2016-01-26
24.921499252319336,2016-01-27
25.047475814819336,2016-01-28
25.619762420654297,2016-01-29
25.554975509643555,2016-02-01
24.619159698486328,2016-02-02
24.194442749023438,2016-02-03
24.1512508392334,2016-02-04
23.345008850097656,2016-02-05
22.812313079833984,2016-02-08
22.826711654663086,2016-02-09
23.129051208496094,2016-02-10
22.72593116760254,2016-02-11
23.13625144958496,2016-02-12
23.22983169555664,2016-02-16
23.755329132080078,2016-02-17
23.553768157958984,2016-02-18
23.892101287841797,2016-02-19
24.345613479614258,2016-02-22
23.97128677368164,2016-02-23
24.165647506713867,2016-02-24
24.69834327697754,2016-02-25
25.029478073120117,2016-02-26
25.12306022644043,2016-02-29
25.74933624267578,2016-03-01
26.03008270263672,2016-03-02
26.39720916748047,2016-03-03
26.54837989807129,2016-03-04
26.433202743530273,2016-03-07
25.94369888305664,2016-03-08
26.375614166259766,2016-03-09
26.102067947387695,2016-03-10
26.49079132080078,2016-03-11
26.541181564331055,2016-03-14
26.469194412231445,2016-03-15
26.663557052612305,2016-03-16
26.814727783203125,2016-03-17
26.937103271484375,2016-03-18
26.771535873413086,2016-03-21
26.965896606445312,2016-03-22
26.67075538635254,2016-03-23
26.663557052612305,2016-03-24
26.980295181274414,2016-03-28
27.181854248046875,2016-03-29
27.21784782409668,2016-03-30
27.419408798217773,2016-03-31
27.577777862548828,2016-04-01
27.20345115661621,2016-04-04
27.001890182495117,2016-04-05
27.462600708007812,2016-04-06
26.76433753967285,2016-04-07
27.073875427246094,2016-04-08
26.800329208374023,2016-04-11
26.965896606445312,2016-04-12
27.433805465698242,2016-04-13
27.268238067626953,2016-04-14
27.541784286499023,2016-04-15
17.846607208251953,2016-04-18
17.718780517578125,2016-04-19
17.718780517578125,2016-04-20
17.590953826904297,2016-04-21
17.954769134521484,2016-04-22
17.699115753173828,2016-04-25
17.89577293395996,2016-04-26
17.807275772094727,2016-04-27
17.846607208251953,2016-04-28
17.699115753173828,2016-04-29
18.00393295288086,2016-05-02
18.131759643554688,2016-05-03
18.42674446105957,2016-05-04
18.731563568115234,2016-05-05
18.672565460205078,2016-05-06
18.279253005981445,2016-05-09
18.525074005126953,2016-05-10
18.279253005981445,2016-05-11
18.21042251586914,2016-05-12
18.082595825195312,2016-05-13
18.171091079711914,2016-05-16
18.161258697509766,2016-05-17
17.954769134521484,2016-05-18
18.09242820739746,2016-05-19
18.46607780456543,2016-05-20
18.298917770385742,2016-05-23
18.593904495239258,2016-05-24
18.66273307800293,2016-05-25
18.66273307800293,2016-05-26
18.879056930541992,2016-05-27
18.633235931396484,2016-05-31
18.790559768676758,2016-06-01
19.242870330810547,2016-06-02
19.272369384765625,2016-06-03
19.351032257080078,2016-06-06
19.360864639282227,2016-06-07
19.154375076293945,2016-06-08
18.86922264099121,2016-06-09
18.14159393310547,2016-06-10
17.817108154296875,2016-06-13
17.99410057067871,2016-06-14
17.954769134521484,2016-06-15
18.12192726135254,2016-06-16
17.78761100769043,2016-06-17
18.34808349609375,2016-06-20
18.02359962463379,2016-06-21
18.00393295288086,2016-06-22
18.102262496948242,2016-06-23
17.78761100769043,2016-06-24
17.404130935668945,2016-06-27
17.66961669921875,2016-06-28
18.289085388183594,2016-06-29
18.65290069580078,2016-06-30
18.790559768676758,2016-07-01
18.574237823486328,2016-07-05
18.485742568969727,2016-07-06
18.731563568115234,2016-07-07
19.046213150024414,2016-07-08
19.203540802001953,2016-07-11
19.370698928833008,2016-07-12
19.34119987487793,2016-07-13
19.508358001708984,2016-07-14
19.69518280029297,2016-07-15
20.23598861694336,2016-07-18
20.33431625366211,2016-07-19
20.344148635864258,2016-07-20
20.285152435302734,2016-07-21
20.65880012512207,2016-07-22
20.747295379638672,2016-07-25
21.189773559570312,2016-07-26
20.9636173248291,2016-07-27
20.835792541503906,2016-07-28
22.045230865478516,2016-07-29
21.710914611816406,2016-08-01
21.258604049682617,2016-08-02
21.43559455871582,2016-08-03
21.268436431884766,2016-08-04
21.278268814086914,2016-08-05
21.150442123413086,2016-08-08
21.238937377929688,2016-08-09
21.199607849121094,2016-08-10
21.45526123046875,2016-08-11
21.140609741210938,2016-08-12
21.386430740356445,2016-08-15
21.13077735900879,2016-08-16
21.160274505615234,2016-08-17
21.386430740356445,2016-08-18
21.425762176513672,2016-08-19
21.091445922851562,2016-08-22
21.209440231323242,2016-08-23
20.934120178222656,2016-08-24
20.68829917907715,2016-08-25
