NI,Date
2.0329701900482178,1995-06-09
2.0479719638824463,1995-06-12
2.062976121902466,1995-06-13
2.0329701900482178,1995-06-14
2.017965078353882,1995-06-15
2.025468111038208,1995-06-16
2.0329701900482178,1995-06-19
2.0329701900482178,1995-06-20
2.0329701900482178,1995-06-21
2.0479719638824463,1995-06-22
2.0479719638824463,1995-06-23
2.025468111038208,1995-06-26
2.017965078353882,1995-06-27
2.055474281311035,1995-06-28
2.0329701900482178,1995-06-29
2.040471315383911,1995-06-30
2.017965078353882,1995-07-03
2.0104644298553467,1995-07-05
2.017965078353882,1995-07-06
2.017965078353882,1995-07-07
2.0104644298553467,1995-07-10
1.9954606294631958,1995-07-11
2.002963066101074,1995-07-12
1.987959384918213,1995-07-13
1.9804582595825195,1995-07-14
1.965454339981079,1995-07-17
1.9729554653167725,1995-07-18
1.965454339981079,1995-07-19
1.957952857017517,1995-07-20
1.965454339981079,1995-07-21
1.987959384918213,1995-07-24
1.9804582595825195,1995-07-25
1.965454339981079,1995-07-26
1.9739575386047363,1995-07-27
1.9815502166748047,1995-07-28
1.989141821861267,1995-07-31
1.9815502166748047,1995-08-01
1.989141821861267,1995-08-02
1.989141821861267,1995-08-03
1.989141821861267,1995-08-04
1.9815502166748047,1995-08-07
1.9739575386047363,1995-08-08
1.9739575386047363,1995-08-09
1.9739575386047363,1995-08-10
1.9739575386047363,1995-08-11
1.9815502166748047,1995-08-14
1.9663658142089844,1995-08-15
1.9815502166748047,1995-08-16
1.9815502166748047,1995-08-17
1.9815502166748047,1995-08-18
1.9663658142089844,1995-08-21
1.9739575386047363,1995-08-22
1.9739575386047363,1995-08-23
1.9663658142089844,1995-08-24
1.989141821861267,1995-08-25
1.989141821861267,1995-08-28
1.9663658142089844,1995-08-29
1.9739575386047363,1995-08-30
1.989141821861267,1995-08-31
1.9967334270477295,1995-09-01
1.9967334270477295,1995-09-05
1.989141821861267,1995-09-06
1.989141821861267,1995-09-07
2.0043258666992188,1995-09-08
2.0043258666992188,1995-09-11
1.989141821861267,1995-09-12
1.9815502166748047,1995-09-13
2.0043258666992188,1995-09-14
2.0043258666992188,1995-09-15
2.019509792327881,1995-09-18
2.027102470397949,1995-09-19
2.027102470397949,1995-09-20
2.0043258666992188,1995-09-21
2.019509792327881,1995-09-22
2.019509792327881,1995-09-25
2.042285919189453,1995-09-26
2.0574710369110107,1995-09-27
2.0726537704467773,1995-09-28
2.1182079315185547,1995-09-29
2.1106157302856445,1995-10-02
2.1106157302856445,1995-10-03
2.140983819961548,1995-10-04
2.1182079315185547,1995-10-05
2.133391857147217,1995-10-06
2.133391857147217,1995-10-09
2.1485767364501953,1995-10-10
2.163761615753174,1995-10-11
2.163761615753174,1995-10-12
2.1789445877075195,1995-10-13
2.194129705429077,1995-10-16
2.1789445877075195,1995-10-17
2.20172119140625,1995-10-18
2.20172119140625,1995-10-19
2.20172119140625,1995-10-20
2.2244985103607178,1995-10-23
2.2320895195007324,1995-10-24
2.2548656463623047,1995-10-25
2.2396833896636963,1995-10-26
2.2252564430236816,1995-10-27
2.232929229736328,1995-10-30
2.240602493286133,1995-10-31
2.240602493286133,1995-11-01
2.255948781967163,1995-11-02
2.2636241912841797,1995-11-03
2.240602493286133,1995-11-06
2.240602493286133,1995-11-07
2.240602493286133,1995-11-08
2.248276948928833,1995-11-09
2.2252564430236816,1995-11-10
2.2252564430236816,1995-11-13
2.232929229736328,1995-11-14
2.2252564430236816,1995-11-15
2.240602493286133,1995-11-16
2.248276948928833,1995-11-17
2.240602493286133,1995-11-20
2.2636241912841797,1995-11-21
2.255948781967163,1995-11-22
2.248276948928833,1995-11-24
2.2636241912841797,1995-11-27
2.240602493286133,1995-11-28
2.2636241912841797,1995-11-29
2.271296262741089,1995-11-30
2.2636241912841797,1995-12-01
2.2789695262908936,1995-12-04
2.3019890785217285,1995-12-05
2.286642551422119,1995-12-06
2.2636241912841797,1995-12-07
2.271296262741089,1995-12-08
2.286642551422119,1995-12-11
2.2789695262908936,1995-12-12
2.3019890785217285,1995-12-13
2.3019890785217285,1995-12-14
2.317336082458496,1995-12-15
2.3019890785217285,1995-12-18
2.317336082458496,1995-12-19
2.3250086307525635,1995-12-20
2.3250086307525635,1995-12-21
2.348029613494873,1995-12-22
2.348029613494873,1995-12-26
2.34035587310791,1995-12-27
2.34035587310791,1995-12-28
2.348029613494873,1995-12-29
2.348029613494873,1996-01-02
2.3633768558502197,1996-01-03
2.3557026386260986,1996-01-04
2.3557026386260986,1996-01-05
