JNJ,Date
0.047868382185697556,1962-09-10
0.04719414561986923,1962-09-11
0.04803704097867012,1962-09-12
0.047531113028526306,1962-09-13
0.047531113028526306,1962-09-14
0.04727828875184059,1962-09-17
0.047531113028526306,1962-09-18
0.048374027013778687,1962-09-19
0.048374027013778687,1962-09-20
0.047868382185697556,1962-09-21
0.04727828875184059,1962-09-24
0.04736274108290672,1962-09-25
0.04660431295633316,1962-09-26
0.0458456389605999,1962-09-27
0.04635150358080864,1962-09-28
0.0458456389605999,1962-10-01
0.046014249324798584,1962-10-02
0.046182867139577866,1962-10-03
0.04635150358080864,1962-10-04
0.046014249324798584,1962-10-05
0.046182867139577866,1962-10-08
0.04677267372608185,1962-10-09
0.04651987925171852,1962-10-10
0.0458456389605999,1962-10-11
0.046182867139577866,1962-10-12
