AJG,Date
1.5928219556808472,1985-02-28
1.6036566495895386,1985-03-01
1.6036566495895386,1985-03-04
1.6036566495895386,1985-03-05
1.6036566495895386,1985-03-06
1.6036566495895386,1985-03-07
1.6036566495895386,1985-03-08
1.6361638307571411,1985-03-11
1.6469985246658325,1985-03-12
1.6361638307571411,1985-03-13
1.6361638307571411,1985-03-14
1.6361638307571411,1985-03-15
1.6361638307571411,1985-03-18
1.6361638307571411,1985-03-19
1.6253288984298706,1985-03-20
1.6253288984298706,1985-03-21
1.6253288984298706,1985-03-22
1.6036566495895386,1985-03-25
1.6036566495895386,1985-03-26
1.6036566495895386,1985-03-27
1.5928219556808472,1985-03-28
1.5928219556808472,1985-03-29
1.581986427307129,1985-04-01
1.581986427307129,1985-04-02
1.581986427307129,1985-04-03
1.581986427307129,1985-04-04
