AFM,Date
1084.0,2018-04-17
1080.0,2018-04-18
1080.0,2018-04-19
1080.0,2018-04-20
1066.0,2018-04-23
1067.0,2018-04-24
1067.0,2018-04-25
1080.0,2018-04-26
1177.0,2018-04-27
1135.0,2018-04-30
1135.0,2018-05-01
1120.0,2018-05-02
1104.0,2018-05-03
1170.0,2018-05-04
1151.0,2018-05-07
1151.0,2018-05-08
1150.0,2018-05-09
1150.0,2018-05-10
1150.0,2018-05-11
1139.0,2018-05-14
1139.0,2018-05-15
1126.0,2018-05-16
1111.0,2018-05-17
1000.0,2018-05-18
1026.0,2018-05-21
1046.0,2018-05-22
1049.0,2018-05-23
950.0,2018-05-24
1044.0,2018-05-25
1044.0,2018-05-29
1055.0,2018-05-30
1055.0,2018-05-31
1060.0,2018-06-01
1074.0,2018-06-04
1064.0,2018-06-05
1064.0,2018-06-06
1064.0,2018-06-07
1064.0,2018-06-08
1064.0,2018-06-11
1064.0,2018-06-12
1064.0,2018-06-13
1065.0,2018-06-14
1065.0,2018-06-15
1064.0,2018-06-18
1050.0,2018-06-19
1064.0,2018-06-20
1064.0,2018-06-21
1064.0,2018-06-22
1064.0,2018-06-25
1077.0,2018-06-26
1077.0,2018-06-27
1077.0,2018-06-28
1077.0,2018-06-29
1077.0,2018-07-02
1020.0,2018-07-03
1020.0,2018-07-05
1033.0,2018-07-06
1033.0,2018-07-09
1033.0,2018-07-10
1033.0,2018-07-11
1040.0,2018-07-12
1040.0,2018-07-13
1028.0,2018-07-16
1029.0,2018-07-17
1020.0,2018-07-18
1030.0,2018-07-19
1005.0,2018-07-20
1003.0,2018-07-23
1008.0,2018-07-24
1000.0,2018-07-25
1000.0,2018-07-26
1000.0,2018-07-27
1000.0,2018-07-30
1000.0,2018-07-31
1000.0,2018-08-01
1000.0,2018-08-02
1000.0,2018-08-03
1003.0,2018-08-06
1003.0,2018-08-07
1003.0,2018-08-08
1003.0,2018-08-09
995.0,2018-08-10
999.0,2018-08-13
999.0,2018-08-14
1003.0,2018-08-15
1002.0,2018-08-16
996.0,2018-08-17
996.0,2018-08-20
996.0,2018-08-21
996.0,2018-08-22
996.0,2018-08-23
1000.0,2018-08-24
1000.0,2018-08-27
997.0,2018-08-28
998.0,2018-08-29
1010.0,2018-08-30
1009.0,2018-08-31
1000.0,2018-09-04
1000.0,2018-09-05
1000.0,2018-09-06
1000.0,2018-09-07
1000.0,2018-09-10
1000.0,2018-09-11
1000.0,2018-09-12
1000.0,2018-09-13
1000.0,2018-09-14
1000.0,2018-09-17
1000.0,2018-09-18
1000.0,2018-09-19
1000.0,2018-09-20
1000.0,2018-09-21
1000.0,2018-09-24
1000.0,2018-09-25
987.0,2018-09-26
1003.0,2018-09-27
1000.0,2018-09-28
1000.0,2018-10-01
1000.0,2018-10-02
1000.0,2018-10-03
1000.0,2018-10-04
1000.0,2018-10-05
1000.0,2018-10-08
1000.0,2018-10-09
1000.0,2018-10-10
1000.0,2018-10-11
1000.0,2018-10-12
998.0,2018-10-15
998.0,2018-10-16
998.0,2018-10-17
998.0,2018-10-18
998.0,2018-10-19
998.0,2018-10-22
998.0,2018-10-23
998.0,2018-10-24
998.0,2018-10-25
990.0,2018-10-26
997.0,2018-10-29
990.0,2018-10-30
995.0,2018-10-31
983.0,2018-11-01
990.0,2018-11-02
980.0,2018-11-05
980.0,2018-11-06
978.0,2018-11-07
985.0,2018-11-08
1083.0,2018-11-09
1037.0,2018-11-12
1010.0,2018-11-13
1000.0,2018-11-14
1000.0,2018-11-15
995.0,2018-11-16
997.0,2018-11-19
997.0,2018-11-20
997.0,2018-11-21
997.0,2018-11-23
997.0,2018-11-26
997.0,2018-11-27
997.0,2018-11-28
997.0,2018-11-29
997.0,2018-11-30
997.0,2018-12-03
986.0,2018-12-04
990.0,2018-12-06
992.0,2018-12-07
992.0,2018-12-10
992.0,2018-12-11
992.0,2018-12-12
990.0,2018-12-13
980.0,2018-12-14
990.0,2018-12-17
990.0,2018-12-18
984.0,2018-12-19
990.0,2018-12-20
980.0,2018-12-21
982.0,2018-12-24
990.0,2018-12-26
990.0,2018-12-27
980.0,2018-12-28
990.0,2018-12-31
990.0,2019-01-02
990.0,2019-01-03
980.0,2019-01-04
980.0,2019-01-07
980.0,2019-01-08
980.0,2019-01-09
980.0,2019-01-10
980.0,2019-01-11
980.0,2019-01-14
980.0,2019-01-15
980.0,2019-01-16
980.0,2019-01-17
883.0,2019-01-18
895.0,2019-01-22
900.0,2019-01-23
942.5,2019-01-24
950.0,2019-01-25
957.0,2019-01-28
957.0,2019-01-29
943.0,2019-01-30
957.0,2019-01-31
942.0,2019-02-01
952.0,2019-02-04
979.0,2019-02-05
990.0,2019-02-06
990.0,2019-02-07
1020.0,2019-02-08
1030.0,2019-02-11
1030.0,2019-02-12
1030.0,2019-02-13
1030.0,2019-02-14
1030.0,2019-02-15
1030.0,2019-02-19
1030.0,2019-02-20
1030.0,2019-02-21
1040.0,2019-02-22
1030.0,2019-02-25
1035.0,2019-02-26
1035.0,2019-02-27
1030.0,2019-02-28
1030.0,2019-03-01
1030.0,2019-03-04
1030.0,2019-03-05
1030.0,2019-03-06
1025.0,2019-03-07
1025.0,2019-03-08
1025.0,2019-03-11
1006.0,2019-03-12
1001.0,2019-03-13
991.0,2019-03-14
1030.0,2019-03-15
1030.0,2019-03-18
1030.0,2019-03-19
1030.0,2019-03-20
1030.0,2019-03-21
1030.0,2019-03-22
1029.0,2019-03-25
1030.0,2019-03-26
1024.0,2019-03-27
1019.0,2019-03-28
1019.0,2019-03-29
1019.0,2019-04-01
1015.0,2019-04-02
1017.0,2019-04-03
1017.0,2019-04-04
1019.0,2019-04-05
1020.0,2019-04-08
1020.0,2019-04-09
1019.0,2019-04-10
1019.0,2019-04-11
1000.0,2019-04-12
1005.0,2019-04-15
990.0,2019-04-16
1001.0,2019-04-17
988.0,2019-04-18
1000.0,2019-04-22
1004.0,2019-04-23
1003.0,2019-04-24
988.0,2019-04-25
994.0,2019-04-26
999.0,2019-04-29
995.0,2019-04-30
995.0,2019-05-01
998.0,2019-05-02
995.0,2019-05-03
995.0,2019-05-06
995.0,2019-05-07
995.0,2019-05-08
995.0,2019-05-09
995.0,2019-05-10
995.0,2019-05-13
995.0,2019-05-14
990.0,2019-05-15
994.0,2019-05-16
995.0,2019-05-17
1014.0,2019-05-20
1010.0,2019-05-21
1010.0,2019-05-22
1010.0,2019-05-23
1000.0,2019-05-24
965.0,2019-05-28
965.0,2019-05-29
980.0,2019-05-30
981.0,2019-05-31
985.0,2019-06-03
985.0,2019-06-04
985.0,2019-06-05
985.0,2019-06-06
985.0,2019-06-07
985.0,2019-06-10
985.0,2019-06-11
985.0,2019-06-12
985.0,2019-06-13
970.0,2019-06-14
970.0,2019-06-17
970.0,2019-06-18
989.0,2019-06-19
1000.0,2019-06-20
1000.0,2019-06-21
1000.0,2019-06-24
999.0,2019-06-25
1000.0,2019-06-26
995.0,2019-06-27
981.0,2019-06-28
971.0999755859375,2019-07-01
915.5,2019-07-02
916.5,2019-07-03
918.0,2019-07-05
919.0,2019-07-08
920.0,2019-07-09
925.0,2019-07-10
900.0,2019-07-11
910.5,2019-07-12
913.0,2019-07-15
918.0,2019-07-16
936.0,2019-07-17
925.0,2019-07-18
930.0,2019-07-19
933.5,2019-07-22
938.5,2019-07-23
944.0,2019-07-24
950.0,2019-07-25
955.0,2019-07-26
961.0,2019-07-29
961.0,2019-07-30
946.0,2019-07-31
970.0,2019-08-01
970.0,2019-08-02
969.0,2019-08-05
970.0,2019-08-06
969.0,2019-08-07
969.0,2019-08-08
969.0,2019-08-09
969.0,2019-08-12
969.0,2019-08-13
969.0,2019-08-14
969.0,2019-08-15
969.0,2019-08-16
975.0,2019-08-19
975.0,2019-08-20
975.0,2019-08-21
975.0,2019-08-22
975.0,2019-08-23
975.0,2019-08-26
978.0,2019-08-27
978.0,2019-08-28
978.0,2019-08-29
978.0,2019-08-30
980.0,2019-09-03
979.0,2019-09-04
979.0,2019-09-05
961.0,2019-09-06
970.0,2019-09-09
961.0,2019-09-10
970.0,2019-09-11
974.0,2019-09-12
974.0,2019-09-13
974.0,2019-09-16
974.0,2019-09-17
974.0,2019-09-18
974.0,2019-09-19
955.0,2019-09-20
963.0,2019-09-23
963.0,2019-09-24
963.0,2019-09-25
969.0,2019-09-26
980.0,2019-09-27
970.0,2019-09-30
980.0,2019-10-01
980.0,2019-10-02
980.0,2019-10-03
1020.0,2019-10-04
995.0,2019-10-07
994.5,2019-10-08
994.5,2019-10-09
1000.0,2019-10-10
1000.0,2019-10-11
1000.0,2019-10-14
1000.0,2019-10-15
1000.0,2019-10-16
1000.0,2019-10-17
1000.0,2019-10-18
962.0,2019-10-21
1000.0,2019-10-22
1002.0,2019-10-23
1002.0,2019-10-24
1000.0,2019-10-25
1000.0,2019-10-28
1000.0,2019-10-29
1000.0,2019-10-30
1000.0,2019-10-31
1020.0,2019-11-01
1020.0,2019-11-04
995.0,2019-11-05
995.0,2019-11-06
1005.0,2019-11-07
1000.0,2019-11-08
1000.0,2019-11-11
1005.0,2019-11-12
1005.0,2019-11-13
1005.0,2019-11-14
1005.0,2019-11-15
1005.0,2019-11-18
1005.0,2019-11-19
1005.0,2019-11-20
1005.0,2019-11-21
1005.0,2019-11-22
1005.0,2019-11-25
1005.0,2019-11-26
1005.0,2019-11-27
1005.0,2019-11-29
1005.0,2019-12-02
1005.0,2019-12-03
1005.0,2019-12-04
1005.0,2019-12-05
1005.0,2019-12-06
1005.0,2019-12-09
1005.0,2019-12-10
1005.0,2019-12-11
1005.0,2019-12-12
1005.0,2019-12-13
1005.0,2019-12-16
1005.0,2019-12-17
1025.0,2019-12-18
1025.0,2019-12-19
1045.0,2019-12-20
1025.0,2019-12-23
1025.0,2019-12-24
1025.0,2019-12-26
1025.0,2019-12-27
1025.0,2019-12-30
1025.0,2019-12-31
1025.0,2020-01-02
1025.0,2020-01-03
1011.0,2020-01-06
1020.0,2020-01-07
1020.0,2020-01-08
1020.0,2020-01-09
1022.0,2020-01-10
1025.0,2020-01-13
1025.0,2020-01-14
1025.0,2020-01-15
1025.0,2020-01-16
1050.0,2020-01-17
1071.0,2020-01-21
1071.0,2020-01-22
1050.0,2020-01-23
1052.0,2020-01-24
1052.0,2020-01-27
1052.0,2020-01-28
1052.0,2020-01-29
1052.0,2020-01-30
1032.0,2020-01-31
1032.0,2020-02-03
1032.0,2020-02-04
1032.0,2020-02-05
1032.0,2020-02-06
1032.0,2020-02-07
1025.0,2020-02-10
1030.0,2020-02-11
1030.0,2020-02-12
1030.0,2020-02-13
1030.0,2020-02-14
1020.0,2020-02-18
1040.0,2020-02-19
1040.0,2020-02-20
1040.0,2020-02-21
1060.0,2020-02-24
1065.0,2020-02-25
1067.0,2020-02-26
1067.0,2020-02-27
1066.0,2020-02-28
1070.0,2020-03-02
1070.0,2020-03-03
1066.0,2020-03-04
1066.0,2020-03-05
1070.0,2020-03-06
1050.0,2020-03-09
1046.0,2020-03-10
1046.0,2020-03-11
1025.0,2020-03-12
1010.0,2020-03-13
990.0,2020-03-16
990.0,2020-03-17
974.0,2020-03-18
960.0,2020-03-19
941.0,2020-03-20
943.0,2020-03-23
943.0,2020-03-24
943.0,2020-03-25
960.0,2020-03-26
963.0,2020-03-27
963.0,2020-03-30
982.0,2020-03-31
979.0,2020-04-01
979.0,2020-04-02
979.0,2020-04-03
979.0,2020-04-06
985.0,2020-04-07
990.0,2020-04-08
990.0,2020-04-09
990.0,2020-04-13
990.0,2020-04-14
990.0,2020-04-15
994.0,2020-04-16
994.0,2020-04-17
994.0,2020-04-20
998.0,2020-04-21
998.0,2020-04-22
959.0,2020-04-23
948.0,2020-04-24
941.0,2020-04-27
940.0,2020-04-28
952.0,2020-04-29
970.0,2020-04-30
970.0,2020-05-01
979.0,2020-05-04
989.0,2020-05-05
999.0,2020-05-06
1000.0,2020-05-07
1001.0,2020-05-08
1001.0,2020-05-11
1001.0,2020-05-12
1001.0,2020-05-13
1001.0,2020-05-14
1001.0,2020-05-15
1001.0,2020-05-18
1001.0,2020-05-19
1001.0,2020-05-20
1001.0,2020-05-21
1001.0,2020-05-22
1001.0,2020-05-26
1020.0,2020-05-27
1020.0,2020-05-28
1000.0,2020-05-29
1004.0,2020-06-01
1004.0,2020-06-02
1005.0,2020-06-03
1005.0,2020-06-04
1005.0,2020-06-05
1005.0,2020-06-08
1005.0,2020-06-09
985.0,2020-06-10
989.0,2020-06-11
995.0,2020-06-12
1000.0,2020-06-15
1002.0,2020-06-16
1022.0,2020-06-17
1025.0,2020-06-18
1025.0,2020-06-19
1005.0,2020-06-22
1005.0,2020-06-23
1005.0,2020-06-24
1005.0,2020-06-25
1005.0,2020-06-26
1005.0,2020-06-29
1005.0,2020-06-30
986.0,2020-07-01
994.0,2020-07-02
1004.0,2020-07-06
1004.0,2020-07-07
1004.0,2020-07-08
1004.0,2020-07-09
1004.0,2020-07-10
1004.0,2020-07-13
1004.0,2020-07-14
1010.0,2020-07-15
1009.0,2020-07-16
1000.0,2020-07-17
1000.0,2020-07-20
1004.0,2020-07-21
1005.0,2020-07-22
1001.0,2020-07-23
1005.0,2020-07-24
1009.0,2020-07-27
1009.0,2020-07-28
1009.0,2020-07-29
1009.0,2020-07-30
1009.0,2020-07-31
1029.0,2020-08-03
1028.0,2020-08-04
1017.0,2020-08-05
990.0,2020-08-06
1001.0,2020-08-07
1004.0,2020-08-10
1005.0,2020-08-11
1005.0,2020-08-12
1005.0,2020-08-13
1005.0,2020-08-14
1005.0,2020-08-17
1004.0,2020-08-18
1005.0,2020-08-19
1005.0,2020-08-20
1005.0,2020-08-21
1005.0,2020-08-24
1005.0,2020-08-25
1005.0,2020-08-26
1005.0,2020-08-27
1005.0,2020-08-28
1005.0,2020-08-31
1005.0,2020-09-01
986.0,2020-09-02
995.0,2020-09-03
1000.0,2020-09-04
1005.0,2020-09-08
1005.0,2020-09-09
1005.0,2020-09-10
1005.0,2020-09-11
1005.0,2020-09-14
1005.0,2020-09-15
1005.0,2020-09-16
1005.0,2020-09-17
1005.0,2020-09-18
1005.0,2020-09-21
1005.0,2020-09-22
986.0,2020-09-23
994.0,2020-09-24
999.0,2020-09-25
1005.0,2020-09-28
1005.0,2020-09-29
1005.0,2020-09-30
1005.0,2020-10-01
1005.0,2020-10-02
1045.0,2020-10-05
1045.0,2020-10-06
1045.0,2020-10-07
1045.0,2020-10-08
1045.0,2020-10-09
1045.0,2020-10-12
1045.0,2020-10-13
1045.0,2020-10-14
1045.0,2020-10-15
1040.0,2020-10-16
1040.0,2020-10-19
1040.0,2020-10-20
1040.0,2020-10-21
1020.0,2020-10-22
1020.0,2020-10-23
1020.0,2020-10-26
1020.0,2020-10-27
1020.0,2020-10-28
1020.0,2020-10-29
1020.0,2020-10-30
1019.0,2020-11-02
1020.0,2020-11-03
1019.0,2020-11-04
1018.0,2020-11-05
1018.0,2020-11-06
1018.0,2020-11-09
1019.0,2020-11-10
1020.0,2020-11-11
1020.0,2020-11-12
1020.0,2020-11-13
1020.0,2020-11-16
1020.0,2020-11-17
1020.0,2020-11-18
1020.0,2020-11-19
1020.0,2020-11-20
1020.0,2020-11-23
1001.0,2020-11-24
1002.0,2020-11-25
1039.0,2020-11-27
1040.0,2020-11-30
1040.0,2020-12-01
1040.0,2020-12-02
1040.0,2020-12-03
1039.0,2020-12-04
1039.0,2020-12-07
1039.0,2020-12-08
1040.0,2020-12-09
1040.0,2020-12-10
1040.0,2020-12-11
1050.0,2020-12-14
1050.0,2020-12-15
1060.0,2020-12-16
1072.0,2020-12-17
1110.0,2020-12-18
1100.0,2020-12-21
1101.0,2020-12-22
1101.0,2020-12-23
1101.0,2020-12-24
1078.0,2020-12-28
1100.0,2020-12-29
1100.0,2020-12-30
1116.0,2020-12-31
1116.0,2021-01-04
1111.0,2021-01-05
1111.0,2021-01-06
1111.0,2021-01-07
1090.0,2021-01-08
1090.0,2021-01-11
1091.0,2021-01-12
1112.0,2021-01-13
1122.0,2021-01-14
1122.0,2021-01-15
1133.0,2021-01-19
1133.0,2021-01-20
1133.0,2021-01-21
1133.0,2021-01-22
1133.0,2021-01-25
1133.0,2021-01-26
1154.0,2021-01-27
1152.0,2021-01-28
1152.0,2021-01-29
1152.0,2021-02-01
1152.0,2021-02-02
1152.0,2021-02-03
1152.0,2021-02-04
1131.0,2021-02-05
1138.0,2021-02-08
1141.0,2021-02-09
1141.0,2021-02-10
1163.0,2021-02-11
1172.0,2021-02-12
1192.0,2021-02-16
1192.0,2021-02-17
1192.0,2021-02-18
1192.0,2021-02-19
1192.0,2021-02-22
1170.0,2021-02-23
1172.0,2021-02-24
1172.0,2021-02-25
1187.0,2021-02-26
1187.0,2021-03-01
1187.0,2021-03-02
1187.0,2021-03-03
1187.0,2021-03-04
1165.0,2021-03-05
1165.0,2021-03-08
1143.0,2021-03-09
1148.0,2021-03-10
1148.0,2021-03-11
1148.0,2021-03-12
1148.0,2021-03-15
1148.0,2021-03-16
1148.0,2021-03-17
1148.0,2021-03-18
1129.0,2021-03-19
1133.0,2021-03-22
1141.0,2021-03-23
1141.0,2021-03-24
1146.0,2021-03-25
1146.0,2021-03-26
1130.0,2021-03-29
1136.0,2021-03-30
1141.0,2021-03-31
1162.0,2021-04-01
1162.0,2021-04-05
1162.0,2021-04-06
1162.0,2021-04-07
1162.0,2021-04-08
1162.0,2021-04-09
1162.0,2021-04-12
1162.0,2021-04-13
1162.0,2021-04-14
1162.0,2021-04-15
1162.0,2021-04-16
1162.0,2021-04-19
1162.0,2021-04-20
1162.0,2021-04-21
1162.0,2021-04-22
1162.0,2021-04-23
1162.0,2021-04-26
1162.0,2021-04-27
1162.0,2021-04-28
1162.0,2021-04-29
1142.0,2021-04-30
1151.0,2021-05-03
1163.0,2021-05-04
1167.0,2021-05-05
1189.0,2021-05-06
1189.0,2021-05-07
1190.0,2021-05-10
1190.0,2021-05-11
1200.0,2021-05-12
1200.0,2021-05-13
1200.0,2021-05-14
1200.0,2021-05-17
1222.0,2021-05-18
1201.0,2021-05-19
1201.0,2021-05-20
1201.0,2021-05-21
1202.0,2021-05-24
1202.0,2021-05-25
1202.0,2021-05-26
1202.0,2021-05-27
1202.0,2021-05-28
1200.0,2021-06-01
1202.0,2021-06-02
1212.0,2021-06-03
1212.0,2021-06-04
1212.0,2021-06-07
1215.0,2021-06-08
1200.0,2021-06-09
1190.0,2021-06-10
1220.0,2021-06-11
1221.0,2021-06-14
1221.0,2021-06-15
1225.0,2021-06-16
1225.0,2021-06-17
1204.0,2021-06-18
1212.0,2021-06-21
1225.0,2021-06-29
1225.0,2021-06-30
1225.0,2021-07-01
1225.0,2021-07-02
1225.0,2021-07-06
1225.0,2021-07-07
1225.0,2021-07-08
1225.0,2021-07-09
1225.0,2021-07-12
1225.0,2021-07-13
1225.0,2021-07-14
1225.0,2021-07-15
1225.0,2021-07-16
1225.0,2021-07-19
1225.0,2021-07-20
1225.0,2021-07-21
1225.0,2021-07-22
1225.0,2021-07-23
1225.0,2021-07-26
1225.0,2021-07-27
1225.0,2021-07-28
1225.0,2021-07-29
1225.0,2021-07-30
1233.0,2021-08-02
1233.0,2021-08-03
1233.0,2021-08-04
1248.0,2021-08-05
1246.0,2021-08-06
1246.0,2021-08-09
1246.0,2021-08-11
1246.0,2021-08-12
1246.0,2021-08-13
1203.0,2021-08-16
1203.0,2021-08-17
1205.0,2021-08-18
1225.0,2021-08-19
1225.0,2021-08-20
1228.0,2021-08-23
1225.0,2021-08-24
1202.0,2021-08-25
1212.0,2021-08-26
1212.0,2021-08-27
1235.0,2021-08-30
1212.0,2021-08-31
1212.0,2021-09-01
1220.0,2021-09-02
1220.0,2021-09-03
1220.0,2021-09-07
1220.0,2021-09-08
1220.0,2021-09-09
1220.0,2021-09-10
1220.0,2021-09-13
1220.0,2021-09-14
1220.0,2021-09-15
1220.0,2021-09-16
1220.0,2021-09-17
1220.0,2021-09-20
1220.0,2021-09-21
1220.0,2021-09-22
1220.0,2021-09-23
1220.0,2021-09-24
1220.0,2021-09-27
1243.0,2021-09-28
1234.0,2021-09-29
1234.0,2021-09-30
1234.0,2021-10-01
1234.0,2021-10-04
1236.0,2021-10-05
1250.0,2021-10-06
1254.0,2021-10-07
1260.0,2021-10-08
1260.0,2021-10-11
1260.0,2021-10-12
1329.0,2021-10-13
1335.0,2021-10-14
1335.0,2021-10-15
1362.0,2021-10-18
1362.0,2021-10-19
1362.0,2021-10-20
1362.0,2021-10-21
1361.0,2021-10-22
1361.0,2021-10-25
1361.0,2021-10-26
1365.0,2021-10-27
1361.0,2021-10-28
1361.0,2021-10-29
1361.0,2021-11-01
1335.0,2021-11-02
1360.0,2021-11-03
1360.0,2021-11-04
1360.0,2021-11-05
1360.0,2021-11-08
1360.0,2021-11-09
1360.0,2021-11-10
1360.0,2021-11-11
1300.0,2021-11-12
1304.0,2021-11-15
1300.0,2021-11-16
1280.0,2021-11-17
1299.0,2021-11-19
1324.0,2021-11-22
1325.0,2021-11-23
1325.0,2021-11-24
1325.0,2021-11-26
1325.0,2021-11-29
1325.0,2021-11-30
1300.0,2021-12-01
1300.0,2021-12-02
1300.0,2021-12-03
1295.0,2021-12-06
1295.0,2021-12-07
1297.0,2021-12-08
1295.0,2021-12-09
1319.0,2021-12-10
1319.0,2021-12-13
1319.0,2021-12-14
1319.0,2021-12-15
1319.0,2021-12-16
1319.0,2021-12-17
1319.0,2021-12-20
1319.0,2021-12-21
1319.0,2021-12-22
1319.0,2021-12-23
1319.0,2021-12-27
1344.0,2021-12-28
1370.0,2021-12-29
1290.0,2021-12-30
1360.0,2021-12-31
1360.0,2022-01-03
1360.0,2022-01-04
1360.0,2022-01-05
1360.0,2022-01-06
1368.0,2022-01-07
1361.0,2022-01-10
1350.0,2022-01-12
1350.0,2022-01-13
1350.0,2022-01-14
1350.0,2022-01-18
1375.0,2022-01-19
1404.0,2022-01-20
1397.0,2022-01-21
1397.0,2022-01-24
1397.0,2022-01-25
1397.0,2022-01-26
1397.0,2022-01-27
1397.0,2022-01-28
1397.0,2022-01-31
1396.0,2022-02-01
1395.0,2022-02-02
1395.0,2022-02-03
1395.0,2022-02-04
1395.0,2022-02-07
1395.0,2022-02-08
1395.0,2022-02-09
1395.0,2022-02-10
1390.0,2022-02-11
1389.0,2022-02-14
1389.0,2022-02-15
1389.0,2022-02-16
1389.0,2022-02-17
1389.0,2022-02-18
1389.0,2022-02-22
1389.0,2022-02-23
1389.0,2022-02-24
1389.0,2022-02-25
1389.0,2022-02-28
1389.0,2022-03-01
1409.0,2022-03-02
