ES,Date
3.465982675552368,1985-12-20
3.490053653717041,1985-12-23
3.465982675552368,1985-12-24
3.3937737941741943,1985-12-26
3.3937737941741943,1985-12-27
3.4178435802459717,1985-12-30
3.4178435802459717,1985-12-31
3.4178435802459717,1986-01-02
3.4178435802459717,1986-01-03
3.4178435802459717,1986-01-06
3.5141210556030273,1986-01-07
3.441913604736328,1986-01-08
3.36970853805542,1986-01-09
3.490053653717041,1986-01-10
3.490053653717041,1986-01-13
3.490053653717041,1986-01-14
3.490053653717041,1986-01-15
3.490053653717041,1986-01-16
3.5381906032562256,1986-01-17
3.5381906032562256,1986-01-20
3.5381906032562256,1986-01-21
3.562258005142212,1986-01-22
3.5863301753997803,1986-01-23
3.6344656944274902,1986-01-24
3.6585376262664795,1986-01-27
3.778883457183838,1986-01-28
3.754814386367798,1986-01-29
3.778883457183838,1986-01-30
3.778883457183838,1986-01-31
3.8029539585113525,1986-02-03
3.8029539585113525,1986-02-04
3.8510901927948,1986-02-05
3.8510901927948,1986-02-06
3.8270232677459717,1986-02-07
3.8270232677459717,1986-02-10
3.8510901927948,1986-02-11
3.899230718612671,1986-02-12
3.8751590251922607,1986-02-13
3.9473679065704346,1986-02-14
4.067715644836426,1986-02-18
4.04364538192749,1986-02-19
4.115854740142822,1986-02-20
4.236199855804443,1986-02-21
4.122344970703125,1986-02-24
4.122344970703125,1986-02-25
4.122344970703125,1986-02-26
4.122344970703125,1986-02-27
4.097806930541992,1986-02-28
4.122344970703125,1986-03-03
4.097806930541992,1986-03-04
4.097806930541992,1986-03-05
4.073271751403809,1986-03-06
4.048732757568359,1986-03-07
4.024193286895752,1986-03-10
4.048732757568359,1986-03-11
4.122344970703125,1986-03-12
4.146883487701416,1986-03-13
4.122344970703125,1986-03-14
3.9505796432495117,1986-03-17
3.99965763092041,1986-03-18
3.99965763092041,1986-03-19
4.024193286895752,1986-03-20
4.048732757568359,1986-03-21
4.122344970703125,1986-03-24
4.122344970703125,1986-03-25
4.220495223999023,1986-03-26
4.269571781158447,1986-03-27
4.269571781158447,1986-03-31
4.416799545288086,1986-04-01
4.39225959777832,1986-04-02
4.416799545288086,1986-04-03
4.3431854248046875,1986-04-04
4.220495223999023,1986-04-07
4.2941107749938965,1986-04-08
4.441337585449219,1986-04-09
4.367725372314453,1986-04-10
4.441337585449219,1986-04-11
4.416799545288086,1986-04-14
4.318646430969238,1986-04-15
4.416799545288086,1986-04-16
4.367725372314453,1986-04-17
4.367725372314453,1986-04-18
4.367725372314453,1986-04-21
4.3431854248046875,1986-04-22
4.269571781158447,1986-04-23
4.097806930541992,1986-04-24
4.048732757568359,1986-04-25
4.048732757568359,1986-04-28
3.9260411262512207,1986-04-29
3.8769690990448,1986-04-30
4.097806930541992,1986-05-01
3.9751198291778564,1986-05-02
4.048732757568359,1986-05-05
4.073271751403809,1986-05-06
4.048732757568359,1986-05-07
4.097806930541992,1986-05-08
4.097806930541992,1986-05-09
4.122344970703125,1986-05-12
