RYAAY,Date
2.8552684783935547,1997-09-22
2.8289530277252197,1997-09-23
2.86842679977417,1997-09-24
2.90790057182312,1997-09-25
2.947374105453491,1997-09-26
3.0526373386383057,1997-09-29
3.162834644317627,1997-09-30
3.144742488861084,1997-10-01
3.144742488861084,1997-10-02
3.171058416366577,1997-10-03
3.1579010486602783,1997-10-06
3.184216260910034,1997-10-07
3.1579010486602783,1997-10-08
3.131585121154785,1997-10-09
3.0657951831817627,1997-10-10
3.0263214111328125,1997-10-13
3.0526373386383057,1997-10-14
3.0000054836273193,1997-10-15
2.881584405899048,1997-10-16
2.86842679977417,1997-10-17
2.9013214111328125,1997-10-20
2.881584405899048,1997-10-21
2.894742012023926,1997-10-22
2.8157944679260254,1997-10-23
2.7894790172576904,1997-10-24
2.2631618976593018,1997-10-27
2.500004768371582,1997-10-28
2.723689556121826,1997-10-29
2.6052682399749756,1997-10-30
2.6315836906433105,1997-10-31
2.644742250442505,1997-11-03
2.6578993797302246,1997-11-04
2.6184263229370117,1997-11-05
2.6184263229370117,1997-11-06
2.526320457458496,1997-11-07
2.513162612915039,1997-11-10
2.526320457458496,1997-11-11
2.5197415351867676,1997-11-12
2.526320457458496,1997-11-13
2.55263614654541,1997-11-14
2.5888209342956543,1997-11-17
2.644742250442505,1997-11-18
2.7631633281707764,1997-11-19
2.776320695877075,1997-11-20
2.736847162246704,1997-11-21
2.7500052452087402,1997-11-24
2.776320695877075,1997-11-25
2.8026368618011475,1997-11-26
2.8157944679260254,1997-11-28
2.736847162246704,1997-12-01
2.684215784072876,1997-12-02
2.697373151779175,1997-12-03
2.6315836906433105,1997-12-04
2.6578993797302246,1997-12-05
2.6578993797302246,1997-12-08
2.684215784072876,1997-12-09
2.6315836906433105,1997-12-10
2.6184263229370117,1997-12-11
2.644742250442505,1997-12-12
2.6184263229370117,1997-12-15
2.644742250442505,1997-12-16
2.6052682399749756,1997-12-17
2.5657942295074463,1997-12-18
2.5657942295074463,1997-12-19
2.5592153072357178,1997-12-22
2.526320457458496,1997-12-23
2.5657942295074463,1997-12-24
2.513162612915039,1997-12-26
2.5394785404205322,1997-12-29
2.55263614654541,1997-12-30
2.644742250442505,1997-12-31
2.6315836906433105,1998-01-02
2.684215784072876,1998-01-05
2.6710574626922607,1998-01-06
2.6578993797302246,1998-01-07
2.55263614654541,1998-01-08
2.500004768371582,1998-01-09
2.526320457458496,1998-01-12
2.5789525508880615,1998-01-13
2.6315836906433105,1998-01-14
2.6315836906433105,1998-01-15
2.6184263229370117,1998-01-16
2.5789525508880615,1998-01-20
2.5657942295074463,1998-01-21
2.5394785404205322,1998-01-22
2.500004768371582,1998-01-23
2.3815832138061523,1998-01-26
2.3947417736053467,1998-01-27
2.368425130844116,1998-01-28
2.585530996322632,1998-01-29
2.6052682399749756,1998-01-30
2.6184263229370117,1998-02-02
2.7500052452087402,1998-02-03
2.8355319499969482,1998-02-04
2.8552684783935547,1998-02-05
3.0394792556762695,1998-02-06
2.9736900329589844,1998-02-09
2.9736900329589844,1998-02-10
3.0526373386383057,1998-02-11
3.0526373386383057,1998-02-12
3.144742488861084,1998-02-13
3.276322364807129,1998-02-17
3.2105319499969482,1998-02-18
3.302638053894043,1998-02-19
3.355268955230713,1998-02-20
3.4605331420898438,1998-02-23
3.4473750591278076,1998-02-24
3.6184279918670654,1998-02-25
3.8289554119110107,1998-02-26
3.8947441577911377,1998-02-27
3.986849308013916,1998-03-02
3.776322841644287,1998-03-03
3.8684277534484863,1998-03-04
3.776322841644287,1998-03-05
3.8947441577911377,1998-03-06
3.6710596084594727,1998-03-09
3.6842169761657715,1998-03-10
3.578953981399536,1998-03-11
3.4342169761657715,1998-03-12
3.4605331420898438,1998-03-13
3.6579017639160156,1998-03-16
3.7894811630249023,1998-03-17
3.7894811630249023,1998-03-18
3.763164758682251,1998-03-19
