WST,Date
0.7413478493690491,1980-11-24
0.7326771020889282,1980-11-25
0.7586890459060669,1980-11-26
0.7370123267173767,1980-11-28
0.7283415794372559,1980-12-01
0.7283415794372559,1980-12-02
0.7110000848770142,1980-12-03
0.7066646814346313,1980-12-04
0.6936584115028381,1980-12-05
0.6676461100578308,1980-12-08
0.6633114218711853,1980-12-09
0.6589756608009338,1980-12-10
0.6416340470314026,1980-12-11
0.6589756608009338,1980-12-12
0.6806526184082031,1980-12-15
0.6633114218711853,1980-12-16
0.6589756608009338,1980-12-17
0.6546404957771301,1980-12-18
0.6633114218711853,1980-12-19
0.6676461100578308,1980-12-22
0.6546404957771301,1980-12-23
0.6589756608009338,1980-12-24
0.6633114218711853,1980-12-26
0.6936584115028381,1980-12-29
0.7326771020889282,1980-12-30
