BR,Date
28.956100463867188,2013-11-07
29.977489471435547,2013-11-08
29.81140899658203,2013-11-11
30.13525390625,2013-11-12
30.210010528564453,2013-11-13
30.185096740722656,2013-11-14
30.251535415649414,2013-11-15
30.28473472595215,2013-11-18
30.625192642211914,2013-11-19
30.79959487915039,2013-11-20
31.629987716674805,2013-11-21
31.546951293945312,2013-11-22
31.50542640686035,2013-11-25
31.912322998046875,2013-11-26
31.854204177856445,2013-11-27
31.6798038482666,2013-11-29
32.01197814941406,2013-12-02
32.2860107421875,2013-12-03
31.945541381835938,2013-12-04
31.538652420043945,2013-12-05
32.045188903808594,2013-12-06
31.9953670501709,2013-12-09
31.861780166625977,2013-12-10
31.619638442993164,2013-12-11
31.68644905090332,2013-12-12
32.21245193481445,2013-12-13
32.39614486694336,2013-12-16
32.24585723876953,2013-12-17
32.58817672729492,2013-12-18
32.52973937988281,2013-12-19
33.197696685791016,2013-12-20
33.105873107910156,2013-12-23
33.347991943359375,2013-12-24
33.18935012817383,2013-12-26
33.18935012817383,2013-12-27
33.06410217285156,2013-12-30
32.997310638427734,2013-12-31
32.80528259277344,2014-01-02
32.972259521484375,2014-01-03
33.06410217285156,2014-01-06
32.76353073120117,2014-01-07
32.09555435180664,2014-01-08
32.053810119628906,2014-01-09
32.08721160888672,2014-01-10
31.928579330444336,2014-01-13
32.12896728515625,2014-01-14
32.20410919189453,2014-01-15
32.12896728515625,2014-01-16
32.08721160888672,2014-01-17
31.961959838867188,2014-01-21
32.179054260253906,2014-01-22
31.73653221130371,2014-01-23
30.651086807250977,2014-01-24
30.275365829467773,2014-01-27
30.467403411865234,2014-01-28
30.141773223876953,2014-01-29
30.734601974487305,2014-01-30
30.300405502319336,2014-01-31
29.457107543945312,2014-02-03
29.832843780517578,2014-02-04
29.67420768737793,2014-02-05
30.158477783203125,2014-02-06
31.0518798828125,2014-02-07
30.868186950683594,2014-02-10
31.02682113647461,2014-02-11
31.118675231933594,2014-02-12
30.985071182250977,2014-02-13
31.127010345458984,2014-02-14
31.43595314025879,2014-02-18
31.101972579956055,2014-02-19
30.985071182250977,2014-02-20
30.909929275512695,2014-02-21
30.90158462524414,2014-02-24
30.943328857421875,2014-02-25
31.277307510375977,2014-02-26
31.34410858154297,2014-02-27
31.527793884277344,2014-02-28
31.636337280273438,2014-03-03
32.42120361328125,2014-03-04
32.38779830932617,2014-03-05
32.15400695800781,2014-03-06
32.3711051940918,2014-03-07
32.19575500488281,2014-03-10
31.961959838867188,2014-03-11
31.90319061279297,2014-03-12
31.29032325744629,2014-03-13
31.256744384765625,2014-03-14
31.466632843017578,2014-03-17
31.65133285522461,2014-03-18
31.189584732055664,2014-03-19
31.323898315429688,2014-03-20
30.50114631652832,2014-03-21
30.47594451904297,2014-03-24
30.6606502532959,2014-03-25
30.677448272705078,2014-03-26
30.492746353149414,2014-03-27
30.492746353149414,2014-03-28
31.18119239807129,2014-03-31
31.819255828857422,2014-04-01
31.878019332885742,2014-04-02
31.617753982543945,2014-04-03
30.69423484802246,2014-04-04
30.433979034423828,2014-04-07
30.84536361694336,2014-04-08
31.332305908203125,2014-04-09
30.719423294067383,2014-04-10
29.89666748046875,2014-04-11
30.039384841918945,2014-04-14
30.047780990600586,2014-04-15
30.635469436645508,2014-04-16
30.912532806396484,2014-04-17
30.946109771728516,2014-04-21
31.231563568115234,2014-04-22
31.231563568115234,2014-04-23
31.57577133178711,2014-04-24
31.20636558532715,2014-04-25
31.550588607788086,2014-04-28
31.525402069091797,2014-04-29
32.18864822387695,2014-04-30
32.0963020324707,2014-05-01
32.222232818603516,2014-05-02
32.40693664550781,2014-05-05
32.26420974731445,2014-05-06
32.41532516479492,2014-05-07
32.16347122192383,2014-05-08
32.3229866027832,2014-05-09
32.69239044189453,2014-05-12
33.397621154785156,2014-05-13
32.91067886352539,2014-05-14
32.3145866394043,2014-05-15
32.57484436035156,2014-05-16
33.19612503051758,2014-05-19
32.59164810180664,2014-05-20
33.19612503051758,2014-05-21
33.4479866027832,2014-05-22
33.9769172668457,2014-05-23
34.304344177246094,2014-05-27
34.270755767822266,2014-05-28
34.63176345825195,2014-05-29
34.438663482666016,2014-05-30
34.883628845214844,2014-06-02
34.61497497558594,2014-06-03
35.370582580566406,2014-06-04
34.85005569458008,2014-06-05
34.917232513427734,2014-06-06
34.63176345825195,2014-06-09
34.6065788269043,2014-06-10
34.598182678222656,2014-06-11
34.38721466064453,2014-06-12
34.395660400390625,2014-06-13
34.218448638916016,2014-06-16
34.530677795410156,2014-06-17
34.555992126464844,2014-06-18
34.48848342895508,2014-06-19
34.48005676269531,2014-06-20
34.52223587036133,2014-06-23
34.311275482177734,2014-06-24
