AIG,Date
930.5503540039062,2001-03-22
934.63818359375,2001-03-23
962.1380004882812,2001-03-26
981.3388061523438,2001-03-27
980.71923828125,2001-03-28
967.5884399414062,2001-03-29
997.1952514648438,2001-03-30
1027.5439453125,2001-04-02
993.602783203125,2001-04-03
951.8563232421875,2001-04-04
959.2893676757812,2001-04-05
948.263916015625,2001-04-06
943.6809692382812,2001-04-09
954.8297729492188,2001-04-10
953.7149047851562,2001-04-11
963.7487182617188,2001-04-12
960.6519165039062,2001-04-16
972.4203491210938,2001-04-17
991.124755859375,2001-04-18
1011.4408569335938,2001-04-19
978.6137084960938,2001-04-20
966.102294921875,2001-04-23
956.31591796875,2001-04-24
974.4016723632812,2001-04-25
989.1435546875,2001-04-26
999.672119140625,2001-04-27
1013.2982788085938,2001-04-30
1026.9246826171875,2001-05-01
1018.2534790039062,2001-05-02
1024.447509765625,2001-05-03
1044.8868408203125,2001-05-04
1042.905517578125,2001-05-07
1040.55126953125,2001-05-08
1038.816650390625,2001-05-09
1028.1632080078125,2001-05-10
1017.0149536132812,2001-05-11
1020.1118774414062,2001-05-14
1027.5439453125,2001-05-15
1049.346435546875,2001-05-16
1038.816650390625,2001-05-17
1035.8438720703125,2001-05-18
1048.9744873046875,2001-05-21
1030.6416015625,2001-05-22
1015.7763671875,2001-05-23
1023.3325805664062,2001-05-24
1019.6163940429688,2001-05-25
1018.6250610351562,2001-05-29
1012.0199584960938,2001-05-30
1003.8403930664062,2001-05-31
992.5625610351562,2001-06-01
1004.7078247070312,2001-06-04
1012.5157470703125,2001-06-05
1003.8403930664062,2001-06-06
1005.0794677734375,2001-06-07
1000.8662109375,2001-06-08
1003.220458984375,2001-06-11
1002.105224609375,2001-06-12
997.8914184570312,2001-06-13
1000.7420043945312,2001-06-14
1014.3744506835938,2001-06-15
1023.0492553710938,2001-06-18
1036.8060302734375,2001-06-19
1037.9212646484375,2001-06-20
1063.3270263671875,2001-06-21
1053.660400390625,2001-06-22
1046.5963134765625,2001-06-25
1046.5963134765625,2001-06-26
1052.544677734375,2001-06-27
1072.1265869140625,2001-06-28
1053.53662109375,2001-06-29
1071.8787841796875,2001-07-02
1078.9420166015625,2001-07-03
1057.3782958984375,2001-07-05
1045.852783203125,2001-07-06
1056.1390380859375,2001-07-09
1041.391357421875,2001-07-10
1034.8226318359375,2001-07-11
1042.258544921875,2001-07-12
1047.33984375,2001-07-13
1057.0068359375,2001-07-16
1054.900146484375,2001-07-17
1055.6439208984375,2001-07-18
1052.17333984375,2001-07-19
1041.1439208984375,2001-07-20
1031.8487548828125,2001-07-23
1027.2630615234375,2001-07-24
1024.5364990234375,2001-07-25
1019.7034301757812,2001-07-26
1012.763427734375,2001-07-27
1024.0408935546875,2001-07-30
1031.724853515625,2001-07-31
1023.6691284179688,2001-08-01
1021.810546875,2001-08-02
1011.7723388671875,2001-08-03
1010.037109375,2001-08-06
1015.5176391601562,2001-08-07
1012.4176635742188,2001-08-08
1009.3179931640625,2001-08-09
1012.78955078125,2001-08-10
1003.7376708984375,2001-08-13
995.8017578125,2001-08-14
1009.8140869140625,2001-08-15
1006.5897216796875,2001-08-16
982.1626586914062,2001-08-17
968.895263671875,2001-08-20
970.0113525390625,2001-08-21
961.9515380859375,2001-08-22
959.719970703125,2001-08-23
957.2396240234375,2001-08-24
951.6602172851562,2001-08-27
957.2396240234375,2001-08-28
968.3992919921875,2001-08-29
973.359375,2001-08-30
969.63916015625,2001-08-31
948.56005859375,2001-09-04
917.437744140625,2001-09-05
936.780517578125,2001-09-06
907.022216796875,2001-09-07
920.7855834960938,2001-09-10
880.3632202148438,2001-09-17
868.58349609375,2001-09-18
861.7640991210938,2001-09-19
854.3239135742188,2001-09-20
831.3853149414062,2001-09-21
880.3632202148438,2001-09-24
911.9818725585938,2001-09-25
936.1610107421875,2001-09-26
942.3604125976562,2001-09-27
967.15966796875,2001-09-28
951.5361328125,2001-10-01
972.739501953125,2001-10-02
1000.6380004882812,2001-10-03
993.69482421875,2001-10-04
979.8067016601562,2001-10-05
952.8999633789062,2001-10-08
959.099853515625,2001-10-09
1000.6380004882812,2001-10-10
1042.1766357421875,2001-10-11
1037.7122802734375,2001-10-12
1052.343505859375,2001-10-15
1066.4793701171875,2001-10-16
1058.9161376953125,2001-10-17
1029.1568603515625,2001-10-18
1011.7973022460938,2001-10-19
1051.5999755859375,2001-10-22
1039.3245849609375,2001-10-23
1039.076171875,2001-10-24
1040.1925048828125,2001-10-25
1039.076171875,2001-10-26
