CNC,Date
5.576250076293945,2004-10-22
5.75,2004-10-25
5.625,2004-10-26
5.898749828338623,2004-10-27
5.976250171661377,2004-10-28
5.928750038146973,2004-10-29
6.119999885559082,2004-11-01
6.059999942779541,2004-11-02
6.082499980926514,2004-11-03
6.112500190734863,2004-11-04
6.150000095367432,2004-11-05
6.162499904632568,2004-11-08
6.474999904632568,2004-11-09
6.337500095367432,2004-11-10
6.512499809265137,2004-11-11
6.619999885559082,2004-11-12
6.797500133514404,2004-11-15
6.599999904632568,2004-11-16
6.538750171661377,2004-11-17
6.506249904632568,2004-11-18
6.5,2004-11-19
6.678750038146973,2004-11-22
6.71875,2004-11-23
6.668749809265137,2004-11-24
6.682499885559082,2004-11-26
6.650000095367432,2004-11-29
6.6875,2004-11-30
6.777500152587891,2004-12-01
6.668749809265137,2004-12-02
6.659999847412109,2004-12-03
6.679999828338623,2004-12-06
6.517499923706055,2004-12-07
6.6875,2004-12-08
6.775000095367432,2004-12-09
7.170000076293945,2004-12-10
7.309999942779541,2004-12-13
7.308750152587891,2004-12-14
7.387499809265137,2004-12-15
7.333749771118164,2004-12-16
7.25,2004-12-17
7.224999904632568,2004-12-20
7.477499961853027,2004-12-21
7.287499904632568,2004-12-22
7.287499904632568,2004-12-23
7.207499980926514,2004-12-27
7.262499809265137,2004-12-28
7.375,2004-12-29
7.329999923706055,2004-12-30
7.087500095367432,2004-12-31
7.167500019073486,2005-01-03
7.074999809265137,2005-01-04
6.960000038146973,2005-01-05
7.0,2005-01-06
7.077499866485596,2005-01-07
7.377500057220459,2005-01-10
7.5,2005-01-11
7.550000190734863,2005-01-12
7.802499771118164,2005-01-13
8.117500305175781,2005-01-14
8.147500038146973,2005-01-18
7.71999979019165,2005-01-19
7.820000171661377,2005-01-20
7.869999885559082,2005-01-21
7.610000133514404,2005-01-24
7.695000171661377,2005-01-25
7.897500038146973,2005-01-26
7.96999979019165,2005-01-27
7.925000190734863,2005-01-28
8.387499809265137,2005-01-31
8.342499732971191,2005-02-01
8.162500381469727,2005-02-02
8.350000381469727,2005-02-03
8.475000381469727,2005-02-04
8.300000190734863,2005-02-07
8.130000114440918,2005-02-08
8.087499618530273,2005-02-09
8.295000076293945,2005-02-10
8.5024995803833,2005-02-11
8.667499542236328,2005-02-14
8.692500114440918,2005-02-15
8.71500015258789,2005-02-16
8.5600004196167,2005-02-17
8.442500114440918,2005-02-18
8.050000190734863,2005-02-22
8.112500190734863,2005-02-23
8.220000267028809,2005-02-24
8.484999656677246,2005-02-25
8.34000015258789,2005-02-28
8.529999732971191,2005-03-01
8.614999771118164,2005-03-02
8.607500076293945,2005-03-03
8.647500038146973,2005-03-04
8.522500038146973,2005-03-07
8.4375,2005-03-08
8.0600004196167,2005-03-09
7.849999904632568,2005-03-10
7.570000171661377,2005-03-11
7.71999979019165,2005-03-14
7.677499771118164,2005-03-15
7.512499809265137,2005-03-16
7.477499961853027,2005-03-17
7.412499904632568,2005-03-18
7.369999885559082,2005-03-21
7.199999809265137,2005-03-22
7.002500057220459,2005-03-23
7.079999923706055,2005-03-24
7.255000114440918,2005-03-28
7.202499866485596,2005-03-29
7.487500190734863,2005-03-30
7.497499942779541,2005-03-31
7.585000038146973,2005-04-01
7.614999771118164,2005-04-04
7.75,2005-04-05
7.71999979019165,2005-04-06
7.690000057220459,2005-04-07
7.565000057220459,2005-04-08
7.537499904632568,2005-04-11
7.605000019073486,2005-04-12
7.550000190734863,2005-04-13
6.724999904632568,2005-04-14
6.639999866485596,2005-04-15
6.277500152587891,2005-04-18
6.675000190734863,2005-04-19
6.6875,2005-04-20
7.067500114440918,2005-04-21
7.002500057220459,2005-04-22
7.262499809265137,2005-04-25
6.787499904632568,2005-04-26
6.90500020980835,2005-04-27
6.857500076293945,2005-04-28
6.962500095367432,2005-04-29
7.175000190734863,2005-05-02
7.09250020980835,2005-05-03
7.355000019073486,2005-05-04
7.295000076293945,2005-05-05
7.382500171661377,2005-05-06
7.534999847412109,2005-05-09
7.412499904632568,2005-05-10
7.337500095367432,2005-05-11
7.269999980926514,2005-05-12
7.144999980926514,2005-05-13
7.34499979019165,2005-05-16
7.5,2005-05-17
7.744999885559082,2005-05-18
7.837500095367432,2005-05-19
7.84499979019165,2005-05-20
7.78000020980835,2005-05-23
7.974999904632568,2005-05-24
7.949999809265137,2005-05-25
8.140000343322754,2005-05-26
8.145000457763672,2005-05-27
8.037500381469727,2005-05-31
8.074999809265137,2005-06-01
8.125,2005-06-02
8.164999961853027,2005-06-03
8.175000190734863,2005-06-06
8.132499694824219,2005-06-07
7.965000152587891,2005-06-08
7.994999885559082,2005-06-09
7.824999809265137,2005-06-10
8.0600004196167,2005-06-13
8.272500038146973,2005-06-14
8.407500267028809,2005-06-15
8.375,2005-06-16
8.4975004196167,2005-06-17
8.337499618530273,2005-06-20
8.467499732971191,2005-06-21
8.442500114440918,2005-06-22
8.257499694824219,2005-06-23
8.037500381469727,2005-06-24
8.217499732971191,2005-06-27
8.27750015258789,2005-06-28
8.375,2005-06-29
8.395000457763672,2005-06-30
8.324999809265137,2005-07-01
8.427499771118164,2005-07-05
8.585000038146973,2005-07-06
8.6225004196167,2005-07-07
9.119999885559082,2005-07-08
9.267499923706055,2005-07-11
8.912500381469727,2005-07-12
8.875,2005-07-13
8.90250015258789,2005-07-14
8.984999656677246,2005-07-15
9.112500190734863,2005-07-18
9.0,2005-07-19
9.345000267028809,2005-07-20
7.900000095367432,2005-07-21
8.15250015258789,2005-07-22
8.015000343322754,2005-07-25
7.5,2005-07-26
6.997499942779541,2005-07-27
7.309999942779541,2005-07-28
7.324999809265137,2005-07-29
7.375,2005-08-01
7.304999828338623,2005-08-02
7.375,2005-08-03
7.527500152587891,2005-08-04
7.5,2005-08-05
7.355000019073486,2005-08-08
7.514999866485596,2005-08-09
7.387499809265137,2005-08-10
7.447500228881836,2005-08-11
7.377500057220459,2005-08-12
7.517499923706055,2005-08-15
7.482500076293945,2005-08-16
7.46999979019165,2005-08-17
7.287499904632568,2005-08-18
7.289999961853027,2005-08-19
7.28000020980835,2005-08-22
7.227499961853027,2005-08-23
7.302499771118164,2005-08-24
7.337500095367432,2005-08-25
7.25,2005-08-26
7.375,2005-08-29
7.362500190734863,2005-08-30
7.619999885559082,2005-08-31
7.724999904632568,2005-09-01
7.704999923706055,2005-09-02
7.715000152587891,2005-09-06
7.78249979019165,2005-09-07
7.625,2005-09-08
7.585000038146973,2005-09-09
7.487500190734863,2005-09-12
7.315000057220459,2005-09-13
7.454999923706055,2005-09-14
7.574999809265137,2005-09-15
7.552499771118164,2005-09-16
7.427499771118164,2005-09-19
7.397500038146973,2005-09-20
7.050000190734863,2005-09-21
6.987500190734863,2005-09-22
7.079999923706055,2005-09-23
7.150000095367432,2005-09-26
6.994999885559082,2005-09-27
6.875,2005-09-28
6.295000076293945,2005-09-29
6.257500171661377,2005-09-30
6.119999885559082,2005-10-03
6.012499809265137,2005-10-04
5.735000133514404,2005-10-05
5.472499847412109,2005-10-06
5.614999771118164,2005-10-07
5.897500038146973,2005-10-10
5.862500190734863,2005-10-11
5.737500190734863,2005-10-12
5.625,2005-10-13
5.980000019073486,2005-10-14
5.892499923706055,2005-10-17
5.869999885559082,2005-10-18
5.880000114440918,2005-10-19
6.074999809265137,2005-10-20
6.025000095367432,2005-10-21
6.197500228881836,2005-10-24
4.760000228881836,2005-10-25
4.84250020980835,2005-10-26
4.5,2005-10-27
4.690000057220459,2005-10-28
5.037499904632568,2005-10-31
5.162499904632568,2005-11-01
5.284999847412109,2005-11-02
5.105000019073486,2005-11-03
5.275000095367432,2005-11-04
5.474999904632568,2005-11-07
5.397500038146973,2005-11-08
5.46999979019165,2005-11-09
5.582499980926514,2005-11-10
5.690000057220459,2005-11-11
5.697500228881836,2005-11-14
5.65749979019165,2005-11-15
5.650000095367432,2005-11-16
5.742499828338623,2005-11-17
5.724999904632568,2005-11-18
5.797500133514404,2005-11-21
5.820000171661377,2005-11-22
5.827499866485596,2005-11-23
5.962500095367432,2005-11-25
5.809999942779541,2005-11-28
6.03000020980835,2005-11-29
6.002500057220459,2005-11-30
6.300000190734863,2005-12-01
6.184999942779541,2005-12-02
6.125,2005-12-05
6.284999847412109,2005-12-06
6.25,2005-12-07
6.272500038146973,2005-12-08
6.372499942779541,2005-12-09
6.349999904632568,2005-12-12
6.507500171661377,2005-12-13
6.599999904632568,2005-12-14
6.482500076293945,2005-12-15
6.5,2005-12-16
6.369999885559082,2005-12-19
6.417500019073486,2005-12-20
6.534999847412109,2005-12-21
6.605000019073486,2005-12-22
6.647500038146973,2005-12-23
6.487500190734863,2005-12-27
6.597499847412109,2005-12-28
6.662499904632568,2005-12-29
6.572500228881836,2005-12-30
6.612500190734863,2006-01-03
6.597499847412109,2006-01-04
6.612500190734863,2006-01-05
6.610000133514404,2006-01-06
6.352499961853027,2006-01-09
6.190000057220459,2006-01-10
5.997499942779541,2006-01-11
6.050000190734863,2006-01-12
5.864999771118164,2006-01-13
5.712500095367432,2006-01-17
5.982500076293945,2006-01-18
6.002500057220459,2006-01-19
5.980000019073486,2006-01-20
6.047500133514404,2006-01-23
6.267499923706055,2006-01-24
6.297500133514404,2006-01-25
6.360000133514404,2006-01-26
6.492499828338623,2006-01-27
6.445000171661377,2006-01-30
6.572500228881836,2006-01-31
6.860000133514404,2006-02-01
6.527500152587891,2006-02-02
6.557499885559082,2006-02-03
