EQR,Date
15.679200172424316,2009-11-03
15.330179214477539,2009-11-04
15.716791152954102,2009-11-05
15.491266250610352,2009-11-06
16.14635467529297,2009-11-09
16.42557144165039,2009-11-10
16.871248245239258,2009-11-11
16.704792022705078,2009-11-12
16.962533950805664,2009-11-13
17.343774795532227,2009-11-16
17.080665588378906,2009-11-17
17.61762046813965,2009-11-18
17.24711799621582,2009-11-19
17.155838012695312,2009-11-20
17.257858276367188,2009-11-23
16.90884017944336,2009-11-24
17.016233444213867,2009-11-25
16.597394943237305,2009-11-27
17.295446395874023,2009-11-30
17.44042205810547,2009-12-01
17.649839401245117,2009-12-02
17.300819396972656,2009-12-03
17.741127014160156,2009-12-04
17.257858276367188,2009-12-07
17.08603858947754,2009-12-08
17.03233528137207,2009-12-09
16.919578552246094,2009-12-10
17.24711799621582,2009-12-11
17.563920974731445,2009-12-14
17.354509353637695,2009-12-15
17.413578033447266,2009-12-16
17.282262802124023,2009-12-17
17.69465446472168,2009-12-18
18.21555519104004,2009-12-21
18.55198860168457,2009-12-22
18.948091506958008,2009-12-23
19.14885711669922,2009-12-24
19.534114837646484,2009-12-28
18.986074447631836,2009-12-29
18.975229263305664,2009-12-30
18.32950782775879,2009-12-31
18.123319625854492,2010-01-04
18.052778244018555,2010-01-05
18.1558837890625,2010-01-06
18.32950782775879,2010-01-07
18.096189498901367,2010-01-08
18.04192543029785,2010-01-11
17.781471252441406,2010-01-12
18.345787048339844,2010-01-13
18.313228607177734,2010-01-14
18.107040405273438,2010-01-15
18.67678451538086,2010-01-19
18.32408332824707,2010-01-20
17.8682918548584,2010-01-21
17.3256778717041,2010-01-22
17.32025146484375,2010-01-25
17.28768539428711,2010-01-26
17.60240364074707,2010-01-27
17.515588760375977,2010-01-28
17.390792846679688,2010-01-29
17.781471252441406,2010-02-01
18.096189498901367,2010-02-02
17.564422607421875,2010-02-03
17.75433921813965,2010-02-04
17.889991760253906,2010-02-05
17.60240364074707,2010-02-08
17.580707550048828,2010-02-09
17.50473403930664,2010-02-10
17.776042938232422,2010-02-11
18.01479721069336,2010-02-12
18.660512924194336,2010-02-16
18.774452209472656,2010-02-17
19.029478073120117,2010-02-18
19.24110221862793,2010-02-19
19.490705490112305,2010-02-22
19.371339797973633,2010-02-23
19.593799591064453,2010-02-24
19.664337158203125,2010-02-25
19.577526092529297,2010-02-26
19.588375091552734,2010-03-01
19.599231719970703,2010-03-02
19.447298049926758,2010-03-03
19.577526092529297,2010-03-04
20.22323226928711,2010-03-05
20.413156509399414,2010-03-08
20.782119750976562,2010-03-09
20.84181785583496,2010-03-10
20.879032135009766,2010-03-11
20.840723037719727,2010-03-12
20.862611770629883,2010-03-15
21.552383422851562,2010-03-16
21.84799575805664,2010-03-17
21.7001895904541,2010-03-18
21.519535064697266,2010-03-19
21.705663681030273,2010-03-22
21.64544677734375,2010-03-23
21.552383422851562,2010-03-24
21.623544692993164,2010-03-25
21.54143524169922,2010-03-26
21.546897888183594,2010-03-29
21.618070602416992,2010-03-30
21.431947708129883,2010-03-31
21.421005249023438,2010-04-01
22.02316665649414,2010-04-05
22.751262664794922,2010-04-06
22.24214744567871,2010-04-07
22.203821182250977,2010-04-08
22.964754104614258,2010-04-09
22.9757022857666,2010-04-12
23.55598258972168,2010-04-13
23.588823318481445,2010-04-14
23.014026641845703,2010-04-15
22.504913330078125,2010-04-16
22.526813507080078,2010-04-19
22.997594833374023,2010-04-20
23.506711959838867,2010-04-21
23.950130462646484,2010-04-22
24.41544532775879,2010-04-23
24.77675437927246,2010-04-26
23.922752380371094,2010-04-27
24.043197631835938,2010-04-28
25.816871643066406,2010-04-29
24.782228469848633,2010-04-30
26.013940811157227,2010-05-03
25.734745025634766,2010-05-04
25.32966423034668,2010-05-05
24.267637252807617,2010-05-06
23.774948120117188,2010-05-07
25.729286193847656,2010-05-10
25.90993881225586,2010-05-11
26.331459045410156,2010-05-12
25.734745025634766,2010-05-13
24.973833084106445,2010-05-14
25.132577896118164,2010-05-17
24.409975051879883,2010-05-18
24.360706329345703,2010-05-19
23.145410537719727,2010-05-20
24.065099716186523,2010-05-21
23.32606315612793,2010-05-24
23.758533477783203,2010-05-25
23.74210548400879,2010-05-26
25.044992446899414,2010-05-27
24.705585479736328,2010-05-28
24.267637252807617,2010-06-01
24.366182327270508,2010-06-02
24.256690979003906,2010-06-03
22.570606231689453,2010-06-04
22.36804962158203,2010-06-07
