CAG,Date
0.3191499412059784,1980-11-24
0.30996575951576233,1980-11-25
0.3088177740573883,1980-11-26
0.31685394048690796,1980-11-28
0.32144591212272644,1980-12-01
0.3191499412059784,1980-12-02
0.32029783725738525,1980-12-03
0.3237421214580536,1980-12-04
0.326038122177124,1980-12-05
0.32144591212272644,1980-12-08
0.2893015146255493,1980-12-09
0.30996575951576233,1980-12-10
0.30307772755622864,1980-12-11
0.33522212505340576,1980-12-12
0.3421104848384857,1980-12-15
0.3421104848384857,1980-12-16
0.33292606472969055,1980-12-17
0.3421104848384857,1980-12-18
0.3375179171562195,1980-12-19
0.3467026352882385,1980-12-22
0.3857349455356598,1980-12-23
0.3903272747993469,1980-12-24
0.3995114862918854,1980-12-26
0.3995114862918854,1980-12-29
0.4132876992225647,1980-12-30
