MRVL,Date
14.915877342224121,2010-09-09
14.590130805969238,2010-09-10
14.975887298583984,2010-09-13
14.95016860961914,2010-09-14
14.84730339050293,2010-09-15
14.84730339050293,2010-09-16
15.353073120117188,2010-09-17
15.155904769897461,2010-09-20
15.035900115966797,2010-09-21
14.761582374572754,2010-09-22
14.873019218444824,2010-09-23
15.190204620361328,2010-09-24
14.941596031188965,2010-09-27
15.001605987548828,2010-09-28
15.173060417175293,2010-09-29
15.010178565979004,2010-09-30
15.001605987548828,2010-10-01
14.77015209197998,2010-10-04
14.487263679504395,2010-10-05
14.075790405273438,2010-10-06
14.212950706481934,2010-10-07
14.37582778930664,2010-10-08
14.32438850402832,2010-10-11
14.555843353271484,2010-10-12
14.838735580444336,2010-10-13
14.701573371887207,2010-10-14
14.667283058166504,2010-10-15
14.487263679504395,2010-10-18
14.32438850402832,2010-10-19
14.615853309631348,2010-10-20
14.778725624084473,2010-10-21
15.173060417175293,2010-10-22
15.061612129211426,2010-10-25
15.010178565979004,2010-10-26
16.030288696289062,2010-10-27
16.458906173706055,2010-10-28
16.52748680114746,2010-10-29
16.724655151367188,2010-11-01
16.827516555786133,2010-11-02
16.878948211669922,2010-11-03
17.590457916259766,2010-11-04
17.830488204956055,2010-11-05
17.804771423339844,2010-11-08
17.530447006225586,2010-11-09
17.367572784423828,2010-11-10
17.161836624145508,2010-11-11
16.998964309692383,2010-11-12
16.656070709228516,2010-11-15
16.23602294921875,2010-11-16
16.064579010009766,2010-11-17
16.23602294921875,2010-11-18
17.221853256225586,2010-11-19
17.144697189331055,2010-11-22
16.973251342773438,2010-11-23
16.981813430786133,2010-11-24
16.78465461730957,2010-11-26
16.63035774230957,2010-11-29
16.52748680114746,2010-11-30
17.31614112854004,2010-12-01
17.53902244567871,2010-12-02
17.521881103515625,2010-12-03
17.35042953491211,2010-12-06
17.307571411132812,2010-12-07
17.23041343688965,2010-12-08
16.930383682250977,2010-12-09
16.767515182495117,2010-12-10
16.416044235229492,2010-12-13
16.398897171020508,2010-12-14
15.961708068847656,2010-12-15
15.918848037719727,2010-12-16
16.167448043823242,2010-12-17
16.330322265625,2010-12-20
16.347469329833984,2010-12-21
16.184587478637695,2010-12-22
16.22745132446289,2010-12-23
16.04742431640625,2010-12-27
15.901703834533691,2010-12-28
15.807398796081543,2010-12-29
15.747400283813477,2010-12-30
15.901703834533691,2010-12-31
15.893129348754883,2011-01-03
15.533093452453613,2011-01-04
15.910274505615234,2011-01-05
16.767515182495117,2011-01-06
17.17898178100586,2011-01-07
17.384721755981445,2011-01-10
17.599027633666992,2011-01-11
17.99336051940918,2011-01-12
18.370542526245117,2011-01-13
18.747718811035156,2011-01-14
18.76487159729004,2011-01-18
18.1990909576416,2011-01-19
17.5133056640625,2011-01-20
17.21327018737793,2011-01-21
17.118976593017578,2011-01-24
16.964670181274414,2011-01-25
17.15326690673828,2011-01-26
17.376150131225586,2011-01-27
16.42461395263672,2011-01-28
16.296039581298828,2011-01-31
16.776081085205078,2011-02-01
16.716081619262695,2011-02-02
16.698942184448242,2011-02-03
16.930383682250977,2011-02-04
17.221853256225586,2011-02-07
17.35042953491211,2011-02-08
17.033254623413086,2011-02-09
16.86180305480957,2011-02-10
16.930383682250977,2011-02-11
16.947532653808594,2011-02-14
16.09886360168457,2011-02-15
16.14173126220703,2011-02-16
16.304603576660156,2011-02-17
16.193166732788086,2011-02-18
15.6273832321167,2011-02-22
15.404511451721191,2011-02-23
15.438797950744629,2011-02-24
16.21887969970703,2011-02-25
15.670248031616211,2011-02-28
15.447368621826172,2011-03-01
15.421651840209961,2011-03-02
15.618817329406738,2011-03-03
13.827197074890137,2011-03-04
13.552882194519043,2011-03-07
13.878630638122559,2011-03-08
13.852911949157715,2011-03-09
13.578597068786621,2011-03-10
13.432868957519531,2011-03-11
13.398574829101562,2011-03-14
13.364288330078125,2011-03-15
13.16712474822998,2011-03-16
13.218560218811035,2011-03-17
13.390005111694336,2011-03-18
13.295709609985352,2011-03-21
13.398574829101562,2011-03-22
13.681463241577148,2011-03-23
13.981493949890137,2011-03-24
13.775761604309082,2011-03-25
13.844340324401855,2011-03-28
13.818624496459961,2011-03-29
13.690037727355957,2011-03-30
13.329996109008789,2011-03-31
13.655750274658203,2011-04-01
13.312854766845703,2011-04-04
13.587167739868164,2011-04-05
13.655750274658203,2011-04-06
13.852911949157715,2011-04-07
14.050077438354492,2011-04-08
13.758617401123047,2011-04-11
13.587167739868164,2011-04-12
13.41572093963623,2011-04-13
13.424294471740723,2011-04-14
13.690037727355957,2011-04-15
13.064257621765137,2011-04-18
13.1842679977417,2011-04-19
13.647176742553711,2011-04-20
13.458582878112793,2011-04-21
13.570024490356445,2011-04-25
13.552882194519043,2011-04-26
13.492873191833496,2011-04-27
13.570024490356445,2011-04-28
13.227130889892578,2011-04-29
13.107117652893066,2011-05-02
12.8585205078125,2011-05-03
12.8585205078125,2011-05-04
12.489910125732422,2011-05-05
12.584205627441406,2011-05-06
12.68707275390625,2011-05-09
12.901379585266113,2011-05-10
12.712787628173828,2011-05-11
12.807088851928711,2011-05-12
12.515625953674316,2011-05-13
12.16416072845459,2011-05-16
12.258453369140625,2011-05-17
12.464193344116211,2011-05-18
12.369894981384277,2011-05-19
12.292745590209961,2011-05-20
12.292745590209961,2011-05-23
12.181303024291992,2011-05-24
12.15558910369873,2011-05-25
12.481339454650879,2011-05-26
13.861483573913574,2011-05-27
13.921489715576172,2011-05-31
13.475728034973145,2011-06-01
13.48430347442627,2011-06-02
12.987104415893555,2011-06-03
12.824233055114746,2011-06-06
12.8585205078125,2011-06-07
12.609922409057617,2011-06-08
12.704217910766602,2011-06-09
12.344178199768066,2011-06-10
12.09558391571045,2011-06-13
12.18988037109375,2011-06-14
12.044147491455078,2011-06-15
11.821263313293457,2011-06-16
11.32406997680664,2011-06-17
11.486944198608398,2011-06-20
11.975569725036621,2011-06-21
11.906989097595215,2011-06-22
12.395615577697754,2011-06-23
12.052722930908203,2011-06-24
12.121299743652344,2011-06-27
12.129873275756836,2011-06-28
12.284173011779785,2011-06-29
12.661359786987305,2011-06-30
12.952813148498535,2011-07-01
13.02139663696289,2011-07-05
12.927102088928223,2011-07-06
13.192841529846191,2011-07-07
13.20998764038086,2011-07-08
12.738507270812988,2011-07-11
12.695645332336426,2011-07-12
12.618494987487793,2011-07-13
12.584205627441406,2011-07-14
12.747077941894531,2011-07-15
12.541345596313477,2011-07-18
13.012821197509766,2011-07-19
12.927102088928223,2011-07-20
