MCK,Date
136.74356079101562,2017-11-24
136.92312622070312,2017-11-27
139.66444396972656,2017-11-28
140.0142059326172,2017-11-29
139.976318359375,2017-11-30
138.69723510742188,2017-12-01
145.045166015625,2017-12-04
142.77125549316406,2017-12-05
142.56288146972656,2017-12-06
142.12704467773438,2017-12-07
144.55250549316406,2017-12-08
145.72731018066406,2017-12-11
146.42845153808594,2017-12-12
147.05372619628906,2017-12-13
148.9391632080078,2017-12-14
154.055419921875,2017-12-15
151.83836364746094,2017-12-18
151.56361389160156,2017-12-19
152.19839477539062,2017-12-20
151.01409912109375,2017-12-21
150.11398315429688,2017-12-22
150.5498504638672,2017-12-26
149.7161102294922,2017-12-27
149.4413299560547,2017-12-28
147.7548828125,2017-12-29
150.64462280273438,2018-01-02
148.5222930908203,2018-01-03
146.91160583496094,2018-01-04
148.9012908935547,2018-01-05
150.78672790527344,2018-01-08
152.19839477539062,2018-01-09
152.22683715820312,2018-01-10
153.77117919921875,2018-01-11
157.5136260986328,2018-01-12
161.69183349609375,2018-01-16
163.74781799316406,2018-01-17
162.75302124023438,2018-01-18
161.40765380859375,2018-01-19
163.87098693847656,2018-01-22
161.6350555419922,2018-01-23
165.4058837890625,2018-01-24
165.9932861328125,2018-01-25
167.43341064453125,2018-01-26
167.0639190673828,2018-01-29
162.72459411621094,2018-01-30
160.00540161132812,2018-01-31
157.53256225585938,2018-02-01
150.8435516357422,2018-02-02
144.38192749023438,2018-02-05
144.50511169433594,2018-02-06
144.7987823486328,2018-02-07
142.33544921875,2018-02-08
141.10372924804688,2018-02-09
141.18902587890625,2018-02-12
138.4982452392578,2018-02-13
140.95216369628906,2018-02-14
140.8858642578125,2018-02-15
142.59127807617188,2018-02-16
141.0279541015625,2018-02-20
141.7291259765625,2018-02-21
142.20281982421875,2018-02-22
144.62826538085938,2018-02-23
146.40003967285156,2018-02-26
145.60415649414062,2018-02-27
141.7014923095703,2018-02-28
139.14718627929688,2018-03-01
142.3377227783203,2018-03-02
143.6765594482422,2018-03-05
143.54360961914062,2018-03-06
144.09434509277344,2018-03-07
146.2119140625,2018-03-08
147.9305419921875,2018-03-09
149.83917236328125,2018-03-12
149.73468017578125,2018-03-13
147.59817504882812,2018-03-14
146.19290161132812,2018-03-15
144.6450958251953,2018-03-16
140.17274475097656,2018-03-19
134.65585327148438,2018-03-20
135.70982360839844,2018-03-21
134.54188537597656,2018-03-22
132.02557373046875,2018-03-23
132.262939453125,2018-03-26
131.75022888183594,2018-03-27
133.56385803222656,2018-03-28
133.76324462890625,2018-03-29
132.7567138671875,2018-04-02
133.44039916992188,2018-04-03
134.21905517578125,2018-04-04
135.4154815673828,2018-04-05
132.66175842285156,2018-04-06
132.96563720703125,2018-04-09
135.97569274902344,2018-04-10
135.86180114746094,2018-04-11
136.6783905029297,2018-04-12
135.64340209960938,2018-04-13
140.41961669921875,2018-04-16
141.95787048339844,2018-04-17
141.74900817871094,2018-04-18
139.678955078125,2018-04-19
138.87184143066406,2018-04-20
140.84689331054688,2018-04-23
141.37864685058594,2018-04-24
144.056396484375,2018-04-25
146.19290161132812,2018-04-26
150.15252685546875,2018-04-27
148.3293914794922,2018-04-30
146.4302978515625,2018-05-01
146.8291015625,2018-05-02
139.19468688964844,2018-05-03
139.41310119628906,2018-05-04
137.00125122070312,2018-05-07
136.74484252929688,2018-05-08
137.50453186035156,2018-05-09
139.8308868408203,2018-05-10
141.68251037597656,2018-05-11
143.4011993408203,2018-05-14
142.04331970214844,2018-05-15
142.5845947265625,2018-05-16
143.37274169921875,2018-05-17
141.40716552734375,2018-05-18
139.1092529296875,2018-05-21
139.05224609375,2018-05-22
139.4225616455078,2018-05-23
136.76380920410156,2018-05-24
138.4540252685547,2018-05-25
134.09559631347656,2018-05-29
137.14366149902344,2018-05-30
135.0972900390625,2018-05-31
135.38284301757812,2018-06-01
135.91587829589844,2018-06-04
136.83912658691406,2018-06-05
138.61892700195312,2018-06-06
138.60943603515625,2018-06-07
138.36195373535156,2018-06-08
138.2096710205078,2018-06-11
138.52374267578125,2018-06-12
142.3118896484375,2018-06-13
142.7687225341797,2018-06-14
142.7687225341797,2018-06-15
138.9996337890625,2018-06-18
139.66590881347656,2018-06-19
140.3892822265625,2018-06-20
139.39938354492188,2018-06-21
141.70269775390625,2018-06-22
139.0281982421875,2018-06-25
137.94314575195312,2018-06-26
137.6862030029297,2018-06-27
129.25332641601562,2018-06-28
126.96898651123047,2018-06-29
128.37767028808594,2018-07-02
128.08261108398438,2018-07-03
129.48175048828125,2018-07-05
131.23306274414062,2018-07-06
131.604248046875,2018-07-09
131.8421630859375,2018-07-10
128.20631408691406,2018-07-11
129.42462158203125,2018-07-12
130.00521850585938,2018-07-13
129.04391479492188,2018-07-16
128.09210205078125,2018-07-17
127.86365509033203,2018-07-18
127.35922241210938,2018-07-19
126.49309539794922,2018-07-20
126.23612213134766,2018-07-23
125.6174545288086,2018-07-24
126.92139434814453,2018-07-25
120.93463897705078,2018-07-26
117.91747283935547,2018-07-27
119.83056640625,2018-07-30
119.5450210571289,2018-07-31
118.77407836914062,2018-08-01
118.01264190673828,2018-08-02
120.12561798095703,2018-08-03
120.63959503173828,2018-08-06
120.63959503173828,2018-08-07
118.07926177978516,2018-08-08
117.907958984375,2018-08-09
117.20361328125,2018-08-10
119.95429992675781,2018-08-13
120.57296752929688,2018-08-14
120.32546997070312,2018-08-15
120.96319580078125,2018-08-16
123.1427993774414,2018-08-17
124.35160827636719,2018-08-20
124.1041488647461,2018-08-21
