XOM,Date
0.10224949568510056,1962-09-10
0.10249476134777069,1962-09-11
0.10347551852464676,1962-09-12
0.10347551852464676,1962-09-13
0.10372080653905869,1962-09-14
0.10372080653905869,1962-09-17
0.10421108454465866,1962-09-18
0.10396594554185867,1962-09-19
0.10470153391361237,1962-09-20
0.10396594554185867,1962-09-21
0.10249476134777069,1962-09-24
0.10151398926973343,1962-09-25
0.1000426635146141,1962-09-26
0.1000426635146141,1962-09-27
0.10102347284555435,1962-09-28
0.10053307563066483,1962-10-01
0.1000426635146141,1962-10-02
0.10102347284555435,1962-10-03
0.10175912082195282,1962-10-04
0.10273993015289307,1962-10-05
0.10298512130975723,1962-10-08
0.10372080653905869,1962-10-09
0.10347551852464676,1962-10-10
0.10323037952184677,1962-10-11
0.10249476134777069,1962-10-12
