VTR,Date
4.348738670349121,1998-03-27
4.29449462890625,1998-03-30
4.330658912658691,1998-03-31
4.330658912658691,1998-04-01
4.276408672332764,1998-04-02
4.240245342254639,1998-04-03
4.26737117767334,1998-04-06
4.285451889038086,1998-04-07
4.249288082122803,1998-04-08
4.195038795471191,1998-04-09
4.185999870300293,1998-04-13
4.185999870300293,1998-04-14
4.1317548751831055,1998-04-15
4.140793323516846,1998-04-16
4.195038795471191,1998-04-17
4.303532600402832,1998-04-20
4.222163200378418,1998-04-21
4.050383567810059,1998-04-22
4.050383567810059,1998-04-23
4.041341781616211,1998-04-24
3.9147684574127197,1998-04-27
3.8424389362335205,1998-04-28
3.8424389362335205,1998-04-29
3.9238083362579346,1998-04-30
5.044898986816406,1998-05-01
5.062981128692627,1998-05-04
4.936405658721924,1998-05-05
4.7555832862854,1998-05-06
4.7013397216796875,1998-05-07
4.7736687660217285,1998-05-08
4.7736687660217285,1998-05-11
4.809832572937012,1998-05-12
4.972569942474365,1998-05-13
4.900240421295166,1998-05-14
4.7375030517578125,1998-05-15
4.7375030517578125,1998-05-18
4.7736687660217285,1998-05-19
4.719422340393066,1998-05-20
4.7736687660217285,1998-05-21
4.683259010314941,1998-05-22
4.556681156158447,1998-05-26
4.592844486236572,1998-05-27
4.610930919647217,1998-05-28
4.665173053741455,1998-05-29
4.610930919647217,1998-06-01
4.592844486236572,1998-06-02
4.520519256591797,1998-06-03
4.484355449676514,1998-06-04
4.285451889038086,1998-06-05
4.26737117767334,1998-06-08
4.339697360992432,1998-06-09
4.357779502868652,1998-06-10
4.26737117767334,1998-06-11
4.213122844696045,1998-06-12
4.014220237731934,1998-06-15
4.104629039764404,1998-06-16
4.140793323516846,1998-06-17
4.213122844696045,1998-06-18
4.140793323516846,1998-06-19
4.086549758911133,1998-06-22
4.195038795471191,1998-06-23
4.158878803253174,1998-06-24
4.014220237731934,1998-06-25
4.1227126121521,1998-06-26
4.032303333282471,1998-06-29
3.9961376190185547,1998-06-30
4.050383567810059,1998-07-01
4.1227126121521,1998-07-02
4.321613788604736,1998-07-06
4.249288082122803,1998-07-07
4.249288082122803,1998-07-08
4.249288082122803,1998-07-09
4.176958084106445,1998-07-10
3.9961376190185547,1998-07-13
3.978055238723755,1998-07-14
3.6706607341766357,1998-07-15
3.2366902828216553,1998-07-16
3.327101469039917,1998-07-17
3.2366902828216553,1998-07-20
3.164362668991089,1998-07-21
3.2005279064178467,1998-07-22
3.2728536128997803,1998-07-23
3.3994293212890625,1998-07-24
3.3632659912109375,1998-07-27
3.47175931930542,1998-07-28
3.526005983352661,1998-07-29
3.4175100326538086,1998-07-30
3.381347417831421,1998-07-31
3.327101469039917,1998-08-03
3.254772663116455,1998-08-04
3.2366902828216553,1998-08-05
3.2909374237060547,1998-08-06
3.327101469039917,1998-08-07
3.218608856201172,1998-08-10
3.1462810039520264,1998-08-11
3.218608856201172,1998-08-12
3.3451833724975586,1998-08-13
3.435593843460083,1998-08-14
3.381347417831421,1998-08-17
3.381347417831421,1998-08-18
3.3632659912109375,1998-08-19
3.327101469039917,1998-08-20
3.2909374237060547,1998-08-21
3.1824452877044678,1998-08-24
3.218608856201172,1998-08-25
3.2005279064178467,1998-08-26
3.1824452877044678,1998-08-27
3.110117197036743,1998-08-28
3.073951244354248,1998-08-31
3.2366902828216553,1998-09-01
3.0920345783233643,1998-09-02
3.037788152694702,1998-09-03
3.1824452877044678,1998-09-04
3.218608856201172,1998-09-08
3.1281988620758057,1998-09-09
3.037788152694702,1998-09-10
3.1281988620758057,1998-09-11
3.2909374237060547,1998-09-14
3.2728536128997803,1998-09-15
3.327101469039917,1998-09-16
3.2728536128997803,1998-09-17
3.2728536128997803,1998-09-18
3.254772663116455,1998-09-21
3.2728536128997803,1998-09-22
3.3451833724975586,1998-09-23
3.4898412227630615,1998-09-24
3.507922649383545,1998-09-25
3.47175931930542,1998-09-28
3.453676223754883,1998-09-29
3.435593843460083,1998-09-30
3.327101469039917,1998-10-01
3.3632659912109375,1998-10-02
3.254772663116455,1998-10-05
3.1462810039520264,1998-10-06
3.0558700561523438,1998-10-07
2.893132209777832,1998-10-08
3.254772663116455,1998-10-09
3.1824452877044678,1998-10-12
3.0558700561523438,1998-10-13
3.1462810039520264,1998-10-14
3.1462810039520264,1998-10-15
3.1281988620758057,1998-10-16
3.1462810039520264,1998-10-19
3.0558700561523438,1998-10-20
3.0197060108184814,1998-10-21
3.2005279064178467,1998-10-22
3.218608856201172,1998-10-23
3.2728536128997803,1998-10-26
3.2909374237060547,1998-10-27
3.2366902828216553,1998-10-28
3.3090193271636963,1998-10-29
3.3090193271636963,1998-10-30
3.435593843460083,1998-11-02
3.47175931930542,1998-11-03
3.544086217880249,1998-11-04
3.544086217880249,1998-11-05
3.6164145469665527,1998-11-06
3.6525790691375732,1998-11-09
3.7249066829681396,1998-11-10
3.7249066829681396,1998-11-11
3.7429897785186768,1998-11-12
3.6706607341766357,1998-11-13
3.6525790691375732,1998-11-16
3.6164145469665527,1998-11-17
3.6164145469665527,1998-11-18
3.47175931930542,1998-11-19
