COST,Date
6.492018222808838,1988-12-23
6.4498610496521,1988-12-27
6.407708168029785,1988-12-28
6.492018222808838,1988-12-29
6.323391437530518,1988-12-30
6.23907995223999,1989-01-03
6.365549087524414,1989-01-04
6.492018222808838,1989-01-05
6.513096809387207,1989-01-06
6.6184868812561035,1989-01-09
6.576328754425049,1989-01-10
6.576328754425049,1989-01-11
6.492018222808838,1989-01-12
6.281238079071045,1989-01-13
6.323391437530518,1989-01-16
6.4498610496521,1989-01-17
6.154769420623779,1989-01-18
6.23907995223999,1989-01-19
6.154769420623779,1989-01-20
6.112613201141357,1989-01-23
6.365549087524414,1989-01-24
6.365549087524414,1989-01-25
6.365549087524414,1989-01-26
6.407708168029785,1989-01-27
6.365549087524414,1989-01-30
6.323391437530518,1989-01-31
6.196927070617676,1989-02-01
6.112613201141357,1989-02-02
6.196927070617676,1989-02-03
6.196927070617676,1989-02-06
6.281238079071045,1989-02-07
6.23907995223999,1989-02-08
6.133691310882568,1989-02-09
6.154769420623779,1989-02-10
6.091536045074463,1989-02-13
6.133691310882568,1989-02-14
6.091536045074463,1989-02-15
6.07045841217041,1989-02-16
6.112613201141357,1989-02-17
6.112613201141357,1989-02-21
6.196927070617676,1989-02-22
6.23907995223999,1989-02-23
6.196927070617676,1989-02-24
6.23907995223999,1989-02-27
6.23907995223999,1989-02-28
6.154769420623779,1989-03-01
6.23907995223999,1989-03-02
6.281238079071045,1989-03-03
6.23907995223999,1989-03-06
6.196927070617676,1989-03-07
6.196927070617676,1989-03-08
6.196927070617676,1989-03-09
6.112613201141357,1989-03-10
6.112613201141357,1989-03-13
6.154769420623779,1989-03-14
6.196927070617676,1989-03-15
6.196927070617676,1989-03-16
6.154769420623779,1989-03-17
6.07045841217041,1989-03-20
6.112613201141357,1989-03-21
6.028300762176514,1989-03-22
5.94398832321167,1989-03-23
5.94398832321167,1989-03-27
5.986142158508301,1989-03-28
6.028300762176514,1989-03-29
6.028300762176514,1989-03-30
6.112613201141357,1989-03-31
6.112613201141357,1989-04-03
6.07045841217041,1989-04-04
6.154769420623779,1989-04-05
6.154769420623779,1989-04-06
6.112613201141357,1989-04-07
6.23907995223999,1989-04-10
6.4498610496521,1989-04-11
6.534172534942627,1989-04-12
6.576328754425049,1989-04-13
6.6184868812561035,1989-04-14
6.702796936035156,1989-04-17
6.976812362670898,1989-04-18
6.997886657714844,1989-04-19
6.871419429779053,1989-04-20
6.913572788238525,1989-04-21
6.871419429779053,1989-04-24
6.787106990814209,1989-04-25
6.766032695770264,1989-04-26
6.913572788238525,1989-04-27
6.871419429779053,1989-04-28
6.871419429779053,1989-05-01
6.829263687133789,1989-05-02
6.913572788238525,1989-05-03
6.871419429779053,1989-05-04
7.2929792404174805,1989-05-05
7.208669662475586,1989-05-08
7.25082540512085,1989-05-09
7.335134983062744,1989-05-10
7.4194488525390625,1989-05-11
7.71453857421875,1989-05-12
7.925321102142334,1989-05-15
7.883166790008545,1989-05-16
