BATRA,Date
28.1200008392334,2019-07-15
28.040000915527344,2019-07-16
27.959999084472656,2019-07-17
27.989999771118164,2019-07-18
28.31999969482422,2019-07-19
28.34000015258789,2019-07-22
28.34000015258789,2019-07-23
28.559999465942383,2019-07-24
28.420000076293945,2019-07-25
28.6299991607666,2019-07-26
28.8799991607666,2019-07-29
29.079999923706055,2019-07-30
28.899999618530273,2019-07-31
28.770000457763672,2019-08-01
28.59000015258789,2019-08-02
28.190000534057617,2019-08-05
28.479999542236328,2019-08-06
28.56999969482422,2019-08-07
28.690000534057617,2019-08-08
28.549999237060547,2019-08-09
28.139999389648438,2019-08-12
28.239999771118164,2019-08-13
27.6299991607666,2019-08-14
27.770000457763672,2019-08-15
28.229999542236328,2019-08-16
28.450000762939453,2019-08-19
28.139999389648438,2019-08-20
28.15999984741211,2019-08-21
27.8799991607666,2019-08-22
27.31999969482422,2019-08-23
27.780000686645508,2019-08-26
27.18000030517578,2019-08-27
27.399999618530273,2019-08-28
27.75,2019-08-29
27.469999313354492,2019-08-30
27.68000030517578,2019-09-03
27.979999542236328,2019-09-04
28.110000610351562,2019-09-05
27.950000762939453,2019-09-06
27.8700008392334,2019-09-09
27.940000534057617,2019-09-10
28.690000534057617,2019-09-11
29.31999969482422,2019-09-12
29.360000610351562,2019-09-13
29.610000610351562,2019-09-16
29.969999313354492,2019-09-17
29.549999237060547,2019-09-18
29.15999984741211,2019-09-19
28.920000076293945,2019-09-20
28.670000076293945,2019-09-23
28.290000915527344,2019-09-24
28.31999969482422,2019-09-25
28.09000015258789,2019-09-26
27.969999313354492,2019-09-27
27.829999923706055,2019-09-30
27.84000015258789,2019-10-01
27.75,2019-10-02
27.739999771118164,2019-10-03
27.75,2019-10-04
27.799999237060547,2019-10-07
27.459999084472656,2019-10-08
27.450000762939453,2019-10-09
27.40999984741211,2019-10-10
27.5,2019-10-11
27.329999923706055,2019-10-14
27.459999084472656,2019-10-15
27.40999984741211,2019-10-16
27.8799991607666,2019-10-17
27.790000915527344,2019-10-18
28.190000534057617,2019-10-21
27.860000610351562,2019-10-22
27.8700008392334,2019-10-23
28.09000015258789,2019-10-24
28.510000228881836,2019-10-25
29.190000534057617,2019-10-28
29.229999542236328,2019-10-29
29.520000457763672,2019-10-30
29.520000457763672,2019-10-31
29.6299991607666,2019-11-01
29.610000610351562,2019-11-04
29.920000076293945,2019-11-05
29.709999084472656,2019-11-06
29.739999771118164,2019-11-07
29.579999923706055,2019-11-08
28.989999771118164,2019-11-11
28.549999237060547,2019-11-12
27.799999237060547,2019-11-13
28.229999542236328,2019-11-14
27.81999969482422,2019-11-15
27.920000076293945,2019-11-18
27.90999984741211,2019-11-19
27.670000076293945,2019-11-20
27.260000228881836,2019-11-21
27.079999923706055,2019-11-22
27.549999237060547,2019-11-25
27.450000762939453,2019-11-26
28.059999465942383,2019-11-27
28.389999389648438,2019-11-29
27.559999465942383,2019-12-02
27.190000534057617,2019-12-03
27.56999969482422,2019-12-04
28.079999923706055,2019-12-05
28.690000534057617,2019-12-06
28.860000610351562,2019-12-09
28.93000030517578,2019-12-10
29.260000228881836,2019-12-11
29.190000534057617,2019-12-12
29.170000076293945,2019-12-13
29.540000915527344,2019-12-16
29.940000534057617,2019-12-17
29.8700008392334,2019-12-18
30.0,2019-12-19
29.739999771118164,2019-12-20
29.770000457763672,2019-12-23
29.670000076293945,2019-12-24
29.760000228881836,2019-12-26
29.790000915527344,2019-12-27
29.729999542236328,2019-12-30
29.649999618530273,2019-12-31
29.56999969482422,2020-01-02
29.700000762939453,2020-01-03
29.639999389648438,2020-01-06
29.6299991607666,2020-01-07
29.329999923706055,2020-01-08
29.049999237060547,2020-01-09
28.81999969482422,2020-01-10
29.770000457763672,2020-01-13
29.610000610351562,2020-01-14
29.59000015258789,2020-01-15
29.770000457763672,2020-01-16
29.440000534057617,2020-01-17
29.510000228881836,2020-01-21
29.020000457763672,2020-01-22
29.5,2020-01-23
29.170000076293945,2020-01-24
29.559999465942383,2020-01-27
29.5,2020-01-28
29.5,2020-01-29
29.600000381469727,2020-01-30
29.25,2020-01-31
29.239999771118164,2020-02-03
29.360000610351562,2020-02-04
29.809999465942383,2020-02-05
29.5,2020-02-06
29.200000762939453,2020-02-07
29.229999542236328,2020-02-10
28.989999771118164,2020-02-11
28.799999237060547,2020-02-12
28.510000228881836,2020-02-13
28.850000381469727,2020-02-14
28.780000686645508,2020-02-18
28.729999542236328,2020-02-19
28.549999237060547,2020-02-20
28.25,2020-02-21
27.610000610351562,2020-02-24
27.440000534057617,2020-02-25
27.030000686645508,2020-02-26
26.600000381469727,2020-02-27
26.020000457763672,2020-02-28
26.309999465942383,2020-03-02
26.100000381469727,2020-03-03
26.1200008392334,2020-03-04
24.68000030517578,2020-03-05
24.43000030517578,2020-03-06
22.68000030517578,2020-03-09
22.81999969482422,2020-03-10
20.31999969482422,2020-03-11
17.520000457763672,2020-03-12
18.8700008392334,2020-03-13
17.229999542236328,2020-03-16
17.170000076293945,2020-03-17
13.75,2020-03-18
16.18000030517578,2020-03-19
16.34000015258789,2020-03-20
15.770000457763672,2020-03-23
17.479999542236328,2020-03-24
19.420000076293945,2020-03-25
19.43000030517578,2020-03-26
18.450000762939453,2020-03-27
18.56999969482422,2020-03-30
19.5,2020-03-31
18.3799991607666,2020-04-01
18.59000015258789,2020-04-02
16.8799991607666,2020-04-03
17.709999084472656,2020-04-06
16.450000762939453,2020-04-07
17.559999465942383,2020-04-08
18.389999389648438,2020-04-09
18.190000534057617,2020-04-13
18.639999389648438,2020-04-14
17.799999237060547,2020-04-15
18.219999313354492,2020-04-16
18.59000015258789,2020-04-17
18.190000534057617,2020-04-20
18.239999771118164,2020-04-21
18.1200008392334,2020-04-22
18.299999237060547,2020-04-23
19.5,2020-04-24
19.81999969482422,2020-04-27
20.280000686645508,2020-04-28
22.450000762939453,2020-04-29
20.639999389648438,2020-04-30
19.889999389648438,2020-05-01
20.110000610351562,2020-05-04
19.84000015258789,2020-05-05
19.8799991607666,2020-05-06
19.959999084472656,2020-05-07
21.5,2020-05-08
20.690000534057617,2020-05-11
19.719999313354492,2020-05-12
18.290000915527344,2020-05-13
19.030000686645508,2020-05-14
19.260000228881836,2020-05-15
21.81999969482422,2020-05-18
20.90999984741211,2020-05-19
21.43000030517578,2020-05-20
21.670000076293945,2020-05-21
21.770000457763672,2020-05-22
23.56999969482422,2020-05-26
23.540000915527344,2020-05-27
22.760000228881836,2020-05-28
22.59000015258789,2020-05-29
22.65999984741211,2020-06-01
22.1200008392334,2020-06-02
22.510000228881836,2020-06-03
22.559999465942383,2020-06-04
22.549999237060547,2020-06-05
23.389999389648438,2020-06-08
23.110000610351562,2020-06-09
22.270000457763672,2020-06-10
21.3799991607666,2020-06-11
22.579999923706055,2020-06-12
22.299999237060547,2020-06-15
22.190000534057617,2020-06-16
21.90999984741211,2020-06-17
21.25,2020-06-18
20.979999542236328,2020-06-19
20.219999313354492,2020-06-22
20.030000686645508,2020-06-23
19.190000534057617,2020-06-24
19.309999465942383,2020-06-25
18.639999389648438,2020-06-26
19.18000030517578,2020-06-29
20.079999923706055,2020-06-30
18.700000762939453,2020-07-01
18.889999389648438,2020-07-02
18.770000457763672,2020-07-06
17.90999984741211,2020-07-07
18.010000228881836,2020-07-08
17.84000015258789,2020-07-09
18.450000762939453,2020-07-10
18.059999465942383,2020-07-13
18.559999465942383,2020-07-14
19.360000610351562,2020-07-15
19.280000686645508,2020-07-16
19.469999313354492,2020-07-17
19.270000457763672,2020-07-20
19.1200008392334,2020-07-21
19.360000610351562,2020-07-22
19.260000228881836,2020-07-23
19.09000015258789,2020-07-24
18.34000015258789,2020-07-27
18.1299991607666,2020-07-28
18.969999313354492,2020-07-29
19.260000228881836,2020-07-30
18.90999984741211,2020-07-31
19.219999313354492,2020-08-03
19.3799991607666,2020-08-04
19.1200008392334,2020-08-05
19.440000534057617,2020-08-06
19.540000915527344,2020-08-07
20.260000228881836,2020-08-10
20.90999984741211,2020-08-11
21.209999084472656,2020-08-12
20.75,2020-08-13
20.690000534057617,2020-08-14
19.989999771118164,2020-08-17
19.270000457763672,2020-08-18
19.239999771118164,2020-08-19
19.15999984741211,2020-08-20
19.579999923706055,2020-08-21
20.020000457763672,2020-08-24
20.549999237060547,2020-08-25
19.770000457763672,2020-08-26
19.920000076293945,2020-08-27
19.989999771118164,2020-08-28
19.59000015258789,2020-08-31
19.149999618530273,2020-09-01
19.200000762939453,2020-09-02
19.329999923706055,2020-09-03
19.280000686645508,2020-09-04
19.56999969482422,2020-09-08
19.540000915527344,2020-09-09
19.110000610351562,2020-09-10
18.610000610351562,2020-09-11
19.90999984741211,2020-09-14
21.040000915527344,2020-09-15
21.459999084472656,2020-09-16
20.510000228881836,2020-09-17
20.030000686645508,2020-09-18
20.260000228881836,2020-09-21
19.8700008392334,2020-09-22
19.850000381469727,2020-09-23
19.809999465942383,2020-09-24
20.18000030517578,2020-09-25
20.649999618530273,2020-09-28
20.329999923706055,2020-09-29
20.8799991607666,2020-09-30
21.030000686645508,2020-10-01
20.649999618530273,2020-10-02
21.049999237060547,2020-10-05
21.5,2020-10-06
21.670000076293945,2020-10-07
22.450000762939453,2020-10-08
22.579999923706055,2020-10-09
23.059999465942383,2020-10-12
22.18000030517578,2020-10-13
21.5,2020-10-14
20.610000610351562,2020-10-15
20.8799991607666,2020-10-16
20.600000381469727,2020-10-19
20.690000534057617,2020-10-20
20.639999389648438,2020-10-21
21.3700008392334,2020-10-22
22.3700008392334,2020-10-23
21.170000076293945,2020-10-26
21.049999237060547,2020-10-27
20.489999771118164,2020-10-28
20.940000534057617,2020-10-29
20.700000762939453,2020-10-30
20.440000534057617,2020-11-02
21.540000915527344,2020-11-03
21.6299991607666,2020-11-04
22.25,2020-11-05
21.549999237060547,2020-11-06
24.989999771118164,2020-11-09
24.649999618530273,2020-11-10
24.709999084472656,2020-11-11
24.200000762939453,2020-11-12
24.65999984741211,2020-11-13
25.170000076293945,2020-11-16
24.84000015258789,2020-11-17
24.260000228881836,2020-11-18
24.850000381469727,2020-11-19
24.40999984741211,2020-11-20
25.43000030517578,2020-11-23
26.639999389648438,2020-11-24
26.3799991607666,2020-11-25
26.209999084472656,2020-11-27
25.170000076293945,2020-11-30
26.170000076293945,2020-12-01
26.920000076293945,2020-12-02
27.100000381469727,2020-12-03
27.770000457763672,2020-12-04
27.799999237060547,2020-12-07
27.6299991607666,2020-12-08
26.90999984741211,2020-12-09
26.559999465942383,2020-12-10
25.93000030517578,2020-12-11
25.649999618530273,2020-12-14
24.90999984741211,2020-12-15
25.59000015258789,2020-12-16
25.40999984741211,2020-12-17
25.329999923706055,2020-12-18
24.760000228881836,2020-12-21
25.15999984741211,2020-12-22
25.280000686645508,2020-12-23
25.170000076293945,2020-12-24
25.299999237060547,2020-12-28
24.920000076293945,2020-12-29
25.450000762939453,2020-12-30
24.8700008392334,2020-12-31
25.290000915527344,2021-01-04
26.100000381469727,2021-01-05
26.31999969482422,2021-01-06
26.3799991607666,2021-01-07
26.25,2021-01-08
26.260000228881836,2021-01-11
26.18000030517578,2021-01-12
25.59000015258789,2021-01-13
25.479999542236328,2021-01-14
25.75,2021-01-15
25.969999313354492,2021-01-19
25.8700008392334,2021-01-20
25.729999542236328,2021-01-21
26.100000381469727,2021-01-22
26.3700008392334,2021-01-25
27.170000076293945,2021-01-26
27.06999969482422,2021-01-27
28.049999237060547,2021-01-28
27.360000610351562,2021-01-29
27.90999984741211,2021-02-01
28.510000228881836,2021-02-02
28.690000534057617,2021-02-03
29.209999084472656,2021-02-04
29.43000030517578,2021-02-05
30.06999969482422,2021-02-08
29.84000015258789,2021-02-09
29.75,2021-02-10
28.950000762939453,2021-02-11
29.329999923706055,2021-02-12
28.670000076293945,2021-02-16
28.639999389648438,2021-02-17
28.399999618530273,2021-02-18
29.18000030517578,2021-02-19
29.850000381469727,2021-02-22
29.799999237060547,2021-02-23
30.299999237060547,2021-02-24
29.459999084472656,2021-02-25
29.3799991607666,2021-02-26
30.040000915527344,2021-03-01
30.270000457763672,2021-03-02
30.670000076293945,2021-03-03
30.020000457763672,2021-03-04
