ALLY,Date
19.925527572631836,2014-12-19
20.233919143676758,2014-12-22
20.4652099609375,2014-12-23
20.44808006286621,2014-12-24
20.550878524780273,2014-12-26
20.47378158569336,2014-12-29
20.36241912841797,2014-12-30
20.233919143676758,2014-12-31
20.259618759155273,2015-01-02
20.088287353515625,2015-01-05
19.754196166992188,2015-01-06
19.77132797241211,2015-01-07
20.148258209228516,2015-01-08
20.456645965576172,2015-01-09
19.334444046020508,2015-01-12
18.554895401000977,2015-01-13
18.00664520263672,2015-01-14
17.441261291503906,2015-01-15
17.475526809692383,2015-01-16
17.321332931518555,2015-01-20
17.252796173095703,2015-01-21
17.67255210876465,2015-01-22
17.52692222595215,2015-01-23
17.801054000854492,2015-01-26
17.71538734436035,2015-01-27
17.141435623168945,2015-01-28
16.773075103759766,2015-01-29
16.027793884277344,2015-01-30
16.344755172729492,2015-02-02
16.807344436645508,2015-02-03
16.90157699584961,2015-02-04
17.141435623168945,2015-02-05
16.841611862182617,2015-02-06
17.090030670166016,2015-02-09
17.535493850708008,2015-02-10
18.0837459564209,2015-02-11
18.709089279174805,2015-02-12
18.888988494873047,2015-02-13
18.700523376464844,2015-02-17
18.443532943725586,2015-02-18
18.69196128845215,2015-02-19
18.69196128845215,2015-02-20
18.23794174194336,2015-02-23
18.177976608276367,2015-02-24
18.212242126464844,2015-02-25
17.955244064331055,2015-02-26
17.801054000854492,2015-02-27
17.278499603271484,2015-03-02
17.998077392578125,2015-03-03
17.878149032592773,2015-03-04
17.886714935302734,2015-03-05
18.058042526245117,2015-03-06
18.186542510986328,2015-03-09
17.775348663330078,2015-03-10
17.843881607055664,2015-03-11
18.143712997436523,2015-03-12
18.01521110534668,2015-03-13
18.04947853088379,2015-03-16
18.040908813476562,2015-03-17
18.118009567260742,2015-03-18
18.280773162841797,2015-03-19
18.186542510986328,2015-03-20
18.16084098815918,2015-03-23
17.972381591796875,2015-03-24
17.886714935302734,2015-03-25
17.69825553894043,2015-03-26
17.612586975097656,2015-03-27
17.706817626953125,2015-03-30
17.972381591796875,2015-03-31
17.689682006835938,2015-04-01
17.62116050720215,2015-04-02
17.561189651489258,2015-04-06
17.604019165039062,2015-04-07
17.509794235229492,2015-04-08
17.466957092285156,2015-04-09
17.775348663330078,2015-04-10
17.861019134521484,2015-04-13
17.869586944580078,2015-04-14
18.177976608276367,2015-04-15
18.066608428955078,2015-04-16
17.75821876525879,2015-04-17
17.689682006835938,2015-04-20
17.604019165039062,2015-04-21
17.552623748779297,2015-04-22
17.466957092285156,2015-04-23
17.090030670166016,2015-04-24
17.398427963256836,2015-04-27
18.220802307128906,2015-04-28
18.4692325592041,2015-04-29
18.751924514770508,2015-04-30
18.846155166625977,2015-05-01
19.01748275756836,2015-05-04
18.829023361206055,2015-05-05
19.094581604003906,2015-05-06
19.317312240600586,2015-05-07
19.505773544311523,2015-05-08
19.334444046020508,2015-05-11
19.103147506713867,2015-05-12
18.991785049438477,2015-05-13
18.888988494873047,2015-05-14
18.829023361206055,2015-05-15
19.137414932250977,2015-05-18
19.06031608581543,2015-05-19
19.37727165222168,2015-05-20
19.428668975830078,2015-05-21
19.38584327697754,2015-05-22
19.240209579467773,2015-05-26
19.428668975830078,2015-05-27
19.488636016845703,2015-05-28
19.420106887817383,2015-05-29
19.49720573425293,2015-06-01
19.38584327697754,2015-06-02
19.428668975830078,2015-06-03
19.29161262512207,2015-06-04
19.462940216064453,2015-06-05
19.325870513916016,2015-06-08
19.36871337890625,2015-06-09
19.471506118774414,2015-06-10
19.574304580688477,2015-06-11
19.5400390625,2015-06-12
19.574304580688477,2015-06-15
19.719932556152344,2015-06-16
19.856996536254883,2015-06-17
19.95979118347168,2015-06-18
20.079723358154297,2015-06-19
20.2681827545166,2015-06-22
20.19965362548828,2015-06-23
20.088287353515625,2015-06-24
20.122549057006836,2015-06-25
19.994060516357422,2015-06-26
19.283044815063477,2015-06-29
19.21451187133789,2015-06-30
19.59999656677246,2015-07-01
19.471506118774414,2015-07-02
19.240209579467773,2015-07-06
19.462940216064453,2015-07-07
18.89755630493164,2015-07-08
18.74335479736328,2015-07-09
19.000350952148438,2015-07-10
19.231653213500977,2015-07-13
19.274473190307617,2015-07-14
19.22308349609375,2015-07-15
19.188814163208008,2015-07-16
19.20594596862793,2015-07-17
19.180246353149414,2015-07-20
19.274473190307617,2015-07-21
19.420106887817383,2015-07-22
19.171676635742188,2015-07-23
18.71765899658203,2015-07-24
18.460664749145508,2015-07-27
19.248779296875,2015-07-28
19.685667037963867,2015-07-29
19.69423484802246,2015-07-30
19.505773544311523,2015-07-31
19.582874298095703,2015-08-03
19.685667037963867,2015-08-04
19.14598274230957,2015-08-05
19.00892448425293,2015-08-06
18.829023361206055,2015-08-07
19.394405364990234,2015-08-10
18.777626037597656,2015-08-11
18.683395385742188,2015-08-12
18.589162826538086,2015-08-13
18.59773063659668,2015-08-14
18.67482566833496,2015-08-17
18.623430252075195,2015-08-18
18.683395385742188,2015-08-19
18.375001907348633,2015-08-20
18.323606491088867,2015-08-21
17.852453231811523,2015-08-24
17.809619903564453,2015-08-25
18.058042526245117,2015-08-26
18.666261672973633,2015-08-27
18.79475975036621,2015-08-28
18.726226806640625,2015-08-31
17.92098045349121,2015-09-01
18.058042526245117,2015-09-02
18.152278900146484,2015-09-03
17.629722595214844,2015-09-04
17.955244064331055,2015-09-08
18.01521110534668,2015-09-09
17.998077392578125,2015-09-10
17.878149032592773,2015-09-11
17.861019134521484,2015-09-14
18.03234100341797,2015-09-15
18.332168579101562,2015-09-16
18.366437911987305,2015-09-17
18.058042526245117,2015-09-18
18.29789924621582,2015-09-21
17.869586944580078,2015-09-22
17.903852462768555,2015-09-23
17.801054000854492,2015-09-24
17.801054000854492,2015-09-25
17.175703048706055,2015-09-28
17.072906494140625,2015-09-29
17.458393096923828,2015-09-30
17.38985824584961,2015-10-01
17.381296157836914,2015-10-02
17.52692222595215,2015-10-05
17.67255210876465,2015-10-06
17.81818389892578,2015-10-07
18.00664520263672,2015-10-08
17.706817626953125,2015-10-09
17.561189651489258,2015-10-12
17.67255210876465,2015-10-13
17.595458984375,2015-10-14
17.723955154418945,2015-10-15
17.561189651489258,2015-10-16
17.381296157836914,2015-10-19
17.38985824584961,2015-10-20
17.31275749206543,2015-10-21
17.072906494140625,2015-10-22
17.124300003051758,2015-10-23
17.40699577331543,2015-10-26
17.081472396850586,2015-10-27
17.73252296447754,2015-10-28
17.00437355041504,2015-10-29
17.06433868408203,2015-10-30
17.090030670166016,2015-11-02
17.347028732299805,2015-11-03
17.458393096923828,2015-11-04
17.038639068603516,2015-11-05
17.218538284301758,2015-11-06
16.9615421295166,2015-11-09
17.055767059326172,2015-11-10
16.9615421295166,2015-11-11
17.364160537719727,2015-11-12
17.13286590576172,2015-11-13
17.364160537719727,2015-11-16
16.781646728515625,2015-11-17
16.781646728515625,2015-11-18
16.584619522094727,2015-11-19
17.19283103942871,2015-11-20
17.021503448486328,2015-11-23
16.9615421295166,2015-11-24
17.150001525878906,2015-11-25
16.92727279663086,2015-11-27
17.098604202270508,2015-11-30
17.278499603271484,2015-12-01
16.995811462402344,2015-12-02
17.11573600769043,2015-12-03
16.978668212890625,2015-12-04
16.867307662963867,2015-12-07
16.850183486938477,2015-12-08
16.867307662963867,2015-12-09
16.858741760253906,2015-12-10
16.473255157470703,2015-12-11
15.822203636169434,2015-12-14
15.959264755249023,2015-12-15
15.899300575256348,2015-12-16
15.787941932678223,2015-12-17
15.762238502502441,2015-12-18
15.702274322509766,2015-12-21
15.933570861816406,2015-12-22
16.473255157470703,2015-12-23
16.49039077758789,2015-12-24
16.053495407104492,2015-12-28
16.15629768371582,2015-12-29
15.96783447265625,2015-12-30
15.96783447265625,2015-12-31
15.976399421691895,2016-01-04
15.950701713562012,2016-01-05
15.693705558776855,2016-01-06
14.914163589477539,2016-01-07
14.460139274597168,2016-01-08
14.391611099243164,2016-01-11
13.94615650177002,2016-01-12
13.620630264282227,2016-01-13
13.980419158935547,2016-01-14
13.697726249694824,2016-01-15
13.440733909606934,2016-01-19
13.432168960571289,2016-01-20
13.509265899658203,2016-01-21
13.475000381469727,2016-01-22
13.132345199584961,2016-01-25
13.40647029876709,2016-01-26
13.637764930725098,2016-01-27
13.149478912353516,2016-01-28
13.577800750732422,2016-01-29
13.749126434326172,2016-02-01
13.783395767211914,2016-02-02
14.6314697265625,2016-02-03
14.708569526672363,2016-02-04
14.571503639221191,2016-02-05
14.09178352355957,2016-02-08
13.87762451171875,2016-02-09
14.348775863647461,2016-02-10
13.620630264282227,2016-02-11
13.997554779052734,2016-02-12
14.571503639221191,2016-02-16
14.622901916503906,2016-02-17
14.700000762939453,2016-02-18
14.477274894714355,2016-02-19
15.025524139404297,2016-02-22
14.657172203063965,2016-02-23
14.717133522033691,2016-02-24
14.879898071289062,2016-02-25
15.042654991149902,2016-02-26
15.059789657592773,2016-02-29
15.308219909667969,2016-03-01
15.513814926147461,2016-03-02
15.899300575256348,2016-03-03
15.984965324401855,2016-03-04
16.173425674438477,2016-03-07
15.411022186279297,2016-03-08
15.41958236694336,2016-03-09
15.41958236694336,2016-03-10
15.642313957214355,2016-03-11
15.522379875183105,2016-03-14
15.179717063903809,2016-03-15
15.2396879196167,2016-03-16
15.6765775680542,2016-03-17
15.83077335357666,2016-03-18
15.865038871765137,2016-03-21
15.736544609069824,2016-03-22
15.556642532348633,2016-03-23
15.710837364196777,2016-03-24
15.599474906921387,2016-03-28
15.488115310668945,2016-03-29
15.616604804992676,2016-03-30
16.036367416381836,2016-03-31
15.984965324401855,2016-04-01
15.58234691619873,2016-04-04
14.991259574890137,2016-04-05
14.939865112304688,2016-04-06
14.837063789367676,2016-04-07
14.528672218322754,2016-04-08
14.734267234802246,2016-04-11
14.74283504486084,2016-04-12
15.196852684020996,2016-04-13
14.991259574890137,2016-04-14
14.999826431274414,2016-04-15
15.111191749572754,2016-04-18
15.411022186279297,2016-04-19
15.71940803527832,2016-04-20
15.668009757995605,2016-04-21
15.856472969055176,2016-04-22
15.83077335357666,2016-04-25
15.822203636169434,2016-04-26
15.299652099609375,2016-04-27
15.2396879196167,2016-04-28
15.256817817687988,2016-04-29
15.256817817687988,2016-05-02
14.6314697265625,2016-05-03
14.485841751098633,2016-05-04
14.537238121032715,2016-05-05
14.700000762939453,2016-05-06
14.562935829162598,2016-05-09
14.828500747680664,2016-05-10
14.580071449279785,2016-05-11
14.43444538116455,2016-05-12
14.340211868286133,2016-05-13
14.391611099243164,2016-05-16
14.477274894714355,2016-05-17
14.485841751098633,2016-05-18
14.28024673461914,2016-05-19
14.340211868286133,2016-05-20
14.245978355407715,2016-05-23
14.640036582946777,2016-05-24
14.999826431274414,2016-05-25
15.171157836914062,2016-05-26
15.231127738952637,2016-05-27
15.368179321289062,2016-05-31
15.573780059814453,2016-06-01
15.856472969055176,2016-06-02
15.154024124145508,2016-06-03
15.539510726928711,2016-06-06
15.642313957214355,2016-06-07
15.530945777893066,2016-06-08
15.265381813049316,2016-06-09
15.025524139404297,2016-06-10
14.588640213012695,2016-06-13
13.774825096130371,2016-06-14
14.05751895904541,2016-06-15
14.05751895904541,2016-06-16
14.031816482543945,2016-06-17
14.245978355407715,2016-06-20
14.014686584472656,2016-06-21
13.929022789001465,2016-06-22
14.40874195098877,2016-06-23
13.56066608428955,2016-06-24
12.763986587524414,2016-06-27
13.089512825012207,2016-06-28
13.65489673614502,2016-06-29
14.622901916503906,2016-06-30
14.30594539642334,2016-07-01
13.509265899658203,2016-07-05
13.475000381469727,2016-07-06
13.62919807434082,2016-07-07
14.245978355407715,2016-07-08
14.340211868286133,2016-07-11
14.708569526672363,2016-07-12
14.665736198425293,2016-07-13
14.717133522033691,2016-07-14
14.802800178527832,2016-07-15
14.965564727783203,2016-07-18
14.879898071289062,2016-07-19
14.914163589477539,2016-07-20
15.008397102355957,2016-07-21
14.931294441223145,2016-07-22
15.102622032165527,2016-07-25
15.291086196899414,2016-07-26
15.128320693969727,2016-07-27
15.38648509979248,2016-07-28
15.524174690246582,2016-07-29
15.179956436157227,2016-08-01
15.188559532165527,2016-08-02
15.489748001098633,2016-08-03
15.747918128967285,2016-08-04
16.049104690551758,2016-08-05
16.01468276977539,2016-08-08
16.057714462280273,2016-08-09
16.049104690551758,2016-08-10
16.247026443481445,2016-08-11
16.32447624206543,2016-08-12
16.591243743896484,2016-08-15
16.78056526184082,2016-08-16
16.694503784179688,2016-08-17
16.72892951965332,2016-08-18
16.746145248413086,2016-08-19
16.78056526184082,2016-08-22
16.840801239013672,2016-08-23
16.858013153076172,2016-08-24
16.987092971801758,2016-08-25
16.961275100708008,2016-08-26
17.055938720703125,2016-08-29
17.202226638793945,2016-08-30
17.245258331298828,2016-08-31
16.849409103393555,2016-09-01
17.055938720703125,2016-09-02
17.030120849609375,2016-09-06
17.228042602539062,2016-09-07
17.116174697875977,2016-09-08
16.625667572021484,2016-09-09
16.978487014770508,2016-09-12
16.64287757873535,2016-09-13
16.694503784179688,2016-09-14
16.78056526184082,2016-09-15
16.522401809692383,2016-09-16
16.505186080932617,2016-09-19
16.462160110473633,2016-09-20
16.522401809692383,2016-09-21
16.64287757873535,2016-09-22
16.419132232666016,2016-09-23
16.212610244750977,2016-09-26
16.4793701171875,2016-09-27
16.67729949951172,2016-09-28
16.556821823120117,2016-09-29
16.754751205444336,2016-09-30
16.926856994628906,2016-10-03
16.995695114135742,2016-10-04
17.193620681762695,2016-10-05
17.081756591796875,2016-10-06
17.004301071166992,2016-10-07
17.12478256225586,2016-10-10
16.909645080566406,2016-10-11
16.82358741760254,2016-10-12
16.548213958740234,2016-10-13
16.60845947265625,2016-10-14
16.634275436401367,2016-10-17
16.67729949951172,2016-10-18
16.754751205444336,2016-10-19
16.67729949951172,2016-10-20
16.66008758544922,2016-10-21
16.771961212158203,2016-10-24
16.82358741760254,2016-10-25
16.18678855895996,2016-10-26
16.07491683959961,2016-10-27
15.876143455505371,2016-10-28
15.616868019104004,2016-10-31
15.348956108093262,2016-11-01
15.245246887207031,2016-11-02
15.0551118850708,2016-11-03
14.830408096313477,2016-11-04
15.115607261657715,2016-11-07
14.553854942321777,2016-11-08
14.985973358154297,2016-11-09
15.66008472442627,2016-11-10
15.867500305175781,2016-11-11
16.4465389251709,2016-11-14
16.60210609436035,2016-11-15
16.386049270629883,2016-11-16
16.653959274291992,2016-11-17
16.774959564208984,2016-11-18
16.826814651489258,2016-11-21
16.98237419128418,2016-11-22
17.24165153503418,2016-11-23
17.094724655151367,2016-11-25
16.844099044799805,2016-11-28
16.653959274291992,2016-11-29
16.783601760864258,2016-11-30
17.02558708190918,2016-12-01
16.91323471069336,2016-12-02
17.034225463867188,2016-12-05
16.965085983276367,2016-12-06
17.15522575378418,2016-12-07
17.56142234802246,2016-12-08
17.630558013916016,2016-12-09
17.319433212280273,2016-12-12
17.19843864440918,2016-12-13
16.99966049194336,2016-12-14
17.189790725708008,2016-12-15
17.207075119018555,2016-12-16
16.99966049194336,2016-12-19
17.112010955810547,2016-12-20
17.060155868530273,2016-12-21
16.887313842773438,2016-12-22
17.034225463867188,2016-12-23
17.15522575378418,2016-12-27
16.80088233947754,2016-12-28
16.593467712402344,2016-12-29
16.437898635864258,2016-12-30
16.619388580322266,2017-01-03
17.02558708190918,2017-01-04
17.04287338256836,2017-01-05
17.189790725708008,2017-01-06
17.068796157836914,2017-01-09
17.319433212280273,2017-01-10
17.3972110748291,2017-01-11
17.41449546813965,2017-01-12
17.224363327026367,2017-01-13
16.73174476623535,2017-01-17
16.80088233947754,2017-01-18
16.697175979614258,2017-01-19
16.653959274291992,2017-01-20
16.53296661376953,2017-01-23
16.705820083618164,2017-01-24
16.94780921936035,2017-01-25
17.120651245117188,2017-01-26
17.034225463867188,2017-01-27
17.086294174194336,2017-01-30
18.32719612121582,2017-01-31
18.74372673034668,2017-02-01
19.21232032775879,2017-02-02
19.70694351196289,2017-02-03
19.654878616333008,2017-02-06
19.785045623779297,2017-02-07
19.56810188293457,2017-02-08
19.73297882080078,2017-02-09
19.7763671875,2017-02-10
19.91520881652832,2017-02-13
20.236282348632812,2017-02-14
20.3751220703125,2017-02-15
20.14950942993164,2017-02-16
20.140825271606445,2017-02-17
20.114789962768555,2017-02-21
20.097442626953125,2017-02-22
20.062732696533203,2017-02-23
19.759008407592773,2017-02-24
19.993303298950195,2017-02-27
19.516033172607422,2017-02-28
19.845787048339844,2017-03-01
19.524715423583984,2017-03-02
19.507360458374023,2017-03-03
19.160253524780273,2017-03-06
