MTCH,Date
1.1857606172561646,1993-09-28
1.0540093183517456,1993-09-29
1.1857606172561646,1993-09-30
1.1528230905532837,1993-10-01
1.1198854446411133,1993-10-04
1.1034162044525146,1993-10-05
1.1363537311553955,1993-10-06
1.1363537311553955,1993-10-07
1.1198854446411133,1993-10-08
1.1034162044525146,1993-10-11
1.169291377067566,1993-10-12
1.235167384147644,1993-10-13
1.2022298574447632,1993-10-14
1.2022298574447632,1993-10-15
1.169291377067566,1993-10-18
1.0951814651489258,1993-10-19
1.1198854446411133,1993-10-20
1.1363537311553955,1993-10-21
1.1034162044525146,1993-10-22
1.0869468450546265,1993-10-25
1.0046025514602661,1993-10-26
1.0210717916488647,1993-10-27
1.0540093183517456,1993-10-28
1.0704785585403442,1993-10-29
1.0951814651489258,1993-11-01
