C,Date
228.4812469482422,2003-04-03
232.9231414794922,2003-04-04
232.8606414794922,2003-04-07
235.30062866210938,2003-04-08
231.7344207763672,2003-04-09
231.17135620117188,2003-04-10
233.6739501953125,2003-04-11
240.43077087402344,2003-04-14
245.5609893798828,2003-04-15
239.36715698242188,2003-04-16
244.2471466064453,2003-04-17
242.1200714111328,2003-04-21
249.87786865234375,2003-04-22
252.0675506591797,2003-04-23
244.93527221679688,2003-04-24
240.55589294433594,2003-04-25
245.62356567382812,2003-04-28
244.62249755859375,2003-04-29
245.5609893798828,2003-04-30
245.24656677246094,2003-05-01
249.64854431152344,2003-05-02
248.57943725585938,2003-05-05
251.22048950195312,2003-05-06
251.66061401367188,2003-05-07
246.5671844482422,2003-05-08
245.5609588623047,2003-05-09
247.69903564453125,2003-05-12
246.94447326660156,2003-05-13
244.6177978515625,2003-05-14
248.07627868652344,2003-05-15
246.18984985351562,2003-05-16
240.40457153320312,2003-05-19
242.22802734375,2003-05-20
244.36630249023438,2003-05-21
243.48587036132812,2003-05-22
245.8125,2003-05-23
252.6668701171875,2003-05-27
258.7036437988281,2003-05-28
256.376953125,2003-05-29
257.9490966796875,2003-05-30
260.1499938964844,2003-06-02
265.6837463378906,2003-06-03
270.52581787109375,2003-06-04
273.544189453125,2003-06-05
274.73907470703125,2003-06-06
269.5196533203125,2003-06-09
271.65777587890625,2003-06-10
277.2543640136719,2003-06-11
277.128662109375,2003-06-12
277.3171691894531,2003-06-13
284.4859924316406,2003-06-16
286.4981994628906,2003-06-17
282.4108581542969,2003-06-18
275.3677978515625,2003-06-19
277.0028991699219,2003-06-20
271.0289306640625,2003-06-23
272.60113525390625,2003-06-24
270.71441650390625,2003-06-25
274.92755126953125,2003-06-26
270.4628601074219,2003-06-27
269.1423034667969,2003-06-30
275.4936218261719,2003-07-01
279.2037048339844,2003-07-02
275.9338073730469,2003-07-03
282.5994567871094,2003-07-07
285.3034973144531,2003-07-08
289.2022705078125,2003-07-09
284.2344055175781,2003-07-10
290.2084045410156,2003-07-11
296.3080749511719,2003-07-14
294.4846496582031,2003-07-15
286.24676513671875,2003-07-16
281.8449401855469,2003-07-17
287.6301574707031,2003-07-18
282.66241455078125,2003-07-21
285.806640625,2003-07-22
287.0014343261719,2003-07-23
282.1593322753906,2003-07-24
287.5672302246094,2003-07-25
288.0075378417969,2003-07-28
285.74371337890625,2003-07-29
284.4231262207031,2003-07-30
283.9161071777344,2003-07-31
275.36065673828125,2003-08-01
278.022216796875,2003-08-04
272.95245361328125,2003-08-05
275.80426025390625,2003-08-06
279.4799499511719,2003-08-07
281.38116455078125,2003-08-08
282.33172607421875,2003-08-11
286.3876647949219,2003-08-12
284.993408203125,2003-08-13
286.00750732421875,2003-08-14
284.5498352050781,2003-08-15
282.96551513671875,2003-08-18
281.44451904296875,2003-08-19
279.8601989746094,2003-08-20
278.2757873535156,2003-08-21
273.1424865722656,2003-08-22
272.0018005371094,2003-08-25
274.4732971191406,2003-08-26
272.25531005859375,2003-08-27
273.0792236328125,2003-08-28
274.7269592285156,2003-08-29
279.98699951171875,2003-09-02
282.0148620605469,2003-09-03
281.44451904296875,2003-09-04
281.0008544921875,2003-09-05
282.14166259765625,2003-09-08
280.62078857421875,2003-09-09
278.52923583984375,2003-09-10
280.1771545410156,2003-09-11
280.7473449707031,2003-09-12
279.8601989746094,2003-09-15
283.2824401855469,2003-09-16
284.80328369140625,2003-09-17
295.6402893066406,2003-09-18
297.7950744628906,2003-09-19
293.92919921875,2003-09-22
298.9357604980469,2003-09-23
294.8798828125,2003-09-24
291.3309020996094,2003-09-25
287.4651184082031,2003-09-26
291.964599609375,2003-09-29
288.4157409667969,2003-09-30
297.8583679199219,2003-10-01
299.4427795410156,2003-10-02
298.55560302734375,2003-10-03
299.822998046875,2003-10-06
303.1182556152344,2003-10-07
301.40740966796875,2003-10-08
303.4353942871094,2003-10-09
303.56201171875,2003-10-10
310.0896301269531,2003-10-13
310.53326416015625,2003-10-14
309.772705078125,2003-10-15
310.53326416015625,2003-10-16
306.6041259765625,2003-10-17
305.083251953125,2003-10-20
301.47064208984375,2003-10-21
299.1258544921875,2003-10-22
302.8016662597656,2003-10-23
301.66082763671875,2003-10-24
295.9572448730469,2003-10-27
301.5341491699219,2003-10-28
301.5976257324219,2003-10-29
303.38519287109375,2003-10-30
302.6189880371094,2003-10-31
306.7049865722656,2003-11-03
308.4927062988281,2003-11-04
309.64178466796875,2003-11-05
312.1318054199219,2003-11-06
304.8535461425781,2003-11-07
306.1304931640625,2003-11-10
302.5551452636719,2003-11-11
302.5551452636719,2003-11-12
300.70355224609375,2003-11-13
296.4260559082031,2003-11-14
295.59613037109375,2003-11-17
290.8716735839844,2003-11-18
293.2978210449219,2003-11-19
292.2125549316406,2003-11-20
295.8514709472656,2003-11-21
298.4052734375,2003-11-24
299.4906311035156,2003-11-25
299.74591064453125,2003-11-26
300.2568054199219,2003-11-28
303.6404724121094,2003-12-01
301.4698181152344,2003-12-02
299.74591064453125,2003-12-03
301.2782287597656,2003-12-04
297.3837890625,2003-12-05
302.4276123046875,2003-12-08
300.639892578125,2003-12-09
302.36370849609375,2003-12-10
303.7043762207031,2003-12-11
303.57659912109375,2003-12-12
305.0450744628906,2003-12-15
306.06658935546875,2003-12-16
303.193603515625,2003-12-17
305.7474670410156,2003-12-18
308.17333984375,2003-12-19
309.64178466796875,2003-12-22
306.89654541015625,2003-12-23
305.4919128417969,2003-12-24
305.5558166503906,2003-12-26
308.8119201660156,2003-12-29
309.19488525390625,2003-12-30
309.897216796875,2003-12-31
312.8339538574219,2004-01-02
317.87762451171875,2004-01-05
318.1969299316406,2004-01-06
318.64373779296875,2004-01-07
319.98443603515625,2004-01-08
318.5159606933594,2004-01-09
318.2607116699219,2004-01-12
316.66461181640625,2004-01-13
319.2184143066406,2004-01-14
316.02618408203125,2004-01-15
316.02618408203125,2004-01-16
314.6854248046875,2004-01-20
321.5166931152344,2004-01-21
323.62353515625,2004-01-22
321.2614440917969,2004-01-23
325.1558532714844,2004-01-26
319.6653137207031,2004-01-27
314.3023986816406,2004-01-28
318.4862060546875,2004-01-29
318.4862060546875,2004-01-30
316.8770446777344,2004-02-02
314.6241455078125,2004-02-03
312.6288146972656,2004-02-04
309.6678466796875,2004-02-05
317.39202880859375,2004-02-06
316.3621826171875,2004-02-09
314.88165283203125,2004-02-10
320.031005859375,2004-02-11
318.6793518066406,2004-02-12
318.5505065917969,2004-02-13
321.1896667480469,2004-02-17
319.0011901855469,2004-02-18
316.16900634765625,2004-02-19
314.6886901855469,2004-02-20
317.4564208984375,2004-02-23
318.2287292480469,2004-02-24
320.8034362792969,2004-02-25
321.83331298828125,2004-02-26
323.5068359375,2004-02-27
324.794189453125,2004-03-01
320.35296630859375,2004-03-02
320.6747741699219,2004-03-03
317.84259033203125,2004-03-04
321.83331298828125,2004-03-05
321.44708251953125,2004-03-08
320.8034362792969,2004-03-09
316.7482604980469,2004-03-10
312.95062255859375,2004-03-11
317.39202880859375,2004-03-12
316.16900634765625,2004-03-15
321.7688903808594,2004-03-16
327.111328125,2004-03-17
330.0722351074219,2004-03-18
324.02178955078125,2004-03-19
319.322998046875,2004-03-22
320.5458984375,2004-03-23
320.48162841796875,2004-03-24
323.5068359375,2004-03-25
322.219482421875,2004-03-26
330.3296203613281,2004-03-29
334.3204040527344,2004-03-30
332.77557373046875,2004-03-31
336.5733337402344,2004-04-01
333.4193115234375,2004-04-02
336.1871643066406,2004-04-05
336.25152587890625,2004-04-06
332.83990478515625,2004-04-07
331.681396484375,2004-04-08
335.0927734375,2004-04-12
329.55731201171875,2004-04-13
327.9480895996094,2004-04-14
321.31842041015625,2004-04-15
322.47698974609375,2004-04-16
321.70452880859375,2004-04-19
316.7482604980469,2004-04-20
316.2977600097656,2004-04-21
319.6448059082031,2004-04-22
316.55511474609375,2004-04-23
315.3323974609375,2004-04-26
315.1392822265625,2004-04-27
311.72772216796875,2004-04-28
312.6363830566406,2004-04-29
312.1172180175781,2004-04-30
315.1675720214844,2004-05-03
316.98480224609375,2004-05-04
315.62176513671875,2004-05-05
308.3527526855469,2004-05-06
303.2255554199219,2004-05-07
294.7232666015625,2004-05-10
296.54052734375,2004-05-11
300.56451416015625,2004-05-12
298.2929992675781,2004-05-13
296.2809143066406,2004-05-14
291.153564453125,2004-05-17
293.03570556640625,2004-05-18
292.062255859375,2004-05-19
293.87945556640625,2004-05-20
294.26885986328125,2004-05-21
294.5285339355469,2004-05-24
301.797607421875,2004-05-25
302.0572204589844,2004-05-26
301.92755126953125,2004-05-27
301.34326171875,2004-05-28
303.5499572753906,2004-06-01
305.2374572753906,2004-06-02
300.88897705078125,2004-06-03
302.1221923828125,2004-06-04
308.4825744628906,2004-06-07
308.9369201660156,2004-06-08
305.3672790527344,2004-06-09
307.3143615722656,2004-06-10
303.355224609375,2004-06-14
305.1726379394531,2004-06-15
305.1726379394531,2004-06-16
305.5619812011719,2004-06-17
308.2879333496094,2004-06-18
306.2109680175781,2004-06-21
304.977783203125,2004-06-22
306.6004333496094,2004-06-23
307.89849853515625,2004-06-24
303.74468994140625,2004-06-25
301.92755126953125,2004-06-28
300.69427490234375,2004-06-29
301.797607421875,2004-06-30
298.7471618652344,2004-07-01
296.9947509765625,2004-07-02
294.9828186035156,2004-07-06
296.1511535644531,2004-07-07
293.16558837890625,2004-07-08
292.2569580078125,2004-07-09
291.4132080078125,2004-07-12
