PCG,Date
1.4021804332733154,1980-11-11
1.4108362197875977,1980-11-12
1.4194914102554321,1980-11-13
1.4021804332733154,1980-11-14
1.4021804332733154,1980-11-17
1.4021804332733154,1980-11-18
1.4108362197875977,1980-11-19
1.4021804332733154,1980-11-20
1.4021804332733154,1980-11-21
1.4021804332733154,1980-11-24
1.3935257196426392,1980-11-25
1.4021804332733154,1980-11-26
1.3848695755004883,1980-11-28
1.3935257196426392,1980-12-01
1.3848695755004883,1980-12-02
1.4021804332733154,1980-12-03
1.3935257196426392,1980-12-04
1.3935257196426392,1980-12-05
1.3848695755004883,1980-12-08
1.3848695755004883,1980-12-09
1.3848695755004883,1980-12-10
1.3935257196426392,1980-12-11
1.3848695755004883,1980-12-12
1.3848695755004883,1980-12-15
1.3675594329833984,1980-12-16
1.3675594329833984,1980-12-17
1.4021804332733154,1980-12-18
1.4194914102554321,1980-12-19
1.436802864074707,1980-12-22
1.454113483428955,1980-12-23
1.454113483428955,1980-12-24
1.454113483428955,1980-12-26
1.4454580545425415,1980-12-29
1.4194914102554321,1980-12-30
1.4194914102554321,1980-12-31
1.4454580545425415,1981-01-02
1.4887356758117676,1981-01-05
1.5147013664245605,1981-01-06
1.4973901510238647,1981-01-07
1.4973901510238647,1981-01-08
1.4800794124603271,1981-01-09
1.4714245796203613,1981-01-12
1.4714245796203613,1981-01-13
1.4714245796203613,1981-01-14
1.4627685546875,1981-01-15
1.4714245796203613,1981-01-16
1.4627685546875,1981-01-19
1.454113483428955,1981-01-20
1.454113483428955,1981-01-21
1.4454580545425415,1981-01-22
1.4194914102554321,1981-01-23
1.4194914102554321,1981-01-26
1.436802864074707,1981-01-27
1.436802864074707,1981-01-28
1.4454580545425415,1981-01-29
1.436802864074707,1981-01-30
1.436802864074707,1981-02-02
1.4454580545425415,1981-02-03
1.4454580545425415,1981-02-04
1.4627685546875,1981-02-05
1.4800794124603271,1981-02-06
1.4887356758117676,1981-02-09
1.4800794124603271,1981-02-10
1.4800794124603271,1981-02-11
1.4714245796203613,1981-02-12
1.454113483428955,1981-02-13
1.454113483428955,1981-02-17
1.454113483428955,1981-02-18
1.4454580545425415,1981-02-19
1.4627685546875,1981-02-20
1.454113483428955,1981-02-23
1.454113483428955,1981-02-24
1.436802864074707,1981-02-25
1.4454580545425415,1981-02-26
1.4281466007232666,1981-02-27
1.454113483428955,1981-03-02
1.4454580545425415,1981-03-03
1.454113483428955,1981-03-04
1.4627685546875,1981-03-05
1.4627685546875,1981-03-06
1.4714245796203613,1981-03-09
1.448533535003662,1981-03-10
1.4574755430221558,1981-03-11
1.4664169549942017,1981-03-12
1.4843004941940308,1981-03-13
1.4843004941940308,1981-03-16
1.502182960510254,1981-03-17
1.511124610900879,1981-03-18
1.502182960510254,1981-03-19
1.502182960510254,1981-03-20
1.4932425022125244,1981-03-23
1.4932425022125244,1981-03-24
1.4843004941940308,1981-03-25
1.4932425022125244,1981-03-26
1.4843004941940308,1981-03-27
1.4932425022125244,1981-03-30
1.4932425022125244,1981-03-31
1.5290073156356812,1981-04-01
1.5290073156356812,1981-04-02
1.4932425022125244,1981-04-03
1.502182960510254,1981-04-06
1.4932425022125244,1981-04-07
1.4932425022125244,1981-04-08
1.475358009338379,1981-04-09
1.4664169549942017,1981-04-10
1.475358009338379,1981-04-13
1.4664169549942017,1981-04-14
1.4664169549942017,1981-04-15
1.4932425022125244,1981-04-16
1.511124610900879,1981-04-20
1.502182960510254,1981-04-21
1.511124610900879,1981-04-22
1.4932425022125244,1981-04-23
1.4932425022125244,1981-04-24
1.502182960510254,1981-04-27
1.4843004941940308,1981-04-28
1.4664169549942017,1981-04-29
1.4664169549942017,1981-04-30
1.448533535003662,1981-05-01
1.4395924806594849,1981-05-04
1.4306503534317017,1981-05-05
1.4217091798782349,1981-05-06
1.4306503534317017,1981-05-07
1.4306503534317017,1981-05-08
1.4127672910690308,1981-05-11
1.4217091798782349,1981-05-12
1.448533535003662,1981-05-13
1.4574755430221558,1981-05-14
1.4843004941940308,1981-05-15
1.4932425022125244,1981-05-18
1.4843004941940308,1981-05-19
1.4932425022125244,1981-05-20
1.475358009338379,1981-05-21
1.4664169549942017,1981-05-22
1.4843004941940308,1981-05-26
1.502182960510254,1981-05-27
1.4932425022125244,1981-05-28
1.4932425022125244,1981-05-29
1.511124610900879,1981-06-01
1.502182960510254,1981-06-02
1.511124610900879,1981-06-03
1.502182960510254,1981-06-04
1.4932425022125244,1981-06-05
1.5290073156356812,1981-06-08
1.505365252494812,1981-06-09
1.5515419244766235,1981-06-10
1.6254253387451172,1981-06-11
1.6254253387451172,1981-06-12
1.6993072032928467,1981-06-15
1.7270145416259766,1981-06-16
1.6900721788406372,1981-06-17
1.6623660326004028,1981-06-18
1.67160165309906,1981-06-19
1.67160165309906,1981-06-22
1.6623660326004028,1981-06-23
1.634661316871643,1981-06-24
1.634661316871643,1981-06-25
1.6254253387451172,1981-06-26
1.643894910812378,1981-06-29
1.616189956665039,1981-06-30
1.5884839296340942,1981-07-01
1.5423073768615723,1981-07-02
1.5423073768615723,1981-07-06
1.5700132846832275,1981-07-07
1.5977190732955933,1981-07-08
1.6069544553756714,1981-07-09
1.6254253387451172,1981-07-10
1.6254253387451172,1981-07-13
1.616189956665039,1981-07-14
1.5977190732955933,1981-07-15
1.6254253387451172,1981-07-16
1.634661316871643,1981-07-17
1.5977190732955933,1981-07-20
1.5977190732955933,1981-07-21
1.5700132846832275,1981-07-22
1.5792479515075684,1981-07-23
1.5884839296340942,1981-07-24
1.634661316871643,1981-07-27
1.643894910812378,1981-07-28
1.6623660326004028,1981-07-29
1.643894910812378,1981-07-30
1.67160165309906,1981-07-31
1.6808381080627441,1981-08-03
1.6808381080627441,1981-08-04
1.6808381080627441,1981-08-05
1.6808381080627441,1981-08-06
1.6808381080627441,1981-08-07
1.6993072032928467,1981-08-10
1.7639552354812622,1981-08-11
1.7454851865768433,1981-08-12
1.7731908559799194,1981-08-13
1.7362496852874756,1981-08-14
1.7362496852874756,1981-08-17
1.7362496852874756,1981-08-18
1.7362496852874756,1981-08-19
1.7454851865768433,1981-08-20
1.7362496852874756,1981-08-21
1.7177786827087402,1981-08-24
1.6808381080627441,1981-08-25
1.6808381080627441,1981-08-26
1.6808381080627441,1981-08-27
1.6808381080627441,1981-08-28
1.6900721788406372,1981-08-31
1.6900721788406372,1981-09-01
1.6900721788406372,1981-09-02
1.6808381080627441,1981-09-03
1.643894910812378,1981-09-04
1.6069544553756714,1981-09-08
1.6397494077682495,1981-09-09
1.6588168144226074,1981-09-10
1.687416672706604,1981-09-11
1.677883267402649,1981-09-14
1.677883267402649,1981-09-15
1.677883267402649,1981-09-16
1.6588168144226074,1981-09-17
1.677883267402649,1981-09-18
1.725549340248108,1981-09-21
1.725549340248108,1981-09-22
1.687416672706604,1981-09-23
1.7160162925720215,1981-09-24
1.687416672706604,1981-09-25
1.7064831256866455,1981-09-28
1.7064831256866455,1981-09-29
1.7160162925720215,1981-09-30
1.6492825746536255,1981-10-01
1.6111491918563843,1981-10-02
1.6397494077682495,1981-10-05
1.6492825746536255,1981-10-06
1.6397494077682495,1981-10-07
1.6302152872085571,1981-10-08
1.6302152872085571,1981-10-09
1.6206830739974976,1981-10-12
1.6206830739974976,1981-10-13
1.6111491918563843,1981-10-14
1.6206830739974976,1981-10-15
1.6397494077682495,1981-10-16
1.6397494077682495,1981-10-19
1.6492825746536255,1981-10-20
1.6302152872085571,1981-10-21
1.6302152872085571,1981-10-22
1.6111491918563843,1981-10-23
1.60161554813385,1981-10-26
1.60161554813385,1981-10-27
1.6206830739974976,1981-10-28
1.6206830739974976,1981-10-29
1.6302152872085571,1981-10-30
1.6492825746536255,1981-11-02
1.6206830739974976,1981-11-03
1.6302152872085571,1981-11-04
1.6111491918563843,1981-11-05
1.6111491918563843,1981-11-06
1.6683493852615356,1981-11-09
1.7160162925720215,1981-11-10
1.725549340248108,1981-11-11
1.7541500329971313,1981-11-12
1.744616985321045,1981-11-13
1.7636831998825073,1981-11-16
1.7541500329971313,1981-11-17
1.7350844144821167,1981-11-18
1.6588168144226074,1981-11-19
1.6492825746536255,1981-11-20
1.6397494077682495,1981-11-23
1.6206830739974976,1981-11-24
1.6206830739974976,1981-11-25
1.6302152872085571,1981-11-27
1.6492825746536255,1981-11-30
1.6588168144226074,1981-12-01
1.6492825746536255,1981-12-02
1.6588168144226074,1981-12-03
1.677883267402649,1981-12-04
1.6683493852615356,1981-12-07
1.677883267402649,1981-12-08
1.6625362634658813,1981-12-09
1.6526986360549927,1981-12-10
1.6231857538223267,1981-12-11
1.6035116910934448,1981-12-14
1.6133495569229126,1981-12-15
1.6035116910934448,1981-12-16
1.6035116910934448,1981-12-17
1.6231857538223267,1981-12-18
1.6035116910934448,1981-12-21
1.6330244541168213,1981-12-22
1.6231857538223267,1981-12-23
1.6231857538223267,1981-12-24
1.6428613662719727,1981-12-28
1.6330244541168213,1981-12-29
1.6822112798690796,1981-12-30
1.6526986360549927,1981-12-31
1.6526986360549927,1982-01-04
