GM,Date
37.041194915771484,2018-06-28
36.01734924316406,2018-06-29
36.1087646484375,2018-07-02
35.624263763427734,2018-07-03
36.081336975097656,2018-07-05
35.79794692993164,2018-07-06
36.33729553222656,2018-07-09
36.64811325073242,2018-07-10
35.92593002319336,2018-07-11
35.89851379394531,2018-07-12
35.98078155517578,2018-07-13
36.16360855102539,2018-07-16
36.593265533447266,2018-07-17
36.44698715209961,2018-07-18
35.93507766723633,2018-07-19
36.01734924316406,2018-07-20
35.89851379394531,2018-07-23
36.090476989746094,2018-07-24
34.417598724365234,2018-07-25
33.5948600769043,2018-07-26
34.307891845703125,2018-07-27
34.43587112426758,2018-07-30
34.655277252197266,2018-07-31
33.951377868652344,2018-08-01
33.47602081298828,2018-08-02
34.490726470947266,2018-08-03
34.37188720703125,2018-08-06
34.353599548339844,2018-08-07
34.426734924316406,2018-08-08
34.28961181640625,2018-08-09
33.4485969543457,2018-08-10
33.055511474609375,2018-08-13
33.09208297729492,2018-08-14
32.85440444946289,2018-08-15
33.174354553222656,2018-08-16
33.25663757324219,2018-08-17
33.61314392089844,2018-08-20
33.741127014160156,2018-08-21
33.02809143066406,2018-08-22
32.60757827758789,2018-08-23
32.863548278808594,2018-08-24
34.454158782958984,2018-08-27
34.115928649902344,2018-08-28
33.9330940246582,2018-08-29
33.238346099853516,2018-08-30
32.9549674987793,2018-08-31
32.54359436035156,2018-09-04
32.26021194458008,2018-09-05
31.77044105529785,2018-09-06
31.336111068725586,2018-09-07
31.299148559570312,2018-09-10
31.206743240356445,2018-09-11
31.474729537963867,2018-09-12
31.65030288696289,2018-09-13
32.001461029052734,2018-09-14
32.36186218261719,2018-09-17
32.435787200927734,2018-09-18
33.017967224121094,2018-09-19
33.34140396118164,2018-09-20
32.63908386230469,2018-09-21
32.11235046386719,2018-09-24
31.003435134887695,2018-09-25
31.169775009155273,2018-09-26
31.114328384399414,2018-09-27
31.114328384399414,2018-09-28
31.604093551635742,2018-10-01
30.77241325378418,2018-10-02
31.419279098510742,2018-10-03
31.65030288696289,2018-10-04
31.530168533325195,2018-10-05
31.65030288696289,2018-10-08
30.1717529296875,2018-10-09
30.12554931640625,2018-10-10
29.85755729675293,2018-10-11
29.37702751159668,2018-10-12
29.681976318359375,2018-10-15
29.88528060913086,2018-10-16
29.50640296936035,2018-10-17
28.720918655395508,2018-10-18
28.831811904907227,2018-10-19
28.961183547973633,2018-10-22
29.681976318359375,2018-10-23
28.240386962890625,2018-10-24
29.571088790893555,2018-10-25
30.1717529296875,2018-10-26
30.615320205688477,2018-10-29
30.99419593811035,2018-10-30
33.81269073486328,2018-10-31
33.7017936706543,2018-11-01
33.295196533203125,2018-11-02
33.49849319458008,2018-11-05
33.692562103271484,2018-11-06
34.08068084716797,2018-11-07
33.79420471191406,2018-11-08
32.9902458190918,2018-11-09
32.98099899291992,2018-11-12
33.202789306640625,2018-11-13
32.5559196472168,2018-11-14
32.85163497924805,2018-11-15
33.03644561767578,2018-11-16
32.97175598144531,2018-11-19
32.426544189453125,2018-11-20
32.85163497924805,2018-11-21
33.202789306640625,2018-11-23
34.792240142822266,2018-11-26
33.90509796142578,2018-11-27
34.14536666870117,2018-11-28
33.969791412353516,2018-11-29
35.069461822509766,2018-11-30
35.53151321411133,2018-12-03
33.74800491333008,2018-12-04
33.33712387084961,2018-12-06
32.39397430419922,2018-12-07
32.141841888427734,2018-12-10
32.39397430419922,2018-12-11
33.31844711303711,2018-12-12
32.78617477416992,2018-12-13
32.77683639526367,2018-12-14
32.36595916748047,2018-12-17
32.5900764465332,2018-12-18
32.61808776855469,2018-12-19
32.001773834228516,2018-12-20
30.797151565551758,2018-12-21
30.22752571105957,2018-12-24
31.301416397094727,2018-12-26
31.7122859954834,2018-12-27
31.674938201904297,2018-12-28
31.23604965209961,2018-12-31
31.413476943969727,2019-01-02
30.1154727935791,2019-01-03
31.123991012573242,2019-01-04
32.0858154296875,2019-01-07
32.50603485107422,2019-01-08
32.85154724121094,2019-01-09
32.43132781982422,2019-01-10
34.71916580200195,2019-01-11
35.167396545410156,2019-01-14
35.0646858215332,2019-01-15
35.176734924316406,2019-01-16
35.72768020629883,2019-01-17
36.05452346801758,2019-01-18
35.62496566772461,2019-01-22
35.176734924316406,2019-01-23
35.634307861328125,2019-01-24
36.08253479003906,2019-01-25
35.91444778442383,2019-01-28
35.923789978027344,2019-01-29
36.50275421142578,2019-01-30
36.4373779296875,2019-01-31
36.21326446533203,2019-02-01
36.35334396362305,2019-02-04
36.698856353759766,2019-02-05
37.26847839355469,2019-02-06
36.09187316894531,2019-02-07
36.13856506347656,2019-02-08
36.07320022583008,2019-02-11
36.44672393798828,2019-02-12
36.418697357177734,2019-02-13
36.31598663330078,2019-02-14
36.50275421142578,2019-02-15
36.91362762451172,2019-02-19
37.30583190917969,2019-02-20
36.99767303466797,2019-02-21
37.34318161010742,2019-02-22
37.483253479003906,2019-02-25
37.45524215698242,2019-02-26
37.352516174316406,2019-02-27
36.866943359375,2019-02-28
36.91362762451172,2019-03-01
36.652164459228516,2019-03-04
36.68017578125,2019-03-05
36.11054229736328,2019-03-06
35.874786376953125,2019-03-07
35.827632904052734,2019-03-08
36.42176055908203,2019-03-11
36.42176055908203,2019-03-12
36.59151840209961,2019-03-13
35.86534881591797,2019-03-14
35.903076171875,2019-03-15
35.81819534301758,2019-03-18
36.09168243408203,2019-03-19
34.893978118896484,2019-03-20
35.224056243896484,2019-03-21
34.36585235595703,2019-03-22
34.658206939697266,2019-03-25
34.771366119384766,2019-03-26
34.52617645263672,2019-03-27
34.9505615234375,2019-03-28
34.98828125,2019-03-29
35.610713958740234,2019-04-01
35.657867431640625,2019-04-02
36.20485305786133,2019-04-03
36.58209228515625,2019-04-04
36.72354507446289,2019-04-05
