Date,TFCF
2017-05-23,26.53
2017-05-22,27.0
2017-05-19,27.02
2017-05-18,26.78
2017-05-17,26.77
2017-05-16,27.11
2017-05-15,27.67
2017-05-12,27.9
2017-05-11,28.32
2017-05-10,27.68
2017-05-09,27.96
2017-05-08,28.03
2017-05-05,28.58
2017-05-04,28.5
2017-05-03,28.35
2017-05-02,29.85
2017-05-01,29.69
2017-04-28,29.86
2017-04-27,29.93
2017-04-26,30.05
2017-04-25,29.89
2017-04-24,29.75
2017-04-21,30.22
2017-04-20,30.55
2017-04-19,29.81
2017-04-18,30.05
2017-04-17,30.16
2017-04-13,29.86
2017-04-12,30.14
2017-04-11,30.47
2017-04-10,30.6
2017-04-07,30.54
2017-04-06,30.55
2017-04-05,30.83
2017-04-04,31.21
2017-04-03,31.57
2017-03-31,31.78
2017-03-30,31.67
2017-03-29,31.51
2017-03-28,31.82
2017-03-27,31.25
2017-03-24,30.88
2017-03-23,30.75
2017-03-22,30.42
2017-03-21,30.09
2017-03-20,30.09
2017-03-17,30.27
2017-03-16,30.2
2017-03-15,30.32
2017-03-14,29.92
2017-03-13,29.95
2017-03-10,29.96
2017-03-09,30.26
2017-03-08,29.98
2017-03-07,30.11
2017-03-06,30.2
2017-03-03,29.95
2017-03-02,29.71
2017-03-01,29.86
2017-02-28,29.35
2017-02-27,30.01
2017-02-24,30.23
2017-02-23,30.0
2017-02-22,30.15
2017-02-21,30.06
2017-02-17,29.92
2017-02-16,30.08
2017-02-15,30.33
2017-02-14,30.02
2017-02-13,29.48
2017-02-10,29.65
2017-02-09,29.71
2017-02-08,29.82
2017-02-07,30.16
2017-02-06,30.72
2017-02-03,31.09
2017-02-02,31.16
2017-02-01,31.24
2017-01-31,31.01
2017-01-30,30.98
2017-01-27,30.85
2017-01-26,30.59
2017-01-25,29.8
2017-01-24,29.79
2017-01-23,29.51
2017-01-20,29.55
2017-01-19,29.21
2017-01-18,29.52
2017-01-17,29.25
2017-01-13,29.25
2017-01-12,29.08
2017-01-11,29.44
2017-01-10,28.92
2017-01-09,28.77
2017-01-06,28.85
2017-01-05,28.34
2017-01-04,28.25
2017-01-03,28.0
2016-12-30,27.25
2016-12-29,27.48
2016-12-28,27.66
2016-12-27,27.84
2016-12-23,27.7
2016-12-22,27.75
2016-12-21,27.74
2016-12-20,27.59
2016-12-19,27.63
2016-12-16,27.73
2016-12-15,27.39
2016-12-14,27.59
2016-12-13,26.9
2016-12-12,26.19
2016-12-09,27.92
2016-12-08,28.48
2016-12-07,27.95
2016-12-06,27.37
2016-12-05,27.53
2016-12-02,27.37
2016-12-01,28.08
2016-11-30,28.06
2016-11-29,28.36
2016-11-28,28.19
2016-11-25,28.26
2016-11-23,28.28
2016-11-22,28.14
2016-11-21,27.73
2016-11-18,27.69
2016-11-17,27.81
2016-11-16,27.49
2016-11-15,27.4
2016-11-14,27.33
2016-11-11,27.0
2016-11-10,27.16
2016-11-09,27.33
2016-11-08,27.08
2016-11-07,27.19
2016-11-04,26.69
2016-11-03,27.53
2016-11-02,25.75
2016-11-01,26.19
2016-10-31,26.39
2016-10-28,26.24
2016-10-27,26.24
2016-10-26,26.52
2016-10-25,25.71
2016-10-24,25.67
2016-10-21,25.91
2016-10-20,25.36
2016-10-19,25.32
2016-10-18,25.07
2016-10-17,24.79
2016-10-14,24.86
2016-10-13,24.76
2016-10-12,24.76
2016-10-11,24.83
2016-10-10,25.01
2016-10-07,24.68
2016-10-06,24.91
2016-10-05,25.01
2016-10-04,25.15
2016-10-03,25.17
2016-09-30,24.74
2016-09-29,24.62
2016-09-28,24.89
2016-09-27,24.8
2016-09-26,24.31
2016-09-23,24.49
2016-09-22,24.74
2016-09-21,24.3
2016-09-20,24.24
2016-09-19,24.29
2016-09-16,24.28
2016-09-15,24.32
2016-09-14,24.19
2016-09-13,24.2
2016-09-12,24.66
2016-09-09,24.12
2016-09-08,25.04
2016-09-07,24.56
2016-09-06,24.71
2016-09-02,24.75
2016-09-01,24.75
2016-08-31,24.85
2016-08-30,24.85
2016-08-29,25.05
2016-08-26,25.0
2016-08-25,25.1
2016-08-24,25.34
2016-08-23,25.45
2016-08-22,25.71
2016-08-19,25.81
2016-08-18,25.82
2016-08-17,26.19
2016-08-16,26.13
2016-08-15,26.3
2016-08-12,26.57
2016-08-11,26.64
2016-08-10,26.18
2016-08-09,26.18
2016-08-08,26.23
2016-08-05,26.44
2016-08-04,26.21
2016-08-03,27.42
2016-08-02,27.04
2016-08-01,27.14
2016-07-29,27.03
2016-07-28,27.07
2016-07-27,27.43
2016-07-26,27.4
2016-07-25,27.45
2016-07-22,27.77
2016-07-21,27.72
2016-07-20,27.8
2016-07-19,28.45
2016-07-18,28.58
2016-07-15,28.59
2016-07-14,28.62
2016-07-13,28.41
2016-07-12,28.08
2016-07-11,28.09
2016-07-08,28.0
2016-07-07,27.26
2016-07-06,27.12
2016-07-05,26.88
2016-07-01,27.51
2016-06-30,27.25
2016-06-29,27.07
2016-06-28,26.62
2016-06-27,26.26
2016-06-24,26.76
2016-06-23,28.98
2016-06-22,28.67
2016-06-21,28.59
2016-06-20,28.94
2016-06-17,28.7
2016-06-16,29.02
2016-06-15,28.97
2016-06-14,28.98
2016-06-13,29.08
2016-06-10,28.99
2016-06-09,29.41
2016-06-08,29.69
2016-06-07,29.68
2016-06-06,29.73
2016-06-03,29.6
2016-06-02,29.86
2016-06-01,29.7
2016-05-31,29.24
2016-05-27,29.26
2016-05-26,28.97
2016-05-25,29.2
2016-05-24,28.84
2016-05-23,28.44
2016-05-20,28.46
2016-05-19,28.25
2016-05-18,28.48
2016-05-17,28.83
2016-05-16,29.13
2016-05-13,29.24
2016-05-12,29.35
2016-05-11,29.59
2016-05-10,30.02
2016-05-09,29.4
2016-05-06,29.52
2016-05-05,29.82
2016-05-04,29.58
2016-05-03,29.69
2016-05-02,30.24
2016-04-29,30.12
2016-04-28,30.57
2016-04-27,30.78
2016-04-26,30.87
2016-04-25,30.93
2016-04-22,30.75
2016-04-21,30.09
2016-04-20,29.97
2016-04-19,30.04
2016-04-18,30.08
2016-04-15,29.84
2016-04-14,29.79
2016-04-13,29.88
2016-04-12,29.42
2016-04-11,28.68
2016-04-08,28.78
2016-04-07,28.82
2016-04-06,29.36
2016-04-05,28.8
2016-04-04,29.01
2016-04-01,29.12
2016-03-31,28.2
2016-03-30,28.2
2016-03-29,28.17
2016-03-28,27.99
2016-03-24,28.02
2016-03-23,27.99
2016-03-22,28.0
2016-03-21,28.04
2016-03-18,28.19
2016-03-17,28.21
2016-03-16,28.21
2016-03-15,28.11
2016-03-14,28.14
2016-03-11,28.19
2016-03-10,27.98
2016-03-09,28.08
2016-03-08,27.83
2016-03-07,28.13
2016-03-04,27.99
2016-03-03,28.0
2016-03-02,27.68
2016-03-01,28.03
2016-02-29,27.16
2016-02-27,27.26
2016-02-26,27.2
2016-02-25,27.38
2016-02-24,27.33
2016-02-23,27.02
2016-02-22,27.31
2016-02-19,26.69
2016-02-18,26.42
2016-02-17,26.47
2016-02-16,25.63
2016-02-12,24.67
2016-02-11,24.71
2016-02-10,24.46
2016-02-09,24.21
2016-02-08,24.54
2016-02-05,25.04
2016-02-04,26.23
2016-02-03,26.5
2016-02-02,26.06
2016-02-01,27.11
2016-01-29,27.1
2016-01-28,26.23
2016-01-27,26.58
2016-01-26,26.96
2016-01-25,26.0
2016-01-22,26.41
2016-01-21,25.62
2016-01-20,25.75
2016-01-19,26.58
2016-01-15,26.17
2016-01-14,26.77
2016-01-13,25.81
2016-01-12,26.46
2016-01-11,26.0
2016-01-08,25.93
2016-01-07,25.92
2016-01-06,26.5
2016-01-05,26.6
2016-01-04,26.61
2015-12-31,27.23
2015-12-30,27.35
2015-12-29,27.6
2015-12-28,27.45
2015-12-24,27.54
2015-12-23,27.6
2015-12-22,27.6
2015-12-21,27.59
2015-12-18,27.83
2015-12-17,28.23
2015-12-16,28.5
2015-12-15,28.1
2015-12-14,28.0
2015-12-11,28.16
2015-12-10,29.05
2015-12-09,28.97
2015-12-08,29.5
2015-12-07,30.03
2015-12-04,30.0
2015-12-03,29.71
2015-12-02,29.95
2015-12-01,30.26
2015-11-30,29.95
2015-11-27,29.9
2015-11-25,30.32
2015-11-24,30.25
2015-11-23,30.38
2015-11-20,30.54
2015-11-19,30.32
2015-11-18,30.63
2015-11-17,30.43
2015-11-16,30.61
2015-11-13,30.02
2015-11-12,30.36
2015-11-11,30.34
2015-11-10,30.33
2015-11-09,29.7
2015-11-06,30.08
2015-11-05,29.88
2015-11-04,29.9
2015-11-03,31.5
2015-11-02,31.11
2015-10-30,30.88
2015-10-29,30.65
2015-10-28,30.41
2015-10-27,30.28
2015-10-26,30.58
2015-10-23,30.42
2015-10-22,30.09
2015-10-21,29.54
2015-10-20,29.83
2015-10-19,29.67
2015-10-16,29.66
2015-10-15,29.44
2015-10-14,28.73
2015-10-13,28.96
2015-10-12,28.84
2015-10-09,28.9
2015-10-08,28.9
2015-10-07,28.51
2015-10-06,28.45
2015-10-05,28.7
2015-10-02,28.3
2015-10-01,27.48
2015-09-30,27.07
2015-09-29,25.88
2015-09-28,25.41
2015-09-25,25.98
2015-09-24,26.22
2015-09-23,26.52
2015-09-22,26.58
2015-09-21,26.6
2015-09-18,26.43
2015-09-17,27.05
2015-09-16,27.07
2015-09-15,26.88
2015-09-14,26.67
2015-09-11,26.9
2015-09-10,27.02
2015-09-09,26.99
2015-09-08,27.63
2015-09-04,26.92
2015-09-03,27.19
2015-09-02,27.17
2015-09-01,26.77
2015-08-31,27.66
2015-08-28,28.08
2015-08-27,27.93
2015-08-26,27.49
2015-08-25,26.9
2015-08-24,26.85
2015-08-21,27.92
2015-08-20,28.68
2015-08-19,29.81
2015-08-18,30.05
2015-08-17,30.15
2015-08-14,29.91
2015-08-13,29.64
2015-08-12,29.48
2015-08-11,29.73
2015-08-10,30.14
2015-08-07,30.38
2015-08-06,29.06
2015-08-05,31.16
2015-08-04,33.4
2015-08-03,33.37
2015-07-31,33.52
2015-07-30,33.06
2015-07-29,32.99
2015-07-28,32.72
2015-07-27,32.29
2015-07-24,32.83
2015-07-23,32.48
2015-07-22,32.95
2015-07-21,32.75
2015-07-20,33.14
2015-07-17,33.2
2015-07-16,33.47
2015-07-15,33.18
2015-07-14,33.12
2015-07-13,33.11
2015-07-10,32.54
2015-07-09,31.94
2015-07-08,31.8
2015-07-07,32.47
2015-07-06,32.24
2015-07-02,32.22
2015-07-01,32.46
2015-06-30,32.22
2015-06-29,31.88
2015-06-26,32.8
2015-06-25,32.61
2015-06-24,32.52
2015-06-23,33.06
2015-06-22,32.99
2015-06-19,32.72
2015-06-18,32.79
2015-06-17,32.49
2015-06-16,32.17
2015-06-15,32.26
2015-06-12,32.59
2015-06-11,32.82
2015-06-10,32.85
2015-06-09,32.72
2015-06-08,33.0
2015-06-05,33.11
2015-06-04,33.51
2015-06-03,33.57
2015-06-02,33.35
2015-06-01,33.46
2015-05-29,33.44
2015-05-28,33.77
2015-05-27,34.01
2015-05-26,33.8
2015-05-22,34.11
2015-05-21,34.43
2015-05-20,34.22
2015-05-19,34.18
2015-05-18,33.48
2015-05-15,33.63
2015-05-14,33.06
2015-05-13,32.65
2015-05-12,32.37
2015-05-11,32.51
2015-05-08,32.44
2015-05-07,32.34
2015-05-06,33.02
2015-05-05,33.2
2015-05-04,33.58
2015-05-01,33.65
2015-04-30,33.35
2015-04-29,33.78
2015-04-28,33.79
2015-04-27,33.81
2015-04-24,33.95
2015-04-23,33.65
2015-04-22,33.31
2015-04-21,33.13
2015-04-20,33.12
2015-04-17,32.62
2015-04-16,33.18
2015-04-15,33.18
2015-04-14,33.13
2015-04-13,33.17
2015-04-10,33.37
2015-04-09,33.44
2015-04-08,33.23
2015-04-07,33.29
2015-04-06,33.48
2015-04-02,33.24
2015-04-01,32.7
2015-03-31,32.88
2015-03-30,33.15
2015-03-27,32.73
2015-03-26,33.01
2015-03-25,33.26
2015-03-24,34.12
2015-03-23,34.65
2015-03-20,34.4
2015-03-19,33.58
2015-03-18,33.87
2015-03-17,32.98
2015-03-16,33.32
2015-03-13,32.98
2015-03-12,33.48
2015-03-11,33.16
2015-03-10,33.22
2015-03-09,33.65
2015-03-06,33.59
2015-03-05,34.03
2015-03-04,34.07
2015-03-03,34.62
2015-03-02,34.26
2015-02-27,34.04
2015-02-26,33.8
2015-02-25,33.96
2015-02-24,34.06
2015-02-23,34.4
2015-02-20,34.27
2015-02-19,33.85
2015-02-18,33.62
2015-02-17,34.0
2015-02-13,33.66
2015-02-12,33.31
2015-02-11,33.57
2015-02-10,33.26
2015-02-09,33.0
2015-02-06,32.56
2015-02-05,31.78
2015-02-04,33.43
2015-02-03,33.33
