HII,Date
93.04275512695312,2014-11-10
91.95571899414062,2014-11-11
92.02365112304688,2014-11-12
91.5735855102539,2014-11-13
91.59056091308594,2014-11-14
91.76042175292969,2014-11-17
92.3039321899414,2014-11-18
92.63512420654297,2014-11-19
92.09161376953125,2014-11-20
91.68395233154297,2014-11-21
93.4673843383789,2014-11-24
93.86797332763672,2014-11-25
93.27987670898438,2014-11-26
92.87926483154297,2014-11-28
91.27686309814453,2014-12-01
91.79680633544922,2014-12-02
93.14348602294922,2014-12-03
91.65189361572266,2014-12-04
93.19463348388672,2014-12-05
92.33377838134766,2014-12-08
91.80532836914062,2014-12-09
88.82213592529297,2014-12-10
89.27388000488281,2014-12-11
88.34484100341797,2014-12-12
88.41300964355469,2014-12-15
89.16307830810547,2014-12-16
91.06379699707031,2014-12-17
93.9532241821289,2014-12-18
94.89929962158203,2014-12-19
97.76315307617188,2014-12-22
97.67792510986328,2014-12-23
97.88249206542969,2014-12-24
98.42799377441406,2014-12-26
98.00183868408203,2014-12-29
97.44779968261719,2014-12-30
95.85394287109375,2014-12-31
95.38513946533203,2015-01-02
93.9532241821289,2015-01-05
97.40518951416016,2015-01-06
97.23473358154297,2015-01-07
100.35428619384766,2015-01-08
98.76892852783203,2015-01-09
98.44503021240234,2015-01-12
97.95066833496094,2015-01-13
96.76591491699219,2015-01-14
96.17782592773438,2015-01-15
98.57290649414062,2015-01-16
97.83987426757812,2015-01-20
98.79449462890625,2015-01-21
101.7691421508789,2015-01-22
101.94812774658203,2015-01-23
101.87142181396484,2015-01-26
101.47083282470703,2015-01-27
100.950927734375,2015-01-28
100.9935302734375,2015-01-29
99.38260650634766,2015-01-30
100.58439636230469,2015-02-02
103.27778625488281,2015-02-03
103.01356506347656,2015-02-04
102.99652099609375,2015-02-05
103.73805236816406,2015-02-06
101.61572265625,2015-02-09
102.69821166992188,2015-02-10
103.95967102050781,2015-02-11
105.77513885498047,2015-02-12
106.64456939697266,2015-02-13
106.9769515991211,2015-02-17
109.44871520996094,2015-02-18
113.36095428466797,2015-02-19
117.35844421386719,2015-02-20
121.38145446777344,2015-02-23
119.04605865478516,2015-02-24
121.09164428710938,2015-02-25
121.5775146484375,2015-02-26
120.4609375,2015-02-27
122.35313415527344,2015-03-02
121.19395446777344,2015-03-03
122.15980529785156,2015-03-04
120.4161376953125,2015-03-05
117.15956115722656,2015-03-06
119.05706024169922,2015-03-09
