PCAR,Date
0.29669827222824097,1980-11-21
0.29669827222824097,1980-11-24
0.29669827222824097,1980-11-25
0.2977429926395416,1980-11-26
0.2977429926395416,1980-11-28
0.2977429926395416,1980-12-01
0.29565364122390747,1980-12-02
0.29356396198272705,1980-12-03
0.29356396198272705,1980-12-04
0.29669827222824097,1980-12-05
0.29356396198272705,1980-12-08
0.29356396198272705,1980-12-09
0.29356396198272705,1980-12-10
0.2883404791355133,1980-12-11
0.29356396198272705,1980-12-12
0.28938525915145874,1980-12-15
0.2841615676879883,1980-12-16
0.28625088930130005,1980-12-17
0.28729620575904846,1980-12-18
0.28938525915145874,1980-12-19
0.29042986035346985,1980-12-22
0.2925194799900055,1980-12-23
0.29460838437080383,1980-12-24
0.29460838437080383,1980-12-26
0.29565364122390747,1980-12-29
