BDX,Date
11.140482902526855,1995-11-29
11.24121379852295,1995-11-30
11.140482902526855,1995-12-01
11.321793556213379,1995-12-04
11.442667007446289,1995-12-05
11.926161766052246,1995-12-06
11.805279731750488,1995-12-07
11.74484920501709,1995-12-08
12.047027587890625,1995-12-11
12.147759437561035,1995-12-12
12.208198547363281,1995-12-13
12.103933334350586,1995-12-14
12.02309799194336,1995-12-15
11.841236114501953,1995-12-18
11.780616760253906,1995-12-19
11.477520942687988,1995-12-20
11.558344841003418,1995-12-21
11.92206859588623,1995-12-22
11.982686996459961,1995-12-26
11.8816556930542,1995-12-27
11.982686996459961,1995-12-28
12.12413215637207,1995-12-29
12.245379447937012,1996-01-02
12.548477172851562,1996-01-03
12.427245140075684,1996-01-04
12.063511848449707,1996-01-05
12.265581130981445,1996-01-08
12.366621017456055,1996-01-09
12.144339561462402,1996-01-10
12.12413215637207,1996-01-11
11.982686996459961,1996-01-12
12.427245140075684,1996-01-15
12.447447776794434,1996-01-16
12.588891983032227,1996-01-17
12.891997337341309,1996-01-18
13.013240814208984,1996-01-19
12.932416915893555,1996-01-22
12.87179183959961,1996-01-23
13.094062805175781,1996-01-24
13.215310096740723,1996-01-25
13.477999687194824,1996-01-26
13.760891914367676,1996-01-29
13.882135391235352,1996-01-30
13.96296501159668,1996-01-31
13.740683555603027,1996-02-01
13.781094551086426,1996-02-02
14.144821166992188,1996-02-05
13.96296501159668,1996-02-06
13.96296501159668,1996-02-07
14.367107391357422,1996-02-08
14.023589134216309,1996-02-09
14.104424476623535,1996-02-12
14.306475639343262,1996-02-13
14.023589134216309,1996-02-14
14.023589134216309,1996-02-15
13.902332305908203,1996-02-16
13.518414497375488,1996-02-20
13.518414497375488,1996-02-21
13.861923217773438,1996-02-22
13.841716766357422,1996-02-23
13.68006420135498,1996-02-26
13.538612365722656,1996-02-27
13.37696361541748,1996-02-28
13.255721092224121,1996-02-29
13.659855842590332,1996-03-01
13.80130672454834,1996-03-04
13.639646530151367,1996-03-05
13.575617790222168,1996-03-06
14.041654586791992,1996-03-07
13.616141319274902,1996-03-08
13.656670570373535,1996-03-11
13.43379020690918,1996-03-12
13.413524627685547,1996-03-13
13.43379020690918,1996-03-14
13.494580268859863,1996-03-15
13.454051971435547,1996-03-18
13.129852294921875,1996-03-19
13.028547286987305,1996-03-20
13.109598159790039,1996-03-21
13.474312782287598,1996-03-22
13.454051971435547,1996-03-25
13.494580268859863,1996-03-26
13.352740287780762,1996-03-27
13.43379020690918,1996-03-28
13.271695137023926,1996-03-29
13.291952133178711,1996-04-01
13.291952133178711,1996-04-02
13.291952133178711,1996-04-03
13.352740287780762,1996-04-04
13.129852294921875,1996-04-08
12.82592487335205,1996-04-09
12.684090614318848,1996-04-10
12.562521934509277,1996-04-11
12.76513957977295,1996-04-12
12.927236557006836,1996-04-15
12.886709213256836,1996-04-16
12.82592487335205,1996-04-17
13.028547286987305,1996-04-18
13.129852294921875,1996-04-19
13.251431465148926,1996-04-22
13.271695137023926,1996-04-23
12.988032341003418,1996-04-24
12.866448402404785,1996-04-25
12.76513957977295,1996-04-26
12.704353332519531,1996-04-29
13.069069862365723,1996-04-30
13.089332580566406,1996-05-01
12.80566120147705,1996-05-02
12.663834571838379,1996-05-03
12.603049278259277,1996-05-06
12.380158424377441,1996-05-07
12.197800636291504,1996-05-08
12.663834571838379,1996-05-09
12.562521934509277,1996-05-10
12.967767715454102,1996-05-13
12.947497367858887,1996-05-14
13.109598159790039,1996-05-15
13.413524627685547,1996-05-16
13.616141319274902,1996-05-17
13.454051971435547,1996-05-20
13.494580268859863,1996-05-21
13.5553617477417,1996-05-22
13.737727165222168,1996-05-23
13.676933288574219,1996-05-24
13.717456817626953,1996-05-28
13.798507690429688,1996-05-29
13.697196006774902,1996-05-30
13.778240203857422,1996-05-31
13.575617790222168,1996-06-03
13.595888137817383,1996-06-04
13.816133499145508,1996-06-05
13.714537620544434,1996-06-06
13.69422435760498,1996-06-07
13.673903465270996,1996-06-10
13.59263801574707,1996-06-11
13.612950325012207,1996-06-12
13.612950325012207,1996-06-13
13.430094718933105,1996-06-14
13.247232437133789,1996-06-17
12.983101844787598,1996-06-18
12.92214584350586,1996-06-19
12.901827812194824,1996-06-20
12.942465782165527,1996-06-21
12.820561408996582,1996-06-24
13.064373970031738,1996-06-25
12.942465782165527,1996-06-26
13.0237398147583,1996-06-27
13.044055938720703,1996-06-28
13.0237398147583,1996-07-01
13.165960311889648,1996-07-02
13.044055938720703,1996-07-03
12.779921531677246,1996-07-05
12.515789031982422,1996-07-08
12.454839706420898,1996-07-09
12.271976470947266,1996-07-10
12.007850646972656,1996-07-11
12.129755020141602,1996-07-12
11.906257629394531,1996-07-15
11.621806144714355,1996-07-16
12.048480987548828,1996-07-17
12.53610610961914,1996-07-18
12.43451976776123,1996-07-19
12.109437942504883,1996-07-22
11.80466365814209,1996-07-23
11.84529972076416,1996-07-24
12.150065422058105,1996-07-25
12.170390129089355,1996-07-26
12.150065422058105,1996-07-29
12.190699577331543,1996-07-30
12.129755020141602,1996-07-31
12.637701988220215,1996-08-01
13.064373970031738,1996-08-02
13.064373970031738,1996-08-05
13.328500747680664,1996-08-06
13.47072696685791,1996-08-07
13.491044998168945,1996-08-08
13.491044998168945,1996-08-09
13.673903465270996,1996-08-12
13.59263801574707,1996-08-13
13.572319984436035,1996-08-14
13.572319984436035,1996-08-15
13.612950325012207,1996-08-16
13.734867095947266,1996-08-19
13.734867095947266,1996-08-20
13.572319984436035,1996-08-21
13.653585433959961,1996-08-22
13.5316801071167,1996-08-23
13.5316801071167,1996-08-26
13.491044998168945,1996-08-27
13.5316801071167,1996-08-28
13.45041275024414,1996-08-29
13.287872314453125,1996-08-30
13.206597328186035,1996-09-03
13.45041275024414,1996-09-04
13.36565113067627,1996-09-05
13.52864933013916,1996-09-06
14.017630577087402,1996-09-09
14.058388710021973,1996-09-10
14.13988208770752,1996-09-11
14.099130630493164,1996-09-12
14.3436279296875,1996-09-13
14.384373664855957,1996-09-16
14.017630577087402,1996-09-17
14.058388710021973,1996-09-18
14.099130630493164,1996-09-19
14.221380233764648,1996-09-20
14.13988208770752,1996-09-23
13.97688102722168,1996-09-24
13.895389556884766,1996-09-25
14.099130630493164,1996-09-26
14.3436279296875,1996-09-27
14.425119400024414,1996-09-30
14.058388710021973,1996-10-01
14.302876472473145,1996-10-02
14.384373664855957,1996-10-03
14.302876472473145,1996-10-04
14.465873718261719,1996-10-07
14.50661849975586,1996-10-08
14.302876472473145,1996-10-09
14.302876472473145,1996-10-10
14.465873718261719,1996-10-11
14.547379493713379,1996-10-14
14.547379493713379,1996-10-15
14.384373664855957,1996-10-16
14.50661849975586,1996-10-17
14.66961669921875,1996-10-18
14.547379493713379,1996-10-21
14.465873718261719,1996-10-22
14.180632591247559,1996-10-23
14.262128829956055,1996-10-24
14.221380233764648,1996-10-25
13.97688102722168,1996-10-28
14.13988208770752,1996-10-29
13.732392311096191,1996-10-30
14.180632591247559,1996-10-31
14.058388710021973,1996-11-01
14.221380233764648,1996-11-04
14.3436279296875,1996-11-05
14.302876472473145,1996-11-06
14.3436279296875,1996-11-07
14.099130630493164,1996-11-08
14.017630577087402,1996-11-11
13.406402587890625,1996-11-12
13.039667129516602,1996-11-13
13.324907302856445,1996-11-14
13.039667129516602,1996-11-15
13.161904335021973,1996-11-18
13.039667129516602,1996-11-19
12.876665115356445,1996-11-20
12.754417419433594,1996-11-21
12.713665962219238,1996-11-22
13.121155738830566,1996-11-25
13.36565113067627,1996-11-26
13.691640853881836,1996-11-27
13.691640853881836,1996-11-29
13.813894271850586,1996-12-02
13.691640853881836,1996-12-03
13.650895118713379,1996-12-04
13.813894271850586,1996-12-05
13.5693941116333,1996-12-06
13.813894271850586,1996-12-09
13.895389556884766,1996-12-10
13.895389556884766,1996-12-11
13.937895774841309,1996-12-12
13.937895774841309,1996-12-13
13.570033073425293,1996-12-16
13.733526229858398,1996-12-17
13.97877311706543,1996-12-18
14.142264366149902,1996-12-19
14.264894485473633,1996-12-20
14.346633911132812,1996-12-23
14.3875093460083,1996-12-24
14.469252586364746,1996-12-26
14.469252586364746,1996-12-27
14.428374290466309,1996-12-30
14.18313980102539,1996-12-31
14.18313980102539,1997-01-02
14.551005363464355,1997-01-03
14.346633911132812,1997-01-06
14.714491844177246,1997-01-07
14.837119102478027,1997-01-08
14.837119102478027,1997-01-09
14.918869018554688,1997-01-10
15.041479110717773,1997-01-13
15.082365036010742,1997-01-14
15.082365036010742,1997-01-15
15.245861053466797,1997-01-16
15.123236656188965,1997-01-17
15.204978942871094,1997-01-20
15.491097450256348,1997-01-21
15.858951568603516,1997-01-22
16.185941696166992,1997-01-23
16.185941696166992,1997-01-24
16.226825714111328,1997-01-27
15.818087577819824,1997-01-28
15.981572151184082,1997-01-29
16.0224552154541,1997-01-30
16.104188919067383,1997-01-31
16.0224552154541,1997-02-03
16.104188919067383,1997-02-04
15.981572151184082,1997-02-05
15.818087577819824,1997-02-06
16.104188919067383,1997-02-07
15.981572151184082,1997-02-10
16.185941696166992,1997-02-11
16.145065307617188,1997-02-12
16.349443435668945,1997-02-13
16.185941696166992,1997-02-14
16.59467887878418,1997-02-18
16.71730613708496,1997-02-19
16.2676944732666,1997-02-20
16.349443435668945,1997-02-21
16.472063064575195,1997-02-24
16.349443435668945,1997-02-25
16.145065307617188,1997-02-26
16.308561325073242,1997-02-27
16.104188919067383,1997-02-28
16.308561325073242,1997-03-03
16.185941696166992,1997-03-04
16.18758201599121,1997-03-05
15.982678413391113,1997-03-06
16.06464385986328,1997-03-07
16.105627059936523,1997-03-10
15.941695213317871,1997-03-11
15.654829978942871,1997-03-12
15.531895637512207,1997-03-13
15.695808410644531,1997-03-14
