ETN,Date
0.29459086060523987,1973-02-12
0.291673868894577,1973-02-13
0.2877851128578186,1973-02-14
0.28292369842529297,1973-02-15
0.28972944617271423,1973-02-16
0.2838960289955139,1973-02-20
0.27806249260902405,1973-02-21
0.2673678398132324,1973-02-22
0.26834017038345337,1973-02-23
0.27125686407089233,1973-02-26
0.26347872614860535,1973-02-27
0.2770904004573822,1973-02-28
0.2770904004573822,1973-03-01
0.2858404815196991,1973-03-02
0.2838960289955139,1973-03-05
0.28292369842529297,1973-03-06
0.2848682403564453,1973-03-07
0.2848682403564453,1973-03-08
0.28972944617271423,1973-03-09
0.29070186614990234,1973-03-12
0.2877851128578186,1973-03-13
0.2877851128578186,1973-03-14
0.2858404815196991,1973-03-15
0.2838960289955139,1973-03-16
0.28097957372665405,1973-03-19
