BAC,Date
1.4802777767181396,1974-01-25
1.4749336242675781,1974-01-28
1.4909664392471313,1974-01-29
1.5016530752182007,1974-01-30
1.4856213331222534,1974-01-31
1.4642459154129028,1974-02-01
1.4428688287734985,1974-02-04
1.4268382787704468,1974-02-05
1.4375253915786743,1974-02-06
1.4428688287734985,1974-02-07
1.4375253915786743,1974-02-08
1.4214937686920166,1974-02-11
1.4001178741455078,1974-02-12
1.3787429332733154,1974-02-13
1.3787429332733154,1974-02-14
1.3840861320495605,1974-02-15
1.3627102375030518,1974-02-19
1.3787429332733154,1974-02-20
1.373397707939148,1974-02-21
1.3787429332733154,1974-02-22
1.3680542707443237,1974-02-25
1.3627102375030518,1974-02-26
1.3573663234710693,1974-02-27
1.3627102375030518,1974-02-28
1.373397707939148,1974-03-01
1.3680542707443237,1974-03-04
1.410806655883789,1974-03-05
1.4161494970321655,1974-03-06
1.4268382787704468,1974-03-07
1.4535566568374634,1974-03-08
1.4428688287734985,1974-03-11
1.4642459154129028,1974-03-12
1.5711251497268677,1974-03-13
1.6138767004013062,1974-03-14
1.6031886339187622,1974-03-15
1.5711251497268677,1974-03-18
1.5390610694885254,1974-03-19
1.5497492551803589,1974-03-20
1.5444045066833496,1974-03-21
1.5390610694885254,1974-03-22
1.5390610694885254,1974-03-25
1.5337176322937012,1974-03-26
1.4909664392471313,1974-03-27
1.4054625034332275,1974-03-28
1.4001178741455078,1974-03-29
1.4054625034332275,1974-04-01
1.410806655883789,1974-04-02
1.4054625034332275,1974-04-03
1.410806655883789,1974-04-04
1.3894298076629639,1974-04-05
1.3680542707443237,1974-04-08
1.3627102375030518,1974-04-09
1.3680542707443237,1974-04-10
1.3680542707443237,1974-04-11
1.373397707939148,1974-04-15
1.4268382787704468,1974-04-16
1.4428688287734985,1974-04-17
1.4589014053344727,1974-04-18
1.4428688287734985,1974-04-19
1.4375253915786743,1974-04-22
1.4161494970321655,1974-04-23
1.373397707939148,1974-04-24
1.3359907865524292,1974-04-25
1.3253023624420166,1974-04-26
1.3092700242996216,1974-04-29
1.3039268255233765,1974-04-30
1.3092700242996216,1974-05-01
1.3253023624420166,1974-05-02
1.3306466341018677,1974-05-03
1.3253023624420166,1974-05-06
1.2825502157211304,1974-05-07
1.2558317184448242,1974-05-08
1.2504867315292358,1974-05-09
1.207735300064087,1974-05-10
1.1810157299041748,1974-05-13
1.2023917436599731,1974-05-14
1.2504867315292358,1974-05-15
1.2451425790786743,1974-05-16
1.2023917436599731,1974-05-17
1.2237677574157715,1974-05-20
1.2504867315292358,1974-05-21
1.2504867315292358,1974-05-22
1.2504867315292358,1974-05-23
1.1489518880844116,1974-05-24
1.0848240852355957,1974-05-28
1.0741366147994995,1974-05-29
1.0794806480407715,1974-05-30
1.0153530836105347,1974-05-31
0.9993214011192322,1974-06-03
1.0260412693023682,1974-06-04
1.047416090965271,1974-06-05
1.1489518880844116,1974-06-06
1.1115437746047974,1974-06-07
1.100856065750122,1974-06-10
1.0901676416397095,1974-06-11
1.1168879270553589,1974-06-12
1.1436073780059814,1974-06-13
1.1382638216018677,1974-06-14
1.100856065750122,1974-06-17
1.0955122709274292,1974-06-18
1.0313851833343506,1974-06-19
0.9939770698547363,1974-06-20
0.9939770698547363,1974-06-21
0.97794508934021,1974-06-24
0.983288049697876,1974-06-25
0.9138171672821045,1974-06-26
0.8764092922210693,1974-06-27
0.8550339341163635,1974-06-28
0.7909063696861267,1974-07-01
0.7321229577064514,1974-07-02
0.6840271353721619,1974-07-03
0.7054033279418945,1974-07-05
0.6626511812210083,1974-07-08
0.6679953932762146,1974-07-09
0.6466190218925476,1974-07-10
0.6733394265174866,1974-07-11
0.7107468843460083,1974-07-12
0.7481546401977539,1974-07-15
0.7909063696861267,1974-07-16
0.7962503433227539,1974-07-17
0.7802186012268066,1974-07-18
0.7909063696861267,1974-07-19
0.7428106665611267,1974-07-22
0.7534985542297363,1974-07-23
0.7481546401977539,1974-07-24
0.7160906195640564,1974-07-25
0.7000589370727539,1974-07-26
0.6786831617355347,1974-07-29
0.6466190218925476,1974-07-30
0.6198994517326355,1974-07-31
0.6198994517326355,1974-08-01
0.630587637424469,1974-08-02
0.6412751078605652,1974-08-05
0.6412751078605652,1974-08-06
0.6626511812210083,1974-08-07
0.630587637424469,1974-08-08
0.6198994517326355,1974-08-09
0.6145555973052979,1974-08-12
0.5878357291221619,1974-08-13
0.5397403240203857,1974-08-14
0.5557718873023987,1974-08-15
0.550428032875061,1974-08-16
0.550428032875061,1974-08-19
0.5771477222442627,1974-08-20
0.550428032875061,1974-08-21
0.5183643698692322,1974-08-22
0.5130206346511841,1974-08-23
0.5397403240203857,1974-08-26
0.5397403240203857,1974-08-27
0.5664598345756531,1974-08-28
0.534396231174469,1974-08-29
0.550428032875061,1974-08-30
0.5237080454826355,1974-09-03
0.47561272978782654,1974-09-04
0.4702688157558441,1974-09-05
0.47561272978782654,1974-09-06
0.45423686504364014,1974-09-09
0.40079715847969055,1974-09-10
0.406141072511673,1974-09-11
0.38476526737213135,1974-09-12
0.34201356768608093,1974-09-13
0.34735745191574097,1974-09-16
0.35270166397094727,1974-09-17
0.35270166397094727,1974-09-18
0.3901093006134033,1974-09-19
0.36873340606689453,1974-09-20
0.3580453097820282,1974-09-23
0.36338916420936584,1974-09-24
0.36338916420936584,1974-09-25
0.35270166397094727,1974-09-26
0.34735745191574097,1974-09-27
0.33132559061050415,1974-09-30
0.33132559061050415,1974-10-01
0.33132559061050415,1974-10-02
0.3206375539302826,1974-10-03
0.3366697132587433,1974-10-04
0.36873340606689453,1974-10-07
0.36338916420936584,1974-10-08
0.38476526737213135,1974-10-09
0.38476526737213135,1974-10-10
0.44354891777038574,1974-10-11
0.43286117911338806,1974-10-14
0.42217299342155457,1974-10-15
0.42751696705818176,1974-10-16
0.43820464611053467,1974-10-17
0.44354891777038574,1974-10-18
0.46492448449134827,1974-10-21
0.48630043864250183,1974-10-22
0.47561272978782654,1974-10-23
0.47561272978782654,1974-10-24
0.48095637559890747,1974-10-25
0.45958060026168823,1974-10-28
0.46492448449134827,1974-10-29
0.4488929808139801,1974-10-30
0.44354891777038574,1974-10-31
0.4168289303779602,1974-11-01
0.36338916420936584,1974-11-04
0.3901093006134033,1974-11-05
0.39545318484306335,1974-11-06
0.39545318484306335,1974-11-07
0.3901093006134033,1974-11-08
0.38476526737213135,1974-11-11
0.3794213533401489,1974-11-12
0.37407732009887695,1974-11-13
0.37407732009887695,1974-11-14
0.34735745191574097,1974-11-15
0.3259817063808441,1974-11-18
0.3259817063808441,1974-11-19
0.3366697132587433,1974-11-20
0.3366697132587433,1974-11-21
0.3366697132587433,1974-11-22
0.3259817063808441,1974-11-25
0.34735745191574097,1974-11-26
0.34735745191574097,1974-11-27
0.34735745191574097,1974-11-29
0.33132559061050415,1974-12-02
0.3206375539302826,1974-12-03
0.30994972586631775,1974-12-04
0.28857386112213135,1974-12-05
0.28857386112213135,1974-12-06
0.28857386112213135,1974-12-09
0.30994972586631775,1974-12-10
0.3259817063808441,1974-12-11
0.3366697132587433,1974-12-12
0.3366697132587433,1974-12-13
0.3259817063808441,1974-12-16
0.3259817063808441,1974-12-17
0.3259817063808441,1974-12-18
0.3046059012413025,1974-12-19
0.28322991728782654,1974-12-20
0.28322991728782654,1974-12-23
0.3152938187122345,1974-12-24
0.3259817063808441,1974-12-26
0.3152938187122345,1974-12-27
0.30994972586631775,1974-12-30
0.3206375539302826,1974-12-31
0.3259817063808441,1975-01-02
0.3259817063808441,1975-01-03
0.34735745191574097,1975-01-06
0.34201356768608093,1975-01-07
0.33132559061050415,1975-01-08
0.35270166397094727,1975-01-09
0.3901093006134033,1975-01-10
0.406141072511673,1975-01-13
0.406141072511673,1975-01-14
0.406141072511673,1975-01-15
0.411484956741333,1975-01-16
0.40079715847969055,1975-01-17
0.40079715847969055,1975-01-20
0.406141072511673,1975-01-21
0.40079715847969055,1975-01-22
0.3901093006134033,1975-01-23
0.3794213533401489,1975-01-24
0.3901093006134033,1975-01-27
0.411484956741333,1975-01-28
0.43286117911338806,1975-01-29
0.45423686504364014,1975-01-30
0.46492448449134827,1975-01-31
0.47561272978782654,1975-02-03
0.47561272978782654,1975-02-04
0.5290521383285522,1975-02-05
0.5878357291221619,1975-02-06
0.5718036890029907,1975-02-07
0.5557718873023987,1975-02-10
0.5290521383285522,1975-02-11
0.5611159205436707,1975-02-12
0.5664598345756531,1975-02-13
0.5664598345756531,1975-02-14
0.49698853492736816,1975-02-18
0.5023324489593506,1975-02-19
0.49698853492736816,1975-02-20
0.48095637559890747,1975-02-21
0.4702688157558441,1975-02-24
0.4702688157558441,1975-02-25
0.45958060026168823,1975-02-26
0.491644024848938,1975-02-27
0.5130206346511841,1975-02-28
0.5183643698692322,1975-03-03
0.5023324489593506,1975-03-04
0.491644024848938,1975-03-05
0.48630043864250183,1975-03-06
0.48630043864250183,1975-03-07
0.46492448449134827,1975-03-10
0.44354891777038574,1975-03-11
0.38476526737213135,1975-03-12
0.43286117911338806,1975-03-13
0.45958060026168823,1975-03-14
0.47561272978782654,1975-03-17
0.49698853492736816,1975-03-18
0.491644024848938,1975-03-19
0.49698853492736816,1975-03-20
0.49698853492736816,1975-03-21
0.45958060026168823,1975-03-24
0.45958060026168823,1975-03-25
0.47561272978782654,1975-03-26
0.491644024848938,1975-03-27
0.48630043864250183,1975-03-31
0.48095637559890747,1975-04-01
0.48630043864250183,1975-04-02
0.48095637559890747,1975-04-03
0.46492448449134827,1975-04-04
0.45958060026168823,1975-04-07
0.45423686504364014,1975-04-08
0.46492448449134827,1975-04-09
0.47561272978782654,1975-04-10
0.47561272978782654,1975-04-11
0.5076765418052673,1975-04-14
0.49698853492736816,1975-04-15
0.5076765418052673,1975-04-16
0.5130206346511841,1975-04-17
0.5130206346511841,1975-04-18
0.5237080454826355,1975-04-21
0.5183643698692322,1975-04-22
0.5183643698692322,1975-04-23
0.5183643698692322,1975-04-24
0.550428032875061,1975-04-25
0.5237080454826355,1975-04-28
0.5237080454826355,1975-04-29
0.5237080454826355,1975-04-30
0.5183643698692322,1975-05-01
0.5290521383285522,1975-05-02
0.534396231174469,1975-05-05
0.550428032875061,1975-05-06
0.5664598345756531,1975-05-07
0.5771477222442627,1975-05-08
0.5824916958808899,1975-05-09
0.5611159205436707,1975-05-12
0.5664598345756531,1975-05-13
0.5718036890029907,1975-05-14
0.5718036890029907,1975-05-15
0.5611159205436707,1975-05-16
0.5450838208198547,1975-05-19
0.5290521383285522,1975-05-20
0.5237080454826355,1975-05-21
0.5290521383285522,1975-05-22
0.550428032875061,1975-05-23
0.5557718873023987,1975-05-27
0.5290521383285522,1975-05-28
0.5290521383285522,1975-05-29
0.5450838208198547,1975-05-30
0.5290521383285522,1975-06-02
0.5237080454826355,1975-06-03
0.5183643698692322,1975-06-04
0.5076765418052673,1975-06-05
0.48630043864250183,1975-06-06
0.46492448449134827,1975-06-09
0.45958060026168823,1975-06-10
0.48095637559890747,1975-06-11
0.4702688157558441,1975-06-12
0.48095637559890747,1975-06-13
0.49698853492736816,1975-06-16
0.48630043864250183,1975-06-17
0.4702688157558441,1975-06-18
0.46492448449134827,1975-06-19
0.4702688157558441,1975-06-20
0.47561272978782654,1975-06-23
0.48630043864250183,1975-06-24
0.491644024848938,1975-06-25
0.5237080454826355,1975-06-26
0.550428032875061,1975-06-27
0.5557718873023987,1975-06-30
0.5397403240203857,1975-07-01
0.5237080454826355,1975-07-02
0.5237080454826355,1975-07-03
0.5237080454826355,1975-07-07
0.5237080454826355,1975-07-08
0.5290521383285522,1975-07-09
0.5237080454826355,1975-07-10
0.5183643698692322,1975-07-11
0.5076765418052673,1975-07-14
0.5076765418052673,1975-07-15
0.5076765418052673,1975-07-16
0.5023324489593506,1975-07-17
0.49698853492736816,1975-07-18
0.49698853492736816,1975-07-21
0.47561272978782654,1975-07-22
0.47561272978782654,1975-07-23
0.46492448449134827,1975-07-24
0.46492448449134827,1975-07-25
0.46492448449134827,1975-07-28
0.46492448449134827,1975-07-29
0.47561272978782654,1975-07-30
0.48630043864250183,1975-07-31
0.48095637559890747,1975-08-01
0.48095637559890747,1975-08-04
0.4702688157558441,1975-08-05
0.4702688157558441,1975-08-06
0.4702688157558441,1975-08-07
0.4702688157558441,1975-08-08
0.4702688157558441,1975-08-11
0.47561272978782654,1975-08-12
0.4702688157558441,1975-08-13
0.45958060026168823,1975-08-14
0.45958060026168823,1975-08-15
0.45958060026168823,1975-08-18
0.45958060026168823,1975-08-19
0.43820464611053467,1975-08-20
0.43820464611053467,1975-08-21
0.43820464611053467,1975-08-22
0.43286117911338806,1975-08-25
0.406141072511673,1975-08-26
0.42217299342155457,1975-08-27
0.4488929808139801,1975-08-28
0.4702688157558441,1975-08-29
0.45423686504364014,1975-09-02
0.4488929808139801,1975-09-03
0.45423686504364014,1975-09-04
0.45958060026168823,1975-09-05
0.4488929808139801,1975-09-08
