ATO,Date
69.79289245605469,2018-03-06
69.28713989257812,2018-03-07
69.6010513305664,2018-03-08
69.95855712890625,2018-03-09
70.74333190917969,2018-03-12
70.64740753173828,2018-03-13
70.92644500732422,2018-03-14
71.039794921875,2018-03-15
72.25184631347656,2018-03-16
71.2403564453125,2018-03-19
70.86540985107422,2018-03-20
70.96131896972656,2018-03-21
70.77821350097656,2018-03-22
69.7841567993164,2018-03-23
71.23163604736328,2018-03-26
72.4872817993164,2018-03-27
72.98429870605469,2018-03-28
73.45518493652344,2018-03-29
72.24313354492188,2018-04-02
73.23717498779297,2018-04-03
72.98429870605469,2018-04-04
73.70805358886719,2018-04-05
73.37670135498047,2018-04-06
73.40286254882812,2018-04-09
73.29822540283203,2018-04-10
73.10638427734375,2018-04-11
72.09488677978516,2018-04-12
72.70526885986328,2018-04-13
73.83882904052734,2018-04-16
74.26610565185547,2018-04-17
73.65573120117188,2018-04-18
73.44646453857422,2018-04-19
73.15869140625,2018-04-20
73.6034164428711,2018-04-23
74.37073516845703,2018-04-24
74.3881607055664,2018-04-25
75.67870330810547,2018-04-26
76.2193374633789,2018-04-27
75.7658920288086,2018-04-30
75.71357727050781,2018-05-01
75.83565521240234,2018-05-02
76.78610229492188,2018-05-03
78.24231719970703,2018-05-04
77.48371887207031,2018-05-07
76.51582336425781,2018-05-08
76.45475769042969,2018-05-09
77.2569808959961,2018-05-10
76.9518051147461,2018-05-11
76.26293182373047,2018-05-14
75.47815704345703,2018-05-15
74.88521575927734,2018-05-16
74.45794677734375,2018-05-17
74.46234130859375,2018-05-18
74.76924896240234,2018-05-21
75.6023941040039,2018-05-22
76.26887512207031,2018-05-23
76.72486114501953,2018-05-24
76.95289611816406,2018-05-25
77.51416015625,2018-05-29
78.90851593017578,2018-05-30
78.2332534790039,2018-05-31
77.15460205078125,2018-06-01
77.00550079345703,2018-06-04
76.63719177246094,2018-06-05
75.24282836914062,2018-06-06
75.18144989013672,2018-06-07
74.81310272216797,2018-06-08
74.1992416381836,2018-06-11
74.81310272216797,2018-06-12
74.17294311523438,2018-06-13
75.13758087158203,2018-06-14
76.11100769042969,2018-06-15
76.3916244506836,2018-06-18
77.45275115966797,2018-06-19
77.46153259277344,2018-06-20
77.91754150390625,2018-06-21
78.14554595947266,2018-06-22
79.39083099365234,2018-06-25
78.78572082519531,2018-06-26
79.04002380371094,2018-06-27
79.26806640625,2018-06-28
79.04882049560547,2018-06-29
79.22419738769531,2018-07-02
80.03976440429688,2018-07-03
80.72380065917969,2018-07-05
81.17981719970703,2018-07-06
78.75940704345703,2018-07-09
79.51359558105469,2018-07-10
79.85562133789062,2018-07-11
79.9169921875,2018-07-12
79.9169921875,2018-07-13
79.89946746826172,2018-07-16
79.62760162353516,2018-07-17
79.39960479736328,2018-07-18
80.44316864013672,2018-07-19
80.1888656616211,2018-07-20
79.64514923095703,2018-07-23
