TMUS,Date
26.19491958618164,2011-06-15
26.260652542114258,2011-06-16
26.32638931274414,2011-06-17
26.457855224609375,2011-06-20
27.033031463623047,2011-06-21
27.11519432067871,2011-06-22
27.558897018432617,2011-06-23
27.378129959106445,2011-06-24
27.72323226928711,2011-06-27
28.249103546142578,2011-06-28
28.314834594726562,2011-06-29
28.281967163085938,2011-06-30
29.20224380493164,2011-07-01
28.709238052368164,2011-07-05
28.659940719604492,2011-07-06
28.51203727722168,2011-07-07
28.594205856323242,2011-07-08
28.44630241394043,2011-07-11
27.871129989624023,2011-07-12
28.084768295288086,2011-07-13
27.641061782836914,2011-07-14
27.920433044433594,2011-07-15
27.608198165893555,2011-07-18
28.183368682861328,2011-07-19
28.068336486816406,2011-07-20
28.183368682861328,2011-07-21
28.314834594726562,2011-07-22
27.838268280029297,2011-07-25
27.77252960205078,2011-07-26
27.033031463623047,2011-07-27
26.770092010498047,2011-07-28
26.753660202026367,2011-07-29
26.589324951171875,2011-08-01
16.860721588134766,2011-08-02
16.877153396606445,2011-08-03
15.299543380737305,2011-08-04
15.661078453063965,2011-08-05
14.658638000488281,2011-08-08
15.33241081237793,2011-08-09
15.726812362670898,2011-08-10
16.860721588134766,2011-08-11
16.811420440673828,2011-08-12
18.027494430541992,2011-08-15
18.109663009643555,2011-08-16
18.40546417236328,2011-08-17
17.222253799438477,2011-08-18
16.877153396606445,2011-08-19
16.64708709716797,2011-08-22
17.3865909576416,2011-08-23
17.76456069946289,2011-08-24
17.156522750854492,2011-08-25
17.53449058532715,2011-08-26
18.339731216430664,2011-08-29
18.48763084411621,2011-08-30
18.339731216430664,2011-08-31
18.011062622070312,2011-09-01
16.959321975708008,2011-09-02
16.64708709716797,2011-09-06
17.53449058532715,2011-09-07
17.419458389282227,2011-09-08
17.189390182495117,2011-09-09
17.156522750854492,2011-09-12
17.172956466674805,2011-09-13
17.074356079101562,2011-09-14
17.008623123168945,2011-09-15
16.59778594970703,2011-09-16
16.43345069885254,2011-09-19
16.548484802246094,2011-09-20
15.26667594909668,2011-09-21
14.691503524780273,2011-09-22
14.97087287902832,2011-09-23
14.938006401062012,2011-09-26
15.480310440063477,2011-09-27
14.625770568847656,2011-09-28
14.905138969421387,2011-09-29
14.3135347366333,2011-09-30
13.442564010620117,2011-10-03
