SHW,Date
0.21153171360492706,1980-11-21
0.21084487438201904,1980-11-24
0.2177123725414276,1980-11-25
0.21908646821975708,1980-11-26
0.21908646821975708,1980-11-28
0.21839968860149384,1980-12-01
0.21977324783802032,1980-12-02
0.21565210819244385,1980-12-03
0.21359193325042725,1980-12-04
0.21359193325042725,1980-12-05
0.2039768546819687,1980-12-08
0.20054268836975098,1980-12-09
0.1977957934141159,1980-12-10
0.1895541250705719,1980-12-11
0.1895541250705719,1980-12-12
0.1888674795627594,1980-12-15
0.18749389052391052,1980-12-16
0.18818067014217377,1980-12-17
0.19161443412303925,1980-12-18
0.1923011690378189,1980-12-19
0.19436194002628326,1980-12-22
0.19642220437526703,1980-12-23
0.1957353800535202,1980-12-24
0.1950487643480301,1980-12-26
0.1957353800535202,1980-12-29
